"","Table 2#1# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2003     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2003 6:21:51 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8","1","Personal income","A065RC",85.3,76.5,65.5,50,46.9,53.8,60.5,68.8,74.3,68.6,73.1,78.6,96.3,123.8,152.4,166.3,171.9,179.5,192.1,211.1,208.2,229.9,258.7,276.1,292.6,295.2,316.8,340,359.3,370,394,412.7,430.3,457.9,481,515.8,557.4,606.4,650.4,714.5,780.8,841.1,905.1,994.3,1113.4,1225.6,1331.7,1475.4,1637.1,1848.3,2081.5,2323.9,2599.4,2768.4,2946.9,3274.8,3515,3712.4,3962.5,4272.1,4599.8,4903.2,5085.4,5390.4,5610,5888,6200.9,6547.4,6937,7426,7786.5,8406.6,8685.3,8922.2
"9","2","  Wage and salary disbursements","A576RC",50.5,46.2,39.2,30.5,29,33.7,36.7,42,46.1,43,46,49.9,62.1,82.1,105.6,116.9,117.5,112,123.1,135.5,134.8,147.2,171.5,185.6,199,197.2,212.1,229,239.9,241.3,259.8,272.8,280.5,299.3,314.8,337.7,363.7,400.3,428.9,471.9,518.3,551.5,583.9,638.7,708.7,772.6,814.6,899.5,993.9,1120.7,1255.8,1377.5,1517.2,1593.4,1684.7,1854.6,1995.4,2114.4,2270.2,2452.7,2596.8,2754.6,2824.2,2982.6,3085.2,3236.7,3424.7,3626.5,3888.9,4192.8,4470.4,4836.3,4950.6,4996.4
"10","3","    Private industries","A132RC",45.5,41,33.9,25.5,23.9,27.6,30.2,34.1,38.6,34.8,37.7,41.4,51.9,66.1,79,84,82.6,91.3,105.6,116.5,114,124.6,142.3,152.3,164.7,162.4,175.6,190.2,198.9,197.2,213.8,223.7,228,243,254.8,272.9,293.8,321.9,342.5,375.3,412.7,434.3,457.4,501.2,560,611.8,638.6,710.8,791.6,901.2,1018.7,1116.2,1231.7,1286.1,1359.8,1507,1621.7,1717.8,1848,2001.8,2117.1,2237.9,2278.6,2414.9,2500.3,2632.8,2802,2985.5,3224.7,3500.1,3746.3,4067.4,4139.8,4143.6
"11","4","      Goods-producing industries","A206RC",21.5,18.5,14.3,9.9,9.8,12.1,13.5,15.8,18.4,15.3,17.4,19.7,27.5,39.1,49,50.4,45.9,46,54.2,61.1,57.8,64.8,76.4,82.1,89.8,85.8,93.3,100.8,104.4,100.3,109.9,113.4,114,122.2,127.4,136,146.6,161.6,169,184.1,200.4,203.7,209.1,228.2,255.9,276.5,277.1,309.7,346.1,392.6,442.3,472.3,514.5,514.6,527.7,586.1,620.2,636.8,660.1,706.7,732.2,754.4,746.3,765.7,780.6,824,863.6,908.2,975.1,1038.5,1088.6,1163.7,1142.4,1115.7
"12","5","        Manufacturing","A552RC",16.1,13.9,10.8,7.7,7.8,9.6,10.8,12.4,14.6,11.8,13.6,15.6,21.7,30.9,40.9,42.9,38.2,36.5,42.5,47.1,44.6,50.3,59.4,64.2,71.3,67.6,73.9,79.5,82.5,78.7,86.9,89.8,89.9,96.8,100.7,107.3,115.7,128.2,134.3,146,157.7,158.4,160.5,175.6,196.6,211.8,211.6,238,266.7,300.1,335.2,356.2,387.6,385.7,400.7,445.4,468.5,480.7,496.9,529.9,547.9,561.4,562.5,583.5,592.4,620.3,647.5,673.7,718.4,756.6,782,829.4,789.4,758.7
"13","6","      Distributive industries","A212RC",15.6,14.5,12.5,9.8,8.8,9.9,10.7,11.8,13.2,12.6,13.3,14.2,16.3,18,20.1,22.7,24.8,31,35.2,37.5,37.7,39.9,44.4,47,49.9,50.3,53.6,58,60.7,61.1,65.1,68.6,69.6,73.3,76.8,82,87.9,95.1,101.6,110.8,121.7,131.2,140.4,153.3,170.3,186.8,198.1,219.5,242.7,274.9,308.5,336.7,368.5,385.9,405.7,445.2,476.5,501.6,535.4,575.1,606.5,633.6,646.3,680.2,697.3,738.4,782.1,822.4,879.6,948.9,1020.8,1094.8,1109.2,1114.4
"14","7","      Service industries","A218RC",8.4,8,7.1,5.8,5.2,5.7,5.9,6.5,7.1,6.8,7.1,7.5,8.1,9,9.9,10.9,11.9,14.3,16.1,17.9,18.5,19.9,21.6,23.2,25,26.2,28.7,31.5,33.8,35.9,38.8,41.7,44.4,47.6,50.7,54.9,59.4,65.3,72,80.4,90.6,99.4,107.9,119.7,133.9,148.6,163.4,181.6,202.8,233.7,267.8,307.2,348.6,385.6,426.4,475.6,524.9,579.3,652.4,720.1,778.5,849.9,886,969,1022.4,1070.4,1156.3,1254.9,1369.9,1512.7,1636.9,1808.9,1888.2,1913.5
"15","8","    Government","B202RC",5,5.2,5.3,5,5.2,6.1,6.5,7.9,7.5,8.3,8.2,8.5,10.2,16,26.6,33,34.9,20.7,17.5,19,20.8,22.6,29.2,33.3,34.4,34.9,36.6,38.8,41,44.1,46,49.2,52.4,56.3,60,64.9,69.9,78.3,86.4,96.6,105.5,117.1,126.5,137.4,148.7,160.9,176,188.6,202.3,219.6,237.1,261.3,285.6,307.3,325,347.6,373.8,396.6,422.2,450.9,479.7,516.7,545.6,567.7,584.9,603.9,622.7,641,664.3,692.7,724.2,768.9,810.8,852.8
"16","9","  Other labor income","B040RC",0.7,0.6,0.6,0.6,0.5,0.6,0.6,0.8,0.8,0.8,0.9,0.9,1,1.2,1.5,2,2.3,2.5,3,3.5,3.9,4.8,5.9,6.5,7.2,7.4,8.5,10,11.3,12,13.4,14.4,15.2,16.7,18,20.3,22.7,25.5,28.2,32.5,36.6,41.9,48,55.3,62.8,73.3,87.6,105.3,125.3,143.4,162.6,185.4,204.8,222.8,238.6,262.1,282.3,298.4,319.1,336.5,360.5,390,415.6,449.5,482.8,507.5,497,490,475.4,490.6,510.2,544.2,570.4,610.6
