"","Table 3#4# Personal Tax and Nontax Receipts","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 7/31/2003 7:34:29 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","    Personal tax and nontax receipts \1\","A066RC",2.1,1.9,1.3,1,1,1.1,1.3,1.5,2.1,2.1,1.7,1.9,2.5,5.1,17,18,19.8,17.5,20.1,19.6,17.1,19.3,27.5,32.5,33.8,30.7,33.4,37.2,39.6,39.2,42.8,46.6,47.9,52.3,55.3,52.8,58.4,67.3,74.2,88.3,105.9,104.6,103.4,125.6,134.5,153.3,150.3,175.5,201.2,233.5,273.3,304.2,351.5,361.6,360.9,387.2,428.5,449.9,503,519.7,583.5,609.6,610.5,635.8,674.6,722.6,778.3,869.7,968.8,1070.4,1159.1,1286.4,1292.1
"9","2","Federal \2\","A074RC",1.2,1.1,0.6,0.3,0.4,0.5,0.6,0.7,1.3,1.3,0.9,1,1.6,4.2,16.1,17,18.7,16.4,18.8,18.1,15.4,17.5,25.4,30.2,31.4,28.1,30.5,34,36,35.5,38.5,41.9,42.7,46.6,49.2,46,51.1,58.7,64.4,76.5,91.8,88.9,85.9,102.9,109.7,126.6,120.9,141.4,162.3,189.1,224.8,250.2,290.8,295.7,287.2,302.5,337.2,351.4,394.5,405.7,454.6,473.6,465.2,479.4,509.9,547.8,591.8,670,751.9,834.9,903.3,1009,1010.9
"10","3","  Income taxes","B231RC",1.2,1,0.5,0.3,0.4,0.4,0.6,0.7,1.3,1.2,0.9,1,1.6,4,15.9,16.8,18.5,16.4,18.8,18.1,15.4,17.4,25.4,30.2,31.3,28.1,30.5,33.9,36,35.5,38.5,41.8,42.7,46.5,49.1,46,51.1,58.6,64.4,76.4,91.7,88.9,85.8,102.8,109.6,126.5,120.7,141.2,162.2,188.9,224.6,250,290.6,295,286.2,301.4,336,350.1,392.5,402.9,451.5,470.2,461.3,475.3,505.4,542.5,585.6,662.9,743.9,826.4,894,999,1000.3
"11","4","    Withheld","PTN018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,11.1,10.6,9.9,11.7,16.8,20.5,22.7,20.4,22.7,25.4,27.3,27.8,30.6,32.8,34.3,37,40.3,36.5,39,46.1,53.3,63.7,74.6,76.2,76,91.3,104.5,118.9,120.2,132.5,149.2,173,202.4,229.8,261.1,264.5,265.8,284.1,304.3,318.6,326.5,346.6,371.8,397.1,400.9,409,434.8,466.1,501.6,548.6,595.1,649.8,718.9,782.7,806.3
"12","5","    Declarations and settlements","PTN100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,9.3,9.2,7.8,7.4,10.4,11.8,11.2,10.5,10.8,11.7,12.2,11.5,11.9,13.4,13.1,14.6,14.4,15.4,17,18.5,19,22.2,27.4,26,24.3,25.8,27.3,31.7,34.9,36.3,42.5,48.1,56.2,63.9,77.2,85.6,81.3,82.2,98.4,103.6,138.9,128.6,149.9,146.6,140.7,146.1,146.2,153.5,169.9,203.6,242.5,276.6,300.4,350.4,342.9
"13","6","    Less: Refunds","PTN200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.7,1.8,2.4,1.7,1.8,2.1,2.6,2.9,3.1,3.2,3.5,3.9,4.1,4.3,4.8,5.1,5.6,5.9,4.9,5.9,8,9.5,10.2,13.4,14.5,14.3,22.2,24,34.4,27.5,29.5,32.1,33.9,43.7,47.7,55.2,60.8,64.8,66.7,72.1,72.9,72.3,70.2,73.5,80.2,79.8,75.6,77.1,85.9,89.3,93.8,100,125.2,134.1,148.8
"14","7","  Nontaxes \3\","B233RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.7,1,1,1.2,1.3,2,2.8,3.1,3.4,3.9,4.1,4.5,5.3,6.2,7.1,8,8.5,9.3,10,10.6
"15","8","State and local","A101RC",0.9,0.8,0.7,0.7,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1,1,1.1,1.2,1.5,1.7,1.8,2.1,2.2,2.4,2.6,2.9,3.2,3.5,3.7,4.2,4.7,5.1,5.7,6.1,6.8,7.3,8.7,9.7,11.8,14.1,15.7,17.5,22.8,24.7,26.7,29.5,34.1,38.8,44.3,48.4,53.9,60.6,65.9,73.7,84.8,91.3,98.6,108.5,114,128.9,136,145.3,156.4,164.7,174.8,186.5,199.6,216.9,235.5,255.8,277.5,281.2
"16","9","  Income taxes","B245RC",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1,1,1.1,1.3,1.6,1.7,1.8,2.2,2.5,2.8,3.2,3.4,4,4.4,5.4,6.1,7.8,9.8,10.9,12.4,17.2,18.9,20.4,22.5,26.3,30.4,35,38.2,42.6,47.9,51.9,58.3,67.5,72.1,77.4,86,89.8,102.6,107.7,112.6,119.6,126,133.4,142.5,152.9,167.6,182.7,199.7,218.1,218.7
"17","10","  Motor vehicle licenses","S21030",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1,1,1.1,1.1,1.2,1.4,1.4,1.6,1.9,2.1,2.2,2.4,2.6,2.7,2.8,3.1,3.3,3.6,3.7,4,4.2,4.6,4.9,5.3,5.9,6.3,6.8,7.1,7.6,7.9,8.3,8.8,9.3,9.9,10.3,10.5,11,11.4,12,12.4,12.5
"18","11","  Property taxes","S21040",0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,2,2.3,2.5,2.7,3,3.2,3.4,3.7,4,4.2,4.4,4.6,4.8,5,4.9,4.9
"19","12","  Other taxes \4\","S21050",0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.8,0.9,0.9,1.1,1.2,1.3,1.4,1.6,1.6,1.4,1.6,1.8,1.9,1.9,1.9,2.1,2.3,2.5,2.5,2.6,2.7,2.9,3,3.1,3.1
