"","Table 1#15# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 7/31/2003 7:30:47 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      National income","A032RC",86.8,75.6,60.4,43.9,41.4,50.2,57.9,65.8,74,67.4,72.9,81.1,104.3,137.6,171.4,184.3,183.3,182.3,198.6,223.3,216.7,241,278.7,293.3,308.2,308.4,338.5,358.7,375,377.3,411.5,427.5,442.5,477.1,504.4,542.1,589.6,646.7,681.7,743.6,802.7,837.5,903.9,1000.4,1127.4,1211.9,1302.2,1456.4,1635.8,1860.2,2075.6,2243,2497.1,2603,2796.5,3162.3,3380.4,3525.8,3803.4,4151.1,4392.1,4642.1,4756.6,4994.9,5251.9,5556.8,5876.7,6210.4,6618.4,7041.4,7468.7,7984.4,8122
"9","2","Domestic business","A368RC",78.8,67.6,52.9,37.2,34.7,42.5,49.7,56.2,64.4,57.1,62.5,70.5,91.8,119,142.1,147.9,143.5,154.7,174.6,198.1,189.3,211.8,242.1,252.4,266,265,292.1,308.7,321.5,320.1,351.3,362.4,372.8,401.8,423.8,454.8,495.6,541.8,565.4,613.6,659.6,679.2,729.7,809.7,916.3,979.3,1047.4,1175.8,1327.7,1523.6,1699.1,1824.9,2039.3,2105.2,2264.6,2584.7,2769.9,2885.4,3116.4,3404.9,3589.8,3765.8,3829.3,4020.2,4234.7,4509.7,4790.2,5084.3,5458.1,5841.3,6188,6627.3,6688.4
"10","3","  Corporate business","A441RC",45.9,39.4,29.6,19.9,18.7,24.5,28,33.3,38.1,32.6,36.7,42.8,56.9,73.2,88.8,91.6,84.1,86.3,104.7,120.4,115.9,132.4,152.7,158.9,170.5,167.9,190.5,202.4,210.1,204,230.8,239.4,245.6,268.9,286.1,309.7,341.6,377.6,396.2,435,471.7,484,521.3,581,653,700.6,750.2,850.6,971,1116.9,1243.1,1334.1,1494.8,1537.3,1658.4,1876.3,2002.2,2079.3,2264.5,2456.3,2570.2,2687.7,2731.4,2860,3018.6,3234.9,3445.6,3658.2,3952.1,4215.1,4454.3,4778.4,4762.7
"11","4","    Compensation of employees","A442RC",34.2,30.8,25.4,19,18,21,23.1,26.3,30.5,27.3,29.8,32.9,41.6,52.8,64.1,67.1,64.1,69.9,82.1,91.1,88.8,98.7,114.6,123.1,134,132.3,144.7,158.2,166.5,164,180.3,190.7,195.6,211,222.7,239.2,259.8,288.5,308.4,341.3,378.6,400.2,425.2,472.5,533.9,587.4,614.8,695.1,784.6,901.7,1023.1,1122.3,1243.5,1299.4,1373.3,1523,1634.7,1732.7,1858.8,1995.4,2101.4,2217.6,2259.7,2385.5,2500.4,2646,2776.5,2912.2,3098.1,3358,3594.1,3893.9,3945.6
"12","5","      Wage and salary accruals","A443RC",33.8,30.4,25,18.7,17.7,20.7,22.7,25.6,29.3,25.8,28.3,31.2,39.6,50.5,61.3,63.9,60.9,66.5,78,86.9,84.4,93,107.5,115.5,125.8,123.6,134.8,147,154,151.4,165.6,174.5,178.7,191.8,201.9,216.8,235.2,259.2,277.1,305.4,338,356,376.2,414.8,464.6,508.9,528.4,591.2,662.7,756.3,857,938.1,1037.3,1078.7,1139.2,1266.2,1363.8,1444.7,1551.2,1667.1,1756,1847.9,1871.9,1964.8,2048.7,2165.8,2300.1,2442.8,2636.8,2870.3,3082.2,3343.9,3378.6
"13","6","      Supplements to wages and salaries","A444RC",0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.6,1.3,1.4,1.5,1.6,2,2.3,2.8,3.2,3.2,3.4,4.1,4.2,4.4,5.7,7.1,7.6,8.2,8.7,9.9,11.2,12.5,12.6,14.7,16.3,16.9,19.2,20.8,22.4,24.7,29.2,31.3,35.9,40.6,44.2,49,57.8,69.3,78.5,86.4,103.9,121.9,145.4,166.2,184.2,206.3,220.6,234.1,256.8,270.9,288,307.6,328.3,345.4,369.7,387.7,420.7,451.7,480.2,476.4,469.4,461.3,487.6,511.9,549.9,567
"14","7","    Corporate profits with inventory valuation and capital consumption adjustments","A445RC",10.4,7.1,2.8,-0.4,-0.3,2.2,3.6,5.8,6.5,4.3,5.9,9.2,14.6,19.7,24.1,24.2,19.8,16.7,22.5,29.6,27.5,34.1,38.6,36.5,36.9,35.9,46.1,44.5,43.9,39.9,51,49.2,50.1,57.8,63.6,70.4,81.2,87.4,84.8,90.9,87.1,74.5,87.3,100.2,109.1,97,118.4,144,171.8,194.4,187.9,163,189.3,168.5,218.6,272.8,284,261,298.6,348.3,331.4,335.9,356.9,384.4,433.7,496,576.8,653.2,723.1,675.2,685.5,644.8,580.9
"15","8","      Profits before tax","A446RC",10.4,4.2,0.4,-1.4,1.7,3,4.1,6.8,7.2,4.1,7.3,10.2,18,21.7,25.2,24,19.7,24.2,31,34.6,28.5,42,43,38.3,39.9,37.4,47.5,47.6,46,40.4,51,48.4,48.1,53.1,57.9,64.5,75.3,81.9,78.5,86.5,84.5,73.5,84.6,97.8,119.3,129.3,130.2,162.1,189.9,222.1,235.5,215.9,211.2,162.7,195.9,229,216.8,203.7,266.6,325.3,312.5,328.8,341.8,382.9,433.6,496.2,576.4,625.5,681.7,618.8,641.9,639,519.4
"16","9","      Inventory valuation adjustment","B058RC",0.5,3.3,2.4,1,-2.1,-0.6,-0.2,-0.7,0,1,-0.7,-0.2,-2.5,-1.2,-0.8,-0.3,-0.6,-5.3,-5.9,-2.2,1.9,-5,-1.2,1,-1,-0.3,-1.7,-2.7,-1.5,-0.3,-0.3,-0.2,0.3,0,0.1,-0.5,-1.2,-2.1,-1.6,-3.7,-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4,0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4,-12.4,-18.3,3.1,8.4,18.3,-4.2,-15,5
"17","10","      Capital consumption adjustment","A059RC",-0.5,-0.3,0,0,0.1,-0.2,-0.2,-0.3,-0.7,-0.8,-0.7,-0.8,-0.9,-0.8,-0.3,0.4,0.7,-2.3,-2.5,-2.9,-2.9,-2.9,-3.2,-2.8,-2,-1.1,0.3,-0.4,-0.5,-0.3,0.3,1,1.7,4.6,5.6,6.4,7.2,7.6,7.9,8,8.5,7.6,7.3,9,9.4,5.9,-1.2,-4,-2.4,-4,-7.4,-10.8,2.7,13.3,30.2,47.7,67.2,50.3,48.2,45.3,35.3,19.9,10.2,4.3,4.1,12.2,18.6,24.6,32.9,38,47.9,20.8,56.5
"18","11","    Net interest","A453RC",1.3,1.4,1.4,1.3,1,1.3,1.3,1.1,1.1,1.1,1,0.8,0.7,0.7,0.5,0.3,0.2,-0.2,0,-0.3,-0.3,-0.4,-0.5,-0.6,-0.4,-0.2,-0.3,-0.4,-0.4,0.2,-0.5,-0.5,-0.1,0.1,-0.1,0.1,0.6,1.6,3,2.8,6,9.2,8.8,8.2,10,16.2,17,11.5,14.5,20.9,32,48.7,62,69.4,66.4,80.5,83.4,85.6,107,112.5,137.4,134.3,114.8,90.1,84.4,92.9,92.4,92.8,130.8,182,174.7,239.7,236.3
