"","Table 2#6# Personal Income and Its Disposition, Monthly         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135"
"42","23","Less: Personal outlays","A068RC1","312,572.0","316,086.0","319,283.0","318,824.0","322,813.0","324,940.0","324,626.0","327,078.0","331,221.0","329,871.0","330,013.0","330,097.0","330,854.0","332,660.0","337,550.0","343,993.0","337,628.0","337,754.0","339,108.0","339,417.0","341,260.0","343,346.0","343,363.0","339,344.0","340,246.0","341,816.0","345,788.0","345,732.0","347,983.0","348,998.0","348,754.0","350,294.0","352,632.0","354,840.0","358,260.0","360,814.0","361,606.0","362,441.0","365,902.0","367,659.0","370,702.0","369,188.0","370,253.0","371,855.0","377,803.0","375,664.0","380,852.0","382,819.0","383,718.0","382,753.0","384,429.0","385,825.0","386,787.0","391,374.0","394,281.0","396,271.0","395,575.0","396,202.0","399,715.0","405,057.0","407,234.0","410,714.0","412,456.0","413,618.0","419,334.0","422,373.0","426,107.0","429,040.0","428,012.0","431,081.0","427,899.0","432,591.0","435,994.0","443,016.0","445,016.0","449,056.0","449,738.0","447,457.0","453,317.0","456,735.0","464,433.0","470,942.0","471,587.0","474,286.0","477,791.0","482,952.0","487,872.0","489,974.0","486,224.0","488,743.0","493,849.0","496,518.0","502,614.0","501,816.0","503,671.0","505,550.0","508,084.0","506,890.0","509,773.0","515,782.0","516,735.0","521,335.0","520,898.0","524,056.0","529,912.0","526,472.0","531,729.0","539,536.0","545,403.0","548,192.0","559,040.0","558,915.0","564,863.0","571,495.0","578,687.0","582,703.0","584,068.0","587,584.0","592,885.0","592,893.0","600,094.0","605,511.0","605,897.0","611,278.0","617,846.0","618,600.0","620,531.0","627,922.0","631,375.0","636,888.0","638,980.0","641,380.0"
"43","24","  Personal consumption expenditures","DPCERC1","306,702.0","310,162.0","313,302.0","312,775.0","316,698.0","318,753.0","318,342.0","320,714.0","324,779.0","323,347.0","323,417.0","323,433.0","324,170.0","325,909.0","330,729.0","337,071.0","330,639.0","330,704.0","331,983.0","332,240.0","334,034.0","336,046.0","336,024.0","331,972.0","332,851.0","334,400.0","338,355.0","338,335.0","340,572.0","341,570.0","341,277.0","342,790.0","345,093.0","347,222.0","350,610.0","353,141.0","353,933.0","354,736.0","358,145.0","359,793.0","362,761.0","361,167.0","362,134.0","363,659.0","369,536.0","367,335.0","372,459.0","374,366.0","375,112.0","374,075.0","375,669.0","377,012.0","377,871.0","382,351.0","385,079.0","386,961.0","386,166.0","386,698.0","390,128.0","395,399.0","397,545.0","400,951.0","402,609.0","403,630.0","409,244.0","412,174.0","415,737.0","418,570.0","417,456.0","420,448.0","417,204.0","421,842.0","425,266.0","432,216.0","434,114.0","437,881.0","438,450.0","436,071.0","441,865.0","445,211.0","452,850.0","459,330.0","459,914.0","462,545.0","466,043.0","471,119.0","475,947.0","477,880.0","474,044.0","476,491.0","481,548.0","484,151.0","490,172.0","489,305.0","491,085.0","492,899.0","495,287.0","494,049.0","496,899.0","502,412.0","503,337.0","507,905.0","507,798.0","510,914.0","516,722.0","513,316.0","518,506.0","526,233.0","531,985.0","534,662.0","545,383.0","545,089.0","550,896.0","557,392.0","564,319.0","568,194.0","569,411.0","572,867.0","578,006.0","577,847.0","584,873.0","590,118.0","590,333.0","595,335.0","601,742.0","602,344.0","604,185.0","611,435.0","614,751.0","620,050.0","622,019.0","624,310.0"
"44","25","  Personal interest payments \1\","B069RC1","5,078.0","5,132.0","5,192.0","5,253.0","5,323.0","5,399.0","5,490.0","5,571.0","5,650.0","5,732.0","5,804.0","5,872.0","5,927.0","5,992.0","6,057.0","6,134.0","6,194.0","6,248.0","6,293.0","6,337.0","6,378.0","6,423.0","6,451.0","6,470.0","6,471.0","6,478.0","6,481.0","6,471.0","6,475.0","6,482.0","6,485.0","6,504.0","6,531.0","6,590.0","6,616.0","6,633.0","6,600.0","6,628.0","6,676.0","6,766.0","6,839.0","6,917.0","7,011.0","7,089.0","7,161.0","7,223.0","7,290.0","7,356.0","7,407.0","7,483.0","7,569.0","7,672.0","7,774.0","7,880.0","8,010.0","8,114.0","8,209.0","8,303.0","8,377.0","8,436.0","8,441.0","8,502.0","8,579.0","8,684.0","8,784.0","8,891.0","9,033.0","9,133.0","9,219.0","9,276.0","9,344.0","9,407.0","9,429.0","9,511.0","9,617.0","9,801.0","9,911.0","10,003.0","10,066.0","10,128.0","10,177.0","10,192.0","10,235.0","10,282.0","10,328.0","10,389.0","10,460.0","10,573.0","10,639.0","10,691.0","10,695.0","10,742.0","10,798.0","10,890.0","10,947.0","10,994.0","11,032.0","11,060.0","11,077.0","11,064.0","11,078.0","11,099.0","11,126.0","11,158.0","11,196.0","11,226.0","11,286.0","11,362.0","11,454.0","11,562.0","11,685.0","11,849.0","11,985.0","12,116.0","12,229.0","12,365.0","12,508.0","12,664.0","12,821.0","12,983.0","13,160.0","13,326.0","13,491.0","13,664.0","13,818.0","13,963.0","14,090.0","14,223.0","14,352.0","14,493.0","14,606.0","14,705.0"
"45","26","  Personal current transfer payments","W211RC1","792.0","792.0","789.0","796.0","792.0","788.0","794.0","793.0","792.0","792.0","792.0","792.0","757.0","759.0","764.0","788.0","795.0","802.0","832.0","840.0","848.0","877.0","888.0","902.0","924.0","938.0","952.0","926.0","936.0","946.0","992.0","1,000.0","1,008.0","1,028.0","1,034.0","1,040.0","1,073.0","1,077.0","1,081.0","1,100.0","1,102.0","1,104.0","1,108.0","1,107.0","1,106.0","1,106.0","1,103.0","1,097.0","1,199.0","1,195.0","1,191.0","1,141.0","1,142.0","1,143.0","1,192.0","1,196.0","1,200.0","1,201.0","1,210.0","1,222.0","1,248.0","1,261.0","1,268.0","1,304.0","1,306.0","1,308.0","1,337.0","1,337.0","1,337.0","1,357.0","1,351.0","1,342.0","1,299.0","1,289.0","1,285.0","1,374.0","1,377.0","1,383.0","1,386.0","1,396.0","1,406.0","1,420.0","1,438.0","1,459.0","1,420.0","1,444.0","1,465.0","1,521.0","1,541.0","1,561.0","1,606.0","1,625.0","1,644.0","1,621.0","1,639.0","1,657.0","1,765.0","1,781.0","1,797.0","2,306.0","2,320.0","2,331.0","1,974.0","1,984.0","1,994.0","1,930.0","1,937.0","1,941.0","1,964.0","1,968.0","1,972.0","1,977.0","1,982.0","1,987.0","2,139.0","2,144.0","2,149.0","2,053.0","2,058.0","2,063.0","2,061.0","2,067.0","2,073.0","2,279.0","2,286.0","2,293.0","2,256.0","2,264.0","2,272.0","2,345.0","2,355.0","2,365.0"
"46","27","Equals: Personal saving","A071RC1","28,121.0","26,309.0","25,534.0","28,903.0","27,196.0","27,274.0","27,582.0","23,533.0","20,355.0","23,114.0","25,828.0","29,455.0","29,884.0","28,309.0","23,933.0","20,153.0","27,602.0","27,705.0","27,235.0","27,000.0","25,956.0","25,718.0","25,201.0","27,285.0","30,226.0","30,538.0","27,797.0","28,461.0","29,282.0","32,575.0","35,011.0","33,688.0","32,255.0","34,048.0","34,449.0","34,230.0","33,009.0","35,207.0","34,914.0","35,339.0","32,719.0","35,017.0","35,304.0","34,563.0","30,682.0","34,024.0","30,591.0","30,196.0","33,379.0","32,064.0","31,635.0","32,193.0","33,293.0","32,136.0","30,379.0","30,836.0","34,531.0","37,500.0","35,326.0","34,135.0","34,705.0","33,146.0","42,295.0","43,953.0","40,764.0","40,107.0","38,466.0","38,750.0","42,291.0","39,557.0","45,951.0","46,580.0","44,683.0","37,739.0","37,758.0","35,232.0","40,870.0","45,110.0","44,759.0","43,858.0","50,412.0","41,006.0","44,940.0","46,092.0","43,869.0","42,563.0","40,497.0","38,568.0","43,814.0","44,970.0","42,976.0","45,133.0","43,722.0","47,972.0","49,288.0","47,876.0","51,314.0","54,048.0","55,814.0","50,630.0","51,934.0","51,339.0","56,187.0","56,687.0","52,224.0","56,998.0","57,078.0","55,858.0","53,294.0","57,284.0","54,140.0","58,687.0","57,306.0","55,162.0","48,589.0","47,535.0","47,887.0","49,512.0","48,487.0","51,754.0","46,041.0","42,119.0","45,658.0","42,850.0","46,359.0","53,264.0","59,186.0","58,042.0","58,612.0","57,592.0","59,185.0","60,660.0"
"47","28","  Personal saving as a percentage of disposable personal income","A072RC1","8.3","7.7","7.4","8.3","7.8","7.7","7.8","6.7","5.8","6.5","7.3","8.2","8.3","7.8","6.6","5.5","7.6","7.6","7.4","7.4","7.1","7.0","6.8","7.4","8.2","8.2","7.4","7.6","7.8","8.5","9.1","8.8","8.4","8.8","8.8","8.7","8.4","8.9","8.7","8.8","8.1","8.7","8.7","8.5","7.5","8.3","7.4","7.3","8.0","7.7","7.6","7.7","7.9","7.6","7.2","7.2","8.0","8.6","8.1","7.8","7.9","7.5","9.3","9.6","8.9","8.7","8.3","8.3","9.0","8.4","9.7","9.7","9.3","7.8","7.8","7.3","8.3","9.2","9.0","8.8","9.8","8.0","8.7","8.9","8.4","8.1","7.7","7.3","8.3","8.4","8.0","8.3","8.0","8.7","8.9","8.7","9.2","9.6","9.9","8.9","9.1","9.0","9.7","9.8","9.0","9.8","9.7","9.4","8.9","9.5","8.8","9.5","9.2","8.8","7.7","7.5","7.6","7.8","7.6","8.0","7.1","6.5","7.0","6.6","7.0","7.9","8.7","8.5","8.5","8.3","8.5","8.6"
"48",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","29","  Personal income excluding current transfer receipts (millions of chained 2005 dollars) \2\","W875RX1","1,967,578.0","1,976,878.0","1,992,819.0","2,006,893.0","2,021,458.0","2,027,852.0","2,025,325.0","2,013,495.0","2,012,888.0","2,016,982.0","2,030,801.0","2,053,280.0","2,066,253.0","2,067,094.0","2,068,427.0","2,075,574.0","2,080,039.0","2,078,045.0","2,079,982.0","2,076,186.0","2,077,079.0","2,083,864.0","2,070,709.0","2,056,649.0","2,075,904.0","2,075,698.0","2,085,232.0","2,092,849.0","2,104,240.0","2,122,160.0","2,127,608.0","2,136,237.0","2,141,111.0","2,163,766.0","2,184,632.0","2,195,707.0","2,191,594.0","2,203,222.0","2,218,107.0","2,231,788.0","2,234,675.0","2,239,979.0","2,249,821.0","2,251,838.0","2,254,477.0","2,259,868.0","2,272,504.0","2,283,575.0","2,277,812.0","2,283,261.0","2,292,697.0","2,300,643.0","2,309,394.0","2,323,307.0","2,323,990.0","2,333,166.0","2,348,807.0","2,363,019.0","2,367,720.0","2,384,355.0","2,385,640.0","2,406,771.0","2,418,135.0","2,432,900.0","2,448,723.0","2,459,277.0","2,469,068.0","2,488,160.0","2,498,237.0","2,500,741.0","2,516,790.0","2,541,421.0","2,546,245.0","2,559,418.0","2,571,121.0","2,581,993.0","2,597,556.0","2,604,500.0","2,621,819.0","2,635,494.0","2,655,862.0","2,683,939.0","2,703,344.0","2,717,052.0","2,724,618.0","2,736,117.0","2,748,737.0","2,749,718.0","2,759,068.0","2,775,835.0","2,789,509.0","2,796,948.0","2,802,954.0","2,816,419.0","2,826,787.0","2,822,100.0","2,847,660.0","2,845,954.0","2,857,258.0","2,858,529.0","2,863,012.0","2,874,676.0","2,888,857.0","2,900,330.0","2,903,175.0","2,898,419.0","2,916,243.0","2,945,989.0","2,948,062.0","2,972,231.0","2,986,600.0","2,997,316.0","3,014,774.0","3,028,013.0","3,047,059.0","3,056,911.0","3,070,551.0","3,075,428.0","3,088,227.0","3,099,337.0","3,100,814.0","3,112,628.0","3,126,861.0","3,137,936.0","3,149,590.0","3,160,291.0","3,178,278.0","3,198,843.0","3,205,783.0","3,212,639.0","3,213,702.0","3,216,785.0"
"50",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","30","    Total, millions of chained (2005) dollars \2\","A067RX1","1,877,629.0","1,885,386.0","1,897,512.0","1,909,771.0","1,921,356.0","1,928,006.0","1,923,958.0","1,912,485.0","1,912,708.0","1,915,745.0","1,929,988.0","1,947,881.0","1,955,275.0","1,954,601.0","1,956,247.0","1,963,473.0","1,967,213.0","1,967,577.0","1,968,731.0","1,965,759.0","1,968,836.0","1,976,476.0","1,967,110.0","1,956,389.0","1,976,668.0","1,984,785.0","1,992,494.0","1,996,865.0","2,012,143.0","2,034,109.0","2,041,379.0","2,040,798.0","2,043,222.0","2,064,632.0","2,084,712.0","2,096,490.0","2,090,170.0","2,100,551.0","2,114,630.0","2,123,669.0","2,124,630.0","2,127,410.0","2,135,827.0","2,137,387.0","2,137,853.0","2,146,461.0","2,154,056.0","2,163,146.0","2,179,079.0","2,165,089.0","2,173,451.0","2,183,853.0","2,191,191.0","2,204,312.0","2,205,979.0","2,215,705.0","2,231,731.0","2,246,029.0","2,249,771.0","2,267,693.0","2,277,132.0","2,283,630.0","2,338,209.0","2,350,793.0","2,363,495.0","2,372,304.0","2,379,925.0","2,394,441.0","2,403,567.0","2,403,718.0","2,416,749.0","2,440,407.0","2,445,495.0","2,444,882.0","2,451,994.0","2,455,850.0","2,482,338.0","2,485,064.0","2,511,016.0","2,523,116.0","2,593,803.0","2,578,291.0","2,597,020.0","2,606,905.0","2,610,243.0","2,618,626.0","2,626,412.0","2,618,055.0","2,622,131.0","2,633,733.0","2,643,927.0","2,657,505.0","2,671,964.0","2,681,737.0","2,693,103.0","2,689,836.0","2,718,559.0","2,722,910.0","2,743,995.0","2,743,502.0","2,749,172.0","2,759,709.0","2,771,741.0","2,780,608.0","2,778,962.0","2,777,660.0","2,793,946.0","2,820,806.0","2,823,514.0","2,843,972.0","2,870,903.0","2,882,679.0","2,893,269.0","2,904,939.0","2,898,879.0","2,900,684.0","2,898,403.0","2,909,227.0","2,918,784.0","2,927,466.0","2,922,567.0","2,921,830.0","2,925,651.0","2,924,246.0","2,957,272.0","2,976,931.0","2,998,540.0","3,017,607.0","3,022,703.0","3,031,953.0","3,034,913.0","3,037,799.0"
"52",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","31","      Current dollars","A229RC0","1,938","1,945","1,956","1,970","1,981","1,990","1,988","1,976","1,978","1,983","1,996","2,014","2,010","2,009","2,009","2,022","2,025","2,024","2,026","2,023","2,025","2,032","2,026","2,013","2,031","2,039","2,043","2,044","2,058","2,079","2,088","2,086","2,087","2,106","2,124","2,134","2,129","2,143","2,158","2,167","2,167","2,168","2,173","2,174","2,182","2,186","2,192","2,198","2,217","2,203","2,207","2,215","2,224","2,239","2,243","2,252","2,265","2,281","2,285","2,305","2,317","2,324","2,379","2,391","2,402","2,412","2,420","2,433","2,443","2,442","2,456","2,481","2,487","2,485","2,493","2,499","2,529","2,536","2,562","2,572","2,642","2,624","2,645","2,662","2,667","2,684","2,697","2,695","2,700","2,717","2,730","2,751","2,772","2,787","2,800","2,800","2,828","2,834","2,855","2,857","2,866","2,883","2,903","2,918","2,922","2,926","2,950","2,981","2,996","3,028","3,064","3,084","3,104","3,124","3,124","3,136","3,141","3,164","3,182","3,196","3,202","3,207","3,224","3,234","3,281","3,316","3,352","3,379","3,396","3,414","3,429","3,445"
"54","32","      Chained (2005) dollars","A229RX0","10,679","10,710","10,765","10,820","10,872","10,896","10,857","10,776","10,760","10,761","10,826","10,912","10,893","10,877","10,874","10,901","10,909","10,897","10,889","10,855","10,855","10,880","10,813","10,740","10,837","10,868","10,896","10,906","10,975","11,081","11,105","11,085","11,081","11,181","11,275","11,324","11,277","11,321","11,384","11,419","11,410","11,412","11,442","11,435","11,421","11,451","11,477","11,512","11,584","11,498","11,531","11,574","11,599","11,655","11,649","11,684","11,752","11,812","11,818","11,900","11,937","11,959","12,233","12,286","12,338","12,370","12,395","12,455","12,486","12,471","12,526","12,636","12,651","12,637","12,664","12,672","12,796","12,797","12,916","12,963","13,310","13,215","13,299","13,338","13,344","13,377","13,406","13,351","13,359","13,406","13,444","13,499","13,557","13,592","13,637","13,609","13,743","13,755","13,850","13,836","13,853","13,894","13,942","13,972","13,950","13,930","13,999","14,123","14,127","14,221","14,345","14,393","14,434","14,480","14,437","14,431","14,406","14,447","14,482","14,515","14,481","14,468","14,477","14,459","14,610","14,694","14,787","14,866","14,876","14,906","14,907","14,909"
"55","33","  Population (midperiod, thousands) \3\","B230RC0","175,818","176,044","176,274","176,503","176,723","176,954","177,208","177,479","177,755","178,026","178,273","178,504","179,492","179,693","179,898","180,115","180,333","180,558","180,808","181,092","181,383","181,662","181,919","182,165","182,404","182,631","182,867","183,105","183,335","183,572","183,825","184,101","184,384","184,654","184,900","185,129","185,347","185,551","185,762","185,981","186,201","186,426","186,664","186,924","187,191","187,449","187,685","187,905","188,113","188,300","188,484","188,685","188,904","189,130","189,369","189,629","189,895","190,147","190,369","190,570","190,763","190,953","191,146","191,346","191,557","191,778","192,010","192,254","192,504","192,739","192,943","193,131","193,308","193,467","193,625","193,799","193,988","194,195","194,416","194,645","194,879","195,096","195,284","195,456","195,614","195,760","195,915","196,089","196,275","196,466","196,661","196,873","197,096","197,303","197,485","197,654","197,814","197,965","198,122","198,287","198,452","198,627","198,812","199,012","199,212","199,405","199,578","199,733","199,864","199,988","200,132","200,285","200,449","200,621","200,802","200,997","201,193","201,378","201,544","201,691","201,821","201,952","202,092","202,246","202,419","202,592","202,777","202,984","203,196","203,401","203,588","203,762"
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2. The current-dollar measure is deflated by the implicit price deflator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","for personal consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","3. Population is the total population of the United States, including the Armed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Forces overseas and the institutionalized population.  The monthly estimate is",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","the average of the estimates for the first of the month and the first of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","following month; the annual estimate is the average of the monthly estimates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
