"","Table 5#8#5A# Gross Government Fixed Investment by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2010 11:16:22 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"19","1","      Gross government fixed investment \1\","A782RC1","43,268.0","43,577.0","41,759.0","42,641.0","46,846.0","56,257.0","63,101.0","66,395.0","67,503.0","77,067.0","88,475.0","100,253.0","106,885.0","112,314.0","122,851.0","139,352.0","158,802.0","173,226.0","184,280.0","186,149.0","197,669.0","215,749.0","220,300.0","223,105.0","219,430.0","220,916.0","232,598.0","244,226.0","252,363.0"
"20","2","        Federal","A787RC1","14,966.0","14,828.0","11,695.0","12,000.0","13,629.0","16,620.0","19,512.0","22,556.0","24,716.0","27,587.0","31,641.0","36,282.0","41,928.0","47,487.0","56,402.0","64,377.0","74,418.0","80,415.0","85,831.0","79,845.0","82,962.0","88,513.0","88,247.0","88,765.0","83,759.0","77,871.0","78,630.0","80,448.0","73,428.0"
"21","3","          National defense","A788RC1","11,347.0","11,073.0","7,504.0","7,468.0","8,735.0","11,066.0","13,031.0","15,297.0","16,737.0","17,801.0","21,397.0","24,290.0","28,935.0","34,746.0","41,873.0","48,692.0","57,506.0","62,920.0","66,414.0","61,277.0","62,697.0","65,915.0","63,411.0","61,556.0","55,492.0","52,962.0","51,822.0","51,649.0","45,329.0"
"22","4","          Nondefense","A798RC1","3,619.0","3,755.0","4,191.0","4,532.0","4,894.0","5,554.0","6,481.0","7,259.0","7,979.0","9,786.0","10,244.0","11,992.0","12,993.0","12,741.0","14,529.0","15,685.0","16,912.0","17,495.0","19,417.0","18,568.0","20,265.0","22,598.0","24,836.0","27,209.0","28,267.0","24,909.0","26,808.0","28,799.0","28,099.0"
"23","5","        State and local","A799RC1","28,302.0","28,749.0","30,064.0","30,641.0","33,217.0","39,637.0","43,589.0","43,839.0","42,787.0","49,480.0","56,834.0","63,971.0","64,957.0","64,827.0","66,449.0","74,975.0","84,384.0","92,811.0","98,449.0","106,304.0","114,707.0","127,236.0","132,053.0","134,340.0","135,671.0","143,045.0","153,968.0","163,778.0","178,935.0"
"24","6","Structures \2\","A760RC1","28,959.0","29,167.0","31,239.0","31,605.0","34,356.0","40,317.0","44,529.0","44,877.0","44,287.0","51,491.0","57,814.0","65,309.0","66,357.0","64,983.0","65,719.0","72,504.0","81,116.0","88,986.0","95,509.0","98,998.0","101,968.0","112,621.0","116,981.0","119,744.0","121,075.0","124,685.0","134,748.0","144,381.0","155,556.0"
"25","7","  Federal","A801RC1","3,380.0","3,378.0","4,286.0","4,499.0","5,219.0","5,577.0","6,393.0","6,729.0","7,376.0","8,645.0","8,774.0","10,251.0","10,936.0","10,738.0","11,497.0","11,968.0","13,563.0","14,779.0","16,688.0","14,205.0","13,241.0","14,082.0","13,801.0","15,512.0","16,588.0","15,975.0","17,492.0","17,543.0","16,026.0"
"26","8","    National defense","A808RC1","1,491.0","1,321.0","1,827.0","1,789.0","2,112.0","2,177.0","2,320.0","2,145.0","2,378.0","2,509.0","2,521.0","3,177.0","3,210.0","3,954.0","4,763.0","4,934.0","6,219.0","6,774.0","7,657.0","7,357.0","6,358.0","6,090.0","4,633.0","5,220.0","5,347.0","5,763.0","6,696.0","6,287.0","6,117.0"
"27","9","      New","A814RC1","1,585.0","1,311.0","1,593.0","1,466.0","1,780.0","2,000.0","2,606.0","2,419.0","2,404.0","2,516.0","2,523.0","3,212.0","3,212.0","3,955.0","4,765.0","4,937.0","6,223.0","6,778.0","7,661.0","7,365.0","6,377.0","6,102.0","4,639.0","5,225.0","5,351.0","5,767.0","6,700.0","6,291.0","6,121.0"
"28","10","        Buildings","A815RC1","405.0","325.0","446.0","467.0","507.0","646.0","791.0","724.0","678.0","738.0","768.0","1,056.0","1,250.0","1,609.0","1,976.0","1,969.0","2,617.0","2,524.0","2,659.0","2,504.0","2,408.0","2,617.0","2,280.0","2,044.0","1,940.0","2,044.0","2,056.0","1,987.0","1,896.0"
"29","11","          Residential","B816RC1","161.0","110.0","139.0","344.0","368.0","489.0","626.0","567.0","494.0","519.0","463.0","674.0","734.0","944.0","1,194.0","1,158.0","1,512.0","1,557.0","1,852.0","1,731.0","1,691.0","1,803.0","1,190.0","1,110.0","1,224.0","1,426.0","1,485.0","1,373.0","1,439.0"
"30","12","          Industrial","B817RC1","244.0","215.0","307.0","123.0","139.0","157.0","165.0","157.0","184.0","219.0","305.0","382.0","516.0","665.0","782.0","811.0","1,105.0","967.0","807.0","773.0","717.0","814.0","1,090.0","934.0","716.0","618.0","571.0","614.0","457.0"
"31","13","        Military facilities \3\","B818RC1","1,180.0","986.0","1,147.0","999.0","1,273.0","1,354.0","1,815.0","1,695.0","1,726.0","1,778.0","1,755.0","2,156.0","1,962.0","2,346.0","2,789.0","2,968.0","3,606.0","4,254.0","5,002.0","4,861.0","3,969.0","3,485.0","2,359.0","3,181.0","3,411.0","3,723.0","4,644.0","4,304.0","4,225.0"
"32","14","      Net purchases of used structures","B819RC1","-94.0","10.0","234.0","323.0","332.0","177.0","-286.0","-274.0","-26.0","-7.0","-2.0","-35.0","-2.0","-1.0","-2.0","-3.0","-4.0","-4.0","-4.0","-8.0","-19.0","-12.0","-6.0","-5.0","-4.0","-4.0","-4.0","-4.0","-4.0"
"33","15","    Nondefense","A830RC1","1,889.0","2,057.0","2,459.0","2,710.0","3,107.0","3,400.0","4,073.0","4,584.0","4,998.0","6,136.0","6,253.0","7,074.0","7,726.0","6,784.0","6,734.0","7,034.0","7,344.0","8,005.0","9,031.0","6,848.0","6,883.0","7,992.0","9,168.0","10,292.0","11,241.0","10,212.0","10,796.0","11,256.0","9,909.0"
"34","16","      New","A831RC1","1,885.0","2,049.0","2,454.0","2,710.0","3,107.0","3,400.0","4,073.0","4,584.0","5,051.0","6,073.0","6,375.0","7,055.0","7,641.0","6,751.0","6,793.0","6,957.0","7,083.0","6,917.0","8,083.0","7,379.0","7,260.0","8,184.0","9,545.0","10,576.0","10,905.0","10,918.0","11,373.0","11,330.0","10,200.0"
"35","17","        Buildings","A832RC1","424.0","361.0","435.0","511.0","724.0","776.0","1,001.0","1,265.0","1,432.0","1,626.0","1,784.0","2,079.0","2,307.0","1,912.0","2,126.0","2,410.0","2,479.0","2,436.0","3,061.0","2,720.0","2,563.0","3,395.0","4,395.0","4,644.0","4,534.0","3,840.0","4,582.0","4,721.0","4,675.0"
"36","18","          Residential","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"37","19","          Industrial","B834RC1","115.0","100.0","93.0","122.0","181.0","277.0","395.0","458.0","607.0","666.0","764.0","997.0","1,076.0","901.0","955.0","940.0","776.0","550.0","497.0","540.0","488.0","547.0","674.0","881.0","935.0","782.0","852.0","683.0","443.0"
"38","20","          Educational \4\","B835RC1","11.0","14.0","19.0","25.0","58.0","47.0","16.0","6.0","10.0","22.0","40.0","39.0","30.0","22.0","18.0","11.0","10.0","14.0","4.0","4.0","8.0","11.0","20.0","29.0","21.0","21.0","26.0","12.0","18.0"
