"","Table 3#15#5# Government Consumption Expenditures and Gross Inve","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 19, 2009  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2010 12:10:57 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","      Government","A822RC1","109,994.0","111,548.0","119,499.0","130,088.0","136,351.0","143,214.0","151,446.0","171,631.0","192,508.0","209,312.0","221,431.0"
"20","2","General public service","W575RC1","5,099.0","5,569.0","6,006.0","6,447.0","6,870.0","7,442.0","8,359.0","8,817.0","9,445.0","10,726.0","13,171.0"
"21","3","  Executive and legislative","W576RC1","2,408.0","2,658.0","2,727.0","2,992.0","3,140.0","3,262.0","3,676.0","3,708.0","3,506.0","2,461.0","3,143.0"
"22","4","  Tax collection and financial management","W577RC1","1,233.0","1,343.0","1,413.0","1,494.0","1,541.0","1,693.0","1,768.0","1,903.0","2,225.0","3,752.0","4,750.0"
"23","5","  Other","W578RC1","1,457.0","1,568.0","1,866.0","1,962.0","2,189.0","2,487.0","2,915.0","3,207.0","3,714.0","4,513.0","5,278.0"
"24","6","National defense","A824RC1","53,816.0","53,348.0","56,509.0","61,085.0","60,964.0","60,241.0","60,603.0","71,656.0","83,440.0","89,244.0","89,491.0"
"25","7","Public order and safety","W579RC1","4,377.0","4,722.0","5,055.0","5,316.0","5,632.0","6,082.0","6,544.0","7,154.0","7,920.0","9,169.0","10,218.0"
"26","8","  Police","W580RC1","2,017.0","2,186.0","2,320.0","2,492.0","2,648.0","2,843.0","3,077.0","3,392.0","3,781.0","4,548.0","5,031.0"
"27","9","  Fire","W581RC1","1,010.0","1,102.0","1,186.0","1,232.0","1,284.0","1,382.0","1,460.0","1,577.0","1,681.0","1,889.0","2,092.0"
"28","10","  Law courts","W582RC1","623.0","662.0","698.0","726.0","773.0","836.0","908.0","1,005.0","1,129.0","1,285.0","1,455.0"
"29","11","  Prisons","W583RC1","727.0","771.0","851.0","865.0","927.0","1,021.0","1,099.0","1,180.0","1,328.0","1,446.0","1,641.0"
"30","12","Economic affairs","W584RC1","20,519.0","19,491.0","20,555.0","23,318.0","26,221.0","29,058.0","31,440.0","33,233.0","34,959.0","37,610.0","39,498.0"
"31","13","  Transportation","W589RC1","12,151.0","12,195.0","13,081.0","13,925.0","15,210.0","15,699.0","16,771.0","18,547.0","19,753.0","21,407.0","22,499.0"
"32","14","    Highways","W590RC1","10,732.0","10,587.0","11,285.0","12,112.0","13,161.0","13,569.0","14,523.0","15,962.0","16,793.0","18,135.0","18,930.0"
"33","15","    Air","W591RC1","624.0","740.0","892.0","900.0","927.0","1,013.0","1,003.0","1,079.0","1,215.0","1,337.0","1,563.0"
"34","16","    Water","W592RC1","706.0","758.0","815.0","825.0","940.0","923.0","1,010.0","1,134.0","1,233.0","1,304.0","1,307.0"
"35","17","    Transit and railroad","W593RC1","89.0","110.0","89.0","88.0","182.0","194.0","235.0","372.0","512.0","631.0","699.0"
"36","18","  Space","W595RC1","285.0","604.0","940.0","1,884.0","3,527.0","4,866.0","5,929.0","6,414.0","5,458.0","5,254.0","4,651.0"
"37","19","  Other economic affairs","W596RC1","8,083.0","6,693.0","6,534.0","7,509.0","7,483.0","8,493.0","8,740.0","8,272.0","9,749.0","10,949.0","12,348.0"
"38","20","    General economic and labor affairs","W585RC1","889.0","1,129.0","1,166.0","1,302.0","1,462.0","1,638.0","1,769.0","2,068.0","2,567.0","2,855.0","2,955.0"
"39","21","    Agriculture","W586RC1","4,010.0","2,152.0","1,430.0","2,248.0","1,649.0","1,792.0","1,529.0","479.0","921.0","2,415.0","3,356.0"
"40","22","    Energy","W587RC1","1,229.0","1,424.0","1,717.0","1,613.0","1,727.0","2,177.0","2,198.0","2,139.0","2,503.0","2,495.0","2,718.0"
"41","23","    Natural resources","W588RC1","1,744.0","1,729.0","1,967.0","2,094.0","2,311.0","2,413.0","2,760.0","3,114.0","3,353.0","2,839.0","2,949.0"
"42","24","    Postal service","W594RC1","167.0","221.0","236.0","230.0","271.0","377.0","404.0","382.0","320.0","281.0","282.0"
"43","25","    Other","W684RC1","44.0","38.0","19.0","22.0","64.0","96.0","80.0","91.0","85.0","63.0","88.0"
"44","26","Housing and community services","W597RC1","2,709.0","2,778.0","3,078.0","3,528.0","3,321.0","3,839.0","4,022.0","4,198.0","4,496.0","5,208.0","5,104.0"
"45","27","Health","W598RC1","4,328.0","4,597.0","4,972.0","5,174.0","5,601.0","6,049.0","6,361.0","6,996.0","7,730.0","8,706.0","9,770.0"
"46","28","Recreation and culture","W599RC1","832.0","878.0","969.0","1,034.0","1,131.0","1,163.0","1,244.0","1,346.0","1,524.0","1,848.0","2,174.0"
"47","29","Education","W600RC1","17,237.0","19,108.0","20,982.0","22,587.0","24,978.0","27,671.0","30,751.0","35,734.0","40,123.0","43,933.0","48,599.0"
"48","30","  Elementary and secondary","W601RC1","14,155.0","15,735.0","17,196.0","18,288.0","19,903.0","21,993.0","24,157.0","27,571.0","30,511.0","33,455.0","36,899.0"
"49","31","  Higher","W602RC1","2,349.0","2,628.0","2,955.0","3,351.0","3,971.0","4,417.0","5,083.0","6,154.0","7,413.0","8,136.0","9,090.0"
"50","32","  Libraries and other","W682RC1","734.0","746.0","830.0","948.0","1,104.0","1,261.0","1,511.0","2,010.0","2,199.0","2,342.0","2,610.0"
"51","33","    Libraries","W603RC1","269.0","290.0","320.0","347.0","407.0","430.0","468.0","533.0","576.0","612.0","671.0"
"52","34","    Other","W604RC1","464.0","455.0","510.0","601.0","696.0","831.0","1,042.0","1,476.0","1,623.0","1,730.0","1,939.0"
"53","35","Income security","W605RC1","1,078.0","1,056.0","1,373.0","1,599.0","1,634.0","1,670.0","2,123.0","2,495.0","2,870.0","2,868.0","3,407.0"
"54","36","  Disability","W606RC1","93.0","84.0","116.0","124.0","131.0","151.0","168.0","217.0","177.0","185.0","195.0"
"55","37","  Retirement \1\","W607RC1","159.0","184.0","230.0","243.0","270.0","283.0","307.0","289.0","388.0","399.0","440.0"
"56","38","  Welfare and social services","W608RC1","816.0","744.0","924.0","1,152.0","1,188.0","1,195.0","1,610.0","1,954.0","2,264.0","2,212.0","2,662.0"
"57","39","  Unemployment","W609RC1","10.0","44.0","103.0","80.0","45.0","41.0","38.0","36.0","42.0","35.0","36.0"
"58","40","  Other","W610RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....","37.0","74.0"
"59","41","      Federal","A823RC1","65,326.0","64,078.0","67,891.0","75,234.0","76,895.0","78,434.0","80,404.0","92,412.0","104,624.0","111,263.0","113,281.0"
"60","42","General public service","W611RC1","1,842.0","2,043.0","2,096.0","2,343.0","2,497.0","2,618.0","2,961.0","2,862.0","2,620.0","2,684.0","3,384.0"
