"","Table 3#16# Government Current Expenditures by Function         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 19, 2009  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2010 12:12:00 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","      Government \1\","W022RC1","115,942.0","122,970.0","132,198.0","142,912.0","151,182.0","159,312.0","170,554.0","192,816.0","220,010.0","247,028.0","267,009.0"
"20","2","General public service","G160021","13,795.0","17,279.0","17,835.0","18,996.0","20,107.0","21,606.0","23,021.0","25,084.0","26,829.0","30,175.0","33,533.0"
"21","3","  Executive and legislative","G160031","4,285.0","4,463.0","4,882.0","5,002.0","5,172.0","5,390.0","5,608.0","5,807.0","5,776.0","4,700.0","5,349.0"
"22","4","  Tax collection and financial management","G160041","1,155.0","1,277.0","1,346.0","1,422.0","1,425.0","1,523.0","1,609.0","1,777.0","2,022.0","3,464.0","4,361.0"
"23","5","  Interest payments \2\","G160051","7,273.0","10,406.0","10,152.0","11,078.0","11,969.0","12,933.0","13,701.0","15,069.0","16,362.0","18,771.0","20,207.0"
"24","6","  Other \3\","G160061","1,081.0","1,133.0","1,454.0","1,495.0","1,541.0","1,761.0","2,103.0","2,431.0","2,668.0","3,239.0","3,617.0"
"25","7","National defense","G160071","42,083.0","42,684.0","44,110.0","48,099.0","49,877.0","50,106.0","52,186.0","61,780.0","71,968.0","79,634.0","80,750.0"
"26","8","Public order and safety","G160081","4,090.0","4,447.0","4,764.0","5,020.0","5,303.0","5,700.0","6,139.0","6,709.0","7,505.0","8,681.0","9,612.0"
"27","9","  Police","G160091","1,947.0","2,110.0","2,240.0","2,409.0","2,563.0","2,748.0","2,968.0","3,245.0","3,639.0","4,384.0","4,803.0"
"28","10","  Fire","G160101","931.0","1,021.0","1,112.0","1,143.0","1,191.0","1,273.0","1,356.0","1,476.0","1,591.0","1,759.0","1,952.0"
"29","11","  Law courts","G160111","610.0","651.0","684.0","716.0","765.0","830.0","899.0","992.0","1,103.0","1,250.0","1,413.0"
"30","12","  Prisons","G160121","602.0","665.0","727.0","752.0","783.0","850.0","916.0","996.0","1,171.0","1,288.0","1,445.0"
"31","13","Economic affairs","G160131","12,991.0","11,947.0","12,930.0","15,334.0","16,565.0","18,823.0","20,406.0","22,027.0","23,419.0","25,686.0","28,001.0"
"32","14","  Transportation","G160181","5,752.0","6,057.0","6,466.0","6,852.0","7,244.0","7,656.0","8,108.0","8,776.0","9,538.0","10,239.0","11,227.0"
"33","15","    Highways","G160191","4,591.0","4,808.0","5,057.0","5,352.0","5,664.0","5,974.0","6,394.0","6,940.0","7,545.0","8,169.0","9,027.0"
"34","16","    Air","G160201","476.0","518.0","648.0","682.0","708.0","782.0","766.0","844.0","887.0","897.0","1,012.0"
"35","17","    Water","G160211","685.0","731.0","761.0","818.0","860.0","890.0","930.0","968.0","1,080.0","1,126.0","1,130.0"
"36","18","    Transit and railroad","G160221","0.0","0.0","0.0","0.0","12.0","10.0","18.0","24.0","26.0","47.0","58.0"
"37","19","  Space","G160241","196.0","422.0","593.0","1,204.0","2,405.0","3,309.0","4,111.0","4,531.0","3,815.0","3,849.0","3,470.0"
"38","20","  Other economic affairs","W690RC1","7,043.0","5,468.0","5,871.0","7,278.0","6,916.0","7,858.0","8,187.0","8,720.0","10,065.0","11,599.0","13,304.0"
"39","21","    General economic and labor affairs","G160141","1,109.0","1,324.0","1,468.0","1,764.0","1,986.0","2,029.0","2,346.0","2,736.0","3,291.0","3,467.0","3,578.0"
"40","22","    Agriculture","G160151","4,686.0","2,858.0","2,953.0","3,986.0","3,339.0","3,928.0","3,929.0","3,829.0","4,121.0","5,913.0","7,115.0"
"41","23","    Energy","G160161","502.0","586.0","703.0","773.0","775.0","1,001.0","961.0","976.0","1,088.0","985.0","1,055.0"
"42","24","    Natural resources","G160171","746.0","696.0","761.0","771.0","808.0","875.0","937.0","1,164.0","1,553.0","1,237.0","1,548.0"
"43","25","    Postal service","G160231","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"44","26","    Other \4\","G160251","0.0","4.0","-13.0","-16.0","8.0","25.0","14.0","15.0","13.0","-4.0","8.0"
"45","27","Housing and community services","G160261","718.0","763.0","816.0","907.0","969.0","1,029.0","1,038.0","1,161.0","1,335.0","1,404.0","1,537.0"
"46","28","Health","G160271","5,098.0","5,463.0","6,296.0","6,522.0","7,145.0","7,592.0","8,126.0","10,324.0","15,529.0","18,809.0","21,285.0"
"47","29","Recreation and culture","G160281","581.0","642.0","724.0","742.0","790.0","832.0","916.0","998.0","1,110.0","1,379.0","1,598.0"
"48","30","Education","G160291","14,633.0","16,143.0","17,635.0","19,182.0","21,022.0","23,249.0","25,739.0","29,716.0","33,888.0","37,942.0","43,131.0"
"49","31","  Elementary and secondary","G160301","11,701.0","13,065.0","14,435.0","15,657.0","17,078.0","18,849.0","20,679.0","23,389.0","25,902.0","28,663.0","32,414.0"
"50","32","  Higher","G160311","1,716.0","2,021.0","2,182.0","2,454.0","2,745.0","3,068.0","3,479.0","4,135.0","5,270.0","6,048.0","6,886.0"
"51","33","  Libraries and other","W691RC1","1,216.0","1,057.0","1,019.0","1,072.0","1,198.0","1,332.0","1,581.0","2,191.0","2,716.0","3,231.0","3,831.0"
"52","34","    Libraries","G160321","243.0","252.0","278.0","298.0","357.0","372.0","402.0","454.0","469.0","504.0","557.0"
"53","35","    Other","G160331","973.0","805.0","741.0","773.0","841.0","960.0","1,178.0","1,737.0","2,247.0","2,727.0","3,274.0"
"54","36","Income security","G160341","21,953.0","23,603.0","27,088.0","28,109.0","29,405.0","30,375.0","32,984.0","35,019.0","38,427.0","43,319.0","47,560.0"
"55","37","  Disability","G160351","4,390.0","4,722.0","5,310.0","5,522.0","5,986.0","6,239.0","6,754.0","6,921.0","7,529.0","8,133.0","8,974.0"
"56","38","  Retirement \5\","G160361","10,559.0","11,641.0","12,866.0","14,520.0","15,307.0","16,073.0","17,929.0","19,487.0","20,900.0","24,301.0","25,975.0"
"57","39","  Welfare and social services","G160371","4,179.0","4,140.0","4,461.0","4,800.0","5,004.0","5,232.0","5,871.0","6,586.0","7,635.0","8,499.0","10,048.0"
"58","40","  Unemployment","G160381","2,752.0","3,030.0","4,367.0","3,154.0","2,994.0","2,721.0","2,328.0","1,909.0","2,233.0","2,190.0","2,299.0"
"59","41","  Other","G160391","74.0","70.0","85.0","113.0","114.0","110.0","102.0","116.0","131.0","196.0","265.0"
"60","42","      Federal","W013RC1","83,703.0","86,813.0","92,931.0","101,192.0","106,501.0","110,888.0","117,718.0","135,720.0","156,216.0","173,709.0","184,099.0"
"61","43","General public service","G160411","9,994.0","12,125.0","12,048.0","12,952.0","13,759.0","14,665.0","15,360.0","16,556.0","17,451.0","19,364.0","21,150.0"
