"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Millions of chained (2005) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 22, 2010 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2010 11:09:19 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","Gross domestic product","A191RX1","4,261,800.0","4,269,940.0","4,413,263.0","4,647,730.0","4,917,010.0","4,889,916.0","4,879,519.0","5,141,295.0","5,377,652.0","5,677,624.0","5,855,049.0","5,838,979.0","5,987,189.0","5,870,945.0","6,136,170.0","6,577,116.0","6,849,265.0","7,086,509.0","7,313,277.0","7,613,888.0","7,885,927.0","8,033,908.0","8,015,143.0","8,287,072.0","8,523,449.0","8,870,673.0","9,093,723.0","9,433,894.0","9,854,333.0","10,283,516.0","10,779,849.0","11,225,977.0","11,347,156.0","11,552,973.0","11,840,700.0","12,263,814.0","12,638,375.0","12,976,249.0","13,228,853.0","13,228,848.0","12,880,611.0"
"20","2","Less: Exports of goods and services","A020RX1","158,439.0","175,471.0","178,449.0","191,842.0","228,006.0","246,026.0","244,469.0","255,144.0","261,284.0","288,833.0","317,463.0","351,657.0","355,979.0","328,777.0","320,299.0","346,438.0","356,959.0","384,357.0","425,700.0","493,883.0","550,645.0","600,181.0","640,027.0","683,980.0","706,389.0","767,987.0","845,737.0","915,967.0","1,025,126.0","1,048,517.0","1,094,277.0","1,188,310.0","1,121,643.0","1,099,176.0","1,116,790.0","1,222,814.0","1,305,057.0","1,422,020.0","1,554,404.0","1,647,699.0","1,490,742.0"
"21","3","Plus: Imports of goods and services","A021RX1","226,889.0","236,567.0","249,193.0","277,236.0","290,101.0","283,528.0","252,017.0","301,295.0","334,232.0","363,191.0","369,222.0","344,705.0","353,762.0","349,315.0","393,385.0","489,144.0","520,887.0","565,399.0","598,855.0","622,388.0","649,797.0","673,049.0","672,049.0","719,168.0","781,355.0","874,566.0","944,539.0","1,026,688.0","1,164,967.0","1,301,126.0","1,450,891.0","1,639,889.0","1,593,762.0","1,647,993.0","1,720,728.0","1,910,804.0","2,027,790.0","2,151,204.0","2,209,290.0","2,151,749.0","1,853,766.0"
"22","4","Equals: Gross domestic purchases","A712RX1","4,358,639.0","4,351,976.0","4,506,864.0","4,755,765.0","4,991,186.0","4,926,208.0","4,872,035.0","5,189,162.0","5,464,380.0","5,763,201.0","5,903,284.0","5,789,622.0","5,944,665.0","5,865,360.0","6,208,271.0","6,745,366.0","7,045,325.0","7,303,310.0","7,518,431.0","7,758,750.0","7,990,934.0","8,104,610.0","8,034,575.0","8,309,624.0","8,592,907.0","8,976,049.0","9,189,037.0","9,542,040.0","9,992,756.0","10,539,933.0","11,141,135.0","11,681,390.0","11,825,692.0","12,107,655.0","12,449,186.0","12,952,496.0","13,361,108.0","13,705,691.0","13,883,891.0","13,729,406.0","13,233,574.0"
"23","5","Plus: Exports of goods and services, command basis \1\","C020RX1","230,118.0","251,106.0","251,850.0","271,305.0","344,887.0","415,806.0","416,540.0","424,661.0","423,958.0","464,285.0","525,449.0","580,016.0","577,387.0","506,995.0","479,081.0","505,187.0","490,666.0","508,887.0","560,296.0","660,949.0","721,801.0","761,127.0","796,330.0","827,589.0","836,859.0","901,298.0","994,048.0","1,043,490.0","1,130,863.0","1,122,686.0","1,146,307.0","1,235,816.0","1,140,360.0","1,097,144.0","1,112,812.0","1,224,297.0","1,305,057.0","1,422,934.0","1,561,332.0","1,678,629.0","1,439,920.0"
"24","6","Less: Imports of goods and services, command basis \1\","C021RX1","223,778.0","234,501.0","249,367.0","284,220.0","330,007.0","418,481.0","368,561.0","429,293.0","485,401.0","527,305.0","576,925.0","606,988.0","601,081.0","542,765.0","568,413.0","676,832.0","677,834.0","719,435.0","783,558.0","824,904.0","847,887.0","868,109.0","832,316.0","870,381.0","919,051.0","1,017,261.0","1,105,089.0","1,159,303.0","1,250,956.0","1,313,156.0","1,449,974.0","1,667,697.0","1,552,007.0","1,564,402.0","1,651,686.0","1,866,092.0","2,027,790.0","2,167,096.0","2,232,177.0","2,325,594.0","1,792,426.0"
"25","7","Equals: Command-basis gross domestic product \1,2\","C191RX1","4,363,000.0","4,366,722.0","4,507,254.0","4,740,679.0","5,003,972.0","4,922,856.0","4,918,060.0","5,182,300.0","5,401,304.0","5,698,529.0","5,850,275.0","5,759,723.0","5,914,814.0","5,823,919.0","6,113,461.0","6,567,522.0","6,851,750.0","7,085,349.0","7,295,294.0","7,594,604.0","7,864,642.0","7,996,297.0","7,998,342.0","8,266,398.0","8,510,918.0","8,860,636.0","9,078,339.0","9,426,836.0","9,872,755.0","10,349,856.0","10,837,802.0","11,249,341.0","11,413,511.0","11,640,931.0","11,910,421.0","12,310,927.0","12,638,375.0","12,960,838.0","13,212,489.0","13,085,018.0","12,880,713.0"
