"","Table 5#5#5# Private Fixed Investment in Equipment and Software ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","      Private fixed investment in equipment and software","A327RC1","67,963.0","69,846.0","72,747.0","83,199.0","100,021.0","110,109.0","114,314.0","128,568.0","156,538.0","189,713.0","219,364.0","229,598.0","256,312.0","252,591.0","267,074.0","316,951.0","336,724.0","348,806.0","355,719.0","387,055.0","420,178.0","425,531.0","420,317.0","445,475.0","495,486.0","550,869.0","609,090.0","657,113.0","724,611.0","792,698.0","878,261.0","958,334.0","906,091.0","850,917.0","862,331.0","925,541.0","1,005,355.0","1,081,975.0","1,122,802.0","1,092,696.0","921,745.0"
"20","2","Nonresidential equipment and software","B010RC1","66,953.0","68,725.0","71,469.0","81,663.0","98,282.0","108,228.0","112,395.0","126,446.0","154,141.0","186,979.0","216,197.0","226,222.0","252,697.0","248,902.0","262,854.0","312,236.0","331,668.0","343,307.0","349,914.0","380,994.0","414,029.0","419,523.0","414,569.0","439,554.0","489,415.0","544,642.0","602,763.0","650,783.0","718,342.0","786,007.0","870,958.0","950,543.0","898,107.0","842,683.0","853,812.0","916,383.0","995,571.0","1,071,659.0","1,112,569.0","1,082,887.0","912,796.0"
"21","3","  Information processing equipment and software","A679RC1","14,611.0","16,637.0","17,335.0","19,452.0","23,080.0","26,981.0","28,536.0","32,716.0","39,166.0","48,687.0","58,485.0","68,770.0","81,464.0","88,259.0","100,068.0","121,541.0","130,349.0","136,761.0","141,189.0","154,934.0","172,587.0","177,198.0","182,924.0","199,923.0","217,603.0","235,222.0","263,002.0","290,142.0","330,278.0","366,099.0","417,090.0","478,249.0","452,520.0","419,779.0","430,905.0","455,310.0","475,269.0","505,236.0","536,602.0","549,947.0","530,665.0"
"22","4","    Computers, software, and communication","W175RC1","9,897.0","11,554.0","11,825.0","12,865.0","14,863.0","16,762.0","17,651.0","20,225.0","24,883.0","30,732.0","38,590.0","46,589.0","56,164.0","61,768.0","69,783.0","85,992.0","94,490.0","98,084.0","104,006.0","115,873.0","128,601.0","131,494.0","135,084.0","148,076.0","160,901.0","177,448.0","204,200.0","229,020.0","268,859.0","300,936.0","353,302.0","410,956.0","383,248.0","346,503.0","350,283.0","369,304.0","380,074.0","405,880.0","431,448.0","439,392.0","421,794.0"
"23","5","      Computers and peripheral equipment","B935RC1","2,440.0","2,722.0","2,774.0","3,472.0","3,539.0","3,868.0","3,586.0","4,403.0","5,666.0","7,563.0","10,163.0","12,522.0","17,128.0","18,871.0","23,891.0","31,609.0","33,734.0","33,410.0","35,762.0","37,956.0","43,093.0","38,643.0","37,704.0","44,014.0","47,935.0","52,385.0","66,110.0","72,793.0","81,375.0","87,887.0","97,231.0","103,178.0","87,556.0","79,725.0","77,643.0","80,212.0","78,889.0","84,890.0","87,032.0","88,638.0","80,013.0"
"24","6","      Software \1\","B985RC1","1,790.0","2,321.0","2,410.0","2,778.0","3,220.0","3,912.0","4,780.0","5,204.0","5,476.0","6,345.0","8,135.0","9,836.0","11,845.0","14,040.0","16,384.0","20,362.0","23,762.0","25,614.0","28,995.0","34,178.0","41,869.0","47,632.0","53,720.0","57,855.0","64,274.0","68,262.0","74,635.0","85,474.0","107,483.0","125,993.0","157,332.0","184,455.0","186,590.0","183,043.0","191,272.0","205,681.0","218,004.0","229,785.0","245,006.0","259,745.0","260,214.0"
"25","7","      Communication equipment \2\","C275RC1","5,667.0","6,511.0","6,641.0","6,615.0","8,104.0","8,982.0","9,285.0","10,618.0","13,741.0","16,824.0","20,292.0","24,231.0","27,191.0","28,857.0","29,508.0","34,021.0","36,994.0","39,060.0","39,249.0","43,739.0","43,639.0","45,219.0","43,660.0","46,207.0","48,692.0","56,801.0","63,455.0","70,753.0","80,001.0","87,056.0","98,739.0","123,323.0","109,102.0","83,735.0","81,368.0","83,411.0","83,181.0","91,205.0","99,410.0","91,009.0","81,567.0"
"26","8","    Medical equipment and instruments","W176RC1","1,061.0","1,243.0","1,486.0","1,640.0","1,967.0","2,401.0","2,807.0","3,314.0","3,640.0","4,419.0","4,797.0","5,197.0","6,319.0","8,256.0","9,126.0","10,100.0","10,414.0","11,115.0","12,400.0","13,525.0","14,484.0","16,410.0","17,809.0","19,890.0","22,063.0","21,368.0","21,779.0","23,769.0","26,440.0","30,301.0","32,223.0","35,211.0","38,464.0","43,785.0","47,611.0","51,066.0","58,613.0","60,662.0","67,930.0","73,375.0","73,143.0"
"27","9","    Nonmedical instruments","W177RC1","798.0","892.0","875.0","1,130.0","1,282.0","1,722.0","1,799.0","2,065.0","3,492.0","4,070.0","4,413.0","4,925.0","5,601.0","6,126.0","6,319.0","7,776.0","8,308.0","8,645.0","8,853.0","9,208.0","11,732.0","12,916.0","13,395.0","14,254.0","14,521.0","15,426.0","17,042.0","17,909.0","16,582.0","17,021.0","17,114.0","18,387.0","19,288.0","19,747.0","19,683.0","21,762.0","23,555.0","25,677.0","26,619.0","27,067.0","26,383.0"
"28","10","    Photocopy and related equipment","C285RC1","1,460.0","1,708.0","2,018.0","2,478.0","3,033.0","3,506.0","3,976.0","4,408.0","4,323.0","5,232.0","5,500.0","6,358.0","7,245.0","7,370.0","7,272.0","9,083.0","8,791.0","9,254.0","9,659.0","10,717.0","11,672.0","11,421.0","12,000.0","12,571.0","14,488.0","15,297.0","14,187.0","13,587.0","12,634.0","12,701.0","10,729.0","9,838.0","6,738.0","4,576.0","5,196.0","4,787.0","4,456.0","4,061.0","6,156.0","5,709.0","5,273.0"
"29","11","    Office and accounting equipment","B936RC1","1,395.0","1,240.0","1,131.0","1,339.0","1,935.0","2,590.0","2,303.0","2,704.0","2,828.0","4,234.0","5,185.0","5,701.0","6,135.0","4,739.0","7,568.0","8,590.0","8,346.0","9,663.0","6,271.0","5,611.0","6,098.0","4,957.0","4,636.0","5,132.0","5,630.0","5,683.0","5,794.0","5,857.0","5,763.0","5,140.0","3,722.0","3,857.0","4,782.0","5,168.0","8,132.0","8,391.0","8,571.0","8,956.0","4,449.0","4,404.0","4,072.0"
"30","12","  Industrial equipment","A680RC1","19,051.0","20,282.0","19,459.0","21,409.0","26,023.0","30,659.0","31,329.0","34,120.0","39,443.0","47,731.0","56,162.0","60,743.0","65,485.0","62,669.0","58,879.0","68,140.0","72,469.0","75,415.0","76,712.0","84,182.0","93,325.0","92,142.0","89,313.0","92,961.0","102,233.0","113,620.0","128,961.0","136,521.0","140,418.0","147,355.0","149,126.0","162,910.0","151,879.0","141,734.0","142,560.0","142,030.0","159,643.0","178,421.0","193,019.0","193,678.0","150,352.0"
"31","13","    Fabricated metal products","C263RC1","2,118.0","2,577.0","2,768.0","2,966.0","3,678.0","4,470.0","5,328.0","6,097.0","6,226.0","7,057.0","8,777.0","9,181.0","9,883.0","9,548.0","9,145.0","8,684.0","8,626.0","7,975.0","7,132.0","7,958.0","8,961.0","9,172.0","9,373.0","9,599.0","9,349.0","10,037.0","10,838.0","12,135.0","10,548.0","10,900.0","11,493.0","11,946.0","11,880.0","10,672.0","11,474.0","12,018.0","13,547.0","16,078.0","18,427.0","20,472.0","19,376.0"
"32","14","    Engines and turbines","A668RC1","1,104.0","1,265.0","1,453.0","1,685.0","1,691.0","1,816.0","1,743.0","1,770.0","1,737.0","1,849.0","1,877.0","1,930.0","2,335.0","1,973.0","1,769.0","1,935.0","2,182.0","1,868.0","2,509.0","2,719.0","3,261.0","3,115.0","3,829.0","3,663.0","3,518.0","3,886.0","3,291.0","3,979.0","3,744.0","4,427.0","5,481.0","7,101.0","10,797.0","11,578.0","10,052.0","4,746.0","5,476.0","6,874.0","10,282.0","11,499.0","9,252.0"
"33","15","    Metalworking machinery","C271RC1","3,970.0","3,980.0","3,144.0","3,717.0","4,919.0","6,068.0","6,059.0","6,440.0","7,250.0","9,348.0","11,572.0","13,269.0","14,104.0","12,166.0","9,324.0","11,310.0","12,456.0","13,103.0","12,468.0","13,878.0","16,693.0","15,959.0","15,677.0","16,865.0","18,676.0","22,260.0","26,386.0","27,463.0","29,725.0","30,003.0","29,133.0","29,892.0","25,435.0","22,973.0","22,802.0","23,370.0","26,328.0","27,877.0","28,877.0","29,864.0","19,171.0"
"34","16","    Special industry machinery, n.e.c.","C272RC1","3,745.0","3,921.0","3,791.0","4,216.0","4,840.0","5,356.0","5,162.0","5,524.0","6,130.0","8,246.0","9,365.0","10,483.0","11,336.0","11,881.0","12,378.0","14,405.0","15,789.0","17,118.0","18,731.0","20,863.0","23,677.0","22,550.0","21,278.0","21,799.0","24,316.0","26,375.0","31,158.0","32,787.0","32,807.0","34,211.0","34,828.0","39,611.0","35,240.0","30,733.0","29,560.0","29,343.0","31,777.0","35,320.0","38,013.0","35,385.0","26,756.0"
"35","17","    General industrial, including materials handling, equipment","C273RC1","5,028.0","5,257.0","5,200.0","5,488.0","6,855.0","8,281.0","8,451.0","9,369.0","11,988.0","14,756.0","17,188.0","17,970.0","18,968.0","18,079.0","16,812.0","20,311.0","21,868.0","24,178.0","23,590.0","26,013.0","27,015.0","27,381.0","25,817.0","27,380.0","32,166.0","35,352.0","39,874.0","41,970.0","44,303.0","47,614.0","46,291.0","49,384.0","45,553.0","45,501.0","49,012.0","51,731.0","60,165.0","66,323.0","68,402.0","66,960.0","51,734.0"
"36","18","    Electrical transmission, distribution, and industrial apparatus","C276RC1","3,086.0","3,282.0","3,103.0","3,337.0","4,040.0","4,668.0","4,586.0","4,920.0","6,112.0","6,475.0","7,383.0","7,910.0","8,859.0","9,022.0","9,451.0","11,495.0","11,548.0","11,173.0","12,282.0","12,751.0","13,718.0","13,965.0","13,339.0","13,655.0","14,208.0","15,710.0","17,414.0","18,187.0","19,291.0","20,200.0","21,900.0","24,976.0","22,974.0","20,277.0","19,660.0","20,822.0","22,350.0","25,949.0","29,018.0","29,498.0","24,063.0"
"37","19","  Transportation equipment","A681RC1","18,890.0","16,242.0","18,412.0","21,849.0","26,560.0","26,279.0","25,168.0","29,989.0","39,277.0","47,322.0","53,639.0","48,385.0","50,556.0","46,821.0","53,511.0","64,407.0","68,954.0","70,469.0","68,065.0","72,861.0","67,918.0","69,960.0","71,531.0","74,715.0","89,425.0","107,732.0","116,077.0","123,151.0","135,531.0","147,146.0","174,359.0","170,786.0","154,216.0","141,568.0","132,894.0","161,118.0","181,715.0","198,210.0","190,169.0","147,184.0","76,355.0"
"38","20","    Trucks, buses, and truck trailers","C279RC1","7,158.0","6,208.0","7,248.0","9,434.0","11,214.0","11,612.0","9,188.0","12,128.0","16,209.0","19,932.0","21,826.0","17,097.0","18,134.0","17,777.0","20,831.0","28,184.0","32,004.0","28,412.0","28,763.0","29,124.0","28,518.0","23,723.0","22,025.0","26,262.0","37,179.0","51,030.0","58,624.0","64,622.0","73,191.0","79,766.0","90,227.0","82,769.0","66,073.0","62,058.0","64,962.0","86,419.0","102,986.0","114,129.0","97,194.0","64,043.0","23,558.0"
"39","21","      Light trucks (including utility vehicles) \3\","W178RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","10,691.0","11,979.0","10,755.0","9,713.0","9,870.0","10,168.0","15,242.0","25,901.0","29,654.0","38,981.0","49,354.0","49,675.0","55,941.0","53,055.0","44,988.0","40,685.0","43,967.0","57,017.0","66,525.0","73,304.0","66,580.0","40,336.0","7,310.0"
"40","22","      Other trucks, buses, and truck trailers \3\","W179RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","18,072.0","17,145.0","17,762.0","14,009.0","12,154.0","16,094.0","21,937.0","25,130.0","28,969.0","25,641.0","23,837.0","30,091.0","34,287.0","29,714.0","21,085.0","21,373.0","20,995.0","29,402.0","36,461.0","40,825.0","30,613.0","23,707.0","16,248.0"
"41","23","    Autos \3\","C280RC1","6,330.0","5,261.0","7,404.0","7,862.0","8,855.0","8,292.0","8,607.0","10,870.0","14,249.0","16,619.0","15,870.0","14,258.0","16,711.0","16,594.0","21,943.0","25,606.0","26,451.0","29,832.0","26,397.0","29,487.0","26,132.0","29,138.0","31,299.0","30,545.0","33,265.0","41,108.0","37,101.0","37,946.0","38,296.0","36,808.0","42,836.0","43,832.0","42,829.0","43,655.0","39,145.0","41,265.0","45,029.0","49,650.0","49,110.0","36,744.0","19,124.0"
"42","24","    Aircraft","C281RC1","2,753.0","2,421.0","1,326.0","1,914.0","2,990.0","2,443.0","2,303.0","2,354.0","3,416.0","4,300.0","7,003.0","8,014.0","7,731.0","7,130.0","7,308.0","6,674.0","7,217.0","9,000.0","9,719.0","10,449.0","8,475.0","12,116.0","13,417.0","13,721.0","13,386.0","9,114.0","13,274.0","12,914.0","15,511.0","20,989.0","30,813.0","33,515.0","36,608.0","27,240.0","20,295.0","23,724.0","21,967.0","21,475.0","28,879.0","28,915.0","23,823.0"
"43","25","    Ships and boats","C282RC1","856.0","889.0","861.0","1,102.0","1,683.0","1,567.0","2,273.0","2,271.0","2,501.0","2,586.0","3,215.0","3,460.0","4,451.0","3,129.0","1,934.0","1,711.0","1,294.0","1,476.0","1,825.0","1,602.0","1,485.0","1,554.0","1,598.0","1,177.0","2,158.0","1,840.0","1,797.0","2,312.0","2,715.0","2,891.0","2,975.0","3,499.0","3,233.0","3,827.0","4,241.0","4,850.0","4,771.0","4,340.0","5,626.0","7,046.0","4,498.0"
"44","26","    Railroad equipment","C283RC1","1,793.0","1,463.0","1,573.0","1,537.0","1,818.0","2,365.0","2,797.0","2,366.0","2,902.0","3,885.0","5,725.0","5,556.0","3,529.0","2,191.0","1,495.0","2,232.0","1,988.0","1,749.0","1,361.0","2,199.0","3,308.0","3,429.0","3,192.0","3,010.0","3,437.0","4,640.0","5,281.0","5,357.0","5,818.0","6,692.0","7,508.0","7,171.0","5,473.0","4,788.0","4,251.0","4,860.0","6,962.0","8,616.0","9,360.0","10,436.0","5,352.0"
"45","27","  Other equipment","A682RC1","14,931.0","16,184.0","16,706.0","19,397.0","23,691.0","26,516.0","28,643.0","31,281.0","37,784.0","45,592.0","52,074.0","52,224.0","59,326.0","53,209.0","52,034.0","60,046.0","61,696.0","62,488.0","66,450.0","71,991.0","83,014.0","83,071.0","72,926.0","73,961.0","84,145.0","92,348.0","99,858.0","105,814.0","116,890.0","129,456.0","133,740.0","142,121.0","142,057.0","142,408.0","150,520.0","163,575.0","184,174.0","196,795.0","201,283.0","201,762.0","159,763.0"
"46","28","    Furniture and fixtures","A667RC1","2,700.0","2,730.0","2,640.0","3,392.0","3,864.0","3,948.0","3,685.0","4,200.0","5,596.0","6,852.0","7,987.0","9,017.0","9,963.0","11,043.0","12,162.0","14,491.0","15,668.0","16,692.0","18,387.0","18,751.0","21,627.0","21,002.0","18,866.0","20,902.0","21,384.0","22,557.0","24,455.0","25,545.0","29,785.0","33,600.0","36,526.0","39,496.0","37,389.0","36,032.0","36,761.0","38,852.0","42,779.0","44,307.0","42,776.0","42,422.0","32,961.0"
"47","29","    Agricultural machinery","C268RC1","3,432.0","4,010.0","3,918.0","4,797.0","6,391.0","6,807.0","8,546.0","8,834.0","9,464.0","10,734.0","12,749.0","11,600.0","12,611.0","9,513.0","8,456.0","9,121.0","7,302.0","6,814.0","7,179.0","9,762.0","11,985.0","13,597.0","11,430.0","10,202.0","11,864.0","13,428.0","13,946.0","14,088.0","16,245.0","17,002.0","12,625.0","13,991.0","14,983.0","17,353.0","18,992.0","21,479.0","23,506.0","22,421.0","23,114.0","27,420.0","24,498.0"
"48","30","    Construction machinery","C269RC1","2,863.0","2,880.0","3,003.0","3,749.0","4,629.0","5,512.0","5,478.0","5,632.0","8,083.0","10,641.0","10,831.0","9,343.0","9,667.0","6,467.0","7,261.0","9,961.0","10,892.0","10,803.0","10,445.0","10,565.0","13,571.0","14,055.0","9,414.0","9,416.0","12,215.0","13,985.0","15,835.0","18,062.0","19,529.0","22,330.0","22,992.0","23,502.0","20,963.0","19,554.0","20,842.0","24,690.0","32,076.0","37,599.0","36,924.0","32,703.0","18,896.0"
"49","31","    Mining and oilfield machinery","C270RC1","668.0","932.0","1,084.0","904.0","1,140.0","1,700.0","2,656.0","3,001.0","3,558.0","3,648.0","3,884.0","4,498.0","7,640.0","5,552.0","3,200.0","2,815.0","2,466.0","1,317.0","1,231.0","1,532.0","1,853.0","1,753.0","1,448.0","1,297.0","2,505.0","2,472.0","2,535.0","2,696.0","3,587.0","3,625.0","5,329.0","5,336.0","6,239.0","4,107.0","5,048.0","6,034.0","8,722.0","13,696.0","18,949.0","20,350.0","16,193.0"
"50","32","    Service industry machinery","C570RC1","2,576.0","2,665.0","2,814.0","2,874.0","3,139.0","3,252.0","3,116.0","3,656.0","4,193.0","5,045.0","5,921.0","6,457.0","6,970.0","7,345.0","7,646.0","9,128.0","9,937.0","10,188.0","11,210.0","11,734.0","12,855.0","11,695.0","11,238.0","11,060.0","11,894.0","13,149.0","14,170.0","14,820.0","14,781.0","16,775.0","18,313.0","19,046.0","19,899.0","19,480.0","19,522.0","20,274.0","21,884.0","22,195.0","22,068.0","22,527.0","18,930.0"
"51","33","    Electrical equipment, n.e.c.","A670RC1","443.0","508.0","525.0","624.0","759.0","838.0","853.0","1,044.0","1,070.0","1,635.0","2,063.0","2,466.0","2,807.0","2,360.0","2,467.0","2,757.0","2,944.0","3,111.0","3,246.0","3,604.0","3,604.0","3,298.0","2,766.0","2,857.0","2,853.0","3,026.0","3,321.0","3,222.0","3,631.0","4,297.0","4,123.0","4,318.0","4,662.0","4,977.0","5,300.0","6,472.0","6,319.0","6,382.0","5,472.0","5,612.0","4,462.0"
"52","34","    Other","C286RC1","2,249.0","2,459.0","2,722.0","3,057.0","3,769.0","4,459.0","4,309.0","4,914.0","5,820.0","7,037.0","8,639.0","8,843.0","9,668.0","10,929.0","10,842.0","11,773.0","12,487.0","13,563.0","14,752.0","16,043.0","17,519.0","17,671.0","17,764.0","18,227.0","21,430.0","23,731.0","25,596.0","27,381.0","29,332.0","31,827.0","33,832.0","36,432.0","37,922.0","40,905.0","44,055.0","45,774.0","48,888.0","50,195.0","51,980.0","50,728.0","43,823.0"
"53","35","  Less: Sale of equipment scrap, excluding autos","C287RC1","530.0","619.0","444.0","445.0","1,072.0","2,208.0","1,279.0","1,662.0","1,527.0","2,351.0","4,161.0","3,900.0","4,134.0","2,056.0","1,639.0","1,896.0","1,799.0","1,826.0","2,499.0","2,973.0","2,815.0","2,847.0","2,124.0","2,006.0","3,991.0","4,281.0","5,136.0","4,844.0","4,774.0","4,049.0","3,358.0","3,524.0","2,564.0","2,802.0","3,066.0","5,650.0","5,231.0","7,002.0","8,504.0","9,682.0","4,339.0"
"54","36","Residential equipment","B013RC1","1,010.0","1,121.0","1,278.0","1,536.0","1,739.0","1,881.0","1,919.0","2,122.0","2,397.0","2,734.0","3,167.0","3,376.0","3,615.0","3,689.0","4,220.0","4,715.0","5,056.0","5,499.0","5,805.0","6,061.0","6,149.0","6,008.0","5,748.0","5,921.0","6,071.0","6,227.0","6,327.0","6,330.0","6,269.0","6,691.0","7,303.0","7,791.0","7,984.0","8,234.0","8,519.0","9,158.0","9,784.0","10,316.0","10,233.0","9,809.0","8,949.0"
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","37","  Private fixed investment in equipment and software","A327RC1","67,963.0","69,846.0","72,747.0","83,199.0","100,021.0","110,109.0","114,314.0","128,568.0","156,538.0","189,713.0","219,364.0","229,598.0","256,312.0","252,591.0","267,074.0","316,951.0","336,724.0","348,806.0","355,719.0","387,055.0","420,178.0","425,531.0","420,317.0","445,475.0","495,486.0","550,869.0","609,090.0","657,113.0","724,611.0","792,698.0","878,261.0","958,334.0","906,091.0","850,917.0","862,331.0","925,541.0","1,005,355.0","1,081,975.0","1,122,802.0","1,092,696.0","921,745.0"
"57","38","  Less: Dealers' margin on used equipment","B549RC1","549.0","554.0","608.0","707.0","779.0","829.0","859.0","976.0","1,090.0","1,492.0","1,813.0","2,090.0","2,483.0","2,679.0","2,676.0","3,052.0","3,153.0","3,290.0","3,486.0","3,986.0","4,421.0","4,676.0","4,258.0","4,323.0","5,040.0","5,630.0","6,343.0","6,955.0","8,308.0","9,810.0","11,533.0","12,484.0","13,138.0","13,445.0","13,393.0","14,745.0","16,120.0","17,253.0","19,020.0","18,668.0","16,129.0"
"58","39","        Net purchases of used equipment from government","B550RC1","100.0","109.0","116.0","130.0","158.0","203.0","234.0","253.0","298.0","354.0","409.0","453.0","495.0","489.0","262.0","302.0","314.0","336.0","383.0","357.0","373.0","279.0","368.0","344.0","347.0","360.0","348.0","328.0","387.0","649.0","436.0","480.0","515.0","562.0","601.0","597.0","645.0","667.0","684.0","746.0","637.0"
"59","40","  Plus: Net sales of used equipment","B554RC1","2,696.0","2,615.0","2,681.0","2,697.0","3,229.0","3,618.0","4,501.0","5,279.0","5,715.0","6,362.0","7,401.0","7,593.0","8,776.0","9,515.0","10,195.0","16,233.0","19,446.0","18,380.0","22,105.0","25,101.0","26,097.0","27,829.0","30,741.0","36,097.0","39,724.0","43,973.0","48,764.0","57,801.0","60,534.0","69,829.0","77,238.0","79,786.0","77,881.0","76,462.0","70,141.0","68,476.0","70,546.0","71,911.0","78,676.0","76,823.0","78,829.0"
"60","41","        Net exports of used equipment","B555RC1","229.0","225.0","355.0","496.0","610.0","617.0","777.0","702.0","800.0","915.0","918.0","1,072.0","834.0","895.0","779.0","931.0","834.0","1,122.0","308.0","867.0","726.0","834.0","1,099.0","1,035.0","781.0","1,084.0","404.0","345.0","1,549.0","1,234.0","753.0","-15.0","116.0","1,968.0","1,344.0","1,438.0","3,318.0","2,676.0","3,257.0","5,238.0","3,132.0"
