"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3"
"20","1","    National income","A032RC1","211,751.0","212,678.0","216,107.0","224,606.0","233,033.0","241,796.0","246,892.0","248,691.0","241,496.0","237,128.0","237,503.0","233,928.0","243,629.0","255,164.0","272,839.0","283,847.0","295,511.0","301,117.0","306,244.0","312,263.0","314,335.0","316,047.0","321,710.0","332,911.0","338,984.0","342,025.0","340,751.0","332,745.0","334,515.0","334,833.0","338,299.0","347,312.0","359,331.0","369,395.0","376,355.0","382,931.0","386,621.0","392,139.0","396,319.0","404,476.0","411,104.0","413,391.0","417,424.0","411,450.0","406,032.0","407,452.0","417,889.0","430,974.0","442,680.0","457,329.0","454,204.0","459,766.0","473,467.0","473,827.0","475,059.0","473,329.0","475,270.0","484,944.0","494,303.0","508,217.0","519,012.0","525,641.0","531,690.0","539,155.0","545,793.0","555,262.0","563,801.0","574,051.0","586,485.0","596,175.0","607,560.0","615,453.0","633,766.0","644,767.0","655,765.0","674,405.0","694,137.0","703,804.0","715,080.0","727,519.0","733,578.0","740,469.0","755,935.0","771,600.0","792,232.0","813,004.0","831,558.0","847,961.0","864,934.0","880,994.0","899,609.0"
"21","2","Compensation of employees","A033RC1","127,183.0","128,702.0","130,066.0","134,306.0","137,908.0","139,576.0","144,463.0","145,889.0","144,074.0","141,888.0","141,027.0","140,451.0","144,570.0","150,627.0","158,986.0","166,919.0","174,953.0","180,551.0","183,746.0","186,453.0","191,458.0","192,780.0","196,270.0","204,140.0","207,995.0","211,349.0","211,518.0","210,011.0","208,112.0","207,701.0","208,251.0","212,560.0","217,050.0","223,577.0","228,556.0","233,598.0","238,033.0","242,638.0","245,742.0","251,552.0","255,322.0","257,013.0","259,666.0","258,147.0","255,228.0","254,831.0","260,921.0","267,209.0","274,489.0","281,639.0","282,284.0","285,544.0","294,053.0","296,889.0","297,626.0","297,072.0","298,002.0","302,201.0","307,202.0","313,807.0","320,436.0","326,362.0","329,159.0","332,620.0","337,496.0","342,390.0","347,417.0","353,562.0","359,986.0","367,352.0","374,675.0","380,668.0","387,314.0","394,128.0","402,310.0","414,271.0","426,710.0","437,793.0","448,968.0","457,148.0","463,250.0","468,990.0","478,660.0","489,669.0","504,486.0","517,606.0","531,388.0","543,775.0","555,898.0","569,767.0","586,566.0"
"22","3","  Wage and salary accruals","A034RC1","119,655.0","121,483.0","123,419.0","127,823.0","131,415.0","133,211.0","138,071.0","139,503.0","136,955.0","134,639.0","133,899.0","133,439.0","137,072.0","142,866.0","150,802.0","158,273.0","165,531.0","170,815.0","173,840.0","176,241.0","181,170.0","182,379.0","185,703.0","193,292.0","196,910.0","200,091.0","200,274.0","198,681.0","196,402.0","195,957.0","196,333.0","200,360.0","204,177.0","210,311.0","214,664.0","219,452.0","223,282.0","227,502.0","229,952.0","235,369.0","238,267.0","239,618.0","241,827.0","240,092.0","237,364.0","236,892.0","242,580.0","248,433.0","254,012.0","260,557.0","260,896.0","263,903.0","270,765.0","273,402.0","273,960.0","273,296.0","273,769.0","277,629.0","282,256.0","288,423.0","293,267.0","298,742.0","301,178.0","304,245.0","307,957.0","312,355.0","316,844.0","322,247.0","328,212.0","334,823.0","341,411.0","346,705.0","352,814.0","358,882.0","366,215.0","377,121.0","385,763.0","395,907.0","406,132.0","413,481.0","418,838.0","423,601.0","432,014.0","441,580.0","454,213.0","465,926.0","478,332.0","489,415.0","499,073.0","511,377.0","526,426.0"
"23","4","    Government","A553RC1","17,932.0","17,572.0","17,012.0","17,528.0","17,943.0","18,363.0","19,487.0","20,287.0","20,385.0","20,593.0","20,949.0","21,381.0","21,451.0","21,651.0","22,759.0","24,671.0","26,773.0","28,521.0","30,501.0","31,121.0","32,474.0","33,266.0","33,822.0","33,950.0","34,163.0","34,419.0","34,415.0","34,355.0","34,397.0","34,717.0","35,129.0","35,377.0","35,602.0","36,694.0","36,818.0","37,270.0","37,836.0","38,532.0","39,184.0","39,656.0","40,229.0","40,733.0","41,501.0","41,589.0","42,675.0","43,707.0","44,851.0","45,255.0","45,456.0","45,844.0","46,236.0","46,680.0","47,712.0","48,636.0","49,872.0","50,508.0","51,104.0","51,800.0","52,792.0","54,188.0","55,300.0","55,976.0","56,488.0","57,624.0","58,620.0","59,380.0","60,180.0","61,924.0","63,124.0","64,160.0","65,660.0","66,756.0","67,452.0","68,548.0","70,488.0","73,152.0","74,928.0","76,876.0","79,800.0","81,952.0","83,452.0","84,996.0","87,068.0","90,416.0","92,760.0","95,204.0","98,740.0","100,052.0","101,284.0","103,112.0","108,164.0"
"24","5","    Other","B203RC1","101,723.0","103,911.0","106,407.0","110,295.0","113,472.0","114,848.0","118,584.0","119,216.0","116,570.0","114,046.0","112,950.0","112,058.0","115,621.0","121,215.0","128,043.0","133,602.0","138,758.0","142,294.0","143,339.0","145,120.0","148,696.0","149,113.0","151,881.0","159,342.0","162,747.0","165,672.0","165,859.0","164,326.0","162,005.0","161,240.0","161,204.0","164,983.0","168,575.0","173,617.0","177,846.0","182,182.0","185,446.0","188,970.0","190,768.0","195,713.0","198,038.0","198,885.0","200,326.0","198,503.0","194,689.0","193,185.0","197,729.0","203,178.0","208,556.0","214,713.0","214,660.0","217,223.0","223,053.0","224,766.0","224,088.0","222,788.0","222,665.0","225,829.0","229,464.0","234,235.0","237,967.0","242,766.0","244,690.0","246,621.0","249,337.0","252,975.0","256,664.0","260,323.0","265,088.0","270,663.0","275,751.0","279,949.0","285,362.0","290,334.0","295,727.0","303,969.0","310,835.0","319,031.0","326,332.0","331,529.0","335,386.0","338,605.0","344,946.0","351,164.0","361,453.0","370,722.0","379,592.0","389,363.0","397,789.0","408,265.0","418,262.0"
"25","6","  Supplements to wages and salaries","A038RC1","7,528.0","7,219.0","6,647.0","6,483.0","6,493.0","6,365.0","6,392.0","6,386.0","7,119.0","7,249.0","7,128.0","7,012.0","7,498.0","7,761.0","8,184.0","8,646.0","9,422.0","9,736.0","9,906.0","10,212.0","10,288.0","10,401.0","10,567.0","10,848.0","11,085.0","11,258.0","11,244.0","11,330.0","11,710.0","11,744.0","11,918.0","12,200.0","12,873.0","13,266.0","13,892.0","14,146.0","14,751.0","15,136.0","15,790.0","16,183.0","17,055.0","17,395.0","17,839.0","18,055.0","17,864.0","17,939.0","18,341.0","18,776.0","20,477.0","21,082.0","21,388.0","21,641.0","23,288.0","23,487.0","23,666.0","23,776.0","24,233.0","24,572.0","24,946.0","25,384.0","27,169.0","27,620.0","27,981.0","28,375.0","29,539.0","30,035.0","30,573.0","31,315.0","31,774.0","32,529.0","33,264.0","33,963.0","34,500.0","35,246.0","36,095.0","37,150.0","40,947.0","41,886.0","42,836.0","43,667.0","44,412.0","45,389.0","46,646.0","48,089.0","50,273.0","51,680.0","53,056.0","54,360.0","56,825.0","58,390.0","60,140.0"
"26","7","    Employer contributions for employee pension and insurance funds","B040RC1","2,856.0","2,931.0","3,103.0","3,263.0","3,285.0","3,377.0","3,448.0","3,510.0","3,579.0","3,717.0","3,844.0","3,972.0","4,230.0","4,505.0","4,784.0","5,078.0","5,390.0","5,608.0","5,838.0","6,064.0","6,164.0","6,305.0","6,463.0","6,600.0","6,897.0","7,054.0","6,976.0","7,150.0","7,102.0","7,132.0","7,330.0","7,560.0","7,825.0","8,122.0","8,648.0","8,886.0","9,175.0","9,484.0","10,114.0","10,415.0","10,695.0","10,999.0","11,435.0","11,743.0","11,564.0","11,651.0","11,981.0","12,328.0","12,725.0","13,194.0","13,512.0","13,737.0","14,036.0","14,223.0","14,386.0","14,572.0","14,781.0","15,016.0","15,302.0","15,596.0","16,125.0","16,444.0","16,753.0","17,095.0","17,335.0","17,703.0","18,117.0","18,687.0","19,346.0","19,957.0","20,556.0","21,143.0","21,696.0","22,270.0","22,935.0","23,718.0","24,475.0","25,146.0","25,836.0","26,495.0","26,856.0","27,597.0","28,490.0","29,517.0","30,833.0","31,912.0","32,932.0","33,892.0","34,737.0","35,878.0","37,124.0"
"27","8","    Employer contributions for government social insurance","B039RC1","4,672.0","4,288.0","3,544.0","3,220.0","3,208.0","2,988.0","2,944.0","2,876.0","3,540.0","3,532.0","3,284.0","3,040.0","3,268.0","3,256.0","3,400.0","3,568.0","4,032.0","4,128.0","4,068.0","4,148.0","4,124.0","4,096.0","4,104.0","4,248.0","4,188.0","4,204.0","4,268.0","4,180.0","4,608.0","4,612.0","4,588.0","4,640.0","5,048.0","5,144.0","5,244.0","5,260.0","5,576.0","5,652.0","5,676.0","5,768.0","6,360.0","6,396.0","6,404.0","6,312.0","6,300.0","6,288.0","6,360.0","6,448.0","7,752.0","7,888.0","7,876.0","7,904.0","9,252.0","9,264.0","9,280.0","9,204.0","9,452.0","9,556.0","9,644.0","9,788.0","11,044.0","11,176.0","11,228.0","11,280.0","12,204.0","12,332.0","12,456.0","12,628.0","12,428.0","12,572.0","12,708.0","12,820.0","12,804.0","12,976.0","13,160.0","13,432.0","16,472.0","16,740.0","17,000.0","17,172.0","17,556.0","17,792.0","18,156.0","18,572.0","19,440.0","19,768.0","20,124.0","20,468.0","22,088.0","22,512.0","23,016.0"
"28","9","Proprietors' income with IVA and CCAdj","A041RC1","36,615.0","32,327.0","33,786.0","35,187.0","35,999.0","40,372.0","40,924.0","39,599.0","35,381.0","34,784.0","34,151.0","34,176.0","35,582.0","36,256.0","38,718.0","39,396.0","41,999.0","42,441.0","42,648.0","43,521.0","41,832.0","43,057.0","44,810.0","42,583.0","42,982.0","42,250.0","41,519.0","41,303.0","42,593.0","41,983.0","42,323.0","42,201.0","43,418.0","44,458.0","44,658.0","44,522.0","44,890.0","45,456.0","46,208.0","46,902.0","46,914.0","47,785.0","48,695.0","47,913.0","50,289.0","50,387.0","50,062.0","50,023.0","50,160.0","50,378.0","50,161.0","50,604.0","49,973.0","50,847.0","50,874.0","51,138.0","52,365.0","52,557.0","53,324.0","54,547.0","55,297.0","55,098.0","55,138.0","55,687.0","55,999.0","55,909.0","56,416.0","57,763.0","58,088.0","58,999.0","59,567.0","60,748.0","62,160.0","63,359.0","64,202.0","65,893.0","69,426.0","67,526.0","67,680.0","68,362.0","69,122.0","68,888.0","70,958.0","70,421.0","72,065.0","73,439.0","75,270.0","75,973.0","76,310.0","77,556.0","78,201.0"
"29","10","  Farm","B042RC1","15,980.0","12,355.0","14,098.0","14,935.0","14,486.0","17,972.0","17,924.0","16,436.0","12,707.0","12,132.0","11,615.0","11,502.0","12,228.0","12,227.0","13,104.0","13,932.0","15,015.0","15,397.0","15,148.0","15,654.0","13,714.0","14,516.0","15,974.0","13,045.0","13,010.0","12,398.0","11,732.0","11,537.0","12,860.0","11,663.0","11,788.0","10,685.0","10,922.0","11,279.0","10,692.0","9,971.0","10,193.0","10,364.0","10,879.0","10,917.0","9,949.0","10,517.0","11,049.0","10,688.0","13,326.0","12,977.0","12,142.0","11,244.0","10,869.0","9,861.0","9,360.0","10,084.0","9,643.0","10,618.0","11,009.0","11,326.0","11,548.0","10,870.0","11,044.0","11,532.0","11,861.0","11,079.0","10,668.0","11,264.0","11,403.0","10,829.0","10,679.0","11,127.0","9,873.0","9,514.0","9,295.0","10,439.0","11,431.0","11,962.0","12,207.0","12,518.0","14,857.0","12,675.0","12,304.0","12,238.0","11,927.0","11,144.0","11,959.0","11,535.0","11,605.0","11,237.0","11,786.0","12,000.0","11,565.0","12,549.0","13,142.0"
"30","11","  Nonfarm","A045RC1","20,635.0","19,972.0","19,688.0","20,252.0","21,513.0","22,400.0","23,000.0","23,163.0","22,674.0","22,652.0","22,536.0","22,674.0","23,354.0","24,029.0","25,614.0","25,464.0","26,984.0","27,044.0","27,500.0","27,867.0","28,118.0","28,541.0","28,836.0","29,538.0","29,972.0","29,852.0","29,787.0","29,766.0","29,733.0","30,320.0","30,535.0","31,516.0","32,496.0","33,179.0","33,966.0","34,551.0","34,697.0","35,092.0","35,329.0","35,985.0","36,965.0","37,268.0","37,646.0","37,225.0","36,963.0","37,410.0","37,920.0","38,779.0","39,291.0","40,517.0","40,801.0","40,520.0","40,330.0","40,229.0","39,865.0","39,812.0","40,817.0","41,687.0","42,280.0","43,015.0","43,436.0","44,019.0","44,470.0","44,423.0","44,596.0","45,080.0","45,737.0","46,636.0","48,215.0","49,485.0","50,272.0","50,309.0","50,729.0","51,397.0","51,995.0","53,375.0","54,569.0","54,851.0","55,376.0","56,124.0","57,195.0","57,744.0","58,999.0","58,886.0","60,460.0","62,202.0","63,484.0","63,973.0","64,745.0","65,007.0","65,059.0"
"31","12","Rental income of persons with CCAdj","A048RC1","6,934.0","7,050.0","7,265.0","7,458.0","7,629.0","7,781.0","7,850.0","7,927.0","7,839.0","7,944.0","8,178.0","8,396.0","8,749.0","8,961.0","9,134.0","9,449.0","9,628.0","9,893.0","10,182.0","10,453.0","10,734.0","11,002.0","11,267.0","11,603.0","11,918.0","12,225.0","12,488.0","12,796.0","13,117.0","13,333.0","13,464.0","13,613.0","13,669.0","13,733.0","13,800.0","13,900.0","13,982.0","14,002.0","14,088.0","14,202.0","14,285.0","14,386.0","14,500.0","14,716.0","15,006.0","15,188.0","15,331.0","15,419.0","15,413.0","15,887.0","16,251.0","16,520.0","16,712.0","16,872.0","17,043.0","17,212.0","17,437.0","17,611.0","17,820.0","18,052.0","18,285.0","18,503.0","18,713.0","18,919.0","19,135.0","19,291.0","19,455.0","19,448.0","19,447.0","19,381.0","19,465.0","19,439.0","19,688.0","19,881.0","20,119.0","20,106.0","20,457.0","20,371.0","20,633.0","20,626.0","20,838.0","20,941.0","20,982.0","20,862.0","20,607.0","20,597.0","20,742.0","20,560.0","20,789.0","20,855.0","20,996.0"
"32","13","Corporate profits with IVA and CCAdj","A051RC1","20,694.0","23,943.0","23,836.0","25,475.0","29,412.0","31,175.0","30,652.0","32,261.0","30,727.0","28,332.0","29,545.0","26,236.0","29,767.0","33,426.0","38,078.0","41,269.0","40,192.0","40,186.0","40,740.0","42,086.0","39,521.0","37,424.0","37,103.0","41,308.0","41,969.0","41,210.0","40,159.0","33,130.0","35,450.0","36,803.0","38,717.0","42,366.0","47,494.0","48,725.0","49,351.0","50,426.0","48,350.0","48,160.0","47,377.0","48,053.0","49,670.0","48,543.0","48,027.0","44,316.0","38,426.0","39,158.0","43,256.0","48,992.0","52,583.0","57,607.0","52,347.0","52,767.0","57,025.0","53,152.0","52,258.0","49,949.0","48,899.0","53,170.0","55,421.0","59,258.0","61,677.0","60,958.0","62,240.0","64,505.0","64,708.0","68,129.0","69,494.0","71,009.0","75,236.0","75,146.0","76,279.0","75,435.0","83,296.0","85,422.0","86,657.0","90,741.0","93,912.0","92,807.0","91,089.0","92,376.0","89,620.0","88,450.0","89,701.0","92,929.0","93,923.0","97,709.0","97,942.0","99,430.0","99,378.0","96,361.0","93,611.0"
