"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","Gross domestic product","A191RX1","976,980.0","892,773.0","834,907.0","725,831.0","716,413.0","794,351.0","864,955.0","977,869.0","1,027,965.0","992,646.0","1,072,835.0","1,166,875.0","1,366,135.0","1,618,221.0","1,883,146.0","2,035,190.0","2,012,411.0","1,792,214.0","1,776,141.0","1,854,247.0","1,844,708.0","2,005,951.0","2,161,142.0","2,243,868.0","2,347,240.0","2,332,360.0","2,500,302.0","2,549,746.0","2,601,059.0","2,577,628.0","2,762,461.0","2,830,931.0","2,896,880.0","3,072,390.0","3,206,708.0","3,392,314.0","3,610,127.0","3,845,342.0","3,942,523.0","4,133,393.0","4,261,800.0"
"20","2","Plus: Income receipts from the rest of the world","A645RX1","13,838.0","13,093.0","10,621.0","8,250.0","6,988.0","6,419.0","7,421.0","8,144.0","9,945.0","9,015.0","9,724.0","8,516.0","9,682.0","8,914.0","8,722.0","9,365.0","8,861.0","10,123.0","13,217.0","15,733.0","15,236.0","16,828.0","20,261.0","20,798.0","20,282.0","21,458.0","23,966.0","26,083.0","27,436.0","24,369.0","26,076.0","29,352.0","31,537.0","34,458.0","37,318.0","40,668.0","43,076.0","42,648.0","44,518.0","49,411.0","54,920.0"
"21","3","Less: Income payments to the rest of the world","A655RX1","4,604.0","4,295.0","3,563.0","2,621.0","2,339.0","2,474.0","2,698.0","4,416.0","4,639.0","3,471.0","3,911.0","3,972.0","3,622.0","3,253.0","3,897.0","4,342.0","4,814.0","3,753.0","3,848.0","4,213.0","4,792.0","5,261.0","5,760.0","5,865.0","6,214.0","6,254.0","6,864.0","7,142.0","7,360.0","7,511.0","8,830.0","10,236.0","10,277.0","10,394.0","11,474.0","12,735.0","13,913.0","15,470.0","16,472.0","19,168.0","25,555.0"
"22","4","Equals: Gross national product","A001RX1","985,423.0","900,770.0","841,460.0","731,119.0","720,908.0","798,354.0","869,667.0","981,888.0","1,033,332.0","998,222.0","1,078,702.0","1,171,825.0","1,372,672.0","1,624,878.0","1,889,510.0","2,041,903.0","2,018,265.0","1,799,748.0","1,786,278.0","1,866,363.0","1,855,822.0","2,018,218.0","2,176,148.0","2,259,350.0","2,362,086.0","2,348,172.0","2,517,947.0","2,569,058.0","2,621,420.0","2,595,131.0","2,780,462.0","2,850,625.0","2,918,561.0","3,096,764.0","3,232,794.0","3,420,436.0","3,639,533.0","3,873,068.0","3,971,103.0","4,164,092.0","4,291,605.0"
"23","5","Less: Consumption of fixed capital","A262RX1","84,685.0","86,598.0","86,469.0","84,313.0","82,063.0","80,448.0","80,642.0","81,942.0","84,487.0","85,835.0","86,844.0","88,969.0","94,213.0","105,428.0","123,205.0","143,819.0","156,641.0","158,186.0","154,907.0","153,689.0","154,472.0","156,870.0","162,488.0","170,291.0","179,341.0","187,550.0","194,729.0","201,728.0","208,442.0","216,230.0","220,840.0","225,149.0","231,455.0","239,290.0","248,715.0","259,025.0","271,953.0","287,482.0","303,125.0","318,176.0","333,626.0"
"24","6","        Private","A024RX1","82,246.0","83,835.0","83,197.0","80,454.0","77,730.0","75,575.0","75,206.0","75,878.0","77,991.0","78,704.0","79,015.0","80,427.0","82,918.0","83,125.0","80,634.0","79,276.0","79,788.0","84,442.0","91,805.0","98,798.0","104,662.0","110,243.0","115,645.0","119,700.0","124,523.0","129,415.0","134,857.0","140,566.0","145,977.0","152,463.0","155,174.0","157,302.0","161,542.0","166,635.0","173,287.0","181,015.0","191,627.0","204,321.0","216,479.0","228,312.0","241,433.0"
"25","7","        Government","A264RX1","8,126.0","8,551.0","9,010.0","9,425.0","9,712.0","10,055.0","10,541.0","11,161.0","11,713.0","12,365.0","13,056.0","13,847.0","16,694.0","27,392.0","47,784.0","70,912.0","84,536.0","81,003.0","69,135.0","59,615.0","53,512.0","49,486.0","49,445.0","53,694.0","58,491.0","62,196.0","63,958.0","65,179.0","66,433.0","67,622.0","69,748.0","72,254.0","74,487.0","77,480.0","80,423.0","83,089.0","85,303.0","88,034.0","91,557.0","94,782.0","96,915.0"
"26","8","          General government","A265RX1","6,577.0","6,892.0","7,234.0","7,540.0","7,759.0","8,047.0","8,481.0","9,011.0","9,454.0","9,983.0","10,552.0","11,208.0","13,858.0","24,063.0","43,587.0","65,786.0","78,924.0","75,510.0","64,051.0","54,779.0","48,779.0","44,731.0","44,542.0","48,453.0","52,941.0","56,355.0","57,896.0","58,891.0","59,902.0","60,850.0","62,654.0","64,791.0","66,649.0","69,240.0","71,798.0","74,052.0","75,852.0","78,128.0","81,151.0","83,839.0","85,451.0"
"27","9","          Government enterprises","A266RX1","1,916.0","2,071.0","2,231.0","2,380.0","2,469.0","2,533.0","2,583.0","2,683.0","2,820.0","2,972.0","3,122.0","3,286.0","3,430.0","3,507.0","3,526.0","3,523.0","3,489.0","3,503.0","3,547.0","3,674.0","3,816.0","4,023.0","4,216.0","4,472.0","4,670.0","4,890.0","5,098.0","5,335.0","5,590.0","5,847.0","6,170.0","6,539.0","6,927.0","7,318.0","7,690.0","8,111.0","8,554.0","9,025.0","9,521.0","10,076.0","10,654.0"
"28","10","Equals: Net national product","A027RX1","905,276.0","817,491.0","757,492.0","647,711.0","639,902.0","720,933.0","793,597.0","906,729.0","956,350.0","918,571.0","1,000,185.0","1,093,462.0","1,293,954.0","1,539,724.0","1,789,692.0","1,920,026.0","1,879,264.0","1,653,342.0","1,643,568.0","1,727,935.0","1,715,968.0","1,881,195.0","2,037,536.0","2,113,230.0","2,207,506.0","2,181,678.0","2,348,223.0","2,391,616.0","2,436,639.0","2,398,101.0","2,584,800.0","2,651,818.0","2,713,701.0","2,888,126.0","3,016,487.0","3,197,216.0","3,406,989.0","3,628,199.0","3,708,778.0","3,888,589.0","4,000,038.0"
"29",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","11","  Gross domestic income \1\","A261RX1","969,760.0","896,809.0","826,536.0","722,126.0","709,488.0","789,562.0","867,434.0","963,880.0","1,028,276.0","984,774.0","1,057,735.0","1,154,406.0","1,362,531.0","1,627,026.0","1,900,104.0","2,011,298.0","1,977,445.0","1,782,734.0","1,759,638.0","1,857,593.0","1,832,197.0","1,996,517.0","2,138,387.0","2,226,647.0","2,322,635.0","2,313,221.0","2,485,923.0","2,560,008.0","2,601,427.0","2,572,352.0","2,759,804.0","2,836,040.0","2,900,011.0","3,070,706.0","3,210,921.0","3,388,361.0","3,602,671.0","3,815,266.0","3,921,094.0","4,113,792.0","4,249,361.0"
"31","12","  Gross national income \2\","A023RX1","978,182.0","904,811.0","833,067.0","727,435.0","714,024.0","793,590.0","872,178.0","967,843.0","1,033,677.0","990,284.0","1,063,562.0","1,159,228.0","1,369,081.0","1,633,584.0","1,906,496.0","2,018,037.0","1,983,235.0","1,790,302.0","1,769,775.0","1,869,814.0","1,843,196.0","2,008,820.0","2,153,320.0","2,242,167.0","2,337,567.0","2,329,066.0","2,503,555.0","2,579,313.0","2,621,768.0","2,589,853.0","2,777,888.0","2,855,698.0","2,921,676.0","3,095,101.0","3,237,017.0","3,416,479.0","3,632,091.0","3,842,831.0","3,949,815.0","4,144,449.0","4,279,169.0"
"32","13","  Net domestic product","A362RX1","896,723.0","809,403.0","750,874.0","642,385.0","635,383.0","716,914.0","788,853.0","902,692.0","950,934.0","912,944.0","994,256.0","1,088,480.0","1,287,336.0","1,532,994.0","1,783,290.0","1,913,302.0","1,873,457.0","1,645,826.0","1,633,370.0","1,715,692.0","1,704,764.0","1,868,806.0","2,022,319.0","2,097,536.0","2,192,493.0","2,165,676.0","2,330,336.0","2,372,008.0","2,415,951.0","2,380,404.0","2,566,608.0","2,631,875.0","2,691,703.0","2,863,354.0","2,989,959.0","3,168,602.0","3,377,076.0","3,600,063.0","3,679,780.0","3,857,425.0","3,969,825.0"
"33","14","  Net domestic income \3\","W256RX1","889,423.0","813,463.0","742,363.0","638,565.0","628,362.0","711,997.0","791,412.0","888,359.0","951,256.0","904,844.0","978,655.0","1,075,584.0","1,283,543.0","1,542,073.0","1,800,872.0","1,888,723.0","1,837,564.0","1,636,193.0","1,616,300.0","1,719,156.0","1,691,722.0","1,859,082.0","1,998,623.0","2,079,638.0","2,166,961.0","2,145,869.0","2,315,356.0","2,382,808.0","2,416,426.0","2,374,960.0","2,563,908.0","2,637,273.0","2,694,944.0","2,861,552.0","2,994,402.0","3,164,451.0","3,369,255.0","3,568,865.0","3,657,718.0","3,837,076.0","3,956,989.0"
"34","15","  Net domestic purchases","W367RX1","913,786.0","827,421.0","769,485.0","659,856.0","653,523.0","735,011.0","816,230.0","931,330.0","976,261.0","927,494.0","1,010,260.0","1,101,024.0","1,313,716.0","1,584,638.0","1,863,395.0","1,997,508.0","1,941,687.0","1,626,043.0","1,592,845.0","1,718,354.0","1,705,644.0","1,898,649.0","2,037,578.0","2,127,483.0","2,240,787.0","2,203,465.0","2,372,253.0","2,404,910.0","2,443,090.0","2,431,478.0","2,621,856.0","2,667,375.0","2,726,885.0","2,909,157.0","3,030,976.0","3,201,218.0","3,425,242.0","3,664,596.0","3,755,165.0","3,949,850.0","4,066,719.0"
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Note. Except as noted in footnotes 1, 2 and 3, chained (2005) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","as the product of the chain-type quantity index and the 2005 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
