"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Millions of chained (2005) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 22, 2010 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2010 1:13:19 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","Gross domestic product","A191RX1","976,980.0","892,773.0","834,907.0","725,831.0","716,413.0","794,351.0","864,955.0","977,869.0","1,027,965.0","992,646.0","1,072,835.0","1,166,875.0","1,366,135.0","1,618,221.0","1,883,146.0","2,035,190.0","2,012,411.0","1,792,214.0","1,776,141.0","1,854,247.0","1,844,708.0","2,005,951.0","2,161,142.0","2,243,868.0","2,347,240.0","2,332,360.0","2,500,302.0","2,549,746.0","2,601,059.0","2,577,628.0","2,762,461.0","2,830,931.0","2,896,880.0","3,072,390.0","3,206,708.0","3,392,314.0","3,610,127.0","3,845,342.0","3,942,523.0","4,133,393.0","4,261,800.0"
"20","2","Less: Exports of goods and services","A020RX1","37,956.0","31,371.0","26,072.0","20,429.0","20,555.0","22,848.0","24,090.0","25,308.0","31,876.0","31,533.0","33,288.0","37,867.0","38,826.0","25,645.0","21,616.0","23,217.0","32,529.0","70,259.0","80,103.0","63,092.0","62,505.0","54,730.0","67,066.0","64,165.0","59,867.0","62,764.0","69,466.0","80,934.0","87,990.0","76,096.0","83,940.0","98,511.0","99,034.0","104,030.0","111,469.0","124,593.0","128,085.0","136,961.0","140,118.0","151,130.0","158,439.0"
"21","3","Plus: Imports of goods and services","A021RX1","49,123.0","42,730.0","37,273.0","30,926.0","32,218.0","32,916.0","43,126.0","42,630.0","47,971.0","37,286.0","39,157.0","40,105.0","49,312.0","44,773.0","56,455.0","59,084.0","62,824.0","52,069.0","49,439.0","57,687.0","55,647.0","65,773.0","68,357.0","74,373.0","81,363.0","77,352.0","86,672.0","93,708.0","97,643.0","102,282.0","113,041.0","114,545.0","113,776.0","126,689.0","130,104.0","137,017.0","151,601.0","174,130.0","186,817.0","214,657.0","226,889.0"
"22","4","Equals: Gross domestic purchases","A712RX1","994,957.0","911,840.0","854,626.0","744,511.0","735,690.0","813,387.0","892,924.0","1,006,906.0","1,053,777.0","1,008,095.0","1,089,600.0","1,180,215.0","1,392,696.0","1,669,141.0","1,961,740.0","2,118,285.0","2,080,609.0","1,775,219.0","1,738,936.0","1,858,577.0","1,847,361.0","2,036,343.0","2,177,493.0","2,274,429.0","2,395,533.0","2,370,788.0","2,542,690.0","2,583,611.0","2,629,531.0","2,629,279.0","2,817,971.0","2,867,553.0","2,933,290.0","3,118,962.0","3,248,762.0","3,426,320.0","3,659,156.0","3,910,234.0","4,018,199.0","4,225,642.0","4,358,639.0"
"23","5","Plus: Exports of goods and services, command basis \1\","C020RX1","57,363.0","44,770.0","32,460.0","24,963.0","25,826.0","31,769.0","33,691.0","36,137.0","46,730.0","44,989.0","47,351.0","58,000.0","61,042.0","45,099.0","39,379.0","46,579.0","63,052.0","117,270.0","139,823.0","109,636.0","102,016.0","85,999.0","111,114.0","104,860.0","96,507.0","98,694.0","108,669.0","126,565.0","138,141.0","115,738.0","126,448.0","148,437.0","149,911.0","155,816.0","164,665.0","182,625.0","190,422.0","204,052.0","210,626.0","222,732.0","230,118.0"
"24","6","Less: Imports of goods and services, command basis \1\","C021RX1","53,663.0","41,516.0","32,449.0","24,420.0","25,072.0","27,775.0","36,282.0","37,904.0","45,828.0","33,585.0","37,413.0","40,577.0","49,540.0","47,696.0","61,303.0","65,898.0","70,175.0","57,773.0","59,190.0","70,942.0","65,144.0","80,860.0","94,784.0","97,444.0","100,925.0","96,176.0","105,731.0","112,525.0","114,702.0","112,707.0","124,239.0","125,364.0","123,225.0","133,831.0","138,494.0","146,566.0","161,626.0","184,790.0","193,398.0","216,457.0","223,778.0"
"25","7","Equals: Command-basis gross domestic product \1,2\","C191RX1","1,000,691.0","918,897.0","854,405.0","742,247.0","733,101.0","818,488.0","891,919.0","1,006,680.0","1,062,885.0","1,016,731.0","1,099,614.0","1,201,298.0","1,411,270.0","1,668,986.0","1,938,759.0","2,097,569.0","2,073,967.0","1,840,952.0","1,821,226.0","1,897,795.0","1,882,214.0","2,045,458.0","2,204,605.0","2,282,727.0","2,390,639.0","2,370,477.0","2,549,486.0","2,601,152.0","2,651,907.0","2,629,825.0","2,819,005.0","2,889,393.0","2,958,697.0","3,139,580.0","3,273,538.0","3,460,887.0","3,686,414.0","3,927,888.0","4,033,726.0","4,230,181.0","4,363,000.0"
"26","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1","11,011.0","10,487.0","8,567.0","6,674.0","5,693.0","5,433.0","6,351.0","6,850.0","8,423.0","7,555.0","8,148.0","7,225.0","8,140.0","7,298.0","6,823.0","7,235.0","7,030.0","9,046.0","11,916.0","14,322.0","13,692.0","15,222.0","17,909.0","18,202.0","17,917.0","18,938.0","21,559.0","23,387.0","24,549.0","21,780.0","23,754.0","26,828.0","28,822.0","31,844.0","34,603.0","37,750.0","40,401.0","40,248.0","42,071.0","46,968.0","52,205.0"
"27","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1","3,612.0","3,345.0","2,815.0","2,073.0","1,794.0","1,972.0","2,202.0","3,701.0","4,154.0","3,081.0","3,698.0","3,908.0","3,508.0","3,062.0","3,592.0","4,142.0","4,565.0","3,645.0","3,634.0","4,055.0","4,675.0","5,195.0","5,615.0","5,554.0","5,948.0","5,883.0","6,506.0","6,763.0","6,978.0","6,983.0","8,392.0","9,744.0","9,711.0","9,900.0","10,880.0","12,094.0","13,339.0","14,966.0","15,936.0","18,676.0","25,103.0"
"28","10","Equals: Command-basis gross national product \1,3\","CB22RX1","1,008,089.0","926,039.0","860,157.0","746,848.0","737,000.0","821,949.0","896,068.0","1,009,828.0","1,067,154.0","1,021,205.0","1,104,063.0","1,204,614.0","1,415,903.0","1,673,222.0","1,941,990.0","2,100,662.0","2,076,431.0","1,846,353.0","1,829,508.0","1,908,063.0","1,891,231.0","2,055,485.0","2,216,900.0","2,295,375.0","2,402,609.0","2,383,532.0","2,564,540.0","2,617,776.0","2,669,477.0","2,644,622.0","2,834,367.0","2,906,478.0","2,977,808.0","3,161,525.0","3,297,260.0","3,486,544.0","3,713,476.0","3,953,170.0","4,059,861.0","4,258,473.0","4,390,102.0"
"29",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
