"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Gross domestic product","A191RX1","1,932,600.0","1,930,412.0","1,928,448.0","1,958,807.0","1,987,606.0","2,019,889.0","2,031,179.0","2,033,347.0","2,005,563.0","1,998,835.0","2,020,825.0","2,002,702.0","2,082,538.0","2,145,515.0","2,228,210.0","2,271,243.0","2,302,318.0","2,342,254.0","2,390,499.0","2,395,791.0","2,421,120.0","2,426,174.0","2,443,725.0","2,523,927.0","2,570,898.0","2,590,964.0","2,576,444.0","2,537,344.0","2,525,611.0","2,528,252.0","2,556,931.0","2,606,758.0","2,681,180.0","2,724,825.0","2,761,467.0","2,778,087.0","2,767,370.0","2,790,190.0","2,787,910.0","2,833,517.0","2,851,778.0","2,845,453.0","2,873,169.0","2,843,718.0","2,770,000.0","2,788,278.0","2,852,741.0","2,919,470.0","2,973,782.0","3,046,096.0","3,040,235.0","3,052,194.0","3,120,195.0","3,108,361.0","3,116,104.0","3,078,384.0","3,099,314.0","3,156,922.0","3,209,561.0","3,274,610.0","3,333,591.0","3,369,510.0","3,401,609.0","3,414,802.0","3,452,806.0","3,497,818.0","3,566,096.0","3,591,546.0","3,669,226.0","3,712,856.0","3,763,277.0","3,776,627.0","3,869,782.0","3,922,689.0","4,002,358.0","4,096,741.0","4,197,921.0","4,215,116.0","4,245,170.0","4,281,583.0","4,320,947.0","4,324,696.0","4,362,001.0","4,397,108.0","4,486,382.0","4,562,157.0","4,594,968.0","4,615,388.0","4,687,098.0","4,702,124.0"
"21","2","       Final sales of domestic product","A190RX1","1,947,887.0","1,960,949.0","1,975,986.0","1,978,419.0","1,985,207.0","1,995,873.0","1,999,874.0","2,015,841.0","2,023,780.0","2,049,860.0","2,048,995.0","2,056,797.0","2,089,726.0","2,145,650.0","2,221,811.0","2,202,738.0","2,269,363.0","2,282,478.0","2,358,858.0","2,394,341.0","2,415,356.0","2,455,968.0","2,434,381.0","2,514,547.0","2,568,447.0","2,589,333.0","2,584,015.0","2,570,365.0","2,555,813.0","2,565,449.0","2,591,174.0","2,633,184.0","2,683,505.0","2,718,256.0","2,758,032.0","2,765,389.0","2,761,042.0","2,792,511.0","2,794,724.0","2,842,969.0","2,868,521.0","2,858,645.0","2,880,562.0","2,879,825.0","2,809,323.0","2,825,287.0","2,866,336.0","2,922,265.0","2,977,773.0","3,027,019.0","3,060,325.0","3,050,827.0","3,084,786.0","3,115,596.0","3,114,203.0","3,129,927.0","3,135,575.0","3,169,671.0","3,196,622.0","3,268,790.0","3,309,502.0","3,364,300.0","3,391,551.0","3,419,462.0","3,436,321.0","3,495,799.0","3,560,391.0","3,595,404.0","3,671,182.0","3,716,267.0","3,762,385.0","3,775,113.0","3,836,260.0","3,905,437.0","3,979,177.0","4,084,710.0","4,154,727.0","4,176,572.0","4,213,151.0","4,227,273.0","4,272,701.0","4,319,089.0","4,344,063.0","4,384,131.0","4,474,747.0","4,520,493.0","4,585,760.0","4,615,112.0","4,662,625.0","4,686,575.0"
"22","3","       Change in private inventories","A014RX1","5,505.0","-3,818.0","-14,894.0","-2,491.0","12,441.0","23,666.0","27,655.0","21,398.0","-2,184.0","-19,270.0","-4,222.0","-19,257.0","8,077.0","11,791.0","15,482.0","49,588.0","30,810.0","44,799.0","29,540.0","12,695.0","15,929.0","-3,874.0","17,649.0","17,698.0","14,301.0","14,031.0","8,511.0","-7,296.0","-6,484.0","-10,440.0","-8,317.0","-3,072.0","12,381.0","18,269.0","16,672.0","22,963.0","19,368.0","13,456.0","10,441.0","9,242.0","4,998.0","7,189.0","10,504.0","-9,789.0","-12,253.0","-10,681.0","5,414.0","14,243.0","11,544.0","29,230.0","3,460.0","17,127.0","42,751.0","12,215.0","17,275.0","-20,108.0","-9,167.0","7,910.0","26,249.0","21,779.0","34,416.0","21,618.0","25,354.0","15,053.0","29,606.0","19,524.0","23,173.0","16,928.0","18,068.0","17,336.0","20,773.0","19,867.0","45,521.0","32,796.0","36,934.0","29,703.0","52,041.0","50,014.0","44,456.0","61,182.0","57,259.0","25,154.0","33,895.0","32,975.0","30,126.0","52,768.0","28,805.0","23,933.0","40,124.0","33,530.0"
"23","4","       Residual","A958RX1","-20,800.0","-26,700.0","-32,700.0","-17,100.0","-10,000.0","300.0","3,600.0","-3,900.0","-16,000.0","-31,800.0","-24,000.0","-34,800.0","-15,300.0","-12,000.0","-9,100.0","18,900.0","2,100.0","15,000.0","2,100.0","-11,200.0","-10,200.0","-25,900.0","-8,300.0","-8,300.0","-11,800.0","-12,300.0","-16,100.0","-25,800.0","-23,700.0","-26,700.0","-26,000.0","-23,300.0","-14,700.0","-11,800.0","-13,200.0","-10,300.0","-13,000.0","-15,800.0","-17,200.0","-18,700.0","-21,700.0","-20,300.0","-17,900.0","-26,300.0","-27,000.0","-26,300.0","-19,000.0","-17,000.0","-15,500.0","-10,100.0","-23,600.0","-15,700.0","-7,400.0","-19,400.0","-15,400.0","-31,400.0","-27,100.0","-20,700.0","-13,200.0","-16,000.0","-10,300.0","-16,400.0","-15,400.0","-19,800.0","-13,100.0","-17,500.0","-17,500.0","-20,800.0","-20,100.0","-20,700.0","-19,900.0","-18,400.0","-12,000.0","-15,500.0","-13,700.0","-17,700.0","-8,800.0","-11,500.0","-12,500.0","-6,900.0","-9,100.0","-19,600.0","-16,000.0","-20,000.0","-18,400.0","-11,100.0","-19,600.0","-23,600.0","-15,600.0","-18,000.0"
"24","5","Goods","A353RX1","457,469.0","452,966.0","447,208.0","456,650.0","468,903.0","472,519.0","475,230.0","472,983.0","459,359.0","451,323.0","458,467.0","447,029.0","473,250.0","486,286.0","519,431.0","528,560.0","525,445.0","528,981.0","535,737.0","534,147.0","532,548.0","520,278.0","525,317.0","552,747.0","562,789.0","565,687.0","562,761.0","543,566.0","539,872.0","541,534.0","546,486.0","563,951.0","587,519.0","610,400.0","621,321.0","628,080.0","621,724.0","623,149.0","624,324.0","633,917.0","639,722.0","636,347.0","646,525.0","619,668.0","594,922.0","594,571.0","614,584.0","631,780.0","647,004.0","667,870.0","660,847.0","666,324.0","698,095.0","686,430.0","690,632.0","660,171.0","666,018.0","685,134.0","704,310.0","718,180.0","735,894.0","735,798.0","745,413.0","743,302.0","761,120.0","766,059.0","780,989.0","785,626.0","806,087.0","817,937.0","837,960.0","837,789.0","873,546.0","875,872.0","898,174.0","926,561.0","966,333.0","962,980.0","972,467.0","988,462.0","984,058.0","975,184.0","980,217.0","978,940.0","1,001,078.0","1,023,866.0","1,028,506.0","1,025,461.0","1,057,696.0","1,049,775.0"
"25","6","    Final sales","A325RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"26","7","    Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"27","8","  Durable goods","A354RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"28","9","    Final sales","A326RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"29","10","    Change in private inventories \1\","A355RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"30","11","  Nondurable goods","A356RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"31","12","    Final sales","A334RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"32","13","    Change in private inventories \1\","A357RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"33","14","Services \2\","A341RX1","1,206,224.0","1,222,804.0","1,215,473.0","1,197,174.0","1,198,814.0","1,218,539.0","1,225,832.0","1,248,128.0","1,261,424.0","1,275,981.0","1,267,624.0","1,258,511.0","1,270,057.0","1,294,966.0","1,292,868.0","1,337,323.0","1,404,140.0","1,470,578.0","1,534,215.0","1,548,763.0","1,583,317.0","1,628,260.0","1,638,693.0","1,654,705.0","1,684,065.0","1,704,737.0","1,698,275.0","1,693,871.0","1,677,166.0","1,666,294.0","1,679,954.0","1,689,543.0","1,704,356.0","1,691,662.0","1,718,120.0","1,730,263.0","1,732,786.0","1,755,291.0","1,749,959.0","1,791,996.0","1,800,572.0","1,807,890.0","1,819,672.0","1,855,827.0","1,822,363.0","1,856,468.0","1,876,417.0","1,894,174.0","1,903,381.0","1,935,283.0","1,952,749.0","1,970,880.0","1,960,284.0","1,990,624.0","1,990,481.0","2,016,912.0","2,019,635.0","2,059,968.0","2,066,064.0","2,102,996.0","2,134,665.0","2,172,973.0","2,188,360.0","2,214,831.0","2,213,247.0","2,237,996.0","2,277,358.0","2,295,868.0","2,324,633.0","2,356,483.0","2,369,953.0","2,392,859.0","2,416,137.0","2,461,709.0","2,500,362.0","2,548,130.0","2,567,253.0","2,627,923.0","2,648,010.0","2,682,282.0","2,747,969.0","2,763,922.0","2,791,402.0","2,825,525.0","2,883,705.0","2,918,319.0","2,947,283.0","2,976,249.0","2,982,172.0","3,026,113.0"
"34","15","Structures","A755RX1","278,296.0","273,856.0","299,426.0","333,449.0","334,535.0","353,660.0","354,713.0","343,927.0","334,029.0","336,668.0","355,294.0","374,991.0","400,314.0","430,298.0","450,269.0","441,981.0","434,448.0","419,280.0","409,322.0","408,496.0","419,192.0","423,912.0","424,038.0","441,654.0","452,227.0","453,229.0","446,841.0","453,007.0","463,634.0","473,330.0","487,838.0","499,017.0","523,784.0","531,593.0","526,190.0","517,913.0","518,946.0","526,460.0","524,775.0","521,707.0","522,678.0","516,070.0","514,503.0","516,570.0","515,587.0","509,260.0","525,160.0","556,300.0","583,493.0","596,603.0","591,303.0","572,793.0","590,080.0","575,718.0","574,601.0","583,726.0","595,467.0","580,947.0","597,094.0","616,218.0","618,762.0","634,428.0","638,024.0","636,266.0","642,179.0","671,696.0","689,889.0","695,240.0","723,498.0","719,588.0","721,946.0","717,705.0","728,426.0","754,924.0","768,946.0","777,004.0","793,646.0","761,156.0","756,649.0","725,383.0","726,489.0","741,755.0","754,466.0","775,424.0","783,077.0","794,639.0","799,297.0","807,490.0","817,748.0","814,423.0"
"35","16","Residual","A959RX1","-9,400.0","-19,300.0","-33,700.0","-28,500.0","-14,600.0","-24,800.0","-24,500.0","-31,700.0","-49,200.0","-65,200.0","-60,600.0","-77,800.0","-61,200.0","-66,100.0","-34,400.0","-36,700.0","-61,600.0","-76,600.0","-88,700.0","-95,600.0","-113,900.0","-146,300.0","-144,300.0","-125,200.0","-128,200.0","-132,600.0","-131,500.0","-153,200.0","-155,100.0","-152,800.0","-157,400.0","-145,700.0","-134,500.0","-108,900.0","-104,100.0","-98,200.0","-106,000.0","-114,700.0","-111,200.0","-114,100.0","-111,200.0","-114,800.0","-107,500.0","-148,400.0","-162,900.0","-172,100.0","-163,500.0","-162,800.0","-160,100.0","-153,700.0","-164,600.0","-157,800.0","-128,300.0","-144,300.0","-139,600.0","-182,400.0","-181,800.0","-169,100.0","-157,900.0","-162,800.0","-155,800.0","-173,700.0","-170,200.0","-179,600.0","-163,700.0","-178,000.0","-182,200.0","-185,200.0","-185,000.0","-181,100.0","-166,600.0","-171,800.0","-148,200.0","-169,800.0","-165,100.0","-155,000.0","-129,300.0","-137,000.0","-131,900.0","-114,600.0","-137,700.0","-156,200.0","-164,100.0","-182,700.0","-181,500.0","-174,600.0","-180,100.0","-193,800.0","-170,500.0","-188,200.0"
"36",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
