"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Gross domestic product","A191RX1","1,932,600.0","1,930,412.0","1,928,448.0","1,958,807.0","1,987,606.0","2,019,889.0","2,031,179.0","2,033,347.0","2,005,563.0","1,998,835.0","2,020,825.0","2,002,702.0","2,082,538.0","2,145,515.0","2,228,210.0","2,271,243.0","2,302,318.0","2,342,254.0","2,390,499.0","2,395,791.0","2,421,120.0","2,426,174.0","2,443,725.0","2,523,927.0","2,570,898.0","2,590,964.0","2,576,444.0","2,537,344.0","2,525,611.0","2,528,252.0","2,556,931.0","2,606,758.0","2,681,180.0","2,724,825.0","2,761,467.0","2,778,087.0","2,767,370.0","2,790,190.0","2,787,910.0","2,833,517.0","2,851,778.0","2,845,453.0","2,873,169.0","2,843,718.0","2,770,000.0","2,788,278.0","2,852,741.0","2,919,470.0","2,973,782.0","3,046,096.0","3,040,235.0","3,052,194.0","3,120,195.0","3,108,361.0","3,116,104.0","3,078,384.0","3,099,314.0","3,156,922.0","3,209,561.0","3,274,610.0","3,333,591.0","3,369,510.0","3,401,609.0","3,414,802.0","3,452,806.0","3,497,818.0","3,566,096.0","3,591,546.0","3,669,226.0","3,712,856.0","3,763,277.0","3,776,627.0","3,869,782.0","3,922,689.0","4,002,358.0","4,096,741.0","4,197,921.0","4,215,116.0","4,245,170.0","4,281,583.0","4,320,947.0","4,324,696.0","4,362,001.0","4,397,108.0","4,486,382.0","4,562,157.0","4,594,968.0","4,615,388.0","4,687,098.0","4,702,124.0"
"21","2","Business \1\","A195RX1","1,291,830.0","1,296,085.0","1,294,471.0","1,321,321.0","1,344,458.0","1,372,437.0","1,378,581.0","1,377,158.0","1,353,104.0","1,346,173.0","1,362,995.0","1,349,230.0","1,414,821.0","1,461,319.0","1,522,820.0","1,539,175.0","1,555,372.0","1,569,694.0","1,595,777.0","1,595,722.0","1,609,555.0","1,608,102.0","1,618,693.0","1,683,039.0","1,717,717.0","1,730,855.0","1,715,857.0","1,683,124.0","1,672,097.0","1,671,896.0","1,691,971.0","1,729,356.0","1,787,608.0","1,821,923.0","1,847,644.0","1,857,275.0","1,845,202.0","1,860,399.0","1,852,943.0","1,886,339.0","1,897,833.0","1,888,272.0","1,906,282.0","1,881,077.0","1,817,334.0","1,827,401.0","1,874,337.0","1,925,607.0","1,970,316.0","2,026,356.0","2,015,962.0","2,019,569.0","2,069,461.0","2,050,145.0","2,052,113.0","2,014,592.0","2,026,192.0","2,071,893.0","2,109,087.0","2,152,024.0","2,195,088.0","2,219,129.0","2,239,927.0","2,246,147.0","2,273,466.0","2,305,207.0","2,355,261.0","2,372,281.0","2,432,011.0","2,460,830.0","2,497,150.0","2,501,933.0","2,577,319.0","2,613,554.0","2,670,502.0","2,739,802.0","2,817,377.0","2,822,318.0","2,832,947.0","2,850,803.0","2,875,747.0","2,872,362.0","2,893,415.0","2,915,229.0","2,981,082.0","3,035,532.0","3,055,163.0","3,069,120.0","3,121,882.0","3,125,883.0"
"22","3","  Nonfarm \2\","A358RX1","1,244,469.0","1,273,427.0","1,239,298.0","1,303,766.0","1,317,144.0","1,313,170.0","1,324,331.0","1,317,273.0","1,307,743.0","1,299,386.0","1,316,645.0","1,304,358.0","1,359,997.0","1,409,297.0","1,485,252.0","1,501,143.0","1,529,520.0","1,536,374.0","1,556,072.0","1,560,470.0","1,577,312.0","1,569,570.0","1,574,644.0","1,648,903.0","1,679,165.0","1,687,481.0","1,678,870.0","1,646,235.0","1,626,931.0","1,626,175.0","1,649,256.0","1,689,410.0","1,749,517.0","1,777,441.0","1,803,217.0","1,819,461.0","1,807,945.0","1,820,129.0","1,812,964.0","1,842,251.0","1,865,036.0","1,854,101.0","1,871,489.0","1,838,673.0","1,772,111.0","1,781,093.0","1,836,052.0","1,894,909.0","1,932,924.0","1,993,239.0","1,983,368.0","1,980,246.0","2,038,696.0","2,014,792.0","2,009,045.0","1,966,133.0","1,980,214.0","2,032,019.0","2,072,107.0","2,118,167.0","2,161,259.0","2,183,383.0","2,207,265.0","2,211,785.0","2,232,612.0","2,269,524.0","2,324,076.0","2,342,045.0","2,406,941.0","2,433,826.0","2,467,923.0","2,469,556.0","2,545,390.0","2,585,989.0","2,638,532.0","2,711,905.0","2,789,536.0","2,799,813.0","2,817,223.0","2,828,862.0","2,849,570.0","2,843,753.0","2,864,707.0","2,888,026.0","2,957,723.0","3,014,683.0","3,034,796.0","3,048,195.0","3,100,269.0","3,103,828.0"
"23","4","  Farm","B359RX1","19,812.0","16,620.0","21,297.0","16,062.0","17,538.0","22,611.0","21,923.0","22,952.0","20,232.0","20,517.0","20,632.0","20,224.0","22,629.0","22,431.0","20,409.0","20,631.0","18,908.0","20,185.0","21,480.0","20,761.0","20,393.0","21,485.0","22,573.0","21,285.0","22,466.0","23,586.0","22,088.0","21,809.0","23,587.0","23,699.0","23,151.0","22,783.0","22,794.0","24,579.0","24,770.0","23,162.0","22,910.0","23,807.0","23,685.0","25,019.0","22,104.0","22,426.0","22,719.0","24,480.0","24,730.0","25,062.0","23,389.0","21,791.0","23,839.0","23,086.0","22,869.0","24,685.0","22,659.0","23,793.0","25,994.0","27,300.0","26,676.0","25,231.0","24,658.0","24,088.0","24,374.0","25,071.0","24,374.0","24,902.0","26,922.0","25,669.0","24,717.0","24,543.0","23,413.0","24,152.0","25,037.0","26,003.0","26,373.0","25,353.0","26,969.0","26,277.0","26,761.0","25,388.0","23,677.0","25,459.0","26,820.0","27,509.0","27,662.0","27,341.0","26,601.0","26,209.0","26,209.0","26,474.0","27,022.0","27,182.0"
"24","5","Households and institutions","A193RX1","174,993.0","175,847.0","177,654.0","180,268.0","183,622.0","186,802.0","189,772.0","192,489.0","194,931.0","197,901.0","201,380.0","205,342.0","209,719.0","213,910.0","217,888.0","221,664.0","225,091.0","228,641.0","232,167.0","235,642.0","239,472.0","243,098.0","246,843.0","250,827.0","254,633.0","258,629.0","262,340.0","265,796.0","269,370.0","273,506.0","278,463.0","284,242.0","290,763.0","296,779.0","302,270.0","307,265.0","311,673.0","316,068.0","320,334.0","324,478.0","328,674.0","333,031.0","337,709.0","342,731.0","347,892.0","353,024.0","357,918.0","362,612.0","366,725.0","372,601.0","379,132.0","386,578.0","392,994.0","399,867.0","405,514.0","411,467.0","415,179.0","415,829.0","420,158.0","428,834.0","434,364.0","440,184.0","446,758.0","453,505.0","456,061.0","459,523.0","464,850.0","468,796.0","473,580.0","480,391.0","484,917.0","490,249.0","495,677.0","502,358.0","511,088.0","518,694.0","523,396.0","526,417.0","534,983.0","540,733.0","544,488.0","550,414.0","557,678.0","565,631.0","571,611.0","578,603.0","585,806.0","592,053.0","599,490.0","606,711.0"
"25","6","  Households","B701RX1","101,934.0","102,396.0","103,110.0","104,026.0","105,129.0","106,410.0","107,823.0","109,354.0","111,000.0","112,973.0","115,255.0","117,836.0","120,663.0","123,419.0","126,066.0","128,613.0","130,977.0","133,385.0","135,756.0","138,075.0","140,649.0","143,009.0","145,385.0","147,883.0","150,197.0","152,685.0","154,992.0","157,149.0","159,427.0","162,066.0","165,241.0","168,957.0","173,143.0","176,989.0","180,482.0","183,637.0","186,411.0","189,179.0","191,878.0","194,508.0","197,199.0","199,868.0","202,639.0","205,538.0","208,371.0","211,407.0","214,442.0","217,495.0","220,316.0","223,923.0","227,588.0","231,632.0","234,530.0","238,242.0","241,560.0","245,662.0","248,668.0","248,830.0","251,592.0","257,513.0","260,352.0","263,690.0","267,773.0","272,346.0","273,585.0","275,488.0","278,862.0","281,011.0","283,621.0","288,171.0","290,377.0","293,504.0","296,212.0","299,999.0","305,243.0","309,893.0","311,289.0","312,426.0","318,137.0","322,218.0","324,766.0","328,004.0","331,179.0","333,985.0","334,738.0","336,801.0","339,500.0","342,571.0","346,884.0","351,703.0"
"26","7","  Nonprofit institutions serving households \3\","B702RX1","74,155.0","74,587.0","76,012.0","78,341.0","81,513.0","84,034.0","85,927.0","87,176.0","87,756.0","88,527.0","89,482.0","90,603.0","91,899.0","93,038.0","94,055.0","94,962.0","95,692.0","96,519.0","97,370.0","98,253.0","99,216.0","100,267.0","101,456.0","102,786.0","104,209.0","105,589.0","106,872.0","108,049.0","109,170.0","110,464.0","111,990.0","113,746.0","115,738.0","117,606.0","119,356.0","120,991.0","122,454.0","123,908.0","125,298.0","126,635.0","127,941.0","129,532.0","131,422.0","133,596.0","136,094.0","138,171.0","139,895.0","141,278.0","142,228.0","144,371.0","147,384.0","151,059.0","155,286.0","158,696.0","161,016.0","162,381.0","162,438.0","163,097.0","164,491.0","166,609.0","169,600.0","172,133.0","174,458.0","176,190.0","177,690.0","179,332.0","181,108.0","183,007.0","185,297.0","187,193.0","189,788.0","191,984.0","194,983.0","197,936.0","201,317.0","204,128.0","208,163.0","210,385.0","212,866.0","214,184.0","215,239.0","218,021.0","222,564.0","228,514.0","234,995.0","240,860.0","246,045.0","249,441.0","252,516.0","254,616.0"
"27","8","General government \4\","A765RX1","542,522.0","525,800.0","523,522.0","514,026.0","510,465.0","501,545.0","506,119.0","511,358.0","512,039.0","512,043.0","510,503.0","502,336.0","496,172.0","504,024.0","515,105.0","560,423.0","580,453.0","625,364.0","656,990.0","664,236.0","677,658.0","687,810.0","692,851.0","691,231.0","696,460.0","699,914.0","702,881.0","699,577.0","698,167.0","698,614.0","701,050.0","702,843.0","702,417.0","699,025.0","703,426.0","707,181.0","709,274.0","712,821.0","720,996.0","726,632.0","730,239.0","735,196.0","741,416.0","736,710.0","735,811.0","741,576.0","751,713.0","756,447.0","753,047.0","756,219.0","760,958.0","766,695.0","775,241.0","788,353.0","791,680.0","797,476.0","806,440.0","811,916.0","822,678.0","838,743.0","846,985.0","853,886.0","859,871.0","862,509.0","870,007.0","879,760.0","890,388.0","895,537.0","903,422.0","912,974.0","921,620.0","929,161.0","931,280.0","942,042.0","954,910.0","969,687.0","982,936.0","999,401.0","1,020,233.0","1,040,695.0","1,054,188.0","1,060,560.0","1,074,217.0","1,081,807.0","1,096,818.0","1,110,257.0","1,119,166.0","1,119,422.0","1,129,002.0","1,138,403.0"
"28","9","  Federal","A766RX1","288,206.0","274,230.0","270,894.0","262,368.0","259,661.0","252,623.0","255,028.0","257,110.0","254,750.0","251,712.0","247,669.0","239,199.0","233,845.0","239,408.0","247,508.0","282,358.0","297,014.0","331,170.0","354,903.0","359,098.0","368,853.0","375,830.0","378,260.0","375,038.0","377,338.0","378,023.0","377,921.0","373,056.0","369,969.0","368,477.0","368,329.0","367,228.0","365,207.0","360,347.0","360,585.0","360,284.0","359,807.0","358,153.0","361,035.0","362,339.0","363,389.0","364,763.0","366,119.0","358,481.0","355,084.0","355,366.0","359,579.0","360,313.0","356,422.0","357,190.0","358,384.0","360,194.0","363,276.0","370,055.0","368,665.0","369,991.0","372,318.0","375,149.0","380,370.0","391,143.0","396,780.0","398,873.0","399,813.0","398,270.0","400,748.0","405,017.0","408,322.0","408,612.0","409,536.0","412,588.0","415,821.0","416,236.0","414,769.0","416,673.0","420,806.0","427,310.0","434,300.0","442,446.0","454,107.0","464,520.0","475,596.0","477,343.0","482,342.0","483,040.0","486,928.0","492,936.0","495,000.0","490,444.0","493,238.0","496,411.0"
"29","10","  State and local","A767RX1","213,154.0","216,495.0","219,463.0","221,653.0","221,460.0","221,598.0","223,427.0","226,628.0","231,251.0","236,185.0","240,767.0","244,229.0","245,127.0","245,843.0","246,606.0","247,737.0","249,460.0","251,498.0","253,839.0","256,266.0","257,850.0","259,632.0","262,048.0","264,847.0","267,626.0","270,654.0","274,248.0","277,398.0","280,177.0","282,817.0","285,825.0","289,433.0","291,820.0","294,892.0","299,721.0","304,558.0","307,671.0","314,206.0","319,578.0","324,253.0","326,938.0","330,736.0","336,030.0","341,571.0","345,498.0","351,902.0","357,678.0","362,209.0","363,964.0","366,586.0","370,448.0","374,581.0","380,153.0","385,654.0","391,578.0","396,431.0","403,513.0","405,787.0","410,796.0","414,103.0","415,684.0","420,662.0","426,203.0","431,408.0","436,540.0","441,741.0","449,289.0","454,791.0","462,582.0","469,291.0","474,699.0","482,847.0","487,390.0","497,109.0","506,107.0","513,946.0","519,312.0","526,780.0","534,355.0","543,286.0","543,496.0","548,319.0","556,921.0","564,480.0","576,080.0","583,072.0","590,263.0","596,631.0","603,593.0","609,832.0"
"30","11","Residual","A961RX1","-9,200.0","-27,300.0","-1,700.0","-27,500.0","-14,800.0","19,500.0","12,900.0","12,700.0","-7,200.0","-10,500.0","-9,700.0","-13,700.0","8,400.0","12,200.0","8,200.0","-4,200.0","-19,300.0","-26,900.0","-29,000.0","-37,300.0","-43,200.0","-43,600.0","-40,700.0","-36,800.0","-30,100.0","-27,100.0","-38,600.0","-46,300.0","-43,700.0","-45,500.0","-46,900.0","-44,700.0","-36,900.0","-27,000.0","-26,700.0","-34,100.0","-39,800.0","-39,200.0","-46,600.0","-41,500.0","-50,700.0","-55,900.0","-57,100.0","-58,700.0","-71,900.0","-74,800.0","-78,400.0","-78,500.0","-65,800.0","-62,300.0","-69,900.0","-70,200.0","-74,500.0","-82,900.0","-81,800.0","-89,500.0","-94,500.0","-93,100.0","-94,500.0","-97,000.0","-94,600.0","-94,400.0","-98,400.0","-100,100.0","-95,200.0","-98,900.0","-100,300.0","-102,400.0","-102,100.0","-102,400.0","-100,300.0","-103,500.0","-95,400.0","-100,400.0","-96,500.0","-96,700.0","-91,500.0","-102,100.0","-115,200.0","-117,000.0","-114,600.0","-118,200.0","-123,400.0","-128,200.0","-130,600.0","-132,400.0","-136,800.0","-138,300.0","-136,400.0","-141,400.0"
"31",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","12","  Gross housing value added","A2009X1","126,931.0","127,778.0","128,968.0","130,441.0","132,140.0","134,039.0","136,100.0","138,287.0","140,575.0","142,924.0","145,321.0","147,758.0","150,157.0","152,732.0","155,411.0","158,195.0","161,019.0","164,038.0","167,172.0","170,393.0","173,945.0","177,067.0","180,016.0","182,788.0","185,076.0","187,792.0","190,637.0","193,624.0","196,956.0","200,037.0","203,055.0","206,002.0","208,870.0","211,701.0","214,503.0","217,299.0","219,905.0","222,921.0","226,137.0","229,558.0","233,529.0","237,069.0","240,526.0","243,911.0","246,774.0","250,411.0","254,370.0","258,654.0","264,418.0","268,261.0","273,418.0","278,262.0","282,400.0","286,059.0","290,346.0","295,630.0","299,413.0","302,640.0","306,921.0","313,023.0","316,595.0","322,587.0","327,179.0","333,447.0","335,523.0","338,912.0","343,253.0","347,593.0","350,812.0","354,711.0","359,009.0","365,089.0","369,452.0","373,992.0","379,628.0","384,800.0","388,090.0","391,735.0","397,414.0","402,640.0","407,212.0","411,778.0","417,234.0","421,694.0","424,822.0","426,437.0","430,870.0","436,591.0","441,983.0","448,137.0"
