"","Table 1#17#5# Gross Domestic Product, Gross Domestic Income, and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184"
"22","2","    Gross domestic income","A261RC1","989,849.0","1,009,426.0","1,031,186.0","1,042,612.0","1,049,816.0","1,064,391.0","1,081,973.0","1,085,965.0","1,124,544.0","1,146,843.0","1,168,515.0","1,193,239.0","1,229,187.0","1,252,557.0","1,284,886.0","1,334,631.0","1,374,259.0","1,402,855.0","1,434,376.0","1,478,278.0","1,494,724.0","1,524,136.0","1,560,019.0","1,586,830.0","1,604,274.0","1,642,094.0","1,705,102.0","1,751,289.0","1,806,322.0","1,836,090.0","1,873,548.0","1,912,555.0","1,960,983.0","2,039,308.0","2,104,092.0","2,162,401.0","2,208,176.0","2,315,265.0","2,369,410.0","2,440,819.0","2,507,654.0","2,554,592.0","2,611,966.0","2,675,204.0","2,732,785.0","2,740,675.0","2,824,435.0","2,976,411.0","3,074,534.0","3,132,456.0","3,233,318.0","3,256,654.0","3,275,494.0","3,328,217.0","3,362,970.0","3,386,260.0","3,451,680.0","3,534,177.0","3,620,048.0","3,730,009.0","3,874,318.0","3,970,031.0","4,046,270.0","4,117,630.0","4,201,820.0","4,258,648.0","4,335,843.0","4,385,614.0","4,451,878.0","4,481,534.0","4,529,526.0","4,590,703.0","4,670,621.0","4,776,541.0","4,883,208.0","4,988,272.0","5,088,251.0","5,197,311.0","5,305,278.0","5,421,561.0","5,517,202.0","5,563,303.0","5,625,041.0","5,668,522.0","5,790,947.0","5,883,925.0","5,930,862.0","5,947,206.0","5,998,662.0","6,055,565.0","6,116,196.0","6,172,223.0","6,307,059.0","6,399,120.0","6,450,039.0","6,557,367.0","6,567,654.0","6,688,954.0","6,740,767.0","6,908,165.0","6,979,068.0","7,124,379.0","7,230,427.0","7,353,881.0","7,430,915.0","7,506,751.0","7,634,931.0","7,721,404.0","7,847,667.0","7,995,993.0","8,094,138.0","8,236,720.0","8,382,733.0","8,504,449.0","8,677,560.0","8,820,143.0","8,928,914.0","9,075,842.0","9,239,152.0","9,353,397.0","9,516,676.0","9,607,814.0","9,731,793.0","9,936,236.0","10,216,595.0","10,331,418.0","10,475,701.0","10,513,287.0","10,701,802.0","10,757,808.0","10,754,640.0","10,732,975.0","10,906,585.0","11,014,435.0","11,077,913.0","11,202,222.0","11,289,079.0","11,430,674.0","11,604,030.0","11,773,426.0","11,966,630.0","12,195,788.0","12,410,728.0","12,560,890.0","12,800,770.0","12,986,117.0","13,222,995.0","13,506,934.0","13,870,993.0","14,003,732.0","14,157,218.0","14,260,718.0","14,384,602.0","14,485,835.0","14,456,401.0","14,513,723.0","14,621,924.0","14,683,244.0","14,722,067.0","14,457,758.0","14,269,691.0","14,243,700.0","14,310,137.0","14,559,272.0","14,627,415.0","14,793,735.0","15,050,501.0","15,188,980.0","15,326,241.0","15,513,595.0","15,694,876.0","15,815,261.0","16,104,551.0","16,150,303.0","16,269,602.0","16,522,044.0","16,690,909.0","16,847,771.0","17,004,606.0","17,181,365.0","17,137,306.0"
"23","3","    Net domestic product \1\","A362RC1","874,962.0","887,899.0","905,728.0","911,496.0","921,346.0","934,897.0","950,168.0","950,019.0","993,243.0","1,011,827.0","1,030,000.0","1,040,533.0","1,077,680.0","1,111,100.0","1,131,449.0","1,165,974.0","1,210,438.0","1,242,518.0","1,256,383.0","1,292,500.0","1,301,028.0","1,332,614.0","1,353,049.0","1,383,914.0","1,391,873.0","1,421,485.0","1,472,717.0","1,519,458.0","1,573,738.0","1,601,139.0","1,628,781.0","1,669,869.0","1,716,358.0","1,776,064.0","1,830,201.0","1,867,845.0","1,898,763.0","2,016,877.0","2,068,883.0","2,141,500.0","2,179,362.0","2,231,434.0","2,293,051.0","2,340,187.0","2,392,307.0","2,381,470.0","2,426,858.0","2,545,361.0","2,668,473.0","2,688,985.0","2,768,801.0","2,777,322.0","2,754,251.0","2,800,208.0","2,827,073.0","2,861,151.0","2,929,007.0","3,027,232.0","3,128,870.0","3,225,227.0","3,332,751.0","3,425,741.0","3,488,396.0","3,538,501.0","3,616,925.0","3,671,400.0","3,752,419.0","3,799,582.0","3,851,381.0","3,878,637.0","3,931,796.0","3,970,103.0","4,026,405.0","4,100,220.0","4,166,800.0","4,275,592.0","4,329,018.0","4,432,066.0","4,510,109.0","4,609,722.0","4,710,929.0","4,798,680.0","4,868,748.0","4,907,912.0","5,022,569.0","5,093,893.0","5,136,211.0","5,118,261.0","5,137,610.0","5,215,822.0","5,281,801.0","5,336,370.0","5,433,344.0","5,537,691.0","5,623,506.0","5,723,651.0","5,762,372.0","5,831,824.0","5,894,896.0","6,011,243.0","6,103,062.0","6,223,052.0","6,289,794.0","6,396,707.0","6,445,744.0","6,488,815.0","6,575,240.0","6,655,182.0","6,737,100.0","6,893,153.0","6,976,670.0","7,089,657.0","7,187,784.0","7,320,246.0","7,443,253.0","7,522,828.0","7,607,750.0","7,694,560.0","7,827,144.0","7,985,961.0","8,090,149.0","8,176,383.0","8,305,941.0","8,486,861.0","8,554,963.0","8,774,784.0","8,835,669.0","8,936,604.0","8,941,691.0","9,042,834.0","9,028,349.0","9,072,230.0","9,197,109.0","9,285,486.0","9,370,540.0","9,419,362.0","9,528,791.0","9,654,884.0","9,893,371.0","10,063,034.0","10,208,176.0","10,370,334.0","10,523,321.0","10,679,524.0","10,894,126.0","11,016,335.0","11,205,616.0","11,337,785.0","11,567,626.0","11,683,833.0","11,757,723.0","11,878,328.0","12,007,512.0","12,170,826.0","12,295,386.0","12,390,128.0","12,345,162.0","12,464,100.0","12,464,613.0","12,153,670.0","11,995,586.0","11,975,117.0","12,029,202.0","12,198,347.0","12,302,660.0","12,504,217.0","12,667,292.0","12,832,554.0","12,825,023.0","13,018,541.0","13,146,755.0","13,334,768.0","13,533,970.0","13,626,735.0","13,800,901.0","13,845,295.0","13,931,495.0","14,029,144.0","14,253,313.0","14,398,574.0","14,380,181.0"
"24","4","    Net domestic income \1\","W256RC1","869,392.0","885,964.0","904,898.0","913,367.0","917,634.0","929,178.0","943,680.0","944,522.0","979,975.0","999,315.0","1,018,202.0","1,040,187.0","1,073,060.0","1,093,535.0","1,122,498.0","1,168,582.0","1,204,017.0","1,227,778.0","1,253,946.0","1,291,709.0","1,301,098.0","1,322,530.0","1,349,672.0","1,367,740.0","1,376,594.0","1,407,131.0","1,464,007.0","1,504,880.0","1,555,551.0","1,580,285.0","1,611,829.0","1,644,011.0","1,684,807.0","1,755,207.0","1,811,906.0","1,861,530.0","1,898,251.0","1,995,579.0","2,039,427.0","2,100,160.0","2,155,460.0","2,190,116.0","2,234,628.0","2,284,685.0","2,328,569.0","2,322,207.0","2,391,250.0","2,528,247.0","2,611,215.0","2,654,196.0","2,740,922.0","2,750,447.0","2,755,943.0","2,797,150.0","2,822,977.0","2,839,608.0","2,900,372.0","2,977,571.0","3,056,668.0","3,159,120.0","3,294,303.0","3,380,781.0","3,447,297.0","3,508,532.0","3,581,744.0","3,627,760.0","3,693,708.0","3,732,100.0","3,786,925.0","3,804,936.0","3,841,708.0","3,891,420.0","3,960,805.0","4,055,312.0","4,149,511.0","4,241,206.0","4,326,668.0","4,421,684.0","4,515,916.0","4,618,585.0","4,700,796.0","4,733,571.0","4,782,251.0","4,813,009.0","4,922,703.0","5,003,174.0","5,037,590.0","5,042,158.0","5,081,426.0","5,127,799.0","5,179,597.0","5,229,323.0","5,359,630.0","5,444,539.0","5,487,024.0","5,583,493.0","5,581,871.0","5,691,213.0","5,731,470.0","5,886,593.0","5,945,899.0","6,077,613.0","6,167,995.0","6,273,958.0","6,331,394.0","6,390,673.0","6,503,672.0","6,577,127.0","6,691,654.0","6,827,648.0","6,911,801.0","7,039,336.0","7,168,493.0","7,272,791.0","7,429,094.0","7,554,689.0","7,646,967.0","7,775,700.0","7,919,809.0","8,013,745.0","8,156,479.0","8,222,731.0","8,319,019.0","8,490,845.0","8,735,424.0","8,822,500.0","8,947,561.0","8,974,557.0","9,130,992.0","9,159,083.0","9,138,687.0","9,102,548.0","9,266,417.0","9,361,923.0","9,408,637.0","9,515,903.0","9,587,115.0","9,714,185.0","9,869,025.0","10,018,003.0","10,183,375.0","10,382,618.0","10,564,647.0","10,676,600.0","10,878,745.0","11,026,787.0","11,222,067.0","11,461,392.0","11,788,780.0","11,884,662.0","12,004,466.0","12,070,677.0","12,157,163.0","12,232,169.0","12,179,931.0","12,213,897.0","12,294,180.0","12,330,242.0","12,342,368.0","12,064,709.0","11,884,054.0","11,876,750.0","11,954,971.0","12,193,500.0","12,257,587.0","12,418,789.0","12,668,038.0","12,789,852.0","12,908,359.0","13,070,201.0","13,229,792.0","13,331,330.0","13,596,940.0","13,616,597.0","13,714,468.0","13,947,037.0","14,087,083.0","14,215,895.0","14,344,983.0","14,490,353.0","14,416,161.0"
"25",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","5","    Gross national product","A001RC1","1,001,753.0","1,017,522.0","1,037,964.0","1,046,758.0","1,059,815.0","1,076,747.0","1,095,045.0","1,097,526.0","1,145,226.0","1,167,330.0","1,187,573.0","1,201,313.0","1,241,982.0","1,278,238.0","1,302,756.0","1,341,046.0","1,391,350.0","1,429,221.0","1,450,690.0","1,493,371.0","1,511,721.0","1,550,617.0","1,578,673.0","1,616,343.0","1,630,949.0","1,668,104.0","1,726,810.0","1,781,833.0","1,840,255.0","1,873,589.0","1,907,619.0","1,956,290.0","2,013,299.0","2,080,914.0","2,143,272.0","2,187,485.0","2,230,781.0","2,355,312.0","2,419,756.0","2,506,750.0","2,557,236.0","2,625,361.0","2,706,483.0","2,767,204.0","2,834,512.0","2,835,749.0","2,894,457.0","3,022,051.0","3,163,195.0","3,197,258.0","3,293,891.0","3,321,158.0","3,309,794.0","3,372,203.0","3,402,093.0","3,441,896.0","3,514,366.0","3,620,579.0","3,730,117.0","3,835,796.0","3,949,806.0","4,052,530.0","4,124,725.0","4,180,823.0","4,262,692.0","4,329,957.0","4,417,048.0","4,478,700.0","4,538,493.0","4,570,729.0","4,637,792.0","4,681,382.0","4,750,589.0","4,839,582.0","4,918,262.0","5,042,342.0","5,115,590.0","5,230,509.0","5,319,633.0","5,435,361.0","5,549,731.0","5,650,078.0","5,735,834.0","5,794,224.0","5,920,332.0","6,006,268.0","6,056,620.0","6,073,796.0","6,094,303.0","6,172,146.0","6,243,510.0","6,312,491.0","6,413,506.0","6,524,328.0","6,615,731.0","6,727,834.0","6,786,168.0","6,861,045.0","6,941,207.0","7,054,299.0","7,164,492.0","7,293,592.0","7,374,416.0","7,497,865.0","7,575,915.0","7,638,320.0","7,726,137.0","7,830,774.0","7,931,274.0","8,091,426.0","8,185,754.0","8,319,333.0","8,425,964.0","8,583,374.0","8,715,576.0","8,805,423.0","8,915,875.0","9,018,029.0","9,156,876.0","9,338,657.0","9,472,433.0","9,588,852.0","9,743,253.0","9,966,768.0","10,066,908.0","10,317,524.0","10,393,097.0","10,529,478.0","10,553,004.0","10,691,269.0","10,671,129.0","10,792,832.0","10,888,464.0","10,970,543.0","11,086,646.0","11,169,514.0","11,281,778.0","11,436,188.0","11,693,288.0","11,909,887.0","12,101,315.0","12,268,368.0","12,465,011.0","12,633,805.0","12,920,011.0","13,068,404.0","13,309,849.0","13,457,536.0","13,726,164.0","13,874,161.0","13,968,401.0","14,136,645.0","14,304,466.0","14,516,219.0","14,720,749.0","14,885,662.0","14,854,634.0","15,002,384.0","15,047,269.0","14,668,563.0","14,503,754.0","14,461,675.0","14,550,882.0","14,744,183.0","14,875,928.0","15,084,341.0","15,249,490.0","15,447,203.0","15,491,243.0","15,712,146.0","15,884,046.0","16,091,010.0","16,289,611.0","16,419,182.0","16,603,653.0","16,677,312.0","16,772,730.0","16,907,857.0","17,175,877.0","17,373,542.0","17,336,124.0"
"27","6","    Gross national income","A023RC1","996,183.0","1,015,587.0","1,037,134.0","1,048,629.0","1,056,103.0","1,071,028.0","1,088,557.0","1,092,029.0","1,131,958.0","1,154,818.0","1,175,775.0","1,200,967.0","1,237,362.0","1,260,673.0","1,293,805.0","1,343,654.0","1,384,929.0","1,414,481.0","1,448,253.0","1,492,580.0","1,511,791.0","1,540,533.0","1,575,296.0","1,600,169.0","1,615,670.0","1,653,750.0","1,718,100.0","1,767,255.0","1,822,068.0","1,852,735.0","1,890,667.0","1,930,432.0","1,981,748.0","2,060,057.0","2,124,977.0","2,181,170.0","2,230,269.0","2,334,014.0","2,390,300.0","2,465,410.0","2,533,334.0","2,584,043.0","2,648,060.0","2,711,702.0","2,770,774.0","2,776,486.0","2,858,849.0","3,004,937.0","3,105,937.0","3,162,469.0","3,266,012.0","3,294,283.0","3,311,486.0","3,369,145.0","3,397,997.0","3,420,353.0","3,485,731.0","3,570,918.0","3,657,915.0","3,769,689.0","3,911,358.0","4,007,570.0","4,083,626.0","4,150,854.0","4,227,511.0","4,286,317.0","4,358,337.0","4,411,218.0","4,474,037.0","4,497,028.0","4,547,704.0","4,602,699.0","4,684,989.0","4,794,674.0","4,900,973.0","5,007,956.0","5,113,240.0","5,220,127.0","5,325,440.0","5,444,224.0","5,539,598.0","5,584,969.0","5,649,337.0","5,699,321.0","5,820,466.0","5,915,549.0","5,957,999.0","5,997,693.0","6,038,119.0","6,084,123.0","6,141,306.0","6,205,444.0","6,339,792.0","6,431,176.0","6,479,249.0","6,587,676.0","6,605,667.0","6,720,434.0","6,777,781.0","6,929,649.0","7,007,329.0","7,148,153.0","7,252,617.0","7,375,116.0","7,461,565.0","7,540,178.0","7,654,569.0","7,752,719.0","7,885,828.0","8,025,921.0","8,120,885.0","8,269,012.0","8,406,673.0","8,535,919.0","8,701,417.0","8,837,284.0","8,955,092.0","9,099,169.0","9,249,541.0","9,366,441.0","9,538,763.0","9,635,200.0","9,756,331.0","9,970,752.0","10,247,369.0","10,365,240.0","10,504,989.0","10,567,431.0","10,742,305.0","10,807,518.0","10,781,467.0","10,823,150.0","10,957,772.0","11,046,980.0","11,124,743.0","11,266,055.0","11,340,102.0","11,495,489.0","11,668,942.0","11,864,856.0","12,076,514.0","12,280,652.0","12,506,337.0","12,630,881.0","12,904,630.0","13,078,856.0","13,326,300.0","13,581,143.0","13,947,318.0","14,074,990.0","14,215,144.0","14,328,994.0","14,454,117.0","14,577,562.0","14,605,294.0","14,709,431.0","14,803,652.0","14,868,526.0","14,925,024.0","14,579,602.0","14,392,222.0","14,363,308.0","14,476,651.0","14,739,336.0","14,830,855.0","14,998,913.0","15,250,236.0","15,404,501.0","15,574,579.0","15,763,806.0","15,967,083.0","16,087,572.0","16,352,581.0","16,409,044.0","16,517,220.0","16,779,054.0","16,928,318.0","17,094,608.0","17,267,547.0","17,465,321.0","17,372,104.0"
"28","7","    Net national product \1\","A027RC1","881,296.0","894,060.0","911,676.0","917,513.0","927,633.0","941,534.0","956,752.0","956,083.0","1,000,657.0","1,019,802.0","1,037,260.0","1,048,261.0","1,085,855.0","1,119,216.0","1,140,368.0","1,174,997.0","1,221,108.0","1,254,144.0","1,270,260.0","1,306,802.0","1,318,095.0","1,349,011.0","1,368,326.0","1,397,253.0","1,403,269.0","1,433,141.0","1,485,715.0","1,535,424.0","1,589,484.0","1,617,784.0","1,645,900.0","1,687,746.0","1,737,123.0","1,796,813.0","1,851,086.0","1,886,614.0","1,920,856.0","2,035,626.0","2,089,773.0","2,166,091.0","2,205,042.0","2,260,885.0","2,329,145.0","2,376,685.0","2,430,296.0","2,417,281.0","2,461,272.0","2,573,887.0","2,699,876.0","2,718,998.0","2,801,495.0","2,814,951.0","2,790,243.0","2,841,136.0","2,862,100.0","2,895,244.0","2,963,058.0","3,063,973.0","3,166,737.0","3,264,907.0","3,369,791.0","3,463,280.0","3,525,752.0","3,571,725.0","3,642,616.0","3,699,069.0","3,774,913.0","3,825,186.0","3,873,540.0","3,894,131.0","3,949,974.0","3,982,099.0","4,040,773.0","4,118,353.0","4,184,565.0","4,295,276.0","4,354,007.0","4,454,882.0","4,530,271.0","4,632,385.0","4,733,325.0","4,820,346.0","4,893,044.0","4,938,711.0","5,052,088.0","5,125,517.0","5,163,348.0","5,168,748.0","5,177,067.0","5,244,380.0","5,306,911.0","5,369,591.0","5,466,077.0","5,569,747.0","5,652,716.0","5,753,960.0","5,800,385.0","5,863,304.0","5,931,910.0","6,032,727.0","6,131,323.0","6,246,826.0","6,311,984.0","6,417,942.0","6,476,394.0","6,522,242.0","6,594,878.0","6,686,497.0","6,775,261.0","6,923,081.0","7,003,417.0","7,121,949.0","7,211,724.0","7,351,716.0","7,467,110.0","7,539,969.0","7,633,928.0","7,717,887.0","7,837,533.0","7,999,005.0","8,112,236.0","8,203,769.0","8,330,479.0","8,521,377.0","8,585,737.0","8,808,606.0","8,864,957.0","8,990,748.0","8,982,194.0","9,092,544.0","9,055,176.0","9,162,405.0","9,248,296.0","9,318,031.0","9,417,370.0","9,483,195.0","9,579,814.0","9,719,699.0","9,958,283.0","10,154,464.0","10,318,060.0","10,455,198.0","10,618,930.0","10,749,515.0","10,997,986.0","11,109,074.0","11,308,921.0","11,411,994.0","11,643,951.0","11,755,091.0","11,815,649.0","11,946,604.0","12,077,027.0","12,262,553.0","12,444,279.0","12,585,836.0","12,526,890.0","12,649,382.0","12,667,570.0","12,275,514.0","12,118,117.0","12,094,725.0","12,195,716.0","12,378,411.0","12,506,100.0","12,709,395.0","12,867,027.0","13,048,075.0","13,073,361.0","13,268,752.0","13,418,962.0","13,607,079.0","13,782,000.0","13,885,476.0","14,048,519.0","14,102,305.0","14,168,904.0","14,275,981.0","14,516,254.0","14,682,530.0","14,614,979.0"
"29","8","    National income \2\","A032RC1","875,726.0","892,125.0","910,846.0","919,384.0","923,921.0","935,815.0","950,264.0","950,586.0","987,389.0","1,007,290.0","1,025,462.0","1,047,915.0","1,081,235.0","1,101,651.0","1,131,417.0","1,177,605.0","1,214,687.0","1,239,404.0","1,267,823.0","1,306,011.0","1,318,165.0","1,338,927.0","1,364,949.0","1,381,079.0","1,387,990.0","1,418,787.0","1,477,005.0","1,520,846.0","1,571,297.0","1,596,930.0","1,628,948.0","1,661,888.0","1,705,572.0","1,775,956.0","1,832,791.0","1,880,299.0","1,920,344.0","2,014,328.0","2,060,317.0","2,124,751.0","2,181,140.0","2,219,567.0","2,270,722.0","2,321,183.0","2,366,558.0","2,358,018.0","2,425,664.0","2,556,773.0","2,642,618.0","2,684,209.0","2,773,616.0","2,788,076.0","2,791,935.0","2,838,078.0","2,858,004.0","2,873,701.0","2,934,423.0","3,014,312.0","3,094,535.0","3,198,800.0","3,331,343.0","3,418,320.0","3,484,653.0","3,541,756.0","3,607,435.0","3,655,429.0","3,716,202.0","3,757,704.0","3,809,084.0","3,820,430.0","3,859,886.0","3,903,416.0","3,975,173.0","4,073,445.0","4,167,276.0","4,260,890.0","4,351,657.0","4,444,500.0","4,536,078.0","4,641,248.0","4,723,192.0","4,755,237.0","4,806,547.0","4,843,808.0","4,952,222.0","5,034,798.0","5,064,727.0","5,092,645.0","5,120,883.0","5,156,357.0","5,204,707.0","5,262,544.0","5,392,363.0","5,476,595.0","5,516,234.0","5,613,802.0","5,619,884.0","5,722,693.0","5,768,484.0","5,908,077.0","5,974,160.0","6,101,387.0","6,190,185.0","6,295,193.0","6,362,044.0","6,424,100.0","6,523,310.0","6,608,442.0","6,729,815.0","6,857,576.0","6,938,548.0","7,071,628.0","7,192,433.0","7,304,261.0","7,452,951.0","7,571,830.0","7,673,145.0","7,799,027.0","7,930,198.0","8,026,789.0","8,178,566.0","8,250,117.0","8,343,557.0","8,525,361.0","8,766,198.0","8,856,322.0","8,976,849.0","9,028,701.0","9,171,495.0","9,208,793.0","9,165,514.0","9,192,723.0","9,317,604.0","9,394,468.0","9,455,467.0","9,579,736.0","9,638,138.0","9,779,000.0","9,933,937.0","10,109,433.0","10,293,259.0","10,467,482.0","10,660,256.0","10,746,591.0","10,982,605.0","11,119,526.0","11,325,372.0","11,535,601.0","11,865,105.0","11,955,920.0","12,062,392.0","12,138,953.0","12,226,678.0","12,323,896.0","12,328,824.0","12,409,605.0","12,475,908.0","12,515,524.0","12,545,325.0","12,186,553.0","12,006,585.0","11,996,358.0","12,121,485.0","12,373,564.0","12,461,027.0","12,623,967.0","12,867,773.0","13,005,373.0","13,156,697.0","13,320,412.0","13,501,999.0","13,603,641.0","13,844,970.0","13,875,338.0","13,962,086.0","14,204,047.0","14,324,492.0","14,462,732.0","14,607,924.0","14,774,309.0","14,650,959.0"
"30",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","9","    Gross domestic purchases","A712RC1","995,248.0","1,010,117.0","1,031,040.0","1,037,408.0","1,050,132.0","1,064,725.0","1,084,618.0","1,088,293.0","1,133,390.0","1,159,547.0","1,180,402.0","1,195,242.0","1,237,341.0","1,274,379.0","1,296,475.0","1,335,084.0","1,382,081.0","1,415,141.0","1,430,375.0","1,470,118.0","1,488,259.0","1,536,934.0","1,570,368.0","1,602,971.0","1,603,072.0","1,634,866.0","1,701,769.0","1,752,066.0","1,819,859.0","1,857,439.0","1,894,573.0","1,945,016.0","2,013,613.0","2,081,300.0","2,142,965.0","2,198,300.0","2,247,371.0","2,359,187.0","2,422,626.0","2,498,560.0","2,549,713.0","2,618,100.0","2,693,417.0","2,757,506.0","2,832,327.0","2,815,147.0","2,854,572.0","3,000,208.0","3,146,055.0","3,180,760.0","3,268,763.0","3,298,289.0","3,290,084.0","3,335,668.0","3,396,720.0","3,437,395.0","3,504,870.0","3,629,279.0","3,757,457.0","3,867,504.0","4,007,779.0","4,119,298.0","4,191,223.0","4,255,362.0","4,328,310.0","4,416,742.0","4,511,457.0","4,586,539.0","4,642,357.0","4,684,116.0","4,758,585.0","4,803,022.0","4,877,467.0","4,968,437.0","5,045,972.0","5,168,076.0","5,214,600.0","5,314,333.0","5,398,749.0","5,520,408.0","5,628,317.0","5,716,589.0","5,786,631.0","5,846,209.0","5,979,367.0","6,043,498.0","6,104,457.0","6,102,428.0","6,102,007.0","6,166,800.0","6,239,498.0","6,302,350.0","6,401,338.0","6,525,087.0","6,625,036.0","6,744,692.0","6,803,889.0","6,892,781.0","6,972,576.0","7,106,293.0","7,216,855.0","7,360,419.0","7,449,123.0","7,578,571.0","7,650,622.0","7,714,415.0","7,780,975.0","7,869,272.0","7,981,941.0","8,155,240.0","8,273,223.0","8,375,901.0","8,510,899.0","8,637,141.0","8,788,587.0","8,905,330.0","9,024,947.0","9,157,065.0","9,321,159.0","9,504,310.0","9,661,284.0","9,812,536.0","10,002,534.0","10,232,152.0","10,393,836.0","10,645,916.0","10,755,451.0","10,884,019.0","10,904,697.0","11,003,629.0","11,010,119.0","11,058,631.0","11,211,548.0","11,354,141.0","11,473,057.0","11,582,159.0","11,731,255.0","11,872,674.0","12,124,115.0","12,324,578.0","12,535,033.0","12,786,679.0","13,002,402.0","13,243,228.0","13,490,863.0","13,659,813.0","13,930,823.0","14,163,055.0","14,419,966.0","14,574,827.0","14,709,416.0","14,777,003.0","14,958,312.0","15,151,040.0","15,272,743.0","15,378,373.0","15,417,954.0","15,567,022.0","15,604,921.0","15,144,126.0","14,770,782.0","14,677,274.0","14,786,319.0","15,006,209.0","15,167,541.0","15,408,869.0","15,593,509.0","15,737,000.0","15,797,579.0","16,034,132.0","16,165,495.0","16,413,128.0","16,632,373.0","16,718,294.0","16,880,401.0","16,936,097.0","17,058,386.0","17,170,016.0","17,413,162.0","17,546,530.0","17,603,109.0"
