"","Table 3#22# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Current receipts","W005RU1","14,018.0","9,202.0","9,875.0","9,719.0","14,203.0","9,115.0","9,794.0","9,264.0","11,963.0","8,078.0","9,344.0","8,475.0","12,427.0","10,558.0","12,916.0","12,902.0","19,539.0","14,429.0","14,360.0","14,587.0","19,777.0","15,027.0","15,638.0","15,369.0","21,023.0","15,836.0","17,124.0","14,624.0","19,198.0","13,583.0","15,097.0","14,633.0","17,881.0","18,512.0","17,737.0","16,942.0","19,517.0","20,234.0","18,302.0","17,790.0","20,794.0","21,664.0","19,383.0","17,476.0","18,781.0","19,854.0","18,907.0","18,514.0","20,992.0","24,133.0","21,258.0","20,220.0","23,661.0","26,613.0","22,567.0","20,714.0","22,101.0","26,808.0","23,269.0","22,901.0","25,040.0","29,838.0","24,870.0","23,439.0","26,885.0","31,647.0","26,996.0","25,809.0","27,534.0","32,054.0","26,798.0","24,932.0","29,156.0","35,450.0","28,681.0","27,140.0","32,163.0","39,922.0","33,089.0","32,213.0","36,167.0","40,601.0","35,854.0","33,631.0","39,438.0","46,755.0","43,553.0","40,828.0","46,407.0","54,603.0","47,527.0","43,298.0"
"21","2","Current tax receipts","W006RU1","12,322.0","7,621.0","8,561.0","8,617.0","12,922.0","7,881.0","8,591.0","8,249.0","10,603.0","6,713.0","8,098.0","7,430.0","10,972.0","9,099.0","11,546.0","11,704.0","17,722.0","12,595.0","12,740.0","13,184.0","17,751.0","13,220.0","13,987.0","13,903.0","18,911.0","13,938.0","15,398.0","13,244.0","16,782.0","11,395.0","13,171.0","13,078.0","15,506.0","15,773.0","15,545.0","15,147.0","16,777.0","17,100.0","16,031.0","15,920.0","17,578.0","18,107.0","16,764.0","15,449.0","15,634.0","16,284.0","16,283.0","16,442.0","17,356.0","19,933.0","18,249.0","17,707.0","18,901.0","21,243.0","18,693.0","17,615.0","17,066.0","21,404.0","19,356.0","19,632.0","19,169.0","23,568.0","20,512.0","20,026.0","20,127.0","24,576.0","22,045.0","21,842.0","20,474.0","24,739.0","21,623.0","20,897.0","21,778.0","27,719.0","23,332.0","22,771.0","23,335.0","30,277.0","25,372.0","25,723.0","26,127.0","29,565.0","27,461.0","26,671.0","28,329.0","34,891.0","34,009.0","32,452.0","33,704.0","41,417.0","36,735.0","34,114.0"
"22","3","  Personal current taxes","A074RU1","7,893.0","3,291.0","4,078.0","3,531.0","8,385.0","3,074.0","3,542.0","3,064.0","6,340.0","2,513.0","3,596.0","2,927.0","6,084.0","3,139.0","4,092.0","4,117.0","9,429.0","4,907.0","5,627.0","5,412.0","10,817.0","6,088.0","6,925.0","6,337.0","11,290.0","5,930.0","7,569.0","6,517.0","10,466.0","4,813.0","6,713.0","6,076.0","8,281.0","7,758.0","7,652.0","6,779.0","9,059.0","8,986.0","8,367.0","7,501.0","9,578.0","9,901.0","8,823.0","7,692.0","9,147.0","9,308.0","8,925.0","8,105.0","9,293.0","10,532.0","9,705.0","8,936.0","10,122.0","12,092.0","10,417.0","9,207.0","9,545.0","12,521.0","10,726.0","9,902.0","10,650.0","14,022.0","11,504.0","10,353.0","11,370.0","14,176.0","12,300.0","11,292.0","10,970.0","13,677.0","11,314.0","10,024.0","11,240.0","16,034.0","12,767.0","11,027.0","12,720.0","17,923.0","14,077.0","13,882.0","15,599.0","17,921.0","16,460.0","14,406.0","16,231.0","21,192.0","20,821.0","18,191.0","20,718.0","27,132.0","23,539.0","20,311.0"
"23","4","  Taxes on production and imports","W007RU1","1,852.0","1,798.0","1,902.0","2,112.0","1,843.0","1,894.0","2,010.0","2,081.0","1,854.0","1,923.0","2,077.0","2,016.0","1,877.0","2,065.0","2,516.0","2,276.0","2,363.0","2,162.0","2,250.0","2,415.0","2,347.0","2,509.0","2,552.0","2,713.0","2,600.0","2,710.0","2,713.0","2,684.0","2,370.0","2,392.0","2,295.0","2,450.0","2,384.0","2,658.0","2,640.0","2,746.0","2,523.0","2,675.0","2,726.0","3,042.0","2,750.0","2,939.0","2,885.0","2,926.0","2,623.0","2,867.0","2,713.0","2,995.0","2,812.0","3,139.0","3,036.0","3,224.0","3,134.0","3,503.0","3,095.0","3,340.0","2,957.0","3,474.0","3,153.0","3,577.0","3,244.0","3,723.0","3,379.0","3,785.0","3,345.0","3,937.0","3,505.0","3,899.0","3,413.0","4,192.0","3,686.0","4,133.0","3,902.0","4,231.0","3,428.0","3,866.0","3,067.0","4,053.0","3,506.0","3,823.0","3,372.0","3,914.0","3,727.0","4,151.0","3,846.0","4,250.0","4,219.0","4,557.0","4,112.0","4,628.0","4,435.0","4,637.0"
"24","5","  Taxes on corporate income","B075RU1","2,577.0","2,532.0","2,581.0","2,974.0","2,694.0","2,913.0","3,039.0","3,104.0","2,409.0","2,277.0","2,425.0","2,487.0","3,011.0","3,895.0","4,938.0","5,311.0","5,930.0","5,526.0","4,863.0","5,357.0","4,587.0","4,623.0","4,510.0","4,853.0","5,021.0","5,298.0","5,116.0","4,043.0","3,946.0","4,190.0","4,163.0","4,552.0","4,841.0","5,357.0","5,253.0","5,622.0","5,195.0","5,439.0","4,938.0","5,377.0","5,250.0","5,267.0","5,056.0","4,831.0","3,864.0","4,109.0","4,645.0","5,342.0","5,230.0","6,241.0","5,487.0","5,526.0","5,623.0","5,623.0","5,157.0","5,044.0","4,538.0","5,382.0","5,449.0","6,122.0","5,243.0","5,787.0","5,592.0","5,848.0","5,368.0","6,415.0","6,191.0","6,604.0","6,046.0","6,825.0","6,578.0","6,692.0","6,587.0","7,403.0","7,084.0","7,825.0","7,494.0","8,247.0","7,729.0","7,958.0","7,097.0","7,670.0","7,212.0","8,047.0","8,181.0","9,373.0","8,886.0","9,615.0","8,779.0","9,559.0","8,660.0","9,066.0"
"25","6","  Taxes from the rest of the world","W008RU1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","21.0","21.0","21.0","21.0","22.0","25.0","24.0","24.0","26.0","27.0","28.0","31.0","32.0","36.0","37.0","40.0","44.0","48.0","49.0","47.0","45.0","45.0","45.0","48.0","49.0","51.0","53.0","53.0","54.0","54.0","60.0","60.0","59.0","60.0","62.0","67.0","71.0","76.0","83.0","89.0","95.0","98.0","101.0","100.0"
"26","7","Contributions for government social insurance","W780RU1","1,613.0","1,506.0","1,241.0","1,029.0","1,203.0","1,155.0","1,122.0","935.0","1,280.0","1,285.0","1,165.0","966.0","1,401.0","1,404.0","1,313.0","1,141.0","1,752.0","1,769.0","1,553.0","1,336.0","1,956.0","1,738.0","1,580.0","1,393.0","2,040.0","1,824.0","1,652.0","1,307.0","2,338.0","2,110.0","1,849.0","1,479.0","2,294.0","2,659.0","2,112.0","1,715.0","2,646.0","3,041.0","2,180.0","1,780.0","3,124.0","3,464.0","2,526.0","1,933.0","3,051.0","3,472.0","2,527.0","1,976.0","3,677.0","4,206.0","3,099.0","2,479.0","4,573.0","5,064.0","3,652.0","2,728.0","4,843.0","5,171.0","3,711.0","2,840.0","5,595.0","5,930.0","4,100.0","3,001.0","6,403.0","6,674.0","4,599.0","3,430.0","6,648.0","6,900.0","4,737.0","3,497.0","6,837.0","7,203.0","4,897.0","3,805.0","8,384.0","9,080.0","7,339.0","5,817.0","9,564.0","10,461.0","7,875.0","6,202.0","10,402.0","11,129.0","8,885.0","7,481.0","12,139.0","12,575.0","10,290.0","8,310.0"
"27","8","Income receipts on assets \1\","W009RU1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","30.0","30.0","32.0","33.0","315.0","347.0","385.0","433.0","343.0","389.0","385.0","474.0","388.0","473.0","427.0","505.0","425.0","477.0","459.0","533.0","457.0","498.0","501.0","492.0","487.0","538.0","488.0","510.0","484.0","569.0","530.0","653.0","558.0","658.0","648.0","772.0","722.0","753.0","781.0","816.0","634.0","693.0","676.0","813.0"
"28","9","Current transfer receipts","W011RU1","82.0","74.0","73.0","73.0","77.0","74.0","72.0","69.0","68.0","69.0","72.0","71.0","47.0","47.0","47.0","46.0","53.0","52.0","53.0","53.0","55.0","55.0","57.0","59.0","58.0","59.0","58.0","57.0","61.0","61.0","59.0","58.0","63.0","61.0","62.0","61.0","74.0","73.0","71.0","69.0","71.0","70.0","69.0","70.0","73.0","73.0","72.0","71.0","68.0","70.0","67.0","68.0","70.0","73.0","77.0","82.0","86.0","86.0","91.0","94.0","95.0","97.0","100.0","102.0","110.0","121.0","114.0","118.0","114.0","104.0","191.0","208.0","221.0","229.0","240.0","247.0","249.0","253.0","256.0","261.0","228.0","238.0","248.0","254.0","245.0","243.0","234.0","231.0","241.0","248.0","252.0","257.0"
"29","10","Current surplus of government enterprises \2\","B097RU1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-139.0","-106.0","-189.0","-67.0","-198.0","-114.0","-240.0","-144.0","-237.0","-242.0","-274.0","-139.0","-207.0","-230.0","-269.0","-195.0","-180.0","-201.0","-221.0","-114.0","-159.0","-187.0","-254.0","-162.0","-167.0","-239.0","-276.0","-193.0","-289.0","-257.0","-408.0","-241.0","-310.0","-321.0","-378.0","-268.0","-260.0","-261.0","-356.0","-152.0","-311.0","-330.0","-426.0","-196.0"
"30","11","    Current expenditures","W013RU1","9,989.0","10,364.0","10,362.0","9,716.0","9,470.0","10,055.0","10,480.0","11,452.0","11,654.0","11,649.0","11,499.0","11,585.0","13,455.0","11,263.0","10,210.0","12,033.0","12,790.0","14,178.0","15,380.0","16,107.0","15,605.0","16,647.0","17,277.0","18,409.0","17,634.0","18,531.0","17,280.0","19,325.0","17,471.0","17,811.0","16,743.0","18,485.0","17,488.0","17,505.0","18,044.0","18,601.0","17,561.0","18,809.0","17,771.0","20,303.0","19,582.0","20,436.0","20,186.0","21,732.0","20,661.0","21,961.0","22,044.0","23,424.0","21,653.0","22,883.0","22,833.0","23,117.0","22,303.0","23,348.0","23,428.0","24,290.0","24,013.0","25,584.0","24,279.0","25,908.0","26,199.0","27,408.0","26,891.0","28,031.0","27,701.0","27,979.0","29,147.0","28,629.0","28,737.0","29,917.0","30,231.0","29,295.0","29,320.0","30,998.0","32,761.0","32,817.0","33,142.0","35,490.0","38,252.0","37,459.0","39,807.0","41,041.0","42,417.0","42,479.0","43,401.0","46,692.0","46,873.0","47,345.0","45,919.0","49,415.0","51,517.0","50,092.0"
"31","12","Consumption expenditures","A957RU1","5,863.0","6,106.0","5,493.0","5,558.0","5,025.0","5,454.0","5,668.0","6,536.0","6,221.0","5,996.0","6,062.0","6,280.0","5,988.0","5,440.0","5,498.0","7,002.0","7,605.0","8,766.0","10,271.0","10,802.0","10,713.0","11,520.0","12,045.0","13,323.0","12,407.0","13,161.0","12,064.0","13,975.0","11,815.0","11,944.0","10,937.0","12,463.0","11,161.0","11,236.0","11,997.0","12,405.0","11,072.0","12,174.0","11,037.0","13,077.0","12,303.0","12,442.0","12,275.0","13,853.0","12,215.0","13,051.0","12,870.0","14,421.0","11,947.0","13,476.0","13,217.0","13,138.0","11,885.0","12,683.0","13,015.0","13,366.0","12,461.0","13,597.0","12,758.0","13,891.0","13,742.0","15,336.0","14,632.0","15,280.0","14,459.0","15,141.0","15,895.0","15,669.0","14,832.0","16,429.0","16,164.0","15,683.0","14,965.0","16,475.0","16,916.0","18,095.0","17,189.0","19,080.0","20,254.0","19,932.0","20,846.0","22,387.0","21,682.0","23,105.0","23,022.0","24,969.0","23,355.0","25,465.0","23,543.0","25,813.0","25,662.0","25,405.0"
"32","13","Current transfer payments","W014RU1","2,579.0","2,612.0","3,408.0","2,700.0","2,936.0","2,969.0","3,236.0","3,264.0","3,751.0","3,974.0","3,783.0","3,620.0","5,674.0","3,921.0","2,898.0","3,156.0","3,168.0","3,337.0","3,191.0","3,333.0","2,883.0","3,078.0","3,253.0","3,119.0","3,154.0","3,341.0","3,128.0","3,344.0","3,590.0","3,623.0","3,664.0","3,930.0","4,128.0","4,021.0","3,869.0","3,960.0","4,096.0","4,210.0","4,146.0","4,281.0","4,559.0","4,896.0","4,721.0","5,093.0","5,517.0","5,994.0","5,877.0","5,978.0","6,682.0","6,511.0","6,466.0","6,550.0","6,747.0","6,969.0","6,716.0","6,964.0","7,952.0","8,029.0","7,632.0","7,549.0","8,318.0","8,070.0","7,821.0","7,950.0","8,882.0","8,569.0","8,151.0","8,214.0","9,047.0","8,856.0","8,503.0","8,456.0","9,191.0","9,605.0","9,716.0","9,352.0","10,541.0","11,043.0","10,693.0","11,422.0","12,844.0","12,908.0","13,198.0","13,058.0","13,921.0","15,292.0","14,605.0","14,983.0","15,400.0","16,597.0","15,891.0","16,659.0"
"33","14","  Government social benefits","W015RU1","1,997.0","1,865.0","2,533.0","1,988.0","1,905.0","1,821.0","1,650.0","1,810.0","2,032.0","2,090.0","1,999.0","2,079.0","4,257.0","2,417.0","1,696.0","1,857.0","1,933.0","1,982.0","1,980.0","1,999.0","1,977.0","1,922.0","2,076.0","2,106.0","2,204.0","2,144.0","2,098.0","2,256.0","2,606.0","2,707.0","2,592.0","2,775.0","2,963.0","2,931.0","2,772.0","2,836.0","3,094.0","3,128.0","2,998.0","3,080.0","3,470.0","3,737.0","3,516.0","3,808.0","4,451.0","4,791.0","4,539.0","4,410.0","4,826.0","4,630.0","4,473.0","4,649.0","5,030.0","4,986.0","4,934.0","5,163.0","6,076.0","5,949.0","5,731.0","5,627.0","6,175.0","5,905.0","5,785.0","5,937.0","6,668.0","6,172.0","6,010.0","6,118.0","6,712.0","6,344.0","6,208.0","6,245.0","6,864.0","6,626.0","7,273.0","6,952.0","7,469.0","7,209.0","7,486.0","8,183.0","9,214.0","9,164.0","9,318.0","9,379.0","10,228.0","10,660.0","10,685.0","10,844.0","11,508.0","11,628.0","11,456.0","11,749.0"
