"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20",NA,"Production in the United States:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1","    Gross domestic product","A191RX1","1,932,600.0","1,930,412.0","1,928,448.0","1,958,807.0","1,987,606.0","2,019,889.0","2,031,179.0","2,033,347.0","2,005,563.0","1,998,835.0","2,020,825.0","2,002,702.0","2,082,538.0","2,145,515.0","2,228,210.0","2,271,243.0","2,302,318.0","2,342,254.0","2,390,499.0","2,395,791.0","2,421,120.0","2,426,174.0","2,443,725.0","2,523,927.0","2,570,898.0","2,590,964.0","2,576,444.0","2,537,344.0","2,525,611.0","2,528,252.0","2,556,931.0","2,606,758.0","2,681,180.0","2,724,825.0","2,761,467.0","2,778,087.0","2,767,370.0","2,790,190.0","2,787,910.0","2,833,517.0","2,851,778.0","2,845,453.0","2,873,169.0","2,843,718.0","2,770,000.0","2,788,278.0","2,852,741.0","2,919,470.0","2,973,782.0","3,046,096.0","3,040,235.0","3,052,194.0","3,120,195.0","3,108,361.0","3,116,104.0","3,078,384.0","3,099,314.0","3,156,922.0","3,209,561.0","3,274,610.0","3,333,591.0","3,369,510.0","3,401,609.0","3,414,802.0","3,452,806.0","3,497,818.0","3,566,096.0","3,591,546.0","3,669,226.0","3,712,856.0","3,763,277.0","3,776,627.0","3,869,782.0","3,922,689.0","4,002,358.0","4,096,741.0","4,197,921.0","4,215,116.0","4,245,170.0","4,281,583.0","4,320,947.0","4,324,696.0","4,362,001.0","4,397,108.0","4,486,382.0","4,562,157.0","4,594,968.0","4,615,388.0","4,687,098.0","4,702,124.0"
"22","2","    Gross domestic income","A261RX1","1,910,654.0","1,909,148.0","1,912,051.0","1,930,130.0","1,982,519.0","2,028,290.0","2,029,578.0","2,039,571.0","1,999,585.0","1,993,879.0","2,005,975.0","1,977,703.0","2,058,150.0","2,142,351.0","2,223,667.0","2,266,808.0","2,278,768.0","2,319,060.0","2,359,547.0","2,380,288.0","2,396,074.0","2,410,345.0","2,432,692.0","2,507,143.0","2,551,946.0","2,569,624.0","2,553,180.0","2,501,805.0","2,507,808.0","2,512,023.0","2,534,587.0","2,588,019.0","2,659,007.0","2,713,391.0","2,748,882.0","2,769,814.0","2,772,822.0","2,801,168.0","2,804,077.0","2,852,301.0","2,859,202.0","2,856,737.0","2,869,486.0","2,838,369.0","2,777,230.0","2,785,203.0","2,846,761.0","2,907,200.0","2,973,566.0","3,054,567.0","3,029,806.0","3,050,975.0","3,118,807.0","3,117,744.0","3,117,321.0","3,100,307.0","3,106,898.0","3,159,557.0","3,210,066.0","3,285,959.0","3,325,479.0","3,362,450.0","3,396,691.0","3,436,703.0","3,465,859.0","3,516,508.0","3,564,138.0","3,595,289.0","3,655,158.0","3,708,803.0","3,761,027.0","3,797,215.0","3,881,900.0","3,931,768.0","3,987,127.0","4,074,564.0","4,163,855.0","4,191,477.0","4,220,331.0","4,257,593.0","4,282,594.0","4,306,194.0","4,351,412.0","4,395,275.0","4,461,470.0","4,529,659.0","4,588,657.0","4,616,999.0","4,660,964.0","4,693,040.0"
"23","3","    Net domestic product \1\","A362RX1","1,762,675.0","1,758,585.0","1,755,345.0","1,786,803.0","1,817,099.0","1,850,697.0","1,862,235.0","1,863,987.0","1,834,183.0","1,826,395.0","1,848,079.0","1,828,608.0","1,910,204.0","1,974,038.0","2,058,116.0","2,100,489.0","2,130,313.0","2,169,013.0","2,216,223.0","2,218,441.0","2,241,441.0","2,243,043.0","2,257,443.0","2,336,763.0","2,381,280.0","2,397,939.0","2,378,794.0","2,334,189.0","2,317,845.0","2,316,935.0","2,343,110.0","2,391,486.0","2,465,263.0","2,506,947.0","2,541,508.0","2,555,326.0","2,540,257.0","2,560,216.0","2,554,035.0","2,598,004.0","2,613,212.0","2,602,698.0","2,627,359.0","2,592,024.0","2,510,344.0","2,525,115.0","2,588,443.0","2,654,709.0","2,708,535.0","2,781,065.0","2,772,155.0","2,781,575.0","2,849,442.0","2,833,964.0","2,838,572.0","2,795,595.0","2,813,379.0","2,869,281.0","2,919,992.0","2,983,412.0","3,040,104.0","3,073,038.0","3,101,544.0","3,110,192.0","3,144,480.0","3,186,101.0","3,251,744.0","3,272,770.0","3,348,214.0","3,388,061.0","3,434,549.0","3,442,496.0","3,532,764.0","3,580,918.0","3,656,581.0","3,747,264.0","3,844,463.0","3,854,754.0","3,878,270.0","3,908,343.0","3,941,550.0","3,937,811.0","3,968,962.0","3,997,916.0","4,083,105.0","4,154,015.0","4,180,422.0","4,194,121.0","4,260,387.0","4,268,704.0"
"24","4","    Net domestic income \1\","W256RX1","1,740,128.0","1,736,551.0","1,738,435.0","1,757,098.0","1,811,896.0","1,859,309.0","1,860,520.0","1,870,411.0","1,827,918.0","1,821,347.0","1,832,692.0","1,802,629.0","1,884,872.0","1,970,856.0","2,053,414.0","2,095,813.0","2,105,849.0","2,144,929.0","2,184,128.0","2,202,355.0","2,215,379.0","2,226,501.0","2,245,911.0","2,319,332.0","2,361,539.0","2,375,768.0","2,354,557.0","2,297,196.0","2,299,252.0","2,300,122.0","2,319,936.0","2,371,983.0","2,442,210.0","2,495,154.0","2,528,398.0","2,546,829.0","2,545,853.0","2,571,590.0","2,570,887.0","2,617,592.0","2,620,860.0","2,614,388.0","2,623,488.0","2,586,367.0","2,517,794.0","2,521,801.0","2,582,236.0","2,641,843.0","2,708,436.0","2,789,781.0","2,761,280.0","2,780,226.0","2,848,044.0","2,843,654.0","2,839,767.0","2,818,305.0","2,821,228.0","2,871,969.0","2,920,499.0","2,995,336.0","3,031,636.0","3,065,683.0","3,096,394.0","3,132,847.0","3,158,052.0","3,205,621.0","3,249,790.0","3,276,660.0","3,333,502.0","3,383,818.0","3,432,383.0","3,463,782.0","3,545,203.0","3,590,355.0","3,640,837.0","3,724,258.0","3,809,057.0","3,830,174.0","3,852,548.0","3,883,551.0","3,901,744.0","3,918,665.0","3,957,870.0","3,996,009.0","4,057,462.0","4,120,474.0","4,173,840.0","4,195,696.0","4,233,296.0","4,259,442.0"
"25",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","5","    Gross national product","A001RX1","1,945,134.0","1,943,443.0","1,941,423.0","1,972,413.0","2,002,289.0","2,035,252.0","2,046,627.0","2,048,790.0","2,020,414.0","2,013,327.0","2,034,994.0","2,015,798.0","2,096,426.0","2,160,151.0","2,245,099.0","2,288,152.0","2,318,702.0","2,360,962.0","2,409,923.0","2,416,118.0","2,440,547.0","2,445,699.0","2,462,999.0","2,543,044.0","2,589,842.0","2,610,848.0","2,594,624.0","2,555,508.0","2,544,852.0","2,547,418.0","2,576,342.0","2,628,172.0","2,703,087.0","2,746,514.0","2,783,403.0","2,800,441.0","2,791,665.0","2,814,326.0","2,812,499.0","2,855,781.0","2,877,174.0","2,872,384.0","2,899,210.0","2,865,387.0","2,791,974.0","2,810,565.0","2,874,540.0","2,941,184.0","2,995,469.0","3,067,897.0","3,063,307.0","3,076,413.0","3,143,792.0","3,132,371.0","3,140,946.0","3,104,291.0","3,126,477.0","3,183,042.0","3,236,233.0","3,301,873.0","3,360,796.0","3,398,909.0","3,431,292.0","3,448,118.0","3,484,872.0","3,528,974.0","3,597,837.0","3,624,165.0","3,704,368.0","3,746,929.0","3,798,283.0","3,809,609.0","3,906,587.0","3,960,578.0","4,038,167.0","4,130,049.0","4,232,307.0","4,249,578.0","4,279,046.0","4,316,744.0","4,355,817.0","4,358,775.0","4,398,983.0","4,433,270.0","4,523,430.0","4,599,936.0","4,633,724.0","4,653,938.0","4,725,886.0","4,739,760.0"
"27","6","    Gross national income","A023RX1","1,923,169.0","1,922,101.0","1,925,075.0","1,943,673.0","1,997,231.0","2,043,624.0","2,044,963.0","2,055,142.0","2,014,374.0","2,008,384.0","2,020,021.0","1,990,785.0","2,072,001.0","2,156,997.0","2,240,614.0","2,283,723.0","2,295,101.0","2,337,746.0","2,378,931.0","2,400,714.0","2,415,370.0","2,429,771.0","2,451,874.0","2,526,168.0","2,570,698.0","2,589,505.0","2,571,337.0","2,519,760.0","2,527,016.0","2,531,208.0","2,553,898.0","2,609,392.0","2,680,963.0","2,735,220.0","2,770,777.0","2,792,228.0","2,797,059.0","2,825,244.0","2,828,631.0","2,874,560.0","2,884,541.0","2,883,594.0","2,895,407.0","2,860,016.0","2,799,241.0","2,807,383.0","2,868,590.0","2,928,776.0","2,995,393.0","3,076,288.0","3,052,904.0","3,075,185.0","3,142,472.0","3,141,789.0","3,142,193.0","3,126,160.0","3,134,137.0","3,185,669.0","3,236,611.0","3,313,298.0","3,352,596.0","3,391,791.0","3,426,371.0","3,470,004.0","3,498,027.0","3,547,784.0","3,595,834.0","3,628,017.0","3,690,276.0","3,742,740.0","3,796,076.0","3,830,075.0","3,918,733.0","3,969,636.0","4,023,093.0","4,107,767.0","4,198,127.0","4,225,804.0","4,254,161.0","4,292,729.0","4,317,418.0","4,340,169.0","4,388,220.0","4,431,459.0","4,498,530.0","4,567,352.0","4,627,529.0","4,655,472.0","4,699,641.0","4,730,702.0"
"28","7","    Net national product \1\","A027RX1","1,775,411.0","1,771,828.0","1,768,527.0","1,800,643.0","1,832,058.0","1,866,365.0","1,877,994.0","1,879,740.0","1,849,315.0","1,841,153.0","1,862,504.0","1,841,914.0","1,924,343.0","1,988,959.0","2,075,384.0","2,117,779.0","2,147,057.0","2,188,171.0","2,236,127.0","2,239,277.0","2,261,337.0","2,263,032.0","2,277,164.0","2,356,324.0","2,400,657.0","2,418,286.0","2,397,356.0","2,352,718.0","2,337,481.0","2,336,485.0","2,362,909.0","2,413,367.0","2,487,659.0","2,529,115.0","2,563,929.0","2,578,176.0","2,565,117.0","2,584,905.0","2,579,187.0","2,620,727.0","2,639,196.0","2,630,274.0","2,654,000.0","2,614,086.0","2,532,704.0","2,547,794.0","2,610,614.0","2,676,792.0","2,730,589.0","2,803,239.0","2,795,647.0","2,806,256.0","2,873,477.0","2,858,421.0","2,863,888.0","2,822,007.0","2,841,091.0","2,895,904.0","2,947,187.0","3,011,221.0","3,067,851.0","3,103,060.0","3,131,855.0","3,144,267.0","3,177,248.0","3,217,919.0","3,284,167.0","3,306,096.0","3,384,155.0","3,422,888.0","3,470,338.0","3,476,176.0","3,570,404.0","3,619,675.0","3,693,177.0","3,781,266.0","3,879,580.0","3,889,937.0","3,912,835.0","3,944,228.0","3,977,124.0","3,972,551.0","4,006,697.0","4,034,791.0","4,120,895.0","4,192,555.0","4,219,961.0","4,233,436.0","4,299,942.0","4,307,053.0"
"29",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","8","    Gross domestic purchases","A712RX1","1,889,200.0","1,889,976.0","1,888,177.0","1,939,693.0","1,983,236.0","2,030,951.0","2,043,563.0","2,048,533.0","2,005,060.0","1,998,209.0","2,027,526.0","2,024,092.0","2,108,880.0","2,176,016.0","2,276,192.0","2,313,053.0","2,340,045.0","2,366,920.0","2,404,184.0","2,408,270.0","2,438,394.0","2,457,026.0","2,489,834.0","2,580,033.0","2,626,889.0","2,652,155.0","2,632,770.0","2,590,939.0","2,577,456.0","2,575,241.0","2,601,489.0","2,648,379.0","2,726,183.0","2,779,413.0","2,811,361.0","2,831,879.0","2,820,179.0","2,834,402.0","2,828,674.0","2,863,430.0","2,881,836.0","2,880,930.0","2,911,037.0","2,885,675.0","2,825,860.0","2,848,960.0","2,912,663.0","2,987,476.0","3,038,088.0","3,113,875.0","3,104,899.0","3,117,418.0","3,174,970.0","3,154,213.0","3,162,185.0","3,114,093.0","3,135,983.0","3,198,683.0","3,261,806.0","3,326,707.0","3,391,658.0","3,416,011.0","3,460,472.0","3,479,295.0","3,511,035.0","3,541,193.0","3,624,534.0","3,641,392.0","3,709,582.0","3,754,406.0","3,811,570.0","3,823,718.0","3,935,018.0","3,973,541.0","4,068,061.0","4,158,621.0","4,270,621.0","4,283,606.0","4,333,483.0","4,365,932.0","4,405,110.0","4,409,384.0","4,455,748.0","4,496,207.0","4,593,721.0","4,670,252.0","4,703,741.0","4,725,808.0","4,806,171.0","4,815,829.0"
"31","9","    Final sales to domestic purchasers \2\","A713RX1","1,904,234.0","1,920,725.0","1,936,465.0","1,959,608.0","1,980,729.0","2,006,368.0","2,011,511.0","2,030,633.0","2,023,640.0","2,050,365.0","2,056,370.0","2,079,605.0","2,116,477.0","2,176,425.0","2,270,115.0","2,243,654.0","2,306,808.0","2,306,300.0","2,372,081.0","2,406,890.0","2,432,686.0","2,487,643.0","2,480,718.0","2,570,958.0","2,624,872.0","2,651,011.0","2,640,979.0","2,625,098.0","2,608,720.0","2,613,587.0","2,636,794.0","2,675,685.0","2,728,949.0","2,773,199.0","2,808,304.0","2,819,408.0","2,814,196.0","2,837,170.0","2,835,997.0","2,873,351.0","2,899,198.0","2,894,714.0","2,918,926.0","2,922,957.0","2,866,546.0","2,887,312.0","2,927,056.0","2,990,881.0","3,042,691.0","3,094,929.0","3,125,975.0","3,116,553.0","3,139,192.0","3,161,988.0","3,160,627.0","3,167,126.0","3,173,396.0","3,212,078.0","3,248,990.0","3,321,178.0","3,367,465.0","3,411,058.0","3,450,655.0","3,484,593.0","3,494,638.0","3,539,485.0","3,619,172.0","3,645,744.0","3,711,914.0","3,758,235.0","3,811,055.0","3,822,559.0","3,901,243.0","3,956,319.0","4,044,874.0","4,146,812.0","4,227,015.0","4,244,725.0","4,301,419.0","4,311,007.0","4,356,387.0","4,404,374.0","4,438,155.0","4,483,735.0","4,582,689.0","4,628,431.0","4,695,216.0","4,726,452.0","4,782,056.0","4,800,834.0"
"32",NA,"Purchasing power of income: \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
