"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","Gross domestic product","A191RX1","1,932,600.0","1,930,412.0","1,928,448.0","1,958,807.0","1,987,606.0","2,019,889.0","2,031,179.0","2,033,347.0","2,005,563.0","1,998,835.0","2,020,825.0","2,002,702.0","2,082,538.0","2,145,515.0","2,228,210.0","2,271,243.0","2,302,318.0","2,342,254.0","2,390,499.0","2,395,791.0","2,421,120.0","2,426,174.0","2,443,725.0","2,523,927.0","2,570,898.0","2,590,964.0","2,576,444.0","2,537,344.0","2,525,611.0","2,528,252.0","2,556,931.0","2,606,758.0","2,681,180.0","2,724,825.0","2,761,467.0","2,778,087.0","2,767,370.0","2,790,190.0","2,787,910.0","2,833,517.0","2,851,778.0","2,845,453.0","2,873,169.0","2,843,718.0","2,770,000.0","2,788,278.0","2,852,741.0","2,919,470.0","2,973,782.0","3,046,096.0","3,040,235.0","3,052,194.0","3,120,195.0","3,108,361.0","3,116,104.0","3,078,384.0","3,099,314.0","3,156,922.0","3,209,561.0","3,274,610.0","3,333,591.0","3,369,510.0","3,401,609.0","3,414,802.0","3,452,806.0","3,497,818.0","3,566,096.0","3,591,546.0","3,669,226.0","3,712,856.0","3,763,277.0","3,776,627.0","3,869,782.0","3,922,689.0","4,002,358.0","4,096,741.0","4,197,921.0","4,215,116.0","4,245,170.0","4,281,583.0","4,320,947.0","4,324,696.0","4,362,001.0","4,397,108.0","4,486,382.0","4,562,157.0","4,594,968.0","4,615,388.0","4,687,098.0","4,702,124.0"
"21","2","Less: Exports of goods and services","A020RX1","90,660.0","89,517.0","84,974.0","75,347.0","71,910.0","65,188.0","66,720.0","64,368.0","72,071.0","71,453.0","65,484.0","56,686.0","55,751.0","56,425.0","57,888.0","62,580.0","65,708.0","72,174.0","73,947.0","73,253.0","77,152.0","68,671.0","63,248.0","63,681.0","62,604.0","62,995.0","65,520.0","63,360.0","60,519.0","69,213.0","66,989.0","70,074.0","72,677.0","70,983.0","75,641.0","75,982.0","79,588.0","84,951.0","87,779.0","91,715.0","97,695.0","94,799.0","92,144.0","89,389.0","80,517.0","80,898.0","81,153.0","80,896.0","86,253.0","89,120.0","91,947.0","89,488.0","100,697.0","107,098.0","104,395.0","106,559.0","105,827.0","104,356.0","103,789.0","106,998.0","106,736.0","116,979.0","110,438.0","108,052.0","110,583.0","123,525.0","116,926.0","122,793.0","130,319.0","132,473.0","131,452.0","135,371.0","120,767.0","143,441.0","135,226.0","145,025.0","142,475.0","148,720.0","143,133.0","147,861.0","150,704.0","149,338.0","145,708.0","149,859.0","154,212.0","157,280.0","166,525.0","164,403.0","144,673.0","177,106.0"
"22","3","Plus: Imports of goods and services","A021RX1","54,807.0","55,863.0","49,542.0","52,214.0","58,879.0","61,214.0","64,410.0","63,364.0","61,464.0","60,567.0","58,099.0","58,974.0","60,622.0","63,968.0","78,937.0","79,085.0","79,090.0","76,469.0","69,993.0","68,162.0","76,071.0","75,678.0","80,308.0","87,508.0","85,351.0","89,778.0","89,436.0","85,036.0","80,126.0","87,332.0","82,064.0","82,843.0","87,738.0","92,713.0","94,273.0","97,689.0","101,790.0","101,261.0","102,140.0","97,453.0","105,204.0","106,025.0","103,982.0","104,340.0","105,894.0","110,420.0","108,741.0","114,427.0","117,383.0","123,058.0","124,213.0","121,057.0","125,646.0","126,591.0","122,865.0","117,070.0","116,501.0","117,921.0","125,730.0","128,720.0","132,638.0","135,533.0","137,252.0","138,930.0","135,714.0","138,909.0","142,435.0","141,968.0","141,835.0","145,028.0","148,920.0","152,947.0","147,442.0","164,842.0","165,518.0","173,594.0","178,068.0","182,496.0","192,732.0","194,902.0","197,945.0","196,372.0","198,951.0","209,443.0","221,783.0","225,166.0","238,698.0","236,687.0","214,362.0","256,654.0"
"23","4","Equals: Gross domestic purchases","A712RX1","1,889,200.0","1,889,976.0","1,888,177.0","1,939,693.0","1,983,236.0","2,030,951.0","2,043,563.0","2,048,533.0","2,005,060.0","1,998,209.0","2,027,526.0","2,024,092.0","2,108,880.0","2,176,016.0","2,276,192.0","2,313,053.0","2,340,045.0","2,366,920.0","2,404,184.0","2,408,270.0","2,438,394.0","2,457,026.0","2,489,834.0","2,580,033.0","2,626,889.0","2,652,155.0","2,632,770.0","2,590,939.0","2,577,456.0","2,575,241.0","2,601,489.0","2,648,379.0","2,726,183.0","2,779,413.0","2,811,361.0","2,831,879.0","2,820,179.0","2,834,402.0","2,828,674.0","2,863,430.0","2,881,836.0","2,880,930.0","2,911,037.0","2,885,675.0","2,825,860.0","2,848,960.0","2,912,663.0","2,987,476.0","3,038,088.0","3,113,875.0","3,104,899.0","3,117,418.0","3,174,970.0","3,154,213.0","3,162,185.0","3,114,093.0","3,135,983.0","3,198,683.0","3,261,806.0","3,326,707.0","3,391,658.0","3,416,011.0","3,460,472.0","3,479,295.0","3,511,035.0","3,541,193.0","3,624,534.0","3,641,392.0","3,709,582.0","3,754,406.0","3,811,570.0","3,823,718.0","3,935,018.0","3,973,541.0","4,068,061.0","4,158,621.0","4,270,621.0","4,283,606.0","4,333,483.0","4,365,932.0","4,405,110.0","4,409,384.0","4,455,748.0","4,496,207.0","4,593,721.0","4,670,252.0","4,703,741.0","4,725,808.0","4,806,171.0","4,815,829.0"
"24","5","Less: Change in private inventories","A014RX1","5,505.0","-3,818.0","-14,894.0","-2,491.0","12,441.0","23,666.0","27,655.0","21,398.0","-2,184.0","-19,270.0","-4,222.0","-19,257.0","8,077.0","11,791.0","15,482.0","49,588.0","30,810.0","44,799.0","29,540.0","12,695.0","15,929.0","-3,874.0","17,649.0","17,698.0","14,301.0","14,031.0","8,511.0","-7,296.0","-6,484.0","-10,440.0","-8,317.0","-3,072.0","12,381.0","18,269.0","16,672.0","22,963.0","19,368.0","13,456.0","10,441.0","9,242.0","4,998.0","7,189.0","10,504.0","-9,789.0","-12,253.0","-10,681.0","5,414.0","14,243.0","11,544.0","29,230.0","3,460.0","17,127.0","42,751.0","12,215.0","17,275.0","-20,108.0","-9,167.0","7,910.0","26,249.0","21,779.0","34,416.0","21,618.0","25,354.0","15,053.0","29,606.0","19,524.0","23,173.0","16,928.0","18,068.0","17,336.0","20,773.0","19,867.0","45,521.0","32,796.0","36,934.0","29,703.0","52,041.0","50,014.0","44,456.0","61,182.0","57,259.0","25,154.0","33,895.0","32,975.0","30,126.0","52,768.0","28,805.0","23,933.0","40,124.0","33,530.0"
"25","6","Equals: Final sales to domestic purchasers","A713RX1","1,904,234.0","1,920,725.0","1,936,465.0","1,959,608.0","1,980,729.0","2,006,368.0","2,011,511.0","2,030,633.0","2,023,640.0","2,050,365.0","2,056,370.0","2,079,605.0","2,116,477.0","2,176,425.0","2,270,115.0","2,243,654.0","2,306,808.0","2,306,300.0","2,372,081.0","2,406,890.0","2,432,686.0","2,487,643.0","2,480,718.0","2,570,958.0","2,624,872.0","2,651,011.0","2,640,979.0","2,625,098.0","2,608,720.0","2,613,587.0","2,636,794.0","2,675,685.0","2,728,949.0","2,773,199.0","2,808,304.0","2,819,408.0","2,814,196.0","2,837,170.0","2,835,997.0","2,873,351.0","2,899,198.0","2,894,714.0","2,918,926.0","2,922,957.0","2,866,546.0","2,887,312.0","2,927,056.0","2,990,881.0","3,042,691.0","3,094,929.0","3,125,975.0","3,116,553.0","3,139,192.0","3,161,988.0","3,160,627.0","3,167,126.0","3,173,396.0","3,212,078.0","3,248,990.0","3,321,178.0","3,367,465.0","3,411,058.0","3,450,655.0","3,484,593.0","3,494,638.0","3,539,485.0","3,619,172.0","3,645,744.0","3,711,914.0","3,758,235.0","3,811,055.0","3,822,559.0","3,901,243.0","3,956,319.0","4,044,874.0","4,146,812.0","4,227,015.0","4,244,725.0","4,301,419.0","4,311,007.0","4,356,387.0","4,404,374.0","4,438,155.0","4,483,735.0","4,582,689.0","4,628,431.0","4,695,216.0","4,726,452.0","4,782,056.0","4,800,834.0"
"26",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","7","  Final sales of domestic product","A190RX1","1,947,887.0","1,960,949.0","1,975,986.0","1,978,419.0","1,985,207.0","1,995,873.0","1,999,874.0","2,015,841.0","2,023,780.0","2,049,860.0","2,048,995.0","2,056,797.0","2,089,726.0","2,145,650.0","2,221,811.0","2,202,738.0","2,269,363.0","2,282,478.0","2,358,858.0","2,394,341.0","2,415,356.0","2,455,968.0","2,434,381.0","2,514,547.0","2,568,447.0","2,589,333.0","2,584,015.0","2,570,365.0","2,555,813.0","2,565,449.0","2,591,174.0","2,633,184.0","2,683,505.0","2,718,256.0","2,758,032.0","2,765,389.0","2,761,042.0","2,792,511.0","2,794,724.0","2,842,969.0","2,868,521.0","2,858,645.0","2,880,562.0","2,879,825.0","2,809,323.0","2,825,287.0","2,866,336.0","2,922,265.0","2,977,773.0","3,027,019.0","3,060,325.0","3,050,827.0","3,084,786.0","3,115,596.0","3,114,203.0","3,129,927.0","3,135,575.0","3,169,671.0","3,196,622.0","3,268,790.0","3,309,502.0","3,364,300.0","3,391,551.0","3,419,462.0","3,436,321.0","3,495,799.0","3,560,391.0","3,595,404.0","3,671,182.0","3,716,267.0","3,762,385.0","3,775,113.0","3,836,260.0","3,905,437.0","3,979,177.0","4,084,710.0","4,154,727.0","4,176,572.0","4,213,151.0","4,227,273.0","4,272,701.0","4,319,089.0","4,344,063.0","4,384,131.0","4,474,747.0","4,520,493.0","4,585,760.0","4,615,112.0","4,662,625.0","4,686,575.0"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Note. Chained (2009) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","quantity index and the 2009 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
