"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","Gross domestic product","A191RX1","1,932,600.0","1,930,412.0","1,928,448.0","1,958,807.0","1,987,606.0","2,019,889.0","2,031,179.0","2,033,347.0","2,005,563.0","1,998,835.0","2,020,825.0","2,002,702.0","2,082,538.0","2,145,515.0","2,228,210.0","2,271,243.0","2,302,318.0","2,342,254.0","2,390,499.0","2,395,791.0","2,421,120.0","2,426,174.0","2,443,725.0","2,523,927.0","2,570,898.0","2,590,964.0","2,576,444.0","2,537,344.0","2,525,611.0","2,528,252.0","2,556,931.0","2,606,758.0","2,681,180.0","2,724,825.0","2,761,467.0","2,778,087.0","2,767,370.0","2,790,190.0","2,787,910.0","2,833,517.0","2,851,778.0","2,845,453.0","2,873,169.0","2,843,718.0","2,770,000.0","2,788,278.0","2,852,741.0","2,919,470.0","2,973,782.0","3,046,096.0","3,040,235.0","3,052,194.0","3,120,195.0","3,108,361.0","3,116,104.0","3,078,384.0","3,099,314.0","3,156,922.0","3,209,561.0","3,274,610.0","3,333,591.0","3,369,510.0","3,401,609.0","3,414,802.0","3,452,806.0","3,497,818.0","3,566,096.0","3,591,546.0","3,669,226.0","3,712,856.0","3,763,277.0","3,776,627.0","3,869,782.0","3,922,689.0","4,002,358.0","4,096,741.0","4,197,921.0","4,215,116.0","4,245,170.0","4,281,583.0","4,320,947.0","4,324,696.0","4,362,001.0","4,397,108.0","4,486,382.0","4,562,157.0","4,594,968.0","4,615,388.0","4,687,098.0","4,702,124.0"
"21","2","Plus: Income receipts from the rest of the world","A645RX1","13,897.0","14,382.0","14,184.0","15,566.0","16,439.0","17,163.0","18,074.0","17,401.0","17,568.0","17,000.0","16,735.0","15,592.0","16,557.0","17,411.0","19,964.0","19,951.0","19,688.0","22,368.0","22,946.0","23,954.0","22,562.0","23,152.0","22,877.0","22,721.0","22,257.0","23,264.0","21,528.0","21,999.0","23,045.0","22,907.0","23,009.0","25,252.0","25,839.0","26,092.0","26,441.0","26,852.0","29,224.0","28,752.0","29,671.0","26,869.0","30,508.0","32,260.0","31,342.0","26,347.0","27,098.0","26,819.0","26,472.0","26,603.0","26,827.0","27,210.0","29,264.0","31,187.0","31,493.0","31,638.0","32,408.0","33,329.0","34,910.0","33,613.0","34,541.0","35,402.0","34,627.0","37,253.0","37,590.0","41,818.0","40,482.0","39,959.0","41,016.0","42,389.0","45,290.0","44,293.0","45,247.0","43,721.0","47,918.0","49,315.0","47,221.0","44,672.0","45,878.0","46,247.0","46,657.0","48,465.0","48,065.0","47,157.0","50,165.0","50,068.0","51,999.0","53,959.0","55,501.0","55,482.0","57,946.0","59,474.0"
"22","3","Less: Income payments to the rest of the world","A655RX1","4,060.0","3,952.0","3,817.0","4,490.0","4,218.0","4,241.0","5,005.0","4,401.0","5,103.0","4,954.0","5,106.0","5,156.0","5,380.0","5,519.0","5,667.0","5,744.0","6,141.0","6,181.0","6,070.0","6,032.0","5,803.0","6,234.0","6,298.0","6,537.0","6,428.0","6,386.0","6,599.0","6,937.0","6,699.0","6,664.0","6,569.0","6,586.0","6,783.0","7,355.0","7,499.0","7,467.0","7,546.0","7,336.0","7,684.0","7,718.0","7,739.0","7,684.0","7,870.0","7,917.0","8,099.0","7,546.0","7,915.0","8,289.0","8,653.0","9,052.0","9,579.0","10,160.0","11,266.0","10,937.0","10,786.0","10,414.0","10,582.0","10,632.0","11,025.0","11,340.0","10,804.0","10,996.0","11,077.0","11,199.0","11,364.0","11,946.0","12,465.0","12,878.0","13,086.0","13,380.0","13,393.0","14,143.0","14,239.0","14,518.0","14,907.0","15,333.0","15,536.0","15,838.0","16,899.0","17,327.0","17,335.0","17,316.0","17,179.0","18,018.0","19,086.0","20,320.0","20,819.0","21,055.0","23,263.0","25,920.0"
"23","4","Equals: Gross national product","A001RX1","1,945,134.0","1,943,443.0","1,941,423.0","1,972,413.0","2,002,289.0","2,035,252.0","2,046,627.0","2,048,790.0","2,020,414.0","2,013,327.0","2,034,994.0","2,015,798.0","2,096,426.0","2,160,151.0","2,245,099.0","2,288,152.0","2,318,702.0","2,360,962.0","2,409,923.0","2,416,118.0","2,440,547.0","2,445,699.0","2,462,999.0","2,543,044.0","2,589,842.0","2,610,848.0","2,594,624.0","2,555,508.0","2,544,852.0","2,547,418.0","2,576,342.0","2,628,172.0","2,703,087.0","2,746,514.0","2,783,403.0","2,800,441.0","2,791,665.0","2,814,326.0","2,812,499.0","2,855,781.0","2,877,174.0","2,872,384.0","2,899,210.0","2,865,387.0","2,791,974.0","2,810,565.0","2,874,540.0","2,941,184.0","2,995,469.0","3,067,897.0","3,063,307.0","3,076,413.0","3,143,792.0","3,132,371.0","3,140,946.0","3,104,291.0","3,126,477.0","3,183,042.0","3,236,233.0","3,301,873.0","3,360,796.0","3,398,909.0","3,431,292.0","3,448,118.0","3,484,872.0","3,528,974.0","3,597,837.0","3,624,165.0","3,704,368.0","3,746,929.0","3,798,283.0","3,809,609.0","3,906,587.0","3,960,578.0","4,038,167.0","4,130,049.0","4,232,307.0","4,249,578.0","4,279,046.0","4,316,744.0","4,355,817.0","4,358,775.0","4,398,983.0","4,433,270.0","4,523,430.0","4,599,936.0","4,633,724.0","4,653,938.0","4,725,886.0","4,739,760.0"
"24","5","Less: Consumption of fixed capital","A262RX1","190,667.0","192,192.0","193,167.0","193,074.0","192,622.0","192,445.0","192,550.0","192,944.0","193,777.0","194,443.0","195,332.0","195,871.0","196,795.0","197,962.0","199,288.0","201,096.0","203,024.0","205,206.0","207,504.0","210,029.0","212,599.0","215,402.0","218,359.0","221,503.0","224,837.0","228,070.0","231,179.0","234,235.0","237,456.0","240,292.0","243,099.0","245,734.0","248,487.0","251,326.0","254,054.0","256,729.0","259,717.0","262,610.0","265,475.0","268,185.0","271,068.0","273,985.0","277,163.0","280,595.0","284,229.0","287,479.0","290,392.0","292,873.0","294,973.0","297,111.0","299,221.0","301,513.0","303,760.0","306,145.0","308,770.0","311,620.0","314,699.0","317,794.0","320,892.0","324,126.0","327,670.0","331,054.0","334,798.0","338,719.0","342,750.0","346,733.0","350,816.0","355,023.0","359,042.0","363,281.0","367,836.0","372,488.0","377,449.0","382,729.0","388,183.0","393,807.0","399,827.0","405,789.0","411,839.0","417,922.0","423,946.0","430,041.0","436,011.0","441,923.0","447,671.0","453,664.0","459,713.0","465,686.0","472,039.0","477,850.0"
"25","6","  Private","A024RX1","111,604.0","113,751.0","116,000.0","118,359.0","120,837.0","123,144.0","125,274.0","127,220.0","128,976.0","130,730.0","132,483.0","134,237.0","135,993.0","137,773.0","139,576.0","141,401.0","143,244.0","144,935.0","146,470.0","147,844.0","149,054.0","150,419.0","151,942.0","153,627.0","155,478.0","157,304.0","159,105.0","160,880.0","162,628.0","164,428.0","166,279.0","168,182.0","170,137.0","172,151.0","174,223.0","176,353.0","178,539.0","180,645.0","182,672.0","184,616.0","186,478.0","188,538.0","190,804.0","193,286.0","195,990.0","198,298.0","200,198.0","201,681.0","202,736.0","203,786.0","204,830.0","205,870.0","206,906.0","208,142.0","209,580.0","211,224.0","213,078.0","214,948.0","216,834.0","218,735.0","220,653.0","222,736.0","224,988.0","227,410.0","230,006.0","232,625.0","235,267.0","237,929.0","240,612.0","243,555.0","246,762.0","250,238.0","253,987.0","257,943.0","262,109.0","266,487.0","271,082.0","275,606.0","280,058.0","284,434.0","288,732.0","292,986.0","297,194.0","301,357.0","305,472.0","309,768.0","314,250.0","318,918.0","323,777.0","328,480.0"
"26","7","  Government","A264RX1","85,783.0","85,070.0","83,601.0","80,810.0","77,461.0","74,577.0","72,221.0","70,398.0","69,273.0","67,956.0","66,879.0","65,393.0","64,355.0","63,556.0","62,906.0","62,801.0","62,809.0","63,297.0","64,110.0","65,383.0","66,913.0","68,531.0","70,137.0","71,763.0","73,411.0","74,970.0","76,414.0","77,832.0","79,480.0","80,604.0","81,630.0","82,390.0","83,225.0","84,090.0","84,752.0","85,284.0","86,113.0","86,929.0","87,809.0","88,609.0","89,712.0","90,612.0","91,566.0","92,555.0","93,508.0","94,496.0","95,586.0","96,681.0","97,853.0","99,078.0","100,276.0","101,695.0","103,063.0","104,351.0","105,673.0","107,007.0","108,349.0","109,690.0","111,015.0","112,480.0","114,285.0","115,703.0","117,335.0","118,966.0","120,513.0","121,977.0","123,529.0","125,199.0","126,631.0","128,004.0","129,427.0","130,637.0","131,879.0","133,240.0","134,551.0","135,803.0","137,252.0","138,721.0","140,378.0","142,164.0","143,972.0","145,918.0","147,773.0","149,617.0","151,327.0","153,101.0","154,717.0","156,015.0","157,526.0","158,594.0"
"27","8","    General government","A265RX1","80,775.0","80,068.0","78,559.0","75,836.0","72,552.0","69,718.0","67,371.0","65,565.0","64,436.0","63,125.0","62,028.0","60,557.0","59,507.0","58,665.0","57,946.0","57,813.0","57,797.0","58,241.0","58,981.0","60,192.0","61,627.0","63,126.0","64,634.0","66,191.0","67,767.0","69,259.0","70,638.0","71,960.0","73,508.0","74,573.0","75,537.0","76,243.0","77,013.0","77,805.0","78,393.0","78,872.0","79,631.0","80,360.0","81,182.0","81,918.0","82,929.0","83,742.0","84,631.0","85,549.0","86,420.0","87,333.0","88,326.0","89,343.0","90,425.0","91,545.0","92,668.0","93,943.0","95,224.0","96,368.0","97,610.0","98,812.0","100,059.0","101,262.0","102,470.0","103,836.0","105,511.0","106,808.0","108,311.0","109,798.0","111,239.0","112,599.0","114,042.0","115,562.0","116,882.0","118,145.0","119,423.0","120,509.0","121,627.0","122,855.0","124,061.0","125,186.0","126,504.0","127,829.0","129,339.0","130,996.0","132,637.0","134,460.0","136,156.0","137,834.0","139,390.0","140,969.0","142,450.0","143,574.0","144,910.0","145,848.0"
"28","9","    Government enterprises","A266RX1","3,929.0","3,946.0","4,057.0","4,063.0","4,085.0","4,111.0","4,171.0","4,203.0","4,242.0","4,275.0","4,333.0","4,359.0","4,407.0","4,487.0","4,595.0","4,633.0","4,665.0","4,707.0","4,778.0","4,822.0","4,899.0","5,008.0","5,089.0","5,131.0","5,179.0","5,221.0","5,266.0","5,350.0","5,432.0","5,477.0","5,528.0","5,576.0","5,636.0","5,705.0","5,782.0","5,834.0","5,900.0","5,988.0","6,038.0","6,097.0","6,184.0","6,271.0","6,328.0","6,391.0","6,468.0","6,537.0","6,632.0","6,701.0","6,783.0","6,883.0","6,947.0","7,090.0","7,164.0","7,313.0","7,378.0","7,509.0","7,595.0","7,735.0","7,849.0","7,933.0","8,050.0","8,165.0","8,285.0","8,424.0","8,517.0","8,608.0","8,705.0","8,852.0","8,954.0","9,057.0","9,204.0","9,331.0","9,455.0","9,586.0","9,686.0","9,814.0","9,941.0","10,084.0","10,226.0","10,342.0","10,506.0","10,609.0","10,761.0","10,921.0","11,070.0","11,271.0","11,397.0","11,582.0","11,762.0","11,897.0"
"29","10","Equals: Net national product","A027RX1","1,775,411.0","1,771,828.0","1,768,527.0","1,800,643.0","1,832,058.0","1,866,365.0","1,877,994.0","1,879,740.0","1,849,315.0","1,841,153.0","1,862,504.0","1,841,914.0","1,924,343.0","1,988,959.0","2,075,384.0","2,117,779.0","2,147,057.0","2,188,171.0","2,236,127.0","2,239,277.0","2,261,337.0","2,263,032.0","2,277,164.0","2,356,324.0","2,400,657.0","2,418,286.0","2,397,356.0","2,352,718.0","2,337,481.0","2,336,485.0","2,362,909.0","2,413,367.0","2,487,659.0","2,529,115.0","2,563,929.0","2,578,176.0","2,565,117.0","2,584,905.0","2,579,187.0","2,620,727.0","2,639,196.0","2,630,274.0","2,654,000.0","2,614,086.0","2,532,704.0","2,547,794.0","2,610,614.0","2,676,792.0","2,730,589.0","2,803,239.0","2,795,647.0","2,806,256.0","2,873,477.0","2,858,421.0","2,863,888.0","2,822,007.0","2,841,091.0","2,895,904.0","2,947,187.0","3,011,221.0","3,067,851.0","3,103,060.0","3,131,855.0","3,144,267.0","3,177,248.0","3,217,919.0","3,284,167.0","3,306,096.0","3,384,155.0","3,422,888.0","3,470,338.0","3,476,176.0","3,570,404.0","3,619,675.0","3,693,177.0","3,781,266.0","3,879,580.0","3,889,937.0","3,912,835.0","3,944,228.0","3,977,124.0","3,972,551.0","4,006,697.0","4,034,791.0","4,120,895.0","4,192,555.0","4,219,961.0","4,233,436.0","4,299,942.0","4,307,053.0"
"30",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","11","  Gross domestic income \1\","A261RX1","1,910,654.0","1,909,148.0","1,912,051.0","1,930,130.0","1,982,519.0","2,028,290.0","2,029,578.0","2,039,571.0","1,999,585.0","1,993,879.0","2,005,975.0","1,977,703.0","2,058,150.0","2,142,351.0","2,223,667.0","2,266,808.0","2,278,768.0","2,319,060.0","2,359,547.0","2,380,288.0","2,396,074.0","2,410,345.0","2,432,692.0","2,507,143.0","2,551,946.0","2,569,624.0","2,553,180.0","2,501,805.0","2,507,808.0","2,512,023.0","2,534,587.0","2,588,019.0","2,659,007.0","2,713,391.0","2,748,882.0","2,769,814.0","2,772,822.0","2,801,168.0","2,804,077.0","2,852,301.0","2,859,202.0","2,856,737.0","2,869,486.0","2,838,369.0","2,777,230.0","2,785,203.0","2,846,761.0","2,907,200.0","2,973,566.0","3,054,567.0","3,029,806.0","3,050,975.0","3,118,807.0","3,117,744.0","3,117,321.0","3,100,307.0","3,106,898.0","3,159,557.0","3,210,066.0","3,285,959.0","3,325,479.0","3,362,450.0","3,396,691.0","3,436,703.0","3,465,859.0","3,516,508.0","3,564,138.0","3,595,289.0","3,655,158.0","3,708,803.0","3,761,027.0","3,797,215.0","3,881,900.0","3,931,768.0","3,987,127.0","4,074,564.0","4,163,855.0","4,191,477.0","4,220,331.0","4,257,593.0","4,282,594.0","4,306,194.0","4,351,412.0","4,395,275.0","4,461,470.0","4,529,659.0","4,588,657.0","4,616,999.0","4,660,964.0","4,693,040.0"
