"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"21","3","Plus: Imports of goods and services","A021RX1","243,722.0","254,119.0","267,682.0","297,805.0","311,624.0","304,564.0","270,715.0","323,649.0","359,030.0","390,137.0","396,616.0","370,280.0","380,009.0","375,232.0","422,571.0","525,435.0","559,534.0","607,349.0","643,286.0","668,565.0","698,008.0","722,985.0","721,911.0","772,526.0","839,327.0","939,453.0","1,014,618.0","1,102,862.0","1,251,400.0","1,397,662.0","1,556,404.0","1,755,071.0","1,704,662.0","1,762,968.0","1,838,796.0","2,041,156.0","2,165,523.0","2,298,613.0","2,350,859.0","2,288,715.0","1,976,003.0","2,228,116.0","2,336,416.0","2,388,190.0","2,422,349.0"
"22","4","Equals: Gross domestic purchases","A712RX1","4,821,840.0","4,815,809.0","4,983,778.0","5,255,451.0","5,509,239.0","5,440,700.0","5,383,174.0","5,732,918.0","6,036,520.0","6,365,821.0","6,524,898.0","6,403,952.0","6,578,856.0","6,492,059.0","6,876,694.0","7,473,864.0","7,811,338.0","8,100,435.0","8,359,391.0","8,635,024.0","8,903,311.0","9,036,162.0","8,974,226.0","9,295,444.0","9,600,880.0","10,023,343.0","10,280,339.0","10,681,780.0","11,188,714.0","11,807,226.0","12,474,640.0","13,069,536.0","13,213,516.0","13,520,061.0","13,937,111.0","14,529,147.0","15,036,248.0","15,424,831.0","15,600,784.0","15,391,964.0","14,810,144.0","15,244,470.0","15,501,126.0","15,902,253.0","16,172,701.0"
"23","5","Less: Change in private inventories","A014RX1","33,346.0","6,156.0","27,501.0","28,250.0","42,933.0","32,024.0","-14,075.0","37,707.0","47,461.0","50,150.0","30,822.0","-10,324.0","42,885.0","-21,729.0","-8,612.0","85,716.0","27,591.0","9,026.0","36,287.0","23,810.0","33,251.0","17,937.0","-1,963.0","19,452.0","24,077.0","75,388.0","34,560.0","33,834.0","84,806.0","78,988.0","75,450.0","66,225.0","-46,246.0","22,538.0","22,567.0","71,398.0","64,326.0","71,607.0","35,545.0","-33,671.0","-147,569.0","58,225.0","33,617.0","57,632.0","81,547.0"
"24","6","Equals: Final sales to domestic purchasers","A713RX1","4,807,591.0","4,835,551.0","4,977,521.0","5,247,924.0","5,477,784.0","5,423,210.0","5,432,857.0","5,709,544.0","6,000,655.0","6,324,356.0","6,509,141.0","6,444,954.0","6,548,205.0","6,547,042.0","6,915,319.0","7,385,659.0","7,799,975.0","8,113,438.0","8,340,721.0","8,628,054.0","8,882,902.0","9,034,171.0","8,994,660.0","9,291,639.0","9,591,283.0","9,956,166.0","10,257,387.0","10,657,859.0","11,110,392.0","11,734,359.0","12,404,459.0","13,005,692.0","13,262,358.0","13,501,252.0","13,916,064.0","14,458,739.0","14,971,741.0","15,354,195.0","15,564,179.0","15,427,849.0","14,957,714.0","15,183,154.0","15,463,406.0","15,835,177.0","16,081,555.0"
"25",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","7","  Final sales of domestic product","A190RX1","4,693,107.0","4,736,088.0","4,865,960.0","5,120,376.0","5,386,543.0","5,372,479.0","5,428,620.0","5,645,746.0","5,894,431.0","6,218,706.0","6,443,313.0","6,485,027.0","6,579,849.0","6,539,574.0","6,823,198.0","7,188,530.0","7,573,541.0","7,864,133.0","8,104,392.0","8,457,799.0","8,755,984.0","8,942,979.0","8,959,015.0","9,252,518.0","9,500,723.0","9,826,997.0","10,140,219.0","10,525,012.0","10,944,032.0","11,439,848.0","12,000,336.0","12,500,374.0","12,731,748.0","12,889,855.0","13,247,920.0","13,702,731.0","14,170,146.0","14,543,637.0","14,839,232.0","14,868,904.0","14,565,512.0","14,717,694.0","15,014,430.0","15,403,229.0","15,669,699.0"
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note. Chained (2009) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","quantity index and the 2009 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
