"","Table 3#15#6# Real Government Consumption Expenditures and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 17, 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2015 2:13:24 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","      Government","A822RX1",2451.7,2498.2,2592.4,2705.8,2764.3,2808.2,2826.2,2869.3,2914.4,2994.8,3089.1,3091.4,2997.4,2953.9,2894.5
"9","2","General public service","W575RX1",214.9,214.6,227.3,241,237.4,242.7,244.1,244.6,245.1,248.5,261.4,257.8,247.3,246.6,243.5
"10","3","National defense","A824RX1",516.9,512.3,530,567.3,615.4,652.7,665.5,678.8,695.6,748.1,788.3,813.5,795,768.7,717.7
"11","4","Public order and safety","W579RX1",284,291.3,302.5,314.8,312.8,314.9,317.8,324.2,334.1,343.8,350.8,344.2,340.1,339.8,344.9
"12","5","Economic affairs","W584RX1",420.9,432.9,444.6,457.4,459.8,452.5,439.4,439.9,442,442.3,457,464.9,436.8,430.1,428
"13","6","  Transportation","W589RX1",261.7,269.3,282.8,291.3,296.2,288.8,278.7,275.5,268.1,267.8,274.6,273.8,266.8,262.2,262.2
"14","7","  Space","W595RX1",28.1,27.5,27.9,29.4,29.6,30.1,29.8,29,30.6,31.7,32.1,31.3,29.4,29.3,28.6
"15","8","  Other economic affairs","W596RX1",130.9,136.3,135.1,137.9,135.7,134.7,131.8,135.9,143.4,142.8,150.3,159.9,140.7,138.6,137.1
"16","9","Housing and community services","W597RX1",52.3,47.9,53,57.5,58.4,57,56.2,61.2,60.3,59.9,60.5,61.9,54.5,49.9,49.7
"17","10","Health","W598RX1",134.4,138.3,142.5,154.5,167.4,169,175.6,175.3,185.7,194.7,205.2,208.6,209,213.5,218
"18","11","Recreation and culture","W599RX1",36.7,39.2,41.3,43.6,42,41.4,41.4,40.6,41.9,42,43.3,42.3,39,38.4,38.2
"19","12","Education","W600RX1",716.4,744.1,768.5,777.3,776.8,785.2,788.9,800.7,815.5,822.5,827.8,804.2,787.4,779.6,765.5
"20","13","Income security","W605RX1",83,86.3,91.8,100.2,99.4,95.7,98.6,105,95,93.4,94.8,94.1,88.4,87.4,88.6
"21","14","      Federal","A823RX1",815.3,817.7,849.8,910.8,973,1017.1,1034.8,1060.9,1078.7,1152.3,1217.7,1270.7,1236.4,1214.4,1145.3
"22","15","General public service","W611RX1",35.6,32.3,38.6,41.7,42.3,50.2,50.4,51.3,53,57.3,61.8,64.4,63.6,66.1,60.2
"23","16","National defense","A824RX1",516.9,512.3,530,567.3,615.4,652.7,665.5,678.8,695.6,748.1,788.3,813.5,795,768.7,717.7
"24","17","Public order and safety","W615RX1",30.5,33.2,34.9,40.3,42.1,44,44.9,46.9,48.5,54.2,57.4,57.5,58.1,58.1,53
"25","18","Economic affairs","W620RX1",130.3,132.6,130.7,137.2,139.2,138.2,135.5,137.9,141.6,145.8,152.9,168.3,151.6,150.5,143.4
"26","19","  Transportation","W625RX1",25.5,25.3,26.9,31.2,35.3,33.2,33.3,34,32.6,35.3,35.9,37.8,38.6,38.8,36.1
"27","20","  Space","W631RX1",28.1,27.5,27.9,29.4,29.6,30.1,29.8,29,30.6,31.7,32.1,31.3,29.4,29.3,28.6
"28","21","  Other economic affairs","W632RX1",76.4,79.6,75.8,76.5,74.3,74.8,72.3,74.9,78.4,78.7,84.9,99.2,83.6,82.4,78.7
"29","22","Housing and community services","W633RX1",1.9,-0.2,1,1.4,1.6,1,1.8,1.3,1.6,1.9,1.8,2.1,2.3,2.2,2.1
"30","23","Health","W634RX1",78.3,84.2,90.6,94.3,103.1,102.5,103.4,104.5,107.7,115.2,124.3,131,134.9,138.2,138
"31","24","Recreation and culture","W635RX1",3.9,4.4,4.4,5.1,5.2,5.2,5.1,4.8,4.7,5,5.2,5.9,5.5,5.4,5.1
"32","25","Education","W636RX1",7,7.3,8.2,8.7,8.5,8.4,8.7,7.8,7.4,7.4,7.8,7.8,8.3,8.3,8
"33","26","Income security","W640RX1",10.6,11,11,14.5,15.4,15.2,19.7,27.8,18.7,17.4,18.2,20.1,17.1,16.8,17.8
"34","27","      State and local","A829RX1",1643.6,1689.1,1751.5,1802.4,1795.3,1792.8,1792.3,1808.8,1836.1,1842.4,1871.4,1820.8,1761,1739.5,1748.4
