"","Table 6#7B# Self-Employed Persons by Industry                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Thousands]                                                                                                                                                                                                                                               ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2015 2:26:02 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Self-employed persons \1\","A4501C0",7199,7097,7142,7234,7316,7527,7506,7495,7758,8118,8416,8658,8753,8923,9213,9412,9327,9369,9665
"9","2","Agriculture, forestry, and fishing","J4502C0",1919,1838,1789,1823,1813,1797,1751,1678,1615,1662,1637,1682,1678,1677,1597,1586,1495,1488,1477
"10","3","  Farms","B4503C0",1778,1692,1638,1662,1646,1627,1571,1498,1439,1455,1419,1458,1456,1414,1333,1318,1214,1185,1142
"11","4","  Agricultural services, forestry, and fishing","J4504C0",141,146,151,161,167,170,180,180,176,207,218,224,222,263,264,268,281,303,335
"12","5","Mining","J4505C0",15,14,15,13,15,16,16,24,20,21,21,28,26,34,29,25,20,26,27
"13","6","Construction","B4506C0",694,698,723,760,824,888,854,890,963,1107,1167,1186,1166,1131,1171,1248,1312,1370,1386
"14","7","Manufacturing","J4507C0",268,271,249,248,266,266,279,293,312,330,346,363,366,358,375,364,351,384,368
"15","8","  Durable goods","J4508C0",166,172,168,167,167,175,177,183,201,206,213,221,221,215,220,217,214,223,213
"16","9","  Nondurable goods","J4509C0",102,99,81,81,99,91,102,110,111,124,133,142,145,143,155,147,137,161,155
"17","10","Transportation and public utilities","B4510C0",185,189,202,207,195,220,227,221,222,248,278,282,298,308,325,321,318,319,336
"18","11","Wholesale trade","J4511C0",259,259,263,247,262,275,261,282,258,248,280,294,297,284,320,326,308,297,315
"19","12","Retail trade","J4512C0",1416,1437,1480,1472,1436,1483,1478,1432,1527,1545,1597,1628,1612,1610,1634,1614,1499,1512,1549
"20","13","Finance, insurance, and real estate","B4513C0",266,258,272,267,306,314,341,329,347,408,451,463,456,496,539,550,563,557,598
"21","14","Services","J4514C0",2177,2133,2149,2197,2199,2268,2299,2346,2494,2549,2639,2732,2854,3025,3223,3378,3461,3416,3609
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1. Consists of active proprietors or partners who devote a majority of their working hours to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","their unincorporated businesses.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
