"","Table 3#17# Selected Government Current and Capital Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 29, 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2014 2:26:58 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8",NA,"        Current expenditures \1\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,"Consumption expenditures:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","      Government","A955RC1",83,85,89.9,98.3,103.4,109.1,117,132.8,150.4,167.5,180.9
"11","2","General public service","G170021",4.7,5,5.6,5.9,6.3,6.8,7.5,7.9,8.3,9.4,11.4
"12","3","National defense","A997RC1",42,42.6,44.2,48.6,50.5,51.4,53.9,63.8,73.7,81.4,82.6
"13","4","Public order and safety","G170041",4.4,4.8,5.2,5.4,5.7,6.1,6.6,7.2,8,9.3,10.3
"14","5","Economic affairs","G170051",11.8,10.4,10.6,12.4,12.7,14,15,15.3,17.3,19.2,21.7
"15","6","Housing and community services","G170061",0.6,0.7,0.7,0.8,0.8,0.8,0.9,1,1.1,1.1,1.2
"16","7","Health","G170071",3.8,4.1,4.5,4.6,4.8,5.1,5.3,5.9,6.5,7.3,8.2
"17","8","Recreation and culture","G170081",0.7,0.7,0.8,0.9,0.9,1,1.1,1.2,1.3,1.5,1.7
"18","9","Education","G170091",14.1,15.7,17.3,18.6,20.3,22.4,24.9,28.4,31.6,35.5,40.5
"19","10","Income security","G170101",1,1,1.2,1.3,1.4,1.5,1.9,2.2,2.6,2.8,3.3
"20","11","      Federal","A957RC1",51.8,50.9,52.7,59,61.2,63.1,66.5,76.5,88,96.8,100.4
"21","12","General public service","G170121",1.8,2,2.1,2.3,2.5,2.6,2.9,2.8,2.5,2.6,3.2
"22","13","National defense","A997RC1",42,42.6,44.2,48.6,50.5,51.4,53.9,63.8,73.7,81.4,82.6
"23","14","Public order and safety","G170141",0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6
"24","15","Economic affairs","G170151",5.9,4.2,4,5.4,5.3,6.2,6.5,6.1,7.3,8.3,9.7
"25","16","Housing and community services","G170161",0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.2
"26","17","Health","G170171",1.2,1.3,1.4,1.4,1.4,1.5,1.5,1.9,2.2,2.4,2.6
"27","18","Recreation and culture","G170181",0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.3
"28","19","Education","G170191",0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.5,0.5,0.5,0.5
"29","20","Income security","G170201",0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.9,0.7,0.8
"30","21","      State and local","A991RC1",31.2,34.1,37.2,39.3,42.3,46,50.6,56.4,62.4,70.7,80.4
"31","22","General public service","G170221",2.8,3.1,3.5,3.7,3.8,4.2,4.6,5.2,5.8,6.9,8.3
"32","23","Public order and safety","G170231",4.1,4.5,4.8,5,5.3,5.8,6.2,6.8,7.5,8.8,9.8
"33","24","Economic affairs","G170241",5.9,6.2,6.6,7,7.4,7.9,8.5,9.3,10.1,10.9,12
"34","25","Housing and community services","G170251",0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.8,1,1
"35","26","Health (net)","G170261",2.6,2.8,3.1,3.1,3.4,3.6,3.8,4,4.3,4.8,5.5
"36","27","  Gross expenditures","Y654RC1",3.6,3.8,4.1,4.4,4.7,5.1,5.6,6.2,6.9,8.1,9.1
"37","28","  Less: Sales to other sectors","Y655RC1",1,1,1.1,1.3,1.4,1.5,1.8,2.1,2.6,3.2,3.6
"38","29","Recreation and culture","G170271",0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.4
"39","30","Education","G170281",14,15.6,17.1,18.4,20.1,22.1,24.6,27.9,31.1,35.1,40
"40","31","Income security","G170291",0.7,0.7,0.8,0.8,0.9,1.1,1.2,1.5,1.7,2.1,2.5
"41",NA,"Government social benefits:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","32","      Government","W063RC1",22.9,24.7,28.4,29.1,30.7,31.7,34.4,38,46.3,53.9,59.6
"43","33","General public service","G170311",0.1,0.2,0.3,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.2
"44","34","Public order and safety","G170321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","35","Economic affairs","G170331",0,0,0,0,0,0.1,0.2,0.3,0.4,0.4,0.4
"46","36","Housing and community services","G170341",NA,NA,NA,NA,0,0,0,0,0,0,0
"47","37","Health","G170351",1.3,1.4,1.8,1.9,2.2,2.2,2.5,4.1,8.8,11.2,12.8
"48","38","Recreation and culture","G170361",NA,NA,NA,NA,NA,NA,NA,0,0,0,0
