"","Table 5#7#5B# Change in Private Inventories by Industry         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"11","3","Mining, utilities, and construction","N541RC1",0,3.4,3.3,-0.6,5.8,5.4,3.9,6.5,0.1,0.2,-2.2,-3.3,2.4,-2.6,-0.7,-7.8,9.9,10.8,5.1,7,0.1,-3.1,-4.9,-3.6,7,2.9,6.1,8.1,-2.5,0.9,5.5,1.1,4,9.9,-2.4,2.9,14.5,21.5,15.6,13.4,1.3,2.1,-1.8,-15.2,-13.1,-14.5,8.9,-12.3,12.6,9.3,-8.5,-23.6,-15.1,9.5,4.1,7.1,-10.6,-8.9,-5.5,4.7,25.1,8.4,-4,-6.2,-12.2,0.5,13.8,-9.5,-21.7,10.9,10.2,3.4,-2.2
"12","4","Manufacturing","N150RC1",15.5,22.7,20,26,31.6,15.6,6.9,7.6,12.2,4.6,15.5,23.3,-3.6,14.1,5.9,11.1,-20.1,-19.2,-24,-30.7,-15.4,-0.6,11.2,4,0.1,-8.7,-16.5,-3.3,-1.6,7.2,2.6,14.1,41.4,4.1,9.8,27.6,22.2,20.5,20.7,10.4,8.3,20.5,15.7,24.4,24.1,-24,-29.7,-30.6,-24.3,-40.8,-39.3,-0.7,10.1,4.5,37.5,41.4,20.8,42.3,-3,37,13.6,12.9,29.1,-7.8,2.1,7.5,13.7,11,13.8,31.7,13.3,11.9,20.4
"13","5","  Durable goods industries","N624RC1",9,15.8,14.3,17.5,29.7,16.5,9.3,8.6,5.7,-3.6,10.5,12.6,-1.9,9.5,4.4,12.9,-14.6,-12.8,-22.5,-28.2,-9.9,-4.7,0.3,3.2,1.6,-9.7,-13.9,3.4,-3.3,6.3,3.8,8.6,27.4,8.5,13.4,16.8,10.1,11.5,18.3,9.7,13.3,4.1,7.9,24.7,-3.3,-29.6,-6.2,16.5,-20.4,-36.3,-32.7,-6.8,9,17.6,22.5,20.3,28.2,24.6,13.8,22.7,18.2,16.8,23.1,3.6,6.7,9.7,17,15.6,17.4,21.5,18.1,25.3,21.8
"14","6","  Nondurable goods industries","N625RC1",6.6,7,5.7,8.5,1.9,-0.9,-2.4,-1.1,6.5,8.2,4.9,10.7,-1.6,4.6,1.5,-1.8,-5.5,-6.4,-1.6,-2.5,-5.5,4.1,10.9,0.8,-1.5,1,-2.7,-6.7,1.6,0.9,-1.2,5.5,14,-4.4,-3.6,10.8,12,9,2.4,0.6,-4.9,16.4,7.9,-0.3,27.4,5.7,-23.4,-47.1,-3.8,-4.5,-6.6,6.1,1.2,-13.1,15,21.2,-7.4,17.7,-16.8,14.3,-4.5,-3.9,6.1,-11.5,-4.6,-2.2,-3.3,-4.6,-3.5,10.2,-4.8,-13.4,-1.5
"15","7","Wholesale trade","N658RC1",20.4,33.8,16.7,30.5,30.6,13.4,27.1,14.7,21.8,7.7,21,25.1,16.3,24.3,13.6,21.2,-5.8,-6.2,-22.8,-14.5,-6.8,5.5,4.1,-2,-5.8,-4.6,0.2,15.5,13.4,17.3,29.6,23,42.4,23.3,12.2,33,21.8,29.1,29.6,8.9,12.3,15.2,21.8,11.8,14.8,34.4,17.2,8.3,-70.2,-87.8,-81.6,-8,6.2,16.4,58.1,23.6,3.9,41.4,-8.8,36.6,15.8,27,43.6,14.2,21.5,2.9,28.7,43.2,38.8,25.8,33.7,49.1,52.9
"16","8","  Durable goods industries","N661RC1",15.6,26.3,8.3,18.7,25.4,8.7,21.9,12.1,15.6,11.1,10.4,19.2,11.4,21.9,8.6,12.3,-6.5,-20.8,-21.4,-18.1,-8.6,1.4,7.5,-6.4,4.4,-1.4,-5.4,12.4,15.8,19.2,27.7,14.5,29.1,20.5,8.1,25.1,10.5,26.8,26,9.3,13.2,-6.5,-2.5,8.7,12.5,3.7,23.2,-3.6,-64.7,-61.4,-50.2,-21.9,7.7,1.2,20.6,13.7,18.6,32.8,25,21.7,22.1,29.7,21.9,12,16.8,5,23.6,20.9,28.1,27.8,25,17.7,33.9
"17","9","  Nondurable goods industries","N664RC1",4.7,7.5,8.3,11.7,5.2,4.7,5.2,2.6,6.2,-3.3,10.7,5.8,4.9,2.5,5,8.9,0.6,14.6,-1.4,3.5,1.8,4,-3.5,4.3,-10.2,-3.2,5.6,3.1,-2.4,-1.9,1.9,8.6,13.2,2.8,4.1,7.9,11.3,2.4,3.6,-0.3,-0.9,21.7,24.3,3.2,2.3,30.7,-5.9,11.9,-5.5,-26.4,-31.3,13.9,-1.4,15.2,37.6,9.9,-14.6,8.6,-33.9,14.9,-6.3,-2.7,21.7,2.3,4.7,-2.1,5.1,22.3,10.6,-2,8.7,31.4,19
"18","10","Retail trade","N153RC1",6.2,23.1,16.3,12.2,28.2,2.4,8.7,19.2,37.9,14.1,8.4,39.4,8,35.2,21,15.6,-21.9,6.8,10.6,-36.7,20.9,26.5,19,33.7,27.3,7.9,16.4,18.6,30.7,28.5,12.1,21.1,15.6,-10.3,-5.8,20.6,9.9,7.9,12.8,6.7,-8,13,16.8,3.4,-39.8,-22.4,-22.2,-39.7,-57.9,-59,-65.7,-16.3,13.1,27.9,34.3,1.2,5.9,-13,-1.8,3.7,32.8,35.7,24.2,19.1,25.5,26.8,32.3,39.4,4.4,16.4,16.3,12.3,19.2
"19","11","  Motor vehicle and parts dealers","N631RC1",0.7,7,5.4,7.5,9.9,-6.2,-4.2,7.9,24.7,0.6,2.5,21.9,2,23.5,15.8,6.1,-26.4,9.3,8.6,-28.8,19.6,18.4,2.8,28.1,16.9,11.8,7.5,14.8,14.4,13.2,1.8,-0.1,3.1,-19,-7.6,12,0.8,0.1,0.6,-4.2,-8.9,3.1,18.6,-1,-13.2,-9.2,-15.7,-11.3,-42.4,-38.1,-44.1,-7.2,11.1,18.7,24.8,-5.3,2.8,-6.5,1.8,6.9,32.8,25.3,23.7,10.9,14.8,17.7,17.9,25.6,-7,14.3,9.6,2.2,0
"20","12","  Food and beverage stores","N542RC1",0.3,0.4,1.4,-0.7,1,1.8,-0.1,1.1,1.8,1.5,2.1,0.7,-0.1,-1.9,0.4,-0.7,0.9,0.6,0,0.2,0.5,0.7,2.3,-0.1,-0.9,-2.9,1.4,-2.4,0.3,0.8,0.2,-0.1,0.2,0,-1.9,0.9,1.5,1.3,0.5,0.3,-0.8,1.5,2.4,1.4,-0.6,0.3,-0.8,-0.7,2.5,-1,-0.4,-2.5,1.4,-0.9,0.7,0.2,-2.3,1.2,0.6,0,1.9,-1.5,0.3,0,0.3,2.5,0.5,1.9,0.3,-0.3,1.3,1.4,3.7
"21","13","  General merchandise stores","N543RC1",-0.4,3.2,-1.2,-1,-0.2,-0.2,2.5,-0.7,3,2.1,2,3.6,0.4,2.6,-0.8,2,5.2,0.7,-0.1,-5.1,-1.2,0.2,4.4,4.8,0.8,1.2,2.2,0.9,6.1,3.3,1,7.5,6.3,0.9,2.4,1.7,-2.4,-1.8,5.1,3.2,0.6,0.6,-3.2,1.1,-7.2,-2.3,-0.7,-6,-3.1,-2.8,-5.3,-0.2,0.8,2.8,4.5,0.8,4.8,-1.5,-0.5,1.1,-3.6,1.2,-3,5.1,4.5,1.3,4.3,2.4,3,-2,1.3,-2.3,0.2
"22","14","  Other retail stores","N558RC1",5.6,12.5,10.7,6.5,17.5,7,10.6,10.9,8.3,9.8,1.9,13.1,5.6,11,5.7,8.1,-1.5,-3.8,2.1,-3,2,7.2,9.5,1,10.4,-2.2,5.2,5.3,9.9,11.2,9,13.8,6,7.8,1.3,6,10,8.3,6.7,7.4,1.1,7.7,-0.9,2,-18.8,-11.2,-5,-21.7,-14.9,-17.1,-15.9,-6.4,-0.2,7.3,4.3,5.5,0.6,-6.2,-3.7,-4.3,1.6,10.8,3.2,3.2,5.9,5.3,9.6,9.5,8,4.5,4.1,11,15.3
"23","15","Other industries","N154RC1",8.2,4.6,3.3,5.1,3.3,5.5,5.2,8.2,7.3,8.7,6.9,5.5,10.9,13.5,18.5,6.9,1.7,-0.8,-0.8,-1.6,-3.1,1.3,-1.1,-1.4,-0.4,3.5,1.1,1.6,4.5,3.9,4.7,4,2.8,2.8,-0.2,3.9,2.4,6.4,4.7,3.3,0.9,1.3,-1.5,-1.7,0.7,-1.4,0.3,6.3,-5.5,-8.5,-5.9,-2.2,-1,-2.3,-0.8,-0.5,5.8,2.4,0.4,5.4,-9,12.7,3.5,3.3,-2.6,2.6,5.4,-5.9,1.7,7.1,9.9,7.5,13.5
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","16","  Change in private inventories","A014RC1",49.8,88.4,67.9,77.7,105.1,37.3,52.4,60,83.4,35.1,40.5,84.2,16.2,90.4,57.2,54.3,-30.6,-11.6,-30.1,-80.8,-0.2,19.1,25.3,29.8,31,-0.4,8.1,38.4,48.9,76.2,62.3,68,99.5,30.6,17.9,90.2,74.4,77.3,77.1,39.1,20.2,47.1,48.6,21.9,-20.1,-23.9,-18.8,-65.1,-145.6,-187.9,-205.9,-50.8,12.1,50.1,121.5,62.4,26.3,63,-14.9,92.6,81.1,92.2,75.7,10.4,44.2,50.8,110.7,90.5,40.1,100.3,94.5,93.3,110.7
"26","17","    Durable goods industries","N355RC1",28.5,53,32.3,46.2,69.9,22.7,31.8,32.8,51.5,11.5,26.3,60.3,17.2,57.9,32.3,34.8,-44.5,-24.9,-33.8,-74.6,8.5,17.3,15.3,31.5,28.3,3.2,-6.9,34,34.3,49,38,32.2,66.4,20.6,19.7,61,26,44.7,52.5,15.3,16.6,3.9,14.1,27.9,-18.6,-47.1,-9.1,-24.8,-140,-144.3,-134.8,-48.9,22.9,35.9,66.7,30.6,48.1,48,35.9,42.8,68.8,83.1,70.8,25.5,36.3,35.8,67.5,65.8,40.6,65,55.1,46.8,56.8
"27","18","    Nondurable goods industries","N357RC1",21.3,35.4,35.7,31.5,35.2,14.6,20.6,27.2,31.9,23.6,14.2,24,-1,32.5,24.9,19.5,13.9,13.3,3.7,-6.3,-8.8,1.8,10,-1.7,2.7,-3.6,15.1,4.4,14.5,27.3,24.3,35.9,33.1,10.1,-1.7,29.2,48.4,32.6,24.6,23.8,3.6,43.2,34.6,-6,-1.6,23.1,-9.7,-40.4,-5.6,-43.6,-71.2,-1.9,-10.9,14.2,54.9,31.8,-21.9,15,-50.8,49.9,12.3,9,4.9,-15,7.9,15,43.3,24.8,-0.5,35.3,39.3,46.6,53.9
"28","19","  Nonfarm industries","A015RC1",50.3,87.6,59.6,73.1,99.5,42.2,51.9,56.2,79.3,35.3,49.6,90,33.9,84.5,58.4,47,-36.2,-8.6,-31.9,-76.6,-4.3,29.5,28.2,30.6,28.2,1,7.3,40.5,44.4,57.8,54.6,63.4,106.2,29.7,13.6,87.9,70.7,85.4,83.4,42.7,14.9,52,51,22.8,-13.3,-27.8,-25.4,-67.9,-145.3,-186.9,-200.9,-50.8,13.3,56.1,133.2,72.8,25.7,64.3,-18.7,87.4,78.3,96.7,96.5,22.6,34.3,40.3,94,78.2,37,91.8,83.4,84.3,103.8
"29","20","    Nonfarm change in book value \1\","B016RC1",28.5,65.1,40.5,61.7,75,22.3,24.6,37,52.4,36.2,68.5,123.1,62.5,114.2,70.1,69.2,-25.5,-18.9,-59.6,-117.5,-51.8,18.6,43.8,62,65.5,-7.9,12.6,63.7,84.7,117.9,104.4,134,146.7,55.1,63.8,156,87.9,137.3,131.8,68.4,74.7,103.6,66.9,124.3,151.1,174.9,33.2,-302.4,-270.2,-220.2,-166.7,42.3,91.4,78.5,162.9,175.5,195,172.3,28.9,102.3,100,81.9,120.3,52.1,49.6,45.3,85,90.6,94.2,117.1,53.3,24.9,-16.7
"30","21","    Nonfarm inventory valuation adjustment \2\","B017RC1",21.8,22.5,19.1,11.4,24.5,20,27.3,19.2,26.9,-0.9,-18.9,-33.1,-28.6,-29.7,-11.8,-22.2,-10.7,10.3,27.7,40.9,47.5,10.8,-15.6,-31.3,-37.3,8.8,-5.4,-23.2,-40.2,-60.2,-49.8,-70.7,-40.6,-25.4,-50.2,-68.1,-17.2,-51.9,-48.3,-25.7,-59.9,-51.6,-15.9,-101.5,-164.4,-202.7,-58.6,234.5,124.9,33.3,-34.2,-93.1,-78.1,-22.4,-29.7,-102.6,-169.3,-108,-47.6,-14.9,-21.7,14.8,-23.8,-29.5,-15.3,-5.1,9,-12.4,-57.2,-25.2,30.1,59.3,120.6
"31","22","  Wholesale trade","N658RC1",20.4,33.8,16.7,30.5,30.6,13.4,27.1,14.7,21.8,7.7,21,25.1,16.3,24.3,13.6,21.2,-5.8,-6.2,-22.8,-14.5,-6.8,5.5,4.1,-2,-5.8,-4.6,0.2,15.5,13.4,17.3,29.6,23,42.4,23.3,12.2,33,21.8,29.1,29.6,8.9,12.3,15.2,21.8,11.8,14.8,34.4,17.2,8.3,-70.2,-87.8,-81.6,-8,6.2,16.4,58.1,23.6,3.9,41.4,-8.8,36.6,15.8,27,43.6,14.2,21.5,2.9,28.7,43.2,38.8,25.8,33.7,49.1,52.9
"32","23","    Merchant wholesale trade","N151RC1",19.2,30.8,15.4,25.2,27,13.1,25.5,12.3,19.9,4.3,18,23.1,12.9,19.1,8.8,18.2,-3.1,-2.5,-15.1,-11.5,-2.9,3.3,3.4,-0.6,-3.4,-3.8,0.6,13.4,12.4,14.3,25.4,23.4,28.3,17.7,10.2,21.5,14.4,26,23.3,3.1,6.8,9.1,13.5,8.9,-10.7,14.9,17.3,-4.6,-51,-70.5,-64.7,1.7,0.3,13.1,51.6,21.5,-1.2,33.3,-10.9,32.1,12.8,22.5,33.1,9.2,23.5,1.8,31.7,41.8,41.5,25.2,35.2,48,46.1
"33","24","      Durable goods industries","N626RC1",14.6,24.2,7.7,14.3,22,8.8,19.6,10,14.3,8.4,9.3,17.7,8.7,18.7,4.8,9.4,-3.7,-18.6,-15.9,-15.1,-7.2,-0.1,5.6,-6.7,5.7,-0.4,-3.9,9,15.2,18.4,23.8,15.8,20.9,17.3,6.1,19.7,9.5,23,18.5,6.6,7.8,-4.4,-0.9,7.9,7.4,2.7,22.1,-5.3,-56.4,-53.7,-45.5,-22.5,8.2,3.2,22.9,19.1,11,28.4,17.3,16.9,18.8,24.5,18.1,10.6,19.6,3.5,22.2,19.5,25.8,29.4,22.2,17.1,29.6
"34","25","      Nondurable goods industries","N627RC1",4.5,6.6,7.7,10.9,5,4.3,5.9,2.3,5.5,-4.1,8.7,5.5,4.2,0.4,4,8.8,0.6,16.1,0.8,3.6,4.3,3.4,-2.2,6.1,-9.1,-3.3,4.5,4.4,-2.8,-4.1,1.7,7.7,7.4,0.4,4.1,1.8,4.9,3,4.8,-3.6,-1,13.5,14.4,1,-18.1,12.1,-4.8,0.7,5.4,-16.9,-19.2,24.3,-7.9,9.9,28.8,2.4,-12.2,4.9,-28.2,15.2,-6.1,-2,15,-1.4,3.9,-1.8,9.5,22.3,15.7,-4.2,12.9,30.9,16.6
"35","26","    Nonmerchant wholesale trade","N152RC1",1.2,3,1.3,5.2,3.6,0.3,1.7,2.3,1.9,3.4,3.1,2,3.4,5.2,4.8,2.9,-2.7,-3.7,-7.7,-3.1,-3.9,2.2,0.6,-1.4,-2.4,-0.9,-0.4,2.1,0.9,3,4.1,-0.4,14,5.6,1.9,11.5,7.3,3.1,6.3,5.9,5.5,6,8.2,2.9,25.5,19.5,-0.1,12.9,-19.3,-17.3,-16.9,-9.8,6,3.3,6.5,2.1,5.1,8.1,2,4.5,3,4.5,10.6,5.1,-1.9,1.2,-2.9,1.4,-2.8,0.6,-1.5,1.1,6.8
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1. This series is derived from the Census Bureau series ""current cost inventories.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. The inventory valuation adjustment (IVA) shown in this table differs from the IVA that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","adjusts business incomes.  The IVA in this table reflects the mix of methods (such as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","first-in, first-out and last-in, first-out) underlying inventories derived primarily from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Census Bureau statistics (see footnote 1).  This mix differs from that underlying business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","income derived primarily from Internal Revenue Service statistics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Note.  Estimates in this table are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
