"","Table 5#7#5B# Change in Private Inventories by Industry         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 24, 2015     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2015 2:21:53 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","    Change in private inventories","A014RC1",70.9,63.7,60.8,54.5,-38.3,18.5,19.3,63.9,59.6,67,34.5,-32,-147.6,61.5,41.8,64.9,74.1,82
"9","2","Farm","B018RC1",3.3,1.3,-2.7,-1.4,0,-2.5,0.1,8.8,0.2,-3.6,-0.7,1.6,-1.6,-7.3,2.1,-8.7,12.4,7.9
"10","3","Mining, utilities, and construction","N541RC1",1.5,5.4,-1.3,-2.2,8.2,-2.9,6,1.2,3.6,16.2,-3.4,-7.7,-2.6,1.4,-5.1,5.8,-1.8,0.7
"11","4","Manufacturing","N150RC1",21.1,15.4,13.9,6.9,-23.5,-0.2,-7.1,5.6,20.7,18.4,17.2,-15,-26.3,23.4,24.3,12,8.6,17.7
"12","5","  Durable goods industries","N624RC1",14.1,16,6.3,6.2,-19.5,-2.8,-4.6,3.9,16.5,12.4,12.5,-5.7,-24.1,17.3,22.3,15.4,12.2,20.6
"13","6","  Nondurable goods industries","N625RC1",6.9,-0.6,7.6,0.7,-4,2.5,-2.5,1.7,4.2,6,4.8,-9.4,-2.2,6.1,2,-3.5,-3.7,-2.9
"14","7","Wholesale trade","N658RC1",25.3,21.4,18.9,18.9,-12.3,0.2,1.3,20.8,27.7,22.4,15.3,18.7,-61.9,26.1,18.3,25.2,24.1,36.8
"15","8","  Durable goods industries","N661RC1",17.3,17,14.1,13.5,-16.7,-1.5,2.5,19.3,20.7,18.1,3.2,8.9,-49.6,10.8,24.5,21.4,16.6,24.7
"16","9","  Nondurable goods industries","N664RC1",8.1,4.4,4.8,5.3,4.3,1.7,-1.2,1.5,7,4.2,12.1,9.7,-12.3,15.3,-6.3,3.7,7.5,12.2
"17","10","Retail trade","N153RC1",14.5,14.6,24.9,20,-10.3,25,17.5,23.1,5,9.3,6.3,-31,-49.7,19.1,-1.3,28,31,12.3
"18","11","  Motor vehicle and parts dealers","N631RC1",5.1,1.8,12.4,11.9,-9.3,17.2,12.8,7.3,-2.9,-0.7,2.9,-12.3,-32.9,12.3,1.3,23.2,19,4.8
"19","12","  Food and beverage stores","N542RC1",0.3,0.9,1.5,-0.6,0.4,0.8,-1.2,0.3,-0.2,0.9,1.1,-0.5,-0.3,0.3,-0.2,0.2,1.3,0.7
"20","13","  General merchandise stores","N543RC1",0.1,0.4,2.7,1,0.2,2,1.3,4.5,2.9,1,-0.2,-4,-2.9,2.2,1,-0.1,3.1,0
"21","14","  Other retail stores","N558RC1",8.8,11.5,8.3,7.6,-1.6,4.9,4.7,11,5.3,8.1,2.5,-14.2,-13.6,4.2,-3.4,4.7,7.6,6.9
"22","15","Other industries","N154RC1",5.3,5.6,7.1,12.4,-0.4,-1.1,1.5,4.3,2.3,4.2,-0.2,1.5,-5.5,-1.1,3.5,2.6,-0.1,6.6
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","16","  Change in private inventories","A014RC1",70.9,63.7,60.8,54.5,-38.3,18.5,19.3,63.9,59.6,67,34.5,-32,-147.6,61.5,41.8,64.9,74.1,82
"25","17","    Durable goods industries","N355RC1",40,39.3,37.4,35.6,-44.4,18.2,14.7,38.4,41.9,34.6,15.6,-24.9,-117,39,43.7,62.1,51.3,51.9
"26","18","    Nondurable goods industries","N357RC1",30.9,24.4,23.4,19,6.2,0.3,4.6,25.5,17.7,32.4,18.8,-7.1,-30.6,22.5,-2,2.8,22.7,30.2
"27","19","  Nonfarm industries","A015RC1",67.7,62.5,63.5,55.9,-38.3,21,19.2,55.1,59.4,70.5,35.2,-33.6,-146,68.9,39.7,73.5,61.7,74.1
"28","20","    Nonfarm change in book value \1\","B016RC1",49,39.7,70.1,79,-55.4,18.2,33.5,110.3,105.4,106.3,92.4,14.2,-153.7,127.1,124.6,88.6,67.6,72.4
"29","21","    Nonfarm inventory valuation adjustment \2\","B017RC1",18.7,22.8,-6.5,-23.1,17.1,2.8,-14.3,-55.2,-46.1,-35.8,-57.2,-47.8,7.7,-58.2,-84.9,-15.1,-5.9,1.7
"30","22","  Wholesale trade","N658RC1",25.3,21.4,18.9,18.9,-12.3,0.2,1.3,20.8,27.7,22.4,15.3,18.7,-61.9,26.1,18.3,25.2,24.1,36.8
"31","23","    Merchant wholesale trade","N151RC1",22.7,19.5,16.3,14.8,-8,0.8,1.7,18.9,19.4,16.7,9.6,4.2,-46.1,21.6,13.3,19.4,24.7,37.5
"32","24","      Durable goods industries","N626RC1",15.2,15.1,12.4,10.4,-13.3,-2.1,2.6,18.3,16,14.4,2.6,6.7,-44.5,13.3,18.4,18,16.2,23.6
"33","25","      Nondurable goods industries","N627RC1",7.4,4.4,3.9,4.3,5.3,2.9,-0.9,0.6,3.4,2.3,7,-2.5,-1.6,8.3,-5.1,1.4,8.5,13.8
"34","26","    Nonmerchant wholesale trade","N152RC1",2.7,2,2.6,4.1,-4.3,-0.6,-0.4,1.9,8.3,5.7,5.7,14.5,-15.8,4.5,4.9,5.8,-0.6,-0.6
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. This series is derived from the Census Bureau series ""current cost inventories.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. The inventory valuation adjustment (IVA) shown in this table differs from the IVA that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","adjusts business incomes.  The IVA in this table reflects the mix of methods (such as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","first-in, first-out and last-in, first-out) underlying inventories derived primarily from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Census Bureau statistics (see footnote 1).  This mix differs from that underlying business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","income derived primarily from Internal Revenue Service statistics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
