"","Table 1#3#3# Real Gross Value Added by Sector, Quantity Indexes ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 24, 2015     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2015 1:54:29 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","    Gross domestic product","B191RA3",32.683,32.749,33.833,35.609,37.618,37.424,37.35,39.361,41.175,43.466,44.846,44.736,45.897,45.02,47.105,50.525,52.666,54.516,56.403,58.774,60.937,62.107,62.061,64.267,66.032,68.698,70.566,73.245,76.531,79.937,83.682,87.107,87.957,89.528,92.041,95.525,98.72,101.353,103.156,102.855,100,102.532,104.174,106.592,108.957,111.56
"9","2","Business \1\","B195RA3",29.554,29.539,30.658,32.655,34.913,34.379,34.047,36.338,38.404,40.836,42.254,41.853,43.089,41.797,44.085,47.966,50.179,52.018,53.857,56.165,58.323,59.277,58.927,61.423,63.181,66.248,68.31,71.498,75.295,79.162,83.56,87.315,87.882,89.461,92.317,96.476,100.132,103.298,105.473,104.234,100,103.175,105.345,108.6,111.571,114.788
"10","3","  Nonfarm \2\","B358RA3",29.65,29.61,30.718,32.782,35.152,34.624,34.05,36.478,38.556,41.11,42.474,42.095,43.071,41.695,44.407,48.12,50.175,52.087,53.949,56.406,58.487,59.388,59.029,61.427,63.333,66.265,68.567,71.669,75.411,79.382,83.802,87.461,88.1,89.664,92.459,96.598,100.237,103.431,105.81,104.446,100,103.194,105.467,108.863,111.668,115.058
