"","Table 5#9#6B# Real Gross Government Fixed Investment by Type, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Billions of chained (2009) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2015 2:23:33 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","      Gross government fixed investment \1\","A782RX1",484.9,500.6,523.8,556.7,576.4,586.5,586.6,605.2,618.7,641,647,646.5,617.1,587.3,558.2
"9","2","        Federal","A787RX1",173.8,173.7,180.9,199.5,215,227.4,235.4,247.5,257,275.9,284,295.4,286.7,275.4,255.1
"10","3","          National defense","A788RX1",90.5,91.4,96.7,109.4,121.6,133.2,140,147.9,156.2,171.4,175,177.5,168.7,160,145.7
"11","4","          Nondefense","A798RX1",83.3,82.2,84.1,90,93.3,94.1,95.4,99.6,100.8,104.5,109,117.9,118,115.3,109.3
"12","5","        State and local","A799RX1",316.2,334,350.6,363.5,365.8,361.6,352.3,358.2,362.1,365.2,363,351,330.3,311.8,302.8
"13","6","Structures \2\","A760RX1",295.4,305.3,320,335.9,337.8,329.5,314,315.1,314.5,316.6,318.9,312.3,290.3,263.9,248.3
"14","7","  Federal","A801RX1",25.3,20.8,19.6,22.8,24,21.7,18.2,19,22.1,24.9,29.1,32.8,29.4,21.3,16.5
"15","8","    National defense","A808RX1",8.5,8.2,7.8,8.7,9.8,9.1,8.5,8.5,10.3,13.5,17.1,16.7,13,7.7,6
"16","9","      New","A814RX1",8.5,8.2,7.8,8.7,9.8,9.1,8.5,8.5,10.3,13.5,17.1,16.7,13,7.7,6
"17","10","        Residential","B816RX1",1.7,1.4,1.5,1.5,1.7,1.4,1.6,1.4,1.6,1.7,1.2,1.6,1.4,1,0.7
"18","11","        Industrial","B817RX1",0.4,0.4,0.6,0.8,0.8,0.5,0.4,0.4,0.4,0.6,0.8,0.7,0.7,0.6,0.5
"19","12","        Military facilities \3\","B818RX1",6.4,6.3,5.6,6.3,7.2,7.1,6.5,6.7,8.3,11.1,15.1,14.4,10.9,6.1,4.7
"20","13","      Net purchases of used structures","B819RX1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","14","    Nondefense","A830RX1",16.8,12.6,11.8,14.2,14.3,12.7,9.7,10.5,11.9,11.4,12,16.1,16.4,13.6,10.5
"22","15","      New","A831RX1",15.4,14.3,13.4,14,14.5,14.5,12.8,11.9,11.9,10.3,11.7,14.6,16.9,14,11
"23","16","        Residential","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","17","        Office","W182RX1",2.9,2.5,2.3,2.1,2.6,3.4,2.9,2.1,2.2,1.4,1.2,1.6,2.7,2.5,1.5
"25","18","        Commercial","W183RX1",1.2,1,0.9,0.6,1.1,1.6,1.4,1.2,1.1,0.9,0.8,0.7,1.2,1,0.6
"26","19","        Health care","W184RX1",1.2,1.1,1,1.1,0.9,0.8,0.8,0.8,1,0.9,1.8,2.2,2.7,2.7,2.5
"27","20","        Educational","W185RX1",0.5,0.6,0.8,1.1,1,1.1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"28","21","        Public safety","W186RX1",2.8,2.3,1.6,1.8,1.1,0.6,0.3,0.3,0.5,0.5,0.5,0.5,0.8,0.6,0.3
"29","22","        Amusement and recreation","W187RX1",0.9,0.9,0.6,0.5,0.5,0.3,0.3,0.1,0.2,0.2,0.3,0.7,0.5,0.2,0.1
"30","23","        Transportation","W188RX1",0.7,0.7,0.7,1,0.5,0.6,0.3,0.2,0.3,0.3,0.3,0.3,0.4,0.2,0.2
"31","24","        Power","W189RX1",0.1,0.1,0.3,0.4,1.3,1.2,1,0.9,0.5,0.8,0.9,0.9,1.2,1,0.9
"32","25","        Highways and streets","W190RX1",0.8,1,0.9,1,1,1.2,0.8,0.6,0.8,0.6,0.6,0.9,0.6,0.4,0.4
"33","26","        Conservation and development","W191RX1",3.1,3,3.2,3.5,3.6,3.1,3.2,3.6,3.3,3.2,3.9,5.3,5.1,3.8,3.2
"34","27","        Other \4\","W192RX1",1,1,1.1,0.9,1.1,0.9,1.7,1.9,1.6,1.2,1.1,1.2,1.3,1.2,0.8
