"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Billions of chained (2009) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 24, 2015     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2015 2:01:10 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8",NA,"Production in the United States:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Gross domestic product","A191RX1",4712.5,4722,4877.6,5134.3,5424.1,5396,5385.4,5675.4,5937,6267.2,6466.2,6450.4,6617.7,6491.3,6792,7285,7593.8,7860.5,8132.6,8474.5,8786.4,8955,8948.4,9266.6,9521,9905.4,10174.8,10561,11034.9,11525.9,12065.9,12559.7,12682.2,12908.8,13271.1,13773.5,14234.2,14613.8,14873.7,14830.4,14418.7,14783.8,15020.6,15369.2,15710.3,16085.6
"10","2","    Gross domestic income","A261RX1",4705.1,4698.6,4838.1,5105.8,5400.9,5370.2,5343.2,5613.5,5882.2,6205.6,6356.2,6351.4,6542.1,6478.2,6690.9,7215.3,7504.3,7729.1,8064.9,8475.2,8686.7,8818.3,8820.3,9109.4,9310.1,9720,10054.6,10487.3,11019.1,11602.1,12112.8,12681.2,12819.5,12994.4,13286.8,13783.1,14272.7,14842.9,14855.8,14730.2,14343.4,14735.2,15057.7,15568.1,15908.8,16253.7
"11","3","    Net domestic product \1\","A362RX1",4276.1,4260.1,4399.4,4640.3,4906,4846.5,4811.2,5088.5,5328.7,5633.6,5795.7,5736.2,5872,5698.9,5975.9,6441.3,6699.7,6916.9,7139.8,7438.2,7705.8,7828.8,7781.6,8070.6,8288.2,8631.7,8847.8,9175.5,9578.5,9982.6,10423.5,10813.4,10845.8,11008,11311.5,11745.4,12127.8,12423.2,12601.8,12492.9,12050.4,12401.1,12607.2,12912.3,13203.2,13523
"12","4","    Net domestic income \1\","W256RX1",4268.3,4235.9,4358.5,4610.7,4882,4819.7,4767.3,5024.1,5271.6,5569.5,5680.9,5632.8,5792.9,5685.1,5870.7,6369.1,6607.1,6781.1,7070,7439,7603.2,7688.3,7650.4,7910.2,8073.3,8442.8,8725.3,9100.5,9562.5,10059.7,10470.8,10936.1,10984.1,11093.9,11327.3,11755.1,12166.4,12653.6,12583.7,12392.4,11975,12352.6,12644.2,13110.5,13401.1,13690.7
"13",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","5","    Gross national product","A001RX1",4749.7,4759,4918.2,5177.8,5481,5460,5436.2,5735.3,6003.7,6333.8,6554,6537.4,6695.1,6571.6,6870.5,7360.3,7648.3,7899.3,8169.7,8518.9,8832,9012.6,8998.1,9314.9,9570,9942.9,10217.3,10606.5,11070.1,11553.1,12103.4,12608.8,12747.9,12969.8,13352.1,13877.3,14338.4,14688.6,15005.7,15004.8,14569.8,14970.8,15241,15567.3,15902.4,16263.4
"15","6","    Gross national income","A023RX1",4742.3,4735.4,4878.6,5149.3,5457.7,5434.1,5394,5673.4,5948.9,6272.1,6443.8,6438.2,6619.3,6558.5,6769.2,7290.4,7558.7,7767.7,8101.9,8519.6,8732.3,8875.7,8870,9157.7,9359.1,9757.4,10097,10532.8,11054.3,11629.4,12150.2,12730.3,12885.3,13055.4,13367.9,13887,14377,14917.8,14987.7,14904.6,14494.5,14922.2,15278.1,15766,16100.8,16431.3
"16","7","    Net national product \1\","A027RX1",4314,4297.6,4440.7,4684.6,4964.1,4911.9,4862.9,5149.5,5396.8,5701.6,5885.8,5825.3,5951,5780.9,6056,6518,6754.8,6955.7,7176.8,7482.7,7751.4,7886.7,7831.4,8119,8337.3,8668.9,8890.1,9220.9,9613.3,10009.3,10460.5,10862.2,10911.2,11068.6,11392.3,11849.1,12231.7,12497.7,12733.7,12667.4,12201.4,12588,12827.4,13110.3,13395.3,13700.8
"17",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","8","    Gross domestic purchases","A712RX1",4821.8,4815.7,4983.7,5255.4,5509.2,5440.6,5383.1,5732.8,6036.4,6365.7,6524.8,6403.9,6578.8,6492,6876.6,7473.8,7811.2,8100.3,8359.3,8634.9,8903.2,9036,8974.1,9295.3,9600.8,10023.2,10280.2,10681.6,11188.6,11807.1,12462.1,13057.9,13208.5,13518.4,13938.5,14531.7,15040.3,15431.6,15606.8,15399.9,14814.2,15244.9,15483.9,15824.6,16131,16539.9
"19","9","    Final sales to domestic purchasers \2\","A713RX1",4807.5,4835.5,4977.5,5247.9,5477.7,5423.1,5432.8,5709.5,6000.6,6324.3,6509.1,6444.9,6548.1,6547,6915.2,7385.6,7799.9,8113.3,8340.6,8627.9,8882.8,9034.1,8994.5,9291.5,9591.2,9956,10257.3,10657.7,11110.3,11734.2,12391.9,12994,13257.3,13499.6,13917.4,14461.3,14975.8,15361,15570.2,15435.8,14961.7,15183.6,15442.5,15760.1,16057.9,16451.6
"20",NA,"Purchasing power of income: \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","10","    Command-basis gross domestic product","C191RX1",4822.3,4827.4,4979.9,5234.9,5518.1,5432.4,5427.8,5720.6,5963.7,6291,6462.5,6366.4,6541.2,6448.1,6775.3,7282.8,7605.7,7867.2,8119,8459.5,8769.5,8919.5,8933.4,9246.8,9511,9898.7,10161.7,10556.9,11057.5,11599.3,12139.7,12597.2,12765.2,13012.7,13354.1,13834.1,14255.4,14618.6,14868.4,14682.8,14418.7,14739.3,14925.4,15286,15655.6,16039.7
