"","Table 1#16# Sources and Uses of Private Enterprise Income       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2015 2:00:53 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","    Sources of private enterprise income","W259RC1",324.3,338.4,375.2,423.6,496.3,543.6,601.3,656.6,734.9,856.2,975.4,1081.1,1310.3,1414.2,1524.4,1748.8,1882,1932.1,2079.8,2327.2,2577,2621.1,2564.3,2532.1,2603.1,2865.1,3209.8,3438.4,3735.2,3908.5,4130.5,4559.2,4542.6,4396.3,4504,5019.1,5804.4,6748.7,7064.2,6542.3,5832.9,6107,6363.8,6660.8,6838.7
"9","2","Net operating surplus","W260RC1",228.1,223.2,248.3,280.6,319.5,326,361.5,408.1,460.1,528.9,566.8,580.8,674.8,687.3,769.7,922.8,981.6,985.2,1056.6,1169.8,1235.4,1255.2,1262.3,1331.4,1421.6,1577.7,1705.3,1879,2041.9,2137.3,2235.2,2333.4,2404.9,2510.3,2661.5,2887.3,3182.1,3492.3,3323.5,3197.7,3232.2,3585.7,3810.5,4178.5,4426.4
"10","3","Income receipts on assets","W261RC1",96.3,115.2,126.9,143,176.7,217.6,239.8,248.5,274.8,327.3,408.6,500.4,635.5,726.9,754.7,826,900.4,946.9,1023.2,1157.4,1341.5,1365.9,1302,1200.8,1181.6,1287.4,1504.5,1559.4,1693.3,1771.2,1895.3,2225.8,2137.7,1886,1842.4,2131.8,2622.2,3256.4,3740.7,3344.6,2600.7,2521.3,2553.4,2482.3,2412.3
