"","Table 7#19# Comparison of Income and Outlays of Nonprofit Instit","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 27, 2014  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2015 2:33:14 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,"2012","2013"
"8","1","Revenue of nonprofit institutions, IRS \1\","W430RC1",682.1,728.1,764.5,849.1,917.8,987.3,997.1,1079,1149.8,1155.4,1214.4,1393.3,1495.6,1614.9,1778.5,1864.2,1732,1840.3,2027.8,2045.3,".....","....."
"9","2","Less: Nonprofit revenue recorded by the IRS not included in nonprofit institution income and receipts from sales","W431RC1",249.1,262.7,273.5,323.2,349,385.5,360.5,393.6,406.2,341.6,343.4,473.8,520.3,563.4,621.3,711.9,555.9,572.6,645.2,543.8,".....","....."
"10","3","  Capital gains or losses","W432RC1",18.6,22.1,20.3,36.8,52,72.8,60.7,83.9,56.1,-0.8,-13.1,39.3,61.9,83.5,101.9,95.8,-55.1,-3.3,54.3,51.2,".....","....."
"11","4","  Adjustment for different accounting periods","W433RC1",8.1,4.6,4.8,1.6,8,2,7.7,12.2,13.1,8,4.2,15.3,17.1,23,14.8,28.6,9.9,13.8,14.7,15,".....","....."
"12","5","  Nonresident institutions","W434RC1",10.5,9.9,12.2,11.9,11.2,11.4,9.9,10.8,11.6,10.9,8.4,11.6,11.4,9.4,14.4,16.8,21,21.3,20.6,21.8,".....","....."
"13","6","  Government hospitals and schools \2\","W435RC1",50.5,55.4,62.7,67.6,64.2,63.5,66.2,59.2,76.1,78.7,87.2,112.9,125.8,132.1,142.4,155.7,160.2,131,69.4,54.4,".....","....."
"14","7","  Other out-of-scope activity \3\","W436RC1",135.9,143.8,147.2,177.4,181.2,201.4,173.8,180.1,194.3,185.6,196.3,232.1,240.2,246.6,269.2,324.8,327.4,326.1,396.6,315,".....","....."
"15","8","  Transfer receipts from nonprofit institutions \4\","W426RC1",25.4,26.9,26.3,28,32.5,34.4,42.2,47.5,55.1,59.3,60.3,62.6,63.9,68.8,78.5,90.3,92.4,83.7,89.7,86.4,"91.7","94.3"
"16","9","Plus: Nonprofit institution income not recorded by the IRS","W438RC1",29.2,30.2,33.8,34.7,36.6,36.4,40.7,42,47,51.5,51.6,50.6,54.1,56.5,58.3,63.4,63.6,63.1,58.4,58.6,".....","....."
"17","10","  Religious organizations \5\","W439RC1",27.6,29,32.7,33.5,35.1,35,38.7,40,45,48.8,49.7,49.4,54,56.7,59.2,63.5,62.6,61.6,56.4,55.7,".....","....."
"18","11","  Other organizations","W440RC1",1.5,1.5,1.6,1.7,1.8,1.9,1.9,1.9,1.8,1.7,1.7,2.3,2.1,2.2,2.4,2.7,3.2,3.5,3.8,4.2,".....","....."
"19","12","  Other accounting differences \6\","W428RC1",0.1,-0.3,-0.5,-0.4,-0.3,-0.6,0.1,0.1,0.2,1,0.2,-1,-2,-2.4,-3.3,-2.8,-2.3,-2,-1.8,-1.3,".....","....."
"20","13","Equals: IRS-derived nonprofit institution income and receipts from sales","W441RC1",462.2,495.6,524.8,560.6,605.4,638.1,677.3,727.4,790.5,865.2,922.6,970.1,1029.3,1108,1215.6,1215.6,1239.7,1330.8,1441,1560.1,".....","....."
"21","14","Nonprofit institution income, NIPAs \7\","W400RC1",133.3,136.2,144.6,151.4,172.3,193.2,201.5,227.2,253.7,247.1,247.3,250.4,278.3,310.6,321.7,337.1,315.2,283.1,309.3,308.3,"337.7","342.6"
"22","15","Plus: Receipts from sales of goods and services by nonprofit institutions, NIPAs \8\","DNPSRC1",308.5,328.7,342.3,356.2,373.1,397,418.7,438.1,463.6,497.4,538.7,569.1,612.6,658.2,693,734.4,758.8,796.5,830.5,864.6,"907.6","937.2"
"23","16","Equals: BEA-derived nonprofit institution income and receipts from sales","W442RC1",441.8,464.8,486.9,507.6,545.4,590.2,620.2,665.3,717.3,744.5,786,819.5,890.9,968.8,1014.7,1071.5,1073.9,1079.7,1139.9,1172.9,"1,245.4","1,279.8"
"24","17","    Gap, IRS less BEA nonprofit institution income and receipts from sales","W443RC1",20.4,30.7,37.8,53,60,47.9,57.2,62.1,73.2,120.8,136.5,150.6,138.4,139.2,200.8,144.1,165.7,251.2,301.1,387.2,".....","....."
"25","18","Expenses of nonprofit institutions, IRS \1\","W444RC1",633.6,673.6,700.7,764.2,809.7,862,882.7,933.5,1039.5,1116.3,1202.7,1284.5,1362.8,1455.3,1575.7,1669.3,1768.8,1794.2,1859.8,1933,".....","....."
"26","19","Less: Nonprofit institution expenses recorded by the IRS not included in gross output of nonprofit institutions and current transfer payments","W445RC1",224.1,236,244.7,274.2,318.4,284.2,293.4,302.3,346.8,355.6,371.8,418.4,442.5,473.2,508.7,595.6,617.3,598.7,636,654.3,".....","....."
"27","20","  Adjustment for different accounting periods","W446RC1",7.5,3.6,4.4,1.2,5.5,3.8,8.8,8.6,15.6,14.6,6,7.9,13,21.4,11.9,30.9,10.1,14.6,15.4,16,".....","....."
"28","21","  Nonresident institutions","W447RC1",9.4,9.4,11.6,10.3,10.1,10.5,11.3,10.1,11,10.5,7.6,10.6,10,8.3,12.8,15.5,19.6,19,18.5,21.3,".....","....."
"29","22","  Government hospitals and schools \2\","W448RC1",50.7,59.5,65.8,68.4,80.3,52.6,70.7,65.9,77.9,83.9,99.3,120.1,128.2,130.8,147.1,148.9,165.3,196.5,178.3,192.8,".....","....."
"30","23","  Other out-of-scope activity \3\","W449RC1",134.5,140,140.1,170,193.6,186.3,164.5,174.5,192.1,192.5,203.7,222.8,233.7,251.5,267.3,320.3,340.8,295.3,343.7,347.7,".....","....."
