"","Table.3.8..Current.Surplus.of.Government.Enterprises......................................................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39","NA..40","NA..41","NA..42","NA..43","NA..44","NA..45","NA..46"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1960 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 04, 2005   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2005 11:22:39 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Line",NA,NA,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
"7","1","      Current surplus of government enterprises","A108RC1",0.9,0.8,0.9,1.4,1.3,1.3,1,0.9,1.2,1,0,-0.2,0.5,-0.4,-0.9,-3.2,-1.8,-2.6,-1.9,-2.6,-4.8,-4.9,-4,-3.1,-1.9,0.8,1.3,1.2,2.5,4.9,1.6,5.7,7.6,7.2,8.6,11.4,12.7,12.6,10.3,10.1,5.3,-1.4,0.9,1.3,-3
"8","2","Federal","B097RC1",-0.3,-0.5,-0.5,-0.3,-0.3,-0.3,-0.6,-0.6,-0.3,-0.5,-1.5,-1.6,-1.1,-1.8,-1.8,-3.6,-2.2,-2.9,-2.1,-2.3,-3.6,-2.5,-2.4,-2.9,-3.4,-2.4,-1.5,-2,-2.3,-1.6,-5.1,-1.4,-0.1,-1.8,-0.4,-0.6,-1.2,0.3,0.1,-0.3,-2.3,-5.5,-1.6,1.9,-0.5
"9","3","  Postal Service","L312101",-0.7,-0.8,-0.9,-0.7,-0.7,-0.8,-1.1,-1.1,-0.9,-1.1,-2.1,-2.3,-1.7,-2.4,-2.5,-4.3,-2.8,-3.7,-3.2,-3.5,-5.1,-4.3,-4.2,-4.8,-5.7,-5.3,-4.7,-5.8,-4.9,-4.7,-7.9,-5.9,-4.2,-6.1,-5.4,-3.3,-3.7,-4.6,-5.2,-5.4,-6.1,-6.5,-4.2,-1,-3.5
"10","4","  Federal Housing Administration","L312121",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.4,0.5,0.6,0.4,0.5,1,1.3,1.6,1.8,2.8,1.8,1.3,2,2.2,2.7,3.1,2.9,2.8,2.5,2.3,3
"11","5","  Tennessee Valley Authority","L312131",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,0.3,0.3,0.6,0.7,0.6,0.7,0.9,1.2,1.5,1.6,1.8,1.8,1.7,0.7,2.1,2.4,1.8,2,1.5,1.9,2.2,2.5,2.6,1.5,0.2,1.9,1.9,1.8
"12","6","  Other \1\","L312141",0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.4,0.7,0.7,0.7,0.3,0.5,0.3,0.3,0.7,0.5,0.5,0.7,0.9,1,1.6,0.2,0.5,0.8,0.8,-0.1,-0.3,1.2,-0.2,-1.4,0.6,0,-0.7,-0.7,-2,-1.9,-1.3,-1.8
