"","Table.2.7B..Wage.and.Salary.Disbursements.by.Industry..Monthly............................................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39","NA..40","NA..41","NA..42","NA..43","NA..44","NA..45","NA..46","NA..47","NA..48","NA..49","NA..50","NA..51","NA..52","NA..53","NA..54","NA..55","NA..56","NA..57","NA..58","NA..59","NA..60"
"1","[Billions of dollars; months seasonally adjusted at annual rates]                                                                                                                                                                                         ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Monthly data from 2001 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 22, 2005 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2005 2:31:05 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Line",NA,NA,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005
"7",NA,NA,NA,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11
"8","1","    Wage and salary disbursements","A576RC1",4945.8,4965.9,4971.5,4953,4949.3,4951.9,4948.2,4940.3,4917.2,4916.4,4921.8,4932.2,4949.1,4958.3,4976.1,4978.3,4985.9,5004,4982.1,4989.6,4993.8,4982.2,4982.5,4988.8,5008.8,5031.7,5048.4,5058,5092.8,5112.5,5124,5142.4,5153.1,5170.8,5201.4,5189.6,5232.6,5257.3,5274.6,5293.1,5329.8,5331.4,5384.2,5418.9,5462.8,5513.2,5563.2,5612.2,5604.6,5629.8,5655.3,5650.1,5671.1,5695.7,5734.4,5734.1,5756.3,5788.3,5797.8
"9","2","Private industries","A132RC1",4152.3,4167.1,4169.7,4147.7,4140.6,4138.4,4130.4,4117.9,4090.8,4085.4,4086.5,4096.2,4096.9,4102.4,4117.9,4118.2,4121.3,4137.7,4115.8,4119.6,4122.4,4108.7,4107.4,4111.4,4118.8,4137.1,4151.7,4159.1,4189.8,4203.3,4217.9,4235.9,4247.6,4263.1,4291.8,4277.3,4309.4,4330.4,4342.7,4353.5,4393.5,4394,4444.6,4475.8,4517,4564.8,4613.2,4660.7,4645.6,4667.5,4691.1,4684.2,4703.6,4727.4,4762.8,4759.5,4777.4,4808.4,4816.2
"10","3","  Goods-producing industries","N231RC1",1076,1077.6,1080.1,1064.4,1055,1046.4,1043.4,1028.6,1021.8,1014.7,1011.6,1012.1,1012.9,1014.9,1019.7,1016.4,1017.5,1019.3,1013,1008.7,1006.7,999.8,998.8,1001.2,1001.2,1001.8,1002,997.1,1002.3,1004,998.2,1002.9,1009,1018.3,1027.7,1021.9,1017.8,1018.1,1020.4,1025.7,1040.5,1040.5,1053.3,1063.2,1070.5,1079.4,1080.5,1089,1092.7,1099.1,1105.9,1102.9,1106.8,1111.8,1117,1120.1,1119.9,1132.5,1133.7
"11","4","    Manufacturing","N552RC1",748.4,746.5,746.2,731.2,718.5,708.1,704.8,690.1,683.9,678.2,675.1,674.1,673.7,674.5,680.1,680.3,683.2,685.7,679.1,674.8,672.7,667.3,666.5,667.6,667.5,669.5,668.5,662.6,666.4,666.6,661.2,663.6,667.3,673.7,681.4,676.2,670.3,669.6,668,670.2,681.7,681,689.8,696.9,701.7,706.3,705.6,711.4,711.6,715.2,719.2,713.9,715.1,717.5,720.5,721.8,720,729.5,728.8
"12","5","  Services-producing industries","N233RC1",3076.3,3089.4,3089.6,3083.3,3085.6,3091.9,3087,3089.2,3069,3070.6,3074.9,3084.1,3084,3087.5,3098.2,3101.8,3103.7,3118.5,3102.8,3110.8,3115.6,3108.9,3108.6,3110.1,3117.7,3135.3,3149.7,3162,3187.5,3199.3,3219.6,3233,3238.6,3244.8,3264.1,3255.4,3291.6,3312.3,3322.3,3327.7,3353.1,3353.5,3391.3,3412.6,3446.5,3485.4,3532.6,3571.7,3552.9,3568.4,3585.2,3581.2,3596.8,3615.6,3645.8,3639.4,3657.5,3676,3682.5
"13","6","    Trade, transportation, and utilities","N234RC1",855.4,855.1,855.9,848.7,847.7,847.8,842.9,841,837.3,834.4,834.9,834.6,837.7,837.5,842.4,841.9,845.1,848.4,846.1,845.6,846.5,841.1,842,842.9,846,850.6,853.5,852.2,855.4,856.2,857.7,862.1,863.2,870.3,871.8,864.3,868,871.6,875.7,885.1,891.5,891.8,899.9,904.3,914.7,924.5,931.2,937.6,933.8,937.6,942,946.4,950.9,955.9,964.2,960.2,961.4,965,965.6
"14","7","    Other services-producing industries \1\","N235RC1",2220.9,2234.3,2233.7,2234.6,2237.9,2244.2,2244.2,2248.2,2231.7,2236.2,2240.1,2249.6,2246.3,2250.1,2255.8,2259.9,2258.7,2270.1,2256.8,2265.2,2269.1,2267.8,2266.5,2267.2,2271.7,2284.8,2296.2,2309.8,2332.1,2343.1,2361.9,2370.9,2375.4,2374.5,2392.3,2391.1,2423.7,2440.7,2446.6,2442.6,2461.6,2461.7,2491.4,2508.3,2531.8,2560.8,2601.4,2634.1,2619.1,2630.8,2643.2,2634.8,2645.9,2659.7,2681.7,2679.2,2696.1,2711,2716.9
"15","8","Government","B202RC1",793.5,798.9,801.8,805.3,808.7,813.5,817.8,822.4,826.4,831,835.3,836,852.2,855.9,858.1,860.1,864.6,866.3,866.3,870.1,871.4,873.6,875.1,877.4,890,894.6,896.7,898.9,903,909.2,906.1,906.5,905.5,907.7,909.6,912.3,923.1,926.9,931.9,939.6,936.3,937.4,939.6,943.2,945.8,948.4,950.1,951.5,959,962.4,964.1,965.9,967.5,968.4,971.6,974.6,978.9,979.8,981.6
"16","1. Other services-producing industries consists of information; finance and insurance; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","estate and rental and leasing; professional, scientific, and technical services; management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","of companies and enterprises; administrative and support and waste management and remediation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","services; educational services; health care and social assistance; arts, entertainment, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","recreation; accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
