"","Table.1.4.1..Percent.Change.From.Preceding.Period.in.Real.Gross.Domestic.Product..Real.Gross.Domestic.Purchases..and.Real.Final.Sales.to.Domestic.Purchasers..............................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39","NA..40","NA..41","NA..42","NA..43","NA..44","NA..45","NA..46","NA..47","NA..48","NA..49","NA..50","NA..51","NA..52","NA..53","NA..54","NA..55","NA..56","NA..57","NA..58","NA..59","NA..60","NA..61","NA..62","NA..63","NA..64","NA..65","NA..66","NA..67","NA..68","NA..69","NA..70","NA..71","NA..72","NA..73","NA..74","NA..75","NA..76"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 21, 2005 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2005 12:08:31 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Line",NA,NA,"1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004"
"7","1","Gross domestic product","A191RL1","-8.6","-6.4","-13","-1.3","10.8","8.9","13","5.1","-3.4","8.1","8.8","17.1","18.5","16.4","8.1","-1.1","-11","-0.9","4.4","-0.5","8.7","7.7","3.8","4.6","-0.7","7.1","1.9","2","-1","7.1","2.5","2.3","6.1","4.4","5.8","6.4","6.5","2.5","4.8","3.1","0.2","3.4","5.3","5.8","-0.5","-0.2","5.3","4.6","5.6","3.2","-0.2","2.5","-1.9","4.5","7.2","4.1","3.5","3.4","4.1","3.5","1.9","-0.2","3.3","2.7","4","2.5","3.7","4.5","4.2","4.5","3.7","0.8","1.6","2.7","4.2"
"8","2","Less: Exports of goods and services","A020RL1","-17.4","-16.9","-21.7","0.6","11.1","5.4","5","26","-1.1","5.6","13.7","2.5","-33.9","-15.7","7.4","40.1","116","14","-21.2","-0.9","-12.4","22.5","-4.3","-6.7","4.8","10.7","16.5","8.7","-13.5","10.3","17.4","0.5","5.1","7.1","11.8","2.8","6.9","2.3","7.9","4.8","10.7","1.7","7.5","18.9","7.9","-0.6","4.4","2.4","10.5","9.9","10.8","1.2","-7.6","-2.6","8.2","3","7.7","10.8","16","11.5","9","6.6","6.9","3.2","8.7","10.1","8.4","11.9","2.4","4.3","8.7","-5.4","-2.3","1.8","8.4"
"9","3","Plus: Imports of goods and services","A021RL1","-13","-12.8","-17","4.2","2.2","31","-1.2","12.6","-22.3","5","2.4","23","-9.2","26.1","4.7","6.3","-17.1","-5.1","16.7","-3.5","18.2","3.9","8.8","9.4","-4.9","12.1","8.1","4.2","4.8","10.5","1.3","-0.7","11.3","2.7","5.3","10.6","14.9","7.3","14.9","5.7","4.3","5.3","11.3","4.6","-2.3","-11.1","19.5","10.9","8.7","1.7","-6.6","2.6","-1.3","12.6","24.3","6.5","8.6","5.9","3.9","4.4","3.6","-0.6","7","8.8","11.9","8","8.7","13.6","11.6","11.5","13.1","-2.7","3.4","4.6","10.7"
"10","4","Equals: Gross domestic purchases","A712RL1","-8.3","-6.2","-12.8","-1.2","10.5","9.8","12.7","4.7","-4.3","8.1","8.3","18","19.9","17.6","8","-1.8","-14.8","-2.1","6.8","-0.6","10.2","6.9","4.5","5.3","-1.1","7.2","1.6","1.8","-0.1","7.1","1.8","2.3","6.3","4.2","5.5","6.8","6.9","2.7","5.1","3.1","-0.2","3.6","5.5","4.9","-1.3","-1.1","6.5","5.3","5.5","2.5","-1.9","2.7","-1.3","5.8","8.7","4.4","3.7","3.1","3.2","3","1.4","-0.8","3.3","3.2","4.4","2.4","3.8","4.8","5.3","5.3","4.4","0.9","2.2","3","4.7"
