"","Table.7.18..Relation.of.Wages.and.Salaries.in.the.National.Income.and.Product.Accounts.to.Wages.and.Salaries.as.Published.by.the.Bureau.of.Labor.Statistics...............................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1982 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 04, 2005   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2005 11:58:50 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Line",NA,NA,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,"2004"
"7","1","Total wages and salaries, BLS \1\","BA06RC1",1479.2,1563.5,1718,1848,1961.5,2107.9,2280.6,2415.1,2564.5,2627,2781.7,2884.5,3033.7,3215.9,3414.5,3674,3967.1,4235.6,4587.7,4695.2,4714.4,4826.3,"....."
"8","2","Plus: Adjustment for misreporting on employment tax returns \2\","BA07RC1",31.8,34,38.3,42.9,46,51.1,54.4,58,61.3,61.8,64.1,66.7,69.3,72.6,77,78.5,84.1,95.4,99.8,103.3,106.6,110.3,"....."
"9","3","      Adjustment for thrift savings plans \3\","BA08RC1",3.7,6.6,11.4,14.3,14.1,13.3,12.3,12.7,12.3,12.1,11.9,9.5,7.5,5.3,3.1,1.5,0,0,0,0,0,0,"....."
"10","4","      Adjustment for selected industries \4\","BA09RC1",75.2,75.8,80.7,83.2,86.3,89.2,95.7,99.3,104,108.9,107.3,106.7,106.6,108.4,106.5,107.6,114.2,118.3,123.1,126.2,140.5,153.5,"....."
"11","5","      Other \5\","BA10RC1",3.8,5.1,6.4,7.3,7,9.2,10,11.2,11.9,13.3,15.3,15.3,15.1,17.1,18.5,16,18.1,17,18.7,18.1,19.4,21.1,"....."
"12","6","Equals: Wage and salary disbursements, NIPAs","A576RC1",1593.7,1685,1854.9,1995.7,2114.8,2270.7,2452.9,2596.3,2754,2823,2980.3,3082.7,3232.1,3419.3,3619.6,3877.6,4183.4,4466.3,4829.2,4942.8,4980.9,5111.1,"5389.4"
"13","7","Plus: Wage accruals less disbursements, NIPAs","A062RC1",0,-0.4,0.2,-0.2,0,0,0,0,0.1,-0.1,-15.8,6.4,17.6,16.4,3.6,-2.9,-0.7,5.2,0,0,0,0,"0"
"14","8","Equals: Wage and salary accruals, NIPAs","A034RC1",1593.7,1684.6,1855.1,1995.5,2114.8,2270.7,2452.9,2596.3,2754,2823,2964.5,3089.2,3249.8,3435.7,3623.2,3874.7,4182.7,4471.4,4829.2,4942.8,4980.9,5111.1,"5389.4"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1. Total annual wages of workers covered by State unemployment insurance (UI) laws and by the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
