"","Table.5.6.6B..Real.Change.in.Private.Inventories.by.Industry..Chained.Dollars.............................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9"
"1","[Billions of chained (2000) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 21, 2005 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2005 11:43:49 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004
"7","1","    Change in private inventories","A014RX1",71.2,72.6,68.9,56.5,-31.7,12.5,15.5,52
"8","2","Farm","B018RX1",2.9,1.4,-3,-1.3,0,-2.5,0.2,2.3
"9","3","Mining, utilities, and construction","N541RX1",2.5,7.2,-0.6,-1.7,10.6,-3.6,5.1,1.7
"10","4","Manufacturing","N150RX1",20.7,18.6,17,7.9,-21.3,-5.9,-7.6,6.1
"11","5","  Durable goods industries","N624RX1",13.6,17.9,8.5,7.3,-18.2,-6.8,-5.6,5
"12","6","  Nondurable goods industries","N625RX1",7.1,0.3,8.5,0.6,-3.1,0.9,-2,1.2
"13","7","Wholesale trade","N658RX1",25.1,22.5,19.7,17.6,-10.7,1.3,1.2,23.3
"14","8","  Durable goods industries","N661RX1",16.3,16.7,13.3,12,-16.3,-0.4,1.4,20.3
"15","9","  Nondurable goods industries","N664RX1",8.7,5.6,6.3,5.6,5.3,1.7,-0.1,3.6
"16","10","Retail trade","N153RX1",14.6,17.3,27.7,21.6,-10.8,24.3,16.8,15.4
"17","11","  Motor vehicle and parts dealers","N631RX1",5.1,2.3,13.1,12.3,-8.8,18.4,12.9,4.1
"18","12","  Food and beverage stores","N542RX1",0.4,1.2,1.8,-0.2,0.7,0.2,-1,0.5
"19","13","  General merchandise stores","N543RX1",0.2,0.9,2.7,1.1,-0.1,1.2,0.9,3.7
"20","14","  Other retail stores","N558RX1",8.9,12.8,10.1,8.4,-2.6,4.7,4.4,7
"21","15","Other industries","N154RX1",5.4,5.9,7.3,12.4,0.2,-1.4,-0.3,3.5
"22","16","Residual","N969RX1",0.1,0.4,0.9,0,0.6,0.1,-0.4,-0.9
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA
"24","17","  Change in private inventories","A014RX1",71.2,72.6,68.9,56.5,-31.7,12.5,15.5,52
"25","18","    Durable goods industries","N355RX1",38.5,42.4,40.4,36.1,-42.4,15.5,12.6,36.5
"26","19","    Nondurable goods industries","N357RX1",32.4,29.8,28.1,20.4,10.3,-2.8,3.3,16.4
"27","20","  Nonfarm industries","B015RX1",68.5,71.2,71.5,57.8,-31.8,15.2,15.5,49.9
"28","21","  Wholesale trade","N658RX1",25.1,22.5,19.7,17.6,-10.7,1.3,1.2,23.3
"29","22","    Merchant wholesale trade","N151RX1",22.3,20.3,17.5,15.1,-8.4,1.8,1.5,21.2
"30","23","      Durable goods industries","N626RX1",14.5,14.8,12,10,-14.3,0,1.6,18.9
"31","24","      Nondurable goods industries","N627RX1",7.7,5.4,5.5,5.1,5.7,1.8,-0.1,2.7
"32","25","    Nonmerchant wholesale trade","N152RX1",2.8,2.1,2.1,2.5,-2.3,-0.5,-0.3,2.2
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Note.  Estimates in this table are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Chained (2000) dollar series for real change in private inventories are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","as the period-to-period change in chained-dollar end-of-period inventories. Quarterly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","changes in end-of-period inventories are stated at annual rates. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","chained-dollar estimates are usually not additive. The residual line is the difference between",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
