"","Table.3.18B..Relation.of.Federal.Government.Current.Receipts.and.Expenditures.in.the.National.Income.and.Product.Accounts.to.the.Budget..Fiscal.Years.and.Quarters........................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38"
"1","[Billions of dollars; quarterly totals not seasonally adjusted]                                                                                                                                                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1968 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 13, 2005  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2005 11:33:15 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Line",NA,NA,"1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991",1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
"7",NA,"      Current receipts"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1","Budget receipts","M318011","153.7","187.8","193.7","188.4","208.6","232.2","264.9","281","300","356.9","402","465.9","520.1","602.6","617.8","600.6","663.6","733.7","768.8","853.8","908.4","990.7","1031.3","1054.3",1090.5,1154.4,1258.6,1351.8,1453.1,1579.3,1721.8,1827.5,2025.2,1991.2,1853.2,1782.3,1880.1
"9","2","Less: Coverage differences","M318021","4.2","5.2","5.7","5.8","8","7.6","7.8","7.8","8.7","11.1","9.2","9.6","10.8","11.9","13.6","10.6","10.8","12.4","13.6","13.4","13.7","14.8","17.6","17.4",17.8,19.1,22,21.5,25,27.9,33.9,38.9,41.4,40.7,39.7,35.3,39.1
"10","3","        Geographic \1\","M318031","0.1","0.2","0.2","0.3","0.3","0.4","0.5","0.6","0.8","0.8","0.7","0.7","0.8","1.1","1.5","1.2","1.4","1.5","1.6","1.5","1.5","1.8","1.9","2",2.1,2.2,2.5,2.6,2.7,2.9,3.1,3.2,3.5,3.5,3.5,3.5,3.6
