"","Table.7.2.1A..Percent.Change.From.Preceding.Period.in.Real.Auto.Output....................................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February  13, 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2005 11:53:45 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Line",NA,NA,"1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966"
"7","1","      Auto output","A133RL1","12.4","30.9","29.7","-18.2","-13.9","39.9","-8.1","45","-25.1","8.5","-27.5","26","12.4","-18.1","25.8","11.5","2.8","23.3","-2.5"
"8","2","Final sales","A134RL1","12","32.2","29","-17.1","-13.9","35.9","-4.3","36.2","-20.1","4","-23.3","21.6","7.1","-9.9","19.7","10.1","4.9","18.7","-1.8"
"9","3","  Personal consumption expenditures","A135RL1","18.8","39.1","30.5","-16.7","-11.9","31.3","-4.2","38.5","-17.7","4.1","-20.4","20.2","6.1","-12.1","19.5","13.4","5.1","17.6","0.2"
"10","4","    New autos","B136RL1","13.5","40.7","32.8","-19.8","-15.3","38.2","-3.9","41","-20.6","3","-25.4","29.8","7.8","-13.8","24.8","15.4","6.4","19.5","0.3"
"11","5","    Net purchases of used autos","B137RL1","46.9","31.6","16","6.5","10.4","-13.4","-14.1","15","5.1","10.5","5.3","-12.5","-2.1","-3.3","-3.1","3.2","-1.1","7.9","-0.7"
"12","6","  Private fixed investment","B280RL1","3.5","19","26.6","-24.2","-21.2","61.2","-4.8","29.9","-29.8","10.6","-26.8","40.3","4.1","-6.2","23.4","-4.7","5.9","24.8","-4.7"
"13","7","    New autos","B139RL1","8.3","21.3","26.3","-15.4","-16","32.5","-1.2","28.3","-21.1","6.9","-23.6","25.4","3.3","-3.4","19.6","-1.6","3.6","22.2","1"
"14","8","    Net purchases of used autos","B140RL1","93.6","36.6","24.7","32.6","1.1","-23.6","13.2","21.4","29.8","-6.1","-12.7","-10.6","0.3","7.7","7.6","9.2","-3.3","14.3","20"
"15","9","  Net exports","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"16","10","    Exports","B142RL1","-23.7","-25.1","-2.1","56.6","-19.3","12.9","-3.3","26.2","-7.2","-12.6","-52.7","-16.7","7.2","-2.7","15.1","8.9","21.2","15.5","45.5"
"17","11","    Imports","B143RL1","1155.9","-72.4","127.1","21.3","60.3","-3.1","6.1","51.9","83.5","134.6","60","52","-27.1","-39.9","32.6","6.2","26.8","11.4","80.7"
"18","12","  Gross government investment","B144RL1","-10","-8.6","23.8","25.8","1.1","3.3","-3.2","20.4","5","2.8","4.5","-0.5","12","11.2","8","19.1","-2","3.2","5"
"19","13","Change in private inventories of new and used autos","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"20","14","  New","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"21","15","  Used","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"22",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","16","  Domestic output of new autos \1\","B148RL1","10.1","31.8","30.8","-19.3","-15.6","41.6","-7.9","46.3","-26.4","8.8","-31.9","28.5","15.2","-17","28.2","12.6","2.6","24.9","-2.9"
"24","17","  Sales of imported new autos \2\","B149RL1","1163.6","-17.3","3.5","38.7","53.3","11.1","-6","75.8","51.5","88.5","91.8","55.4","-18","-25.6","-11.2","15","28.6","33.4","49.1"
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","1. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2. Consists of personal consumption expenditures, private fixed investment, and gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
