"","Table.6.10D..Employer.Contributions.for.Government.Social.Insurance.by.Industry...........................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 04, 2005   ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2005 11:49:28 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Line",NA,NA,"1998","1999","2000","2001","2002","2003","2004"
"7","1","      Employer contributions for government social insurance","B039RC0","306969","323341","343517","356619","365241","380005","402654"
"8","2","Domestic industries","B4802C0","306969","323341","343517","356619","365241","380005","402654"
"9","3","  Private industries","B4803C0","262336","276572","294240","303848","309263","320986","341155"
"10","4","    Agriculture, forestry, fishing, and hunting","N4804C0","1912","1969","2090","2139","2237","2351","2288"
"11","5","    Mining","N4805C0","2478","2350","2459","2662","2419","2495","2751"
"12","6","    Utilities","N4806C0","2448","2545","2672","2863","2907","2915","3008"
"13","7","    Construction","N4807C0","16923","18833","20228","21515","23231","23975","25692"
"14","8","    Manufacturing","N4808C0","55221","56198","58547","57292","52999","53636","55850"
"15","9","      Durable goods","N4809C0","36507","37377","39208","37902","34593","34898","36642"
"16","10","      Nondurable goods","N4810C0","18714","18821","19339","19390","18405","18739","19209"
"17","11","    Wholesale trade","N4811C0","19017","19983","21085","20984","20944","21850","23304"
"18","12","    Retail trade","N4812C0","23710","24840","26103","27306","27748","28833","30231"
"19","13","    Transportation and warehousing","N4813C0","13201","13779","14250","14596","14679","14984","15730"
"20","14","    Information","N4814C0","12492","13878","15155","14980","14078","14011","14539"
"21","15","    Finance and insurance, real estate, rental, and leasing","N4815C0","24571","26123","28343","30558","31474","33362","36205"
"22","16","    Professional, and business services \1\","N4816C0","42105","45837","50624","51664","53663","55712","60701"
"23","17","    Educational services, health care, and social assistance","N4828C0","29767","30830","32218","35496","39506","42326","44803"
"24","18","    Arts, entertainment, recreation, accommodation, and food services","N4829C0","12209","12848","13553","14457","15694","16571","17706"
"25","19","    Other services, except government","N4830C0","6282","6559","6913","7337","7685","7967","8347"
"26","20","  Government","B4818C0","44633","46769","49277","52771","55978","59019","61499"
"27","21","Rest of the world","ZZZZZZ0",".....",".....",".....",".....",".....",".....","....."
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Note.  Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA
