"","Table.5.10..Capital.Transfers..Net.","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39","NA..40","NA..41","NA..42","NA..43","NA..44","NA..45","NA..46","NA..47","NA..48","NA..49","NA..50","NA..51","NA..52","NA..53","NA..54","NA..55","NA..56","NA..57","NA..58","NA..59","NA..60","NA..61","NA..62","NA..63","NA..64","NA..65","NA..66","NA..67","NA..68","NA..69","NA..70","NA..71","NA..72","NA..73","NA..74","NA..75","NA..76","NA..77"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 15, 2005   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2005 11:45:55 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001",2002,2003,2004
"7","1","Capital transfers received by government (net)","AD04RC1","0.2","0.2","0.2","0.2","0.2","0.2","0.4","0.5","0.5","0.5","0.5","0.5","0.5","0.6","0.6","0.7","0.8","0.9","1","1.1","0.9","0.8","0.9","1.1","1.1","1.2","1.2","1.6","1.8","1.7","1.8","2.1","2.4","2.5","2.8","3.2","3.5","3.8","3.9","4","4.5","4.6","5.7","6.6","6.4","6.1","6.2","7","9.1","7","7.3","8.5","9.1","9.9","8.3","8.4","8.9","10","10.6","11.1","12.2","8.5","10.5","15.7","17","19.1","19.6","23.1","26.8","32.4","32.5","35.6","35.7",29,11.1,13.9
"8","2","  Federal","AD05RC1","0.1","0.1","0.1","0","0.1","0.1","0.2","0.4","0.3","0.3","0.3","0.2","0.2","0.3","0.4","0.5","0.6","0.6","0.7","0.6","0.4","0.2","0.3","0.3","0.4","0.3","0.2","0.5","0.1","-1","-1.7","-0.9","-0.9","-1","-1.3","-1.5","-1.2","-1.3","-1.2","-2.9","-2.3","-1.6","-1.3","-0.7","-0.9","-3.1","-4.8","-5","-4","-6.7","-8.9","-10.1","-8.7","-7","-9.7","-11.7","-13","-13","-11.8","-12","-11.2","-16.5","-15.3","-11.2","-11.6","-10.8","-12.8","-10.7","-8.5","-3.6","-7.4","-8.1","-12.9",-23.1,-40.4,-38
"9","3","    Estate and gift taxes paid by persons","B232RC1","0.1","0.1","0.1","0","0.1","0.1","0.2","0.4","0.4","0.4","0.4","0.3","0.4","0.5","0.5","0.6","0.7","0.7","0.8","0.9","0.7","0.6","0.7","0.8","0.9","0.9","1","1.3","1.4","1.3","1.4","1.8","2","2.1","2.2","2.6","2.8","3","3.1","3.1","3.6","3.7","4.6","5.4","5.1","4.8","4.9","5.6","7.2","5.2","5.5","6.5","6.9","7.5","5.8","6","6.4","7","7.2","7.6","8.9","11.6","11","11.3","12.9","15.1","14.9","17.5","20.6","25.2","28.8","28.1","28",25.3,22,24.6
"10","4","    Less: Capital transfers paid to persons \1\","W027RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",3.6,14.8,16.1
