"","Table.1.3.5..Gross.Value.Added.by.Sector..................................................................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39","NA..40","NA..41","NA..42","NA..43","NA..44","NA..45","NA..46","NA..47","NA..48","NA..49","NA..50","NA..51","NA..52","NA..53","NA..54","NA..55","NA..56","NA..57","NA..58","NA..59","NA..60","NA..61","NA..62","NA..63","NA..64","NA..65","NA..66","NA..67","NA..68","NA..69","NA..70","NA..71","NA..72","NA..73","NA..74","NA..75","NA..76","NA..77"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 21, 2005 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2005 12:08:10 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
"7","1","    Gross domestic product","A191RC1",103.6,91.2,76.5,58.7,56.4,66,73.3,83.8,91.9,86.1,92.2,101.4,126.7,161.9,198.6,219.8,223.1,222.3,244.2,269.2,267.3,293.8,339.3,358.3,379.4,380.4,414.8,437.5,461.1,467.2,506.6,526.4,544.7,585.6,617.7,663.6,719.1,787.8,832.6,910,984.6,1038.5,1127.1,1238.3,1382.7,1500,1638.3,1825.3,2030.9,2294.7,2563.3,2789.5,3128.4,3255,3536.7,3933.2,4220.3,4462.8,4739.5,5103.8,5484.4,5803.1,5995.9,6337.7,6657.4,7072.2,7397.7,7816.9,8304.3,8747,9268.4,9817,10128,10469.6,10971.2,11734.3
"8","2","Business \1\","A195RC1",89.6,77.5,63.5,47.1,45.2,53.9,60.7,69.5,77.5,70.9,76.7,85.5,108.2,135.3,158.1,169,167.1,177.9,203.3,227.6,223.3,247.7,283.9,296.2,313,310.6,340,356.8,374.5,374.4,408.2,420.4,432,464.5,488.7,525.6,571.4,625.1,654.5,714.5,770.3,803.6,869.9,959,1079.4,1166.9,1268.5,1423.7,1593.5,1813.4,2032.9,2191.1,2459.4,2520.7,2747.2,3071.8,3290.8,3468.8,3669.9,3948.6,4243.2,4462.6,4569.3,4840.4,5096.2,5444,5700.6,6056.7,6471.9,6827.1,7243.4,7666.7,7841.2,8040.5,8427.8,9041.2
"9","3","  Nonfarm \2\","A358RC1",80.7,70.5,57.8,43.2,41.1,49.7,54.3,63.6,69.8,64.9,71,79.6,99.9,122.9,143.4,154.4,152,160.1,184.3,205.5,205.7,229,262.3,275.4,294.3,292.4,322.7,339.7,357.6,355.3,390.9,402.3,413.7,446.1,470.2,508.2,551.5,604.3,634.4,694,747.5,779.9,844.5,929.4,1032.7,1122.6,1222.8,1380.7,1549.9,1762.7,1972.8,2139.7,2394.5,2460.3,2702.3,3007.7,3227.4,3409.4,3608.4,3887.2,4169.7,4386,4499.5,4761.7,5025.6,5362.4,5632,5966,6383.8,6748.2,7174.7,7595.1,7768,7969.7,8339.8,8928.9
"10","4","  Farm","B359RC1",8.9,7,5.7,3.9,4.1,4.2,6.4,5.9,7.7,6,5.7,5.9,8.3,12.4,14.6,14.6,15.1,17.8,19.1,22.1,17.6,18.7,21.7,20.8,18.7,18.2,17.3,17.1,16.9,19.1,17.3,18.2,18.3,18.4,18.5,17.3,19.9,20.8,20.1,20.5,22.8,23.7,25.4,29.7,46.8,44.2,45.6,43,43.5,50.7,60.1,51.4,65,60.4,44.9,64.2,63.4,59.4,61.6,61.3,73.6,76.6,69.9,78.7,70.6,81.6,68.5,90.7,88.1,78.9,68.8,71.5,73.1,70.8,88,112.2
