"","Table.6.21D..Undistributed.Corporate.Profits.by.Industry..................................................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 04, 2005   ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2005 11:52:56 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Line",NA,NA,1998,1999,2000,2001,2002,"2003","2004"
"7","1","      Undistributed corporate profits","B057RC0",118337,179874,130285,132862,176633,"281867","295197"
"8","2","Domestic industries","A3402C0",57848,100058,14079,4027,68682,"135621","146217"
"9","3","  Agriculture, forestry, fishing, and hunting","N3403C0",-2056,-1421,-1594,-1978,-2671,"-2015","-1527"
"10","4","    Farms \1\","N3404C0",-1882,-1449,-1416,-1484,-2612,".....","....."
"11","5","    Forestry, fishing, and related activities","N3405C0",-174,28,-178,-494,-59,".....","....."
"12","6","  Mining","N3406C0",-1234,-61,7878,8896,981,"9380","22223"
"13","7","    Oil and gas extraction","N3407C0",-352,2330,9181,8358,3027,".....","....."
"14","8","    Mining, except oil and gas","N3408C0",-201,91,-735,-412,-259,".....","....."
"15","9","    Support activities for mining","N3409C0",-681,-2482,-568,950,-1787,".....","....."
"16","10","  Utilities","N3410C0",5052,4586,1310,4756,-5009,"-2445","-2962"
"17","11","  Construction","N3411C0",16327,18650,16782,18107,18847,"20607","24986"
"18","12","  Manufacturing","N3412C0",-3616,9489,814,-71602,-70494,"-61189","-44436"
"19","13","    Durable goods","N3413C0",10040,9046,-2853,-67940,-48267,"-49928","-22367"
"20","14","      Wood products","N3414C0",1509,1473,-724,437,247,".....","....."
"21","15","      Nonmetallic mineral products","N3415C0",3942,4729,3477,1874,1484,".....","....."
"22","16","      Primary metals","N3416C0",2551,-589,-546,-4210,-1268,".....","....."
"23","17","      Fabricated metal products","N3417C0",6553,6423,6689,2366,2186,".....","....."
"24","18","      Machinery","N3418C0",10240,4865,3064,-1638,-1951,".....","....."
"25","19","      Computer and electronic products","N3419C0",-8011,-12647,-5172,-48534,-32811,".....","....."
"26","20","      Electrical equipment, appliances, and components","N3420C0",-2447,-2870,-6135,-7734,-10233,".....","....."
"27","21","      Motor vehicles, bodies and trailers, and parts","N3421C0",-9460,-1532,-10201,-13962,-10036,".....","....."
"28","22","      Other transportation equipment","N3422C0",2527,5438,4066,3033,2091,".....","....."
"29","23","      Furniture and related products","N3423C0",1958,1968,1503,477,767,".....","....."
"30","24","      Miscellaneous manufacturing","N3424C0",678,1788,1126,-49,1257,".....","....."
"31","25","    Nondurable goods","N3425C0",-13656,443,3667,-3662,-22227,"-11261","-22069"
"32","26","      Food and beverage and tobacco products","N3426C0",-4041,9884,5288,6796,-287,".....","....."
"33","27","      Textile mills and textile product mills","N3427C0",823,931,99,-985,-608,".....","....."
"34","28","      Apparel and leather and allied products","N3428C0",615,89,942,364,1908,".....","....."
"35","29","      Paper products","N3429C0",-331,1186,2611,-3458,-2068,".....","....."
"36","30","      Printing and related support activities","N3430C0",2153,1943,1582,1062,1248,".....","....."
"37","31","      Petroleum and coal products","N3431C0",-7325,-8501,9687,13945,-12926,".....","....."
"38","32","      Chemical products","N3432C0",-8609,-7161,-16255,-20429,-10074,".....","....."
"39","33","      Plastics and rubber products","N3433C0",3059,2072,-287,-957,580,".....","....."
"40","34","  Wholesale trade","N3434C0",13106,23590,24631,14657,18883,"25145","31867"
"41","35","    Durable goods","N3435C0",8170,14613,14211,5681,9639,".....","....."
"42","36","    Nondurable goods","N3436C0",4936,8977,10420,8976,9244,".....","....."
"43","37","  Retail trade","N3437C0",29639,26402,24133,31641,38248,"38512","37413"
"44","38","  Transportation and warehousing","N3438C0",10512,6610,6014,-7322,-7116,"-1185","-506"
"45","39","    Air transportation","N3439C0",5454,3635,1288,-10706,-13543,".....","....."
"46","40","    Rail transportation","N3440C0",-510,-1122,1321,23,915,".....","....."
"47","41","    Water transportation","N3441C0",-75,-356,53,-146,-152,".....","....."
"48","42","    Truck transportation","N3442C0",1717,1146,766,690,1596,".....","....."
"49","43","    Transit and ground passenger transportation","N3443C0",452,205,382,71,464,".....","....."
"50","44","    Pipeline transportation","N3444C0",105,-276,-916,141,377,".....","....."
"51","45","    Other transportation and support activities \2\","N3445C0",3110,3128,3024,2552,3063,".....","....."
"52","46","    Warehousing and storage","N3446C0",259,250,96,53,164,".....","....."
"53","47","  Information","N3447C0",-21823,-38589,-68247,-52163,-29993,"-36418","-54234"
"54","48","    Publishing industries (includes software)","N3448C0",-876,3093,-11083,-5953,2011,".....","....."
"55","49","    Motion picture and sound recording industries","N3449C0",-3485,-1580,-2150,993,4950,".....","....."
"56","50","    Broadcasting and telecommunications","N3450C0",-11005,-30931,-34948,-34237,-35646,".....","....."
"57","51","    Information and data processing services","N3451C0",-6457,-9171,-20066,-12966,-1308,".....","....."
"58","52","  Finance and insurance","N3491C0",-8258,18590,-23913,3271,28248,"52790","42225"
"59","53","    Federal Reserve banks","N3453C0",-1719,513,5045,787,-1312,".....","....."
"60","54","    Credit intermediation and related activities","N3492C0",22602,31675,29551,45518,58530,".....","....."
"61","55","    Securities, commodity contracts, and investments","N3493C0",-5956,-5968,-26400,-9871,2327,".....","....."
"62","56","    Insurance carriers and related activities","N3456C0",-14387,-10438,-20424,-27071,-8666,".....","....."
"63","57","    Funds, trusts, and other financial vehicles","N3457C0",-8798,2808,-11685,-6092,-22631,".....","....."
"64","58","  Real estate and rental and leasing","N3458C0",-7181,-5971,-8714,-7874,-8540,"-8276","-7868"
"65","59","    Real estate","N3459C0",-7820,-5832,-6894,-7612,-7665,".....","....."
"66","60","    Rental and leasing services and lessors of intangible assets \3\","N3460C0",639,-139,-1820,-262,-875,".....","....."
"67","61","  Professional, scientific, and technical services","N3461C0",948,-1551,-23645,-14752,-4106,"1826","3360"
"68","62","    Legal services","N3462C0",2803,2489,3332,3895,4327,".....","....."
"69","63","    Computer systems design and related services","N3463C0",-966,-4997,-19280,-13093,-7530,".....","....."
"70","64","    Miscellaneous professional, scientific, and technical services \4\","N3464C0",-889,957,-7697,-5554,-903,".....","....."
"71","65","  Management of companies and enterprises \5\","N3465C0",16205,17513,32192,47231,56014,"56730","57329"
"72","66","  Administrative and waste management services","N3468C0",-1403,3410,2019,3263,2440,"5220","5780"
"73","67","    Administrative and support services","N3469C0",703,3343,1608,2492,1207,".....","....."
"74","68","    Waste management and remediation services","N3470C0",-2106,67,411,771,1233,".....","....."
"75","69","  Educational services","N3471C0",1281,849,1002,989,1765,"1517","1676"
"76","70","  Health care and social assistance","N3472C0",7367,11438,15217,19477,22378,"26431","24062"
"77","71","    Ambulatory health care services","N3473C0",5812,8060,9655,13465,14285,".....","....."
"78","72","    Hospitals and nursing and residential care facilities","N3477C0",1429,2639,3559,3542,5497,".....","....."
"79","73","    Social assistance","N3478C0",126,739,2003,2470,2596,".....","....."
"80","74","  Arts, entertainment, and recreation","N3479C0",-540,-634,-1527,-249,103,"191","1364"
"81","75","    Performing arts, spectator sports, museums, and related activities","N3480C0",-354,-270,-556,-88,-238,".....","....."
"82","76","    Amusements, gambling, and recreation industries","N3481C0",-186,-364,-971,-161,341,".....","....."
"83","77","  Accommodation and food services","N3482C0",1148,3351,5611,3435,5530,"5703","2271"
"84","78","    Accommodation","N3483C0",-757,398,1503,-536,605,".....","....."
"85","79","    Food services and drinking places","N3484C0",1905,2953,4108,3971,4925,".....","....."
"86","80","  Other services, except government","N3485C0",2374,3807,4116,4244,3174,"3097","3195"
"87","81","Rest of the world","A3474C0",60489,79816,116206,128835,107951,"146246","148980"
"88","82","  Receipts from the rest of the world \6\","B3475C0",63538,84145,116146,95179,111575,"158218","205166"
"89","83","  Less: Payments to the rest of the world \7\","B3476C0",3049,4329,-60,-33656,3624,"11972","56186"
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","2. Consists of scenic and sightseeing transportation; transportation support activities;",NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","and couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","5. Consists of bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","6. Consists of receipts by all U.S. residents of their share of the reinvested earnings of their",NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","incorporated foreign affiliates and reinvested earnings of their unincorporated foreign",NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","7. Consists of payments to foreign residents of their share of the reinvested earnings of their",NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","incorporated U.S. affiliates and reinvested earnings of their unincorporated U.S. affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA
