"","Table.6.22D..Corporate.Capital.Consumption.Allowances.by.Industry.........................................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 04, 2005   ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2005 11:53:21 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Line",NA,NA,1998,1999,2000,2001,2002,"2003","2004"
"7","1","      Corporate capital consumption allowances","A677RC0",652101,706424,748623,800628,862218,"862233","941378"
"8","2","Agriculture, forestry, fishing, and hunting","N7722C0",5406,5838,5903,6160,7021,"7673","8253"
"9","3","  Farms \1\","N7723C0",3730,4192,4279,4519,5033,".....","....."
"10","4","  Forestry, fishing, and related activities","N7724C0",1676,1646,1624,1641,1988,".....","....."
"11","5","Mining","N7725C0",12010,12267,12873,14113,16507,"17447","19667"
"12","6","  Oil and gas extraction","N7726C0",3939,3854,4655,5086,6990,".....","....."
"13","7","  Mining, except oil and gas","N7727C0",4926,5076,4777,4933,5480,".....","....."
"14","8","  Support activities for mining","N7728C0",3145,3337,3441,4094,4037,".....","....."
"15","9","Utilities","N7729C0",32780,33222,33973,34548,42086,"47519","51915"
"16","10","Construction","N7730C0",15093,17282,19121,19935,22331,"24981","28138"
"17","11","Manufacturing","N7731C0",234864,243066,251027,257398,274744,"269501","284755"
"18","12","  Durable goods","N7732C0",140261,147171,156080,160866,176643,"168363","181020"
"19","13","    Wood products","N7733C0",2845,2940,3118,3463,3663,".....","....."
"20","14","    Nonmetallic mineral products","N7734C0",6530,7045,7643,8547,9201,".....","....."
"21","15","    Primary metals","N7735C0",8217,8592,8508,8545,9390,".....","....."
"22","16","    Fabricated metal products","N7736C0",9606,10307,10834,11087,11433,".....","....."
"23","17","    Machinery","N7737C0",12050,12379,12806,14190,14747,".....","....."
"24","18","    Computer and electronic products","N7738C0",25139,26100,26584,30705,31451,".....","....."
"25","19","    Electrical equipment, appliances, and components","N7739C0",17137,17501,17944,20343,22331,".....","....."
"26","20","    Motor vehicles, bodies and trailers, and parts","N7740C0",43931,45516,50596,45145,54599,".....","....."
"27","21","    Other transportation equipment","N7741C0",7524,8633,9429,9806,10641,".....","....."
"28","22","    Furniture and related products","N7742C0",1601,1762,1941,2118,2117,".....","....."
"29","23","    Miscellaneous manufacturing","N7743C0",5681,6396,6677,6917,7070,".....","....."
"30","24","  Nondurable goods","N7744C0",94603,95895,94947,96532,98101,"101138","103735"
"31","25","    Food and beverage and tobacco products","N7745C0",18520,18267,18563,19077,20891,".....","....."
"32","26","    Textile mills and textile product mills","N7746C0",2879,2804,2791,2501,2357,".....","....."
"33","27","    Apparel and leather and allied products","N7747C0",2054,2013,2093,2190,2140,".....","....."
"34","28","    Paper products","N7748C0",11865,11377,10835,11189,11776,".....","....."
"35","29","    Printing and related support activities","N7749C0",5009,5527,5395,5579,5931,".....","....."
"36","30","    Petroleum and coal products","N7750C0",23068,23403,22595,22570,21245,".....","....."
"37","31","    Chemical products","N7751C0",25460,26104,25718,26191,26371,".....","....."
"38","32","    Plastics and rubber products","N7752C0",5748,6400,6957,7235,7390,".....","....."
"39","33","Wholesale trade","N7753C0",53568,57342,61345,61782,69123,"67618","73090"
"40","34","  Durable goods","N7754C0",38936,41261,43383,41899,46926,".....","....."
"41","35","  Nondurable goods","N7755C0",14632,16081,17962,19883,22197,".....","....."
"42","36","Retail trade","N7756C0",37379,39267,42332,45897,52470,"55465","62636"
"43","37","Transportation and warehousing","N7757C0",34575,38094,39630,43912,46130,"47818","51506"
"44","38","  Air transportation","N7758C0",12114,13743,14288,17836,18460,".....","....."
"45","39","  Rail transportation","N7759C0",4869,5435,5525,5933,5687,".....","....."
"46","40","  Water transportation","N7760C0",1411,1414,1512,1459,1621,".....","....."
"47","41","  Truck transportation","N7761C0",8804,9544,10008,9902,10811,".....","....."
"48","42","  Transit and ground passenger transportation","N7762C0",1392,1614,1628,1861,1814,".....","....."
"49","43","  Pipeline transportation","N7763C0",649,797,726,158,187,".....","....."
"50","44","  Other transportation and support activities \2\","N7764C0",4875,4947,5266,6056,6691,".....","....."
"51","45","  Warehousing and storage","N7765C0",461,600,677,707,859,".....","....."
"52","46","Information","N7766C0",62743,75321,83526,101870,108167,"101549","116133"
"53","47","  Publishing industries (includes software)","N7767C0",4192,4743,5300,5372,5743,".....","....."
"54","48","  Motion picture and sound recording industries","N7768C0",2536,3823,2890,2697,2627,".....","....."
"55","49","  Broadcasting and telecommunications","N7769C0",52831,62642,69092,84245,90612,".....","....."
"56","50","  Information and data processing services","N7770C0",3184,4113,6244,9556,9185,".....","....."
"57","51","Finance and insurance","N7771C0",40962,46254,51154,57721,60956,"59028","65758"
"58","52","  Federal Reserve banks","N7772C0",249,258,271,292,303,".....","....."
"59","53","  Credit intermediation and related activities","N7773C0",12807,14901,18438,18403,21678,".....","....."
"60","54","  Securities, commodity contracts, and investments","N7774C0",4859,7096,6331,10493,7258,".....","....."
"61","55","  Insurance carriers and related activities","N7775C0",20081,20214,22187,24149,26831,".....","....."
"62","56","  Funds, trusts, and other financial vehicles","N7776C0",2966,3785,3927,4384,4886,".....","....."
"63","57","Real estate and rental and leasing","N7777C0",30922,34395,35184,35329,33060,"32535","33071"
"64","58","  Real estate","N7778C0",7270,7610,8838,11211,8799,".....","....."
"65","59","  Rental and leasing services and lessors of intangible assets \3\","N7779C0",23652,26785,26346,24118,24261,".....","....."
"66","60","Professional, scientific, and technical services","N7780C0",13258,14832,17421,19366,20665,"20647","23999"
"67","61","  Legal services","N7781C0",828,908,1055,1129,1350,".....","....."
"68","62","  Computer systems design and related services","N7782C0",3703,4122,5425,6142,5877,".....","....."
"69","63","  Miscellaneous professional, scientific, and technical services \4\","N7783C0",8727,9802,10941,12095,13438,".....","....."
"70","64","Management of companies and enterprises \5\","N7784C0",43791,51130,55555,60860,62347,"60634","65652"
"71","65","Administrative and waste management services","N7787C0",8743,9791,10145,10690,11991,"13542","15354"
"72","66","  Administrative and support services","N7788C0",5867,6417,6725,7014,8037,".....","....."
"73","67","  Waste management and remediation services","N7789C0",2876,3374,3420,3676,3954,".....","....."
"74","68","Educational services","N7790C0",996,1136,1313,845,735,"790","721"
"75","69","Health care and social assistance","N7791C0",6878,7003,7515,7869,9161,"10431","12722"
"76","70","  Ambulatory health care services","N7792C0",3553,3595,3806,4108,5095,".....","....."
"77","71","  Hospitals and nursing and residential care facilities","N7793C0",1985,1952,2385,2328,2112,".....","....."
"78","72","  Social assistance","N7794C0",1340,1456,1324,1433,1954,".....","....."
"79","73","Arts, entertainment, and recreation","N7795C0",1676,2220,1323,1973,2156,"1781","2285"
"80","74","  Performing arts, spectator sports, museums, and related activities","N7796C0",797,804,892,1080,1266,".....","....."
"81","75","  Amusements, gambling, and recreation industries","N7797C0",879,1416,431,893,890,".....","....."
"82","76","Accommodation and food services","N7798C0",12020,13270,14374,15509,17227,"17625","19761"
"83","77","  Accommodation","N7799C0",4903,5322,5815,6636,6612,".....","....."
"84","78","  Food services and drinking places","N7700C0",7117,7948,8559,8873,10615,".....","....."
"85","79","Other services, except government","N7701C0",4437,4694,4909,4851,5341,"5649","5963"
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","2. Consists of scenic and sightseeing transportation; transportation support activities;",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","and couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","5. Consists of bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA
