"","Table.6.11A..Employer.Contributions.for.Employee.Pension.and.Insurance.Funds.by.Industry.and.by.Type","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 2, 2004     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2005 11:49:28 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947"
"7","1","      Employer contributions for employee pension and insurance funds","B040RC0","650","646","613","568","541","590","642","752","800","822","860","934","1024","1190","1468","1966","2296","2543","3038"
"8",NA,"        By industry"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2","Domestic industries","B040RC0","650","646","613","568","541","590","642","752","800","822","860","934","1024","1190","1468","1966","2296","2543","3038"
"10","3","  Private industries","B4903C0","519","507","466","408","372","406","434","522","539","538","560","616","695","844","1063","1501","1766","1927","2341"
"11","4","    Agriculture, forestry, and fisheries","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"12","5","    Mining","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"13","6","    Contract construction","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"14","7","    Manufacturing","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"15","8","      Durable goods","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"16","9","      Nondurable goods","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"17","10","    Transportation and public utilities","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"18","11","      Transportation","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"19","12","      Communication","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"20","13","      Electric, gas, and sanitary services","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"21","14","    Wholesale trade","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"22","15","    Retail trade and automobile services","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"23","16","    Finance, insurance, and real estate","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"24","17","    Services","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"25","18","  Government","B4918C0","131","139","147","160","169","184","208","230","261","284","300","318","329","346","405","465","530","616","697"
"26","19","Rest of the world","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"27",NA,"        By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","20","Employer contributions for employee pension and insurance funds","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"29","21","  Pension and profit-sharing","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"30","22","    Private pension and profit-sharing","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"31","23","      Defined benefit pension and profit-sharing","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"32","24","      Defined contribution pension and profit-sharing","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"33","25","    Publicly administered government employee retirement plans","B4935C0","131","139","147","160","169","184","208","230","261","284","300","318","329","346","405","465","530","616","697"
"34","26","      Federal civilian \1\","B4945C0","21","21","22","22","22","22","32","45","63","77","84","93","102","109","147","192","227","241","241"
"35","27","      Federal military \2\","B1583C0","38","40","41","42","40","44","49","54","57","60","64","70","62","52","56","61","78","125","166"
"36","28","      State and local","S251100","72","78","84","96","107","118","127","131","141","147","152","155","165","185","202","212","225","250","290"
"37","29","  Private insurance funds","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"38","30","    Group insurance","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"39","31","      Group health insurance","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"40","32","      Group life insurance","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"41","33","    Workers' compensation","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"42","34","    Supplemental unemployment","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"43",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","35","  Benefits paid by pension and insurance funds","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"45","36","    Pension and profit-sharing","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"46","37","      Private pension and profit-sharing","ZZZZZZ0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"47","38","      Publicly administered government employee retirement plans","B4938C0","128","140","154","169","192","215","233","251","264","276","289","306","315","329","359","409","496","726","722"
"48","39","        Federal civilian \1\","B4946C0","18","22","27","32","42","52","57","60","63","65","68","73","78","83","93","130","183","348","281"
