"","Table.5.4.2B..Contributions.to.Percent.Change.in.Real.Private.Fixed.Investment.in.Structures.by.Type......................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8"
"1","                                                                                                                                                                                                                                                          ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 04, 2005   ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2005 11:41:37 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004
"7",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA
"8","1","    Private fixed investment in structures","A349RL1",6.6,3.3,3.2,-0.7,-4.3,3.9,7.6
"9",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA
"10","2","Nonresidential","B009RW2",2.18,-0.18,2.74,-0.94,-7.07,-1.51,0.71
"11","3","  Commercial and health care","W001RW2",1.02,0.56,1.11,-0.96,-2.69,-0.96,0.29
"12","4","    Office \1\","W031RW2",1.1,0.45,0.86,-0.62,-2.23,-0.82,0.08
"13","5","    Health care","W032RW2",-0.05,-0.02,0.04,-0.12,0.36,0.15,0.14
"14","6","      Hospitals and special care","C311RW2",-0.04,-0.13,0.05,-0.02,0.33,0.01,-0.02
"15","7","        Hospitals","W033RW2",-0.16,-0.06,0.04,0.1,0.34,0.12,0.05
"16","8","        Special care","W034RW2",0.12,-0.06,0.01,-0.12,-0.01,-0.1,-0.07
"17","9","      Medical buildings","W035RW2",-0.02,0.11,-0.01,-0.09,0.03,0.14,0.16
"18","10","    Multimerchandise shopping","W036RW2",0.08,0.21,-0.12,0.11,-0.16,-0.07,0.2
"19","11","    Food and beverage establishments","W037RW2",0.02,-0.17,0.02,-0.04,-0.13,0.03,-0.08
"20","12","    Warehouses","W038RW2",-0.07,0.07,0.08,0.04,-0.5,0.01,-0.12
"21","13","    Other commercial \2\","W039RW2",-0.06,0.02,0.24,-0.32,-0.03,-0.26,0.07
"22","14","  Manufacturing","C307RW2",0.21,-1.39,-0.28,-0.43,-1.56,-0.17,0.1
"23","15","  Power and communication","W003RW2",0.73,0.88,0.83,0.19,-0.15,-0.89,-0.6
"24","16","    Power","W028RW2",0.72,-0.04,0.82,0.16,0.04,-0.12,-0.6
"25","17","      Electric","C571RW2",0.14,0.31,0.94,0.14,-0.12,-0.15,-0.56
"26","18","      Other power","W029RW2",0.59,-0.35,-0.12,0.02,0.16,0.02,-0.04
"27","19","    Communication","C314RW2",0.01,0.92,0,0.03,-0.19,-0.77,0
"28","20","  Mining exploration, shafts, and wells","E318RW2",-0.31,-0.3,0.81,0.7,-1.25,0.82,0.89
"29","21","    Petroleum and natural gas","C319RW2",-0.25,-0.28,0.77,0.71,-1.33,0.91,0.85
"30","22","    Mining","C320RW2",-0.06,-0.02,0.04,-0.02,0.08,-0.09,0.04
