"","Table.6.16A..Corporate.Profits.by.Industry................................................................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 9, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2005 11:50:17 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947
"7","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",10.8,7.5,2.9,-0.2,-0.1,2.5,4,6.2,7.1,5,6.6,9.8,15.5,20.6,24.9,24.9,20.3,17.8,23.7
"8","2","Domestic industries","A445RC1",10.5,7.3,2.9,-0.1,-0.1,2.5,3.9,6.1,6.8,4.7,6.3,9.6,15.1,20.3,24.6,24.5,19.9,17.1,22.7
"9","3","  Financial","A587RC1",1.6,0.7,0.5,0.7,0.8,0.5,0.6,0.9,0.8,0.9,1,1.1,1.2,1.3,1.4,1.6,1.7,2.1,1.8
"10","4","  Nonfinancial","A463RC1",8.9,6.6,2.4,-0.8,-0.9,1.9,3.3,5.2,6,3.8,5.3,8.5,13.9,19,23.2,22.9,18.2,15,20.9
"11","5","Rest of the world","B394RC1",0.2,0.1,0,0,0,0.1,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.7,1
"12","6","    Corporate profits with inventory valuation adjustment","A052RC1",11.1,7.6,2.8,-0.4,-0.4,2.5,4,6.2,7.4,5.4,6.9,10.2,15.9,20.8,24.8,24.2,19.5,19.7,26
"13","7","Domestic industries","A390RC1",10.8,7.4,2.8,-0.4,-0.4,2.4,3.8,6.1,7.1,5.1,6.6,10,15.5,20.5,24.4,23.7,19.1,19,25.1
"14","8","  Financial","A392RC1",1.7,0.8,0.6,0.7,0.8,0.6,0.6,0.9,0.9,1,1,1.1,1.2,1.4,1.5,1.7,1.8,2.2,1.9
"15","9","    Federal Reserve banks","B397RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1
"16","10","    Other","B398RC1",1.6,0.7,0.6,0.7,0.8,0.6,0.6,0.9,0.9,1,1,1.1,1.2,1.3,1.5,1.7,1.7,2.1,1.9
"17","11","  Nonfinancial","A399RC1",9.2,6.7,2.2,-1.1,-1.2,1.8,3.2,5.2,6.3,4.1,5.6,8.9,14.2,19.1,22.9,22,17.3,16.8,23.1
"18","12","    Manufacturing","A400RC1",5.2,3.9,1.3,-0.6,-0.4,1,2,3.1,3.8,2.3,3.3,5.5,9.5,11.8,13.8,13.2,9.7,9,13.5
"19","13","      Durable goods","A406RC1",2.6,1.4,-0.1,-1.1,-0.6,0.2,0.8,1.6,1.6,0.7,1.6,3,6.3,7.1,8,7.3,4.5,2.4,5.7
"20","14","      Nondurable goods","A401RC1",2.6,2.5,1.4,0.6,0.1,0.8,1.2,1.5,2.1,1.6,1.7,2.5,3.1,4.7,5.7,5.9,5.2,6.6,7.8
"21","15","    Transportation and public utilities","A416RC1",1.9,1.2,0.6,0.2,0.1,0.4,0.5,0.7,0.8,0.6,1,1.3,2,3.5,4.4,3.9,2.8,1.9,2.2
"22","16","    Wholesale trade and retail trade and automobile services","A413RC1",1.2,1.1,0.5,-0.1,-0.3,0.6,0.8,1,1.1,0.9,0.8,1.3,1.5,2.4,3.1,3.3,3.4,3.9,4.7
"23","17","    Other","A420RC1",0.9,0.5,-0.2,-0.6,-0.6,-0.1,0,0.4,0.6,0.4,0.5,0.8,1.2,1.5,1.7,1.6,1.5,2.1,2.7
"24","18","Rest of the world","B394RC1",0.2,0.1,0,0,0,0.1,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.7,1
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Note. Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
