"","Table.1.3.1..Percent.Change.From.Preceding.Period.in.Real.Gross.Value.Added.by.Sector.....................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39","NA..40","NA..41","NA..42","NA..43","NA..44","NA..45","NA..46","NA..47","NA..48","NA..49","NA..50","NA..51","NA..52","NA..53","NA..54","NA..55","NA..56","NA..57","NA..58","NA..59","NA..60","NA..61","NA..62","NA..63","NA..64","NA..65","NA..66","NA..67","NA..68","NA..69","NA..70","NA..71","NA..72","NA..73","NA..74","NA..75","NA..76"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 21, 2005 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2005 12:07:39 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
"7","1","    Gross domestic product","A191RL1",-8.6,-6.4,-13,-1.3,10.8,8.9,13,5.1,-3.4,8.1,8.8,17.1,18.5,16.4,8.1,-1.1,-11,-0.9,4.4,-0.5,8.7,7.7,3.8,4.6,-0.7,7.1,1.9,2,-1,7.1,2.5,2.3,6.1,4.4,5.8,6.4,6.5,2.5,4.8,3.1,0.2,3.4,5.3,5.8,-0.5,-0.2,5.3,4.6,5.6,3.2,-0.2,2.5,-1.9,4.5,7.2,4.1,3.5,3.4,4.1,3.5,1.9,-0.2,3.3,2.7,4,2.5,3.7,4.5,4.2,4.5,3.7,0.8,1.6,2.7,4.2
"8","2","Business \1\","A195RL1",-10,-7.4,-15.1,-2.1,11.7,10,13.7,6.6,-4.9,9.4,9.7,17.6,15.9,10.8,5.6,-1.8,-0.9,2.3,5.4,-1,9.7,6.5,3.1,4.9,-1.3,8,1.6,1.7,-1.8,8.1,1.9,1.9,6.4,4.6,6.4,7.1,6.8,1.9,5,3,0,3.8,6.5,7,-1.4,-1,6.6,5.6,6.3,3.4,-1.1,2.8,-3,5.4,8.7,4.6,3.7,3.5,4.3,3.7,1.5,-0.8,4,3.1,5,2.9,4.6,5.3,4.8,5.1,3.9,0.3,1.5,3.4,4.8
"9","3","  Nonfarm \2\","A358RL1",-10.5,-9.8,-16.2,-1.8,15.5,8.6,17,5.2,-5.2,9.2,11.7,18.1,16.6,12.3,6.3,-1.9,-1.2,3.7,4.4,-0.7,10.1,7.5,2.9,4.8,-1.6,8.4,1.7,2,-2.1,8.6,1.7,2,6.8,4.7,6.7,7.1,7.1,1.7,5.2,3,-0.1,3.8,6.7,7.3,-1.4,-1.7,7,5.6,6.6,3.2,-1,2.1,-3.2,6.5,8.2,4.2,3.9,3.6,4.6,3.5,1.5,-0.8,3.9,3.4,4.8,3.2,4.5,5.2,5,5.2,3.8,0.4,1.5,3.3,4.8
"10","4","  Farm","B359RL1",-6.1,21.1,-2.4,-4.8,-21.6,25.3,-14.1,22.1,-2.5,11.4,-12.5,12,8.3,-2.7,-1.1,-0.4,1.3,-10.2,15.1,-4.2,5.3,-5.7,5.2,5,3.5,2.3,0,-4,3.6,-0.7,5.6,0.9,-2,3.1,-3.2,6.5,-3.5,7.9,-3.5,3.6,2.8,5.2,0,-1,-2.4,19.2,-4.4,5.5,-3.6,8.5,-3.4,32,5.2,-37.6,38.2,25.7,-3.9,1.5,-10.1,13.4,6.2,1.5,14.9,-11.9,20.2,-18.5,13.1,14.7,-4.3,2.1,13.7,-8.3,6.8,8.4,0
