"","Table 5U# BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","S1 EN441ZZZMA   Motor vehicle and parts dealers","T050030",106693,108709,111560,113823,116222,122096,126722,131479,137244,139762,141962,147764,145574,150337,154321,155689,162312,162754,163621,165872,169454,165968,172203,172725,173195,182273,177025,187862,192577,197822,205112,206849,215998,209123,210336,206503,211400,215014,210139,235751,217879,217080,226347,220679,220601,223285,230348,226851,228786,225054,233293,239553,238418,242435,244707,233526,244142,239955
"12","4","S4 EN4411ZZMA     Automobile dealers","T050040",89442,91176,93882,95302,97565,102935,107154,112110,117240,118964,120928,125483,124078,128391,131718,133125,139480,139463,140080,141824,145140,141736,147280,147682,147503,156173,150367,160740,164990,169623,176568,177288,185081,179248,180053,176080,181419,184092,179652,205076,186234,185406,194259,188974,188350,190005,195549,191563,192981,189391,196967,201760,198310,200776,203157,191845,201281,197503
"13","5","S4 EN4412ZZMA     Other motor vehicle dealers","T050050",4515,4485,4616,5165,5350,5515,5534,5451,5366,6116,6070,7206,6532,6718,7136,6803,6876,7167,7443,7644,7810,7730,8075,8206,8476,8727,9110,9318,9476,9909,9993,10396,11685,10856,10860,11015,11002,11587,11191,11378,11872,11564,11703,11582,12025,12757,13773,14098,14508,14369,14763,15538,17215,18422,18179,17649,18555,18386
"14","6","S2 EN4413ZZMA     Automotive parts, accessories and tire stores","T050060",12736,13049,13062,13356,13307,13646,14033,13917,14638,14681,14964,15075,14963,15227,15467,15761,15956,16123,16098,16404,16504,16502,16848,16838,17217,17374,17548,17805,18111,18289,18551,19166,19232,19019,19424,19409,18979,19335,19296,19298,19773,20111,20384,20123,20226,20522,21026,21190,21296,21293,21563,22255,22893,23237,23370,24031,24305,24066
"15","7","S1 EN44DZZZMA   Furniture, home furnishings, electronics and appliance stores","T050070",25333,25896,25984,26178,27083,27857,28734,29065,29764,31237,32370,33635,33688,33948,34650,35609,35523,36550,36812,36887,36888,37725,38521,39165,39987,40174,41121,41857,42370,43513,44894,45541,47111,47402,47376,46349,46589,46112,46341,47751,48781,48968,48410,48726,47828,49559,51264,52464,53546,54459,55631,55918,56874,57475,58531,58980,61278,61182
"16","8","S1 EN442ZZZMA     Furniture and home furnishings stores","T050080",14407,14580,14509,14533,14978,15240,15344,15517,15636,16411,16929,17198,16956,17001,17382,17770,17671,18282,18529,18728,18970,19317,19679,20093,20392,20475,20642,21281,21526,22045,22827,23327,23971,24386,24453,23762,24180,23965,23878,24172,24706,24730,24477,24800,24422,25340,25898,26387,27039,27244,28047,28135,28430,28877,29684,29857,31193,31490
"17","9","S4 EN4421ZZMA       Furniture Stores","T050090",8327,8438,8399,8428,8640,8874,8880,9021,9010,9342,9639,9770,9610,9643,9957,10127,10061,10466,10520,10620,10782,10970,11215,11528,11640,11632,11681,11878,12082,12207,12676,12883,13280,13594,13629,13159,13318,13291,13271,13472,13670,13662,13321,13418,13195,13616,13930,14185,14569,14779,15183,15129,15211,15343,15827,15715,16237,16368
"18","10","S4 EN4422ZZMA       Home furnishings stores","T050100",6079,6141,6110,6105,6337,6365,6464,6496,6626,7069,7290,7428,7346,7358,7424,7643,7609,7816,8009,8108,8187,8347,8464,8565,8752,8843,8961,9403,9443,9838,10151,10444,10691,10792,10824,10602,10862,10674,10608,10700,11035,11068,11156,11382,11227,11724,11968,12203,12469,12465,12864,13006,13219,13535,13857,14142,14956,15122
"19","11","S1 EN443ZZZMA     Electronics and appliance stores","T050110",10926,11317,11474,11645,12106,12618,13390,13548,14127,14826,15441,16437,16732,16947,17269,17839,17852,18268,18283,18159,17919,18408,18842,19072,19594,19699,20479,20576,20844,21469,22067,22215,23140,23016,22923,22587,22409,22147,22463,23580,24076,24238,23933,23926,23406,24219,25365,26077,26507,27215,27584,27783,28444,28597,28847,29122,30085,29692
"20","12","S1 EN444ZZZMA   Building material and garden equipment and supplies dealers","T050120",42597,41621,42043,41795,43620,44568,45279,46646,47741,49978,50798,51662,52152,51065,52001,53674,53687,55513,56903,57113,58896,59804,60726,61094,62189,63193,63980,65885,67480,67791,69094,71449,74146,71441,71726,72826,74755,77480,75508,75427,77457,80343,79385,79008,79408,82148,86389,88205,90950,95854,96992,98148,100369,103988,104856,109073,117599,114793
"21","13","S2 EN4441ZZMA     Building material and supplies dealers","T050130",35804,35339,35943,35744,37706,38468,39060,40247,41201,43186,44346,45287,45521,44463,44977,46515,46610,48044,49122,49295,50866,51848,52372,52593,53604,54596,55729,57115,58915,59348,60582,62525,64588,63098,62884,63579,65090,67438,66796,66947,68855,71095,70371,70122,70367,72659,76794,78839,81223,86163,86993,87651,90033,93461,94050,97392,105777,103022
"22","14","S3 EN4442ZZMA     Lawn and garden equipment and supplies stores","T050140",6793,6281,6100,6051,5913,6100,6219,6399,6540,6792,6453,6375,6631,6601,7024,7159,7077,7468,7781,7818,8030,7956,8354,8501,8585,8596,8250,8769,8565,8443,8512,8924,9558,8343,8843,9247,9665,10041,8712,8481,8602,9248,9013,8886,9041,9488,9595,9366,9727,9690,9999,10497,10335,10527,10805,11681,11823,11770
"23","15","S1 EN445ZZZMA   Food and beverage stores","T050150",94614,95051,95721,95986,95986,96122,96308,96872,97651,98753,99315,99674,100184,100137,100311,101019,102109,102682,103633,104216,104839,104720,105504,105847,106179,107358,108937,110070,111263,112730,113915,115872,114998,118211,118991,120018,121140,122708,124040,125202,124261,123424,123331,124140,125386,125639,127658,127761,129563,130890,132116,134122,135466,137262,138771,140449,141903,143729
"24","16","S1 EN4451ZZMA     Grocery stores","T050160",86174,86377,86850,87087,87160,87369,87590,88250,88914,89861,90375,90665,91313,91329,91352,91898,92758,93318,94258,94915,95329,95178,95711,96009,96139,97244,98706,99747,100899,102181,103415,105096,103967,106874,107363,108391,109224,110755,111996,113083,112210,111295,111233,112024,113291,113324,114881,114729,116397,117489,118571,120366,121409,122653,123853,125065,125960,127659
"25","17","S3 EN4452ZZMA     Specialty food stores","T050170",2840,2980,3065,3010,3014,3060,3050,2983,2978,3020,3030,3141,3103,3040,3105,3195,3206,3213,3187,3254,3313,3211,3367,3317,3374,3438,3441,3426,3462,3488,3405,3535,3624,3744,3798,3771,3951,3992,4100,4049,3946,4036,4102,4132,4134,4250,4430,4551,4665,4707,4770,4897,5080,5348,5457,5689,5917,5886
"26","18","S2 EN4453ZZMA     Beer, wine, liquor stores","T050180",5600,5694,5806,5890,5813,5693,5667,5639,5758,5872,5910,5868,5767,5769,5854,5926,6145,6151,6187,6046,6197,6331,6426,6520,6666,6676,6790,6897,6902,7060,7096,7241,7407,7593,7830,7855,7965,7961,7945,8070,8105,8092,7995,7984,7961,8065,8347,8481,8501,8694,8775,8859,8978,9262,9461,9694,10026,10184
"27","19","S1 EN448ZZZMA   Clothing and clothing accessories stores","T050190",31314,31532,32115,32444,32498,32893,33449,33356,33696,33761,34220,35106,34380,34648,34871,35325,35868,36320,36199,36374,36462,36463,37516,38061,38820,39357,39444,40277,41233,42399,42505,42799,43300,44018,44829,44937,44634,44046,43336,43999,44880,45071,44379,45841,45271,46140,47731,48141,49686,49325,49813,50799,51826,52888,52800,54139,55034,55453
"28","20","S2 EN4481ZZMA     Clothing stores","T050200",22024,22572,23128,23302,23347,23427,23522,23588,23702,23860,23978,24544,24162,23972,24213,24401,24731,24999,24975,25262,25396,25554,26443,26711,27185,27666,27758,28258,28998,29930,29876,29839,30399,31073,31676,31954,31718,31441,30924,31464,31942,32021,31652,32786,32430,33170,34175,34384,35629,35417,35950,36781,37712,38502,38475,39361,39897,40462
"29","21","S2 EN4482ZZMA     Shoe stores","T050210",4942,4746,4707,4794,4797,4855,4923,4997,5063,5009,5137,5245,5018,5306,5248,5308,5367,5532,5454,5419,5457,5430,5480,5575,5688,5617,5645,5787,5815,5869,5797,5736,5871,5769,5845,5857,5757,5876,5821,5771,5898,5912,5751,5866,5814,5822,6104,6080,6186,6058,6023,6080,6165,6263,6274,6551,6624,6476
"30","22","S3 EN4483ZZMA     Jewelry, luggage, and leather goods stores","T050220",4348,4214,4281,4349,4354,4612,5004,4771,4930,4892,5105,5317,5200,5370,5409,5615,5770,5789,5770,5693,5610,5479,5593,5775,5947,6074,6041,6231,6421,6601,6831,7224,7029,7176,7308,7125,7159,6730,6592,6764,7040,7138,6975,7189,7027,7149,7451,7678,7871,7850,7840,7938,7948,8123,8050,8226,8512,8515
"31","23","S1 EN452ZZZMA   General merchandise stores","T050230",65169,65460,66057,68431,68753,70236,71856,73331,74287,75267,76652,78524,78576,79730,81547,81342,81691,83896,85059,86319,86943,87576,89313,89811,91795,93319,94131,96201,99443,100647,102441,104231,104903,106587,109129,110467,111209,112483,114131,117102,118033,119060,118488,120442,121716,123330,127403,127531,130655,131135,132314,134892,136829,139313,140340,142883,145545,146658
"32","24","S1 EN4521ZZMA     Department stores","T050240",46694,47103,47404,48619,48835,49756,50791,51568,52358,52749,53526,54400,54302,54702,56098,55492,55366,56640,57277,58017,58122,58476,59328,59514,59553,59724,59615,60385,61635,61633,61983,61793,61738,61917,62140,62533,61667,60647,60665,60778,60064,59521,57950,57875,56816,57125,58355,57180,57649,57022,57372,57705,57467,57519,56567,57153,57252,56727
"33","25","S2 EN4529ZZMA     Other general merchandise stores","T050250",18476,18358,18654,19812,19918,20480,21064,21763,21929,22518,23126,24125,24274,25028,25449,25850,26325,27256,27782,28303,28822,29100,29984,30297,32242,33595,34516,35816,37808,39014,40458,42437,43165,44671,46989,47934,49542,51836,53466,56325,57969,59540,60538,62567,64900,66205,69048,70351,73006,74113,74942,77187,79363,81794,83773,85730,88293,89932
"34","26","S1 EN44EZZZMA   Other retail stores","T050260",109384,110745,112608,115501,116706,117894,118505,121503,123810,125688,130322,131950,132682,135443,137480,139282,142069,147879,148192,153301,155131,154282,156274,157390,157585,159815,162577,164990,168678,173702,178231,185990,192988,195208,198858,202526,199845,201873,198172,194293,196418,203067,205618,208256,214032,210403,215873,218198,225238,231406,234340,242503,246827,254662,267397,270656,276185,287783
"35","27","S1 EN446ZZZMA     Health and personal care stores","T050270",23262,23272,23113,23437,23688,23853,24049,24363,24264,24716,25234,25517,25744,26109,26316,26887,27220,27997,28518,29244,29775,30113,30839,31268,32076,32819,33867,34692,35526,36335,36825,38445,38784,39742,40604,41511,42032,42695,43054,44029,45125,46089,46509,46811,47388,48129,49637,50358,49787,50321,50653,51091,51858,52480,53303,54251,55142,56195
"36","28","S1 EN447ZZZMA     Gasoline stations","T050280",39339,39729,40490,41363,41650,41718,41496,42179,42785,42870,44748,45719,46004,46836,46911,46552,48357,50630,49793,51187,52299,50626,51190,51137,49441,49039,48951,49510,50393,52501,55452,58719,61894,62028,63552,65390,63766,66444,63247,58433,58386,62373,63876,65509,70466,65690,67269,67772,73494,77935,77895,83875,86423,90658,100368,100212,101382,108455
"37","29","S1 EN451ZZZMA     Sporting goods, hobby, book, and music stores","T050290",12848,12928,13039,13458,13509,13933,13759,14271,14765,15068,15499,15622,15827,15911,16349,16467,16701,16666,17038,17462,17119,17140,17273,17857,17967,18440,18476,18628,19265,19569,19663,19885,20063,20843,20765,20086,20654,20673,20848,21348,21184,20886,20894,21316,20658,21039,21591,21455,21783,21566,22210,21933,21972,22318,22420,22611,23623,24325
"38","30","S4 EN4511ZZMA       Sporting goods, hobby, and musical instrument stores","T050300",8983,9014,8974,9235,9146,9557,9559,9873,10257,10321,10546,10634,10673,10781,10984,11208,11332,11149,11519,11894,11436,11598,11665,11914,12049,12494,12389,12481,12994,13172,13336,13372,13716,14141,14279,13744,14014,14115,14208,14724,14490,14295,14327,14764,14233,14484,14889,14989,15149,14913,15498,15360,15519,15912,15987,16225,17365,17914
"39","31","S4 EN4512ZZMA       Book, periodical, and music Stores","T050310",3865,3914,4065,4223,4363,4376,4200,4398,4508,4746,4952,4988,5154,5130,5366,5259,5369,5517,5520,5568,5683,5541,5608,5943,5918,5946,6087,6148,6271,6397,6327,6513,6346,6702,6486,6342,6641,6558,6640,6624,6694,6592,6567,6551,6425,6555,6702,6466,6633,6653,6713,6573,6452,6406,6433,6386,6258,6410
"40","32","S1 EN453ZZZMA     Miscellaneous store retailers","T050320",14093,14142,14468,16022,16143,16167,16399,17043,17420,18087,19230,19385,19411,20193,20631,20806,20454,22438,22475,22926,23907,23423,24143,24655,25505,25517,26553,27098,27423,27378,27197,28998,29474,28519,28275,28075,27599,27728,27415,27098,27323,27677,27957,27294,26920,27071,27282,27348,27365,28061,27966,28696,28691,29336,29599,30031,31308,31663
"41","33","S3 EN4531ZZMA       Florists","T050330",1550,1552,1622,2068,1825,1653,1644,1696,1717,1759,1756,1754,1727,1808,1767,1739,1837,1904,1871,1943,1927,1934,1935,1956,1977,1970,2073,2074,2111,2106,2075,2078,2137,2171,2266,2260,2221,2208,2127,2032,2195,2149,2027,1950,1964,1867,1880,1904,1778,1863,1849,1828,1862,1974,1973,2114,2086,2032
"42","34","S3 EN4532ZZMA       Office supplies, stationery, and gift stores","T050340",5494,5483,5743,6100,6157,6388,6362,6491,6938,7098,7394,7432,7216,7662,8029,8280,7521,8071,8545,8703,9051,8796,8873,9017,9497,9637,10046,10295,10584,10552,10519,11034,11334,11368,11244,11191,10945,10863,10729,10557,10703,10592,10800,10737,10391,10644,10630,10549,10904,10910,10947,10923,10943,11229,11340,11406,11577,11632
"43","35","S4 EN4533ZZMA       Used merchandise stores","T050350",1432,1511,1526,1534,1523,1741,1684,1654,1698,1537,1626,1738,1703,1829,1832,1784,1776,2225,1913,1932,2219,1950,2163,2357,2360,2327,2498,2582,2492,2537,2483,2711,2704,2739,2747,2621,2612,2608,2615,2570,2662,2586,2570,2413,2631,2475,2497,2500,2433,2589,2718,2765,2717,2785,2840,2953,3131,3219
"44","36","S4 EN4539ZZMA       Other miscellaneous store retailers","T050360",5616,5597,5577,6320,6638,6386,6708,7202,7067,7692,8454,8462,8765,8895,9004,9003,9320,10237,10146,10349,10710,10743,11172,11325,11670,11583,11936,12146,12235,12183,12120,13175,13300,12242,12018,12004,11821,12049,11944,11939,11763,12350,12560,12194,11934,12085,12274,12395,12249,12699,12452,13180,13169,13348,13445,13559,14513,14779
"45","37","S1 EN454ZZZMA     Nonstore retailers","T050370",19843,20673,21499,21220,21715,22223,22803,23648,24577,24947,25612,25707,25696,26394,27273,28570,29336,30148,30367,32482,32031,32979,32829,32473,32597,34000,34730,35062,36071,37919,39094,39943,42773,44076,45661,47463,45794,44334,43607,43384,44400,46041,46382,47327,48601,48474,50095,51266,52809,53522,55615,56907,57882,59869,61707,63551,64730,67145
"46","38","S2 EN4541ZZMA       Electronic shopping and mail-order houses","T050380",7895,8881,9726,9513,9992,9918,10311,11370,11617,12037,12079,12363,12478,13032,13869,14494,14877,15281,15804,16523,16957,17955,18201,18493,19353,20015,20654,21138,22092,23166,24187,25075,26765,27771,28473,29398,27919,28001,27450,27865,28937,29339,29744,30193,30585,31244,32356,33037,34600,35337,35963,36681,37285,38633,39719,40967,42739,43273
"47","39","S4 EN4542ZZMA       Vending machine operators","T050390",1885,1721,1790,1855,1756,1794,1781,1735,1818,1825,1790,1745,1730,1778,1674,1789,1708,1877,2039,2082,2130,1992,1892,2002,2004,2117,2104,2213,2254,2307,2322,2288,2475,2565,2494,2413,2303,2307,2412,2523,2547,2452,2399,2329,2320,2299,2389,2472,2405,2484,2528,2525,2618,2677,2635,2651,2671,2675
"48","40","S4 EN4543ZZMA       Direct selling establishments","T050400",10063,10070,9983,9852,9966,10511,10710,10543,11142,11085,11743,11598,11489,11584,11730,12287,12751,12991,12524,13877,12944,13032,12735,11978,11240,11869,11971,11711,11725,12446,12585,12580,13534,13740,14694,15653,15572,14026,13745,12996,12915,14249,14239,14805,15696,14931,15349,15757,15804,15701,17125,17701,17980,18559,19353,19933,19319,21198
"49","41","S1 EN722ZZZMA Food services and drinking places","T050410",54211,52648,53067,55178,55609,56828,57900,57939,58039,59454,60229,60710,60619,61646,62305,62404,62806,63700,64387,65865,67159,67538,68987,68782,70313,71504,72211,73870,74050,75042,75420,77757,80112,80709,81303,81445,83744,83778,84403,85084,87188,87775,87998,88458,89408,91606,93737,95224,96953,97558,99120,101030,102263,104525,105583,108153,111749,112289
"50","42","S4 EN7221ZZMA   Full-service restaurants","T050420",23515,22419,22409,23456,23421,24077,24705,24789,25214,25746,25946,26077,25899,26379,26729,26467,26682,27306,27975,28891,29915,29914,30852,30717,31176,31528,31645,32426,32577,33167,33258,33966,34992,35161,35324,35518,35918,36078,36651,36912,37897,38054,37942,38520,38538,39673,40508,40817,41646,41550,42435,43402,43995,44845,45251,46835,48188,48607
"51","43","S4 EN7222ZZMA   Limited-service eating places","T050430",22645,22718,23212,24036,24537,24982,25341,25390,25066,25855,26405,26861,26992,27141,27382,27679,27873,28139,28050,28350,28473,28958,29106,29030,29935,30675,31177,31752,31696,31881,32133,33300,34113,34611,34864,35130,36618,36428,36631,37088,37882,38225,38618,38436,39278,40192,40965,42248,43011,43669,44323,44877,45420,46406,46869,47619,49727,49621
"52","44","S4 EN7223ZZMA   Special food Services","T050440",4624,4335,4294,4465,4464,4525,4583,4644,4618,4724,4814,4691,4599,4901,4830,4833,4861,4873,4943,5147,5346,5177,5425,5449,5542,5640,5665,5933,5966,6116,6219,6502,6809,6721,6976,6780,7118,7206,6838,6654,7001,7044,7018,7108,7077,7060,7495,7392,7450,7522,7529,7905,7949,8265,8413,8673,8825,8992
"53","45","S4 EN7224ZZMA   Drinking places (alcoholic beverages)","T050450",3427,3178,3152,3221,3187,3245,3271,3115,3141,3130,3064,3081,3129,3225,3364,3425,3390,3382,3419,3477,3425,3490,3604,3586,3659,3660,3724,3759,3811,3878,3811,3989,4198,4217,4138,4017,4089,4067,4283,4431,4408,4453,4420,4394,4515,4682,4769,4768,4845,4818,4833,4846,4899,5009,5050,5027,5010,5069
"54",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","S1 EN04472BMA   Retail and food services except motor vehicle and parts dealers","T050460",422623,422954,427595,435514,440254,446398,452030,458711,464988,474138,483906,491261,492280,496616,503164,508655,513752,526541,531183,540075,546320,548107,556840,560149,566868,574720,582400,593148,604516,615824,626499,643639,657557,663576,672212,678568,681916,688479,685931,688859,697018,707708,707608,714871,723049,728825,750055,757525,776590,790627,800326,817413,830453,850112,868277,884332,909294,921887
"56","47","S1 EN44GZZZMA   Retail trade except motor vehicle and parts dealers","T050470",368412,370305,374528,380335,384645,389570,394130,400772,406949,414684,423677,430551,431661,434970,440859,446251,450946,462841,466797,474210,479161,480569,487853,491367,496555,503216,510189,519279,530466,540782,551079,565882,577446,582866,590910,597122,598172,604701,601529,603775,609830,619933,619610,626413,633641,637219,656318,662301,679637,693069,701206,716383,728190,745587,762695,776179,797545,809597
"57","48","S2 EN44BZZZMA   GAFO-Department store merchandise stores\1\","T050480",140159,141300,142938,146611,148001,151307,154159,156514,159449,162431,166134,170318,169686,171898,175446,177023,177303,181504,183653,185745,186464,187699,191495,193911,198066,200928,203217,207259,212896,216681,220021,223489,226710,230218,233343,233029,234031,234176,235386,240757,243581,244578,242971,247061,245864,250712,258619,260141,266573,267396,270915,274466,278444,283222,285431,290019,297057,299250
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","1. Includes industries EN442ZZZMA, EN443ZZZMA, EN448ZZZMA, EN451ZZZMA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","EN452ZZZMA, and EN4532ZZMA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
