"","Table 1# Gross Domestic Product                                 ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"11","20","  Total","A002RC1",77.4,70.1,60.7,48.7,45.9,51.5,55.9,62.2,66.8,64.3,67.2,71.3,81.1,89,99.9,108.7,120,144.3,162,175,178.5,192.2,208.5,219.5,233.1,240,258.8,271.7,286.9,296.2,317.6,331.7,342.1,363.3,382.7,411.4,443.8,480.9,507.8,558,605.2,648.5,701.9,770.6,852.4,933.4,1034.4,1151.9,1278.6,1428.5,1592.2,1757.1,1941.1,2077.3,2290.6,2503.3,2720.3,2899.7,3100.2,3353.6,3598.5,3839.9,3986.1,4235.3,4477.9,4743.3,4975.8,5256.8,5547.4,5879.5,6282.5,6739.4,7055,7350.7,7703.6,8211.5,8742.4
"12","30","  Durable goods","B003RC1",9.2,7.2,5.5,3.6,3.5,4.2,5.1,6.3,6.9,5.7,6.7,7.8,9.7,6.9,6.5,6.7,8,15.8,20.4,22.9,25.1,30.7,29.9,29.3,32.7,31.9,38.8,38.1,40,37.4,42.7,43.3,41.8,46.9,51.6,56.7,63.3,68.3,70.4,80.8,85.9,85,96.9,110.4,123.5,122.3,133.5,158.9,181.2,201.7,214.4,214.2,231.3,240.2,280.8,326.5,363.5,403,421.7,453.6,471.8,474.2,453.9,483.6,526.7,582.2,611.6,652.6,692.7,750.2,817.6,863.3,883.7,923.9,942.7,986.3,1033.1
"13","40","  Nondurable goods","B004RC1",37.7,34,29,22.7,22.3,26.7,29.3,32.9,35.2,34,35.1,37,42.9,50.8,58.6,64.3,71.9,82.7,90.9,96.6,94.9,98.2,109.2,114.7,117.8,119.7,124.7,130.8,137.1,141.7,148.5,152.8,156.6,162.8,168.2,178.6,191.5,208.7,217.1,235.7,253.1,272,285.5,308,343.1,384.5,420.7,458.3,497.1,550.2,624.5,696.1,758.9,787.6,831.2,884.6,928.7,958.4,1015.3,1083.5,1166.7,1249.9,1284.8,1330.5,1379.4,1437.2,1485.1,1555.5,1619,1683.6,1804.8,1947.2,2017.1,2079.6,2190.2,2345.2,2539.3
"14","50","  Services","B005RC1",30.5,29,26.2,22.3,20.2,20.5,21.5,23,24.7,24.6,25.4,26.5,28.5,31.4,34.8,37.6,40.1,45.8,50.7,55.6,58.6,63.3,69.5,75.4,82.5,88.4,95.2,102.8,109.8,117,126.5,135.6,143.8,153.6,162.9,176.1,189,203.8,220.3,241.6,266.1,291.5,319.5,352.2,385.8,426.6,480.2,534.7,600.2,676.6,753.3,846.9,950.8,1049.4,1178.6,1292.2,1428.1,1538.3,1663.3,1816.5,1960,2115.9,2247.4,2421.2,2571.8,2723.9,2879.1,3048.7,3235.8,3445.7,3660,3928.8,4154.3,4347.2,4570.8,4880.1,5170
"15",NA,"Gross private domestic investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","60","  Total","A006RC1",16.5,10.8,5.9,1.3,1.7,3.7,6.7,8.6,12.2,7.1,9.3,13.6,18.1,10.4,6.1,7.8,10.8,31.1,35,48.1,36.9,54.1,60.2,54,56.4,53.8,69,72,70.5,64.5,78.5,78.9,78.2,88.1,93.8,102.1,118.2,131.3,128.6,141.2,156.4,152.4,178.2,207.6,244.5,249.4,230.2,292,361.3,438,492.9,479.3,572.4,517.2,564.3,735.6,736.2,746.5,785,821.6,874.9,861,802.9,864.8,953.4,1097.1,1144,1240.3,1389.8,1509.1,1625.7,1735.5,1614.3,1582.1,1664.1,1888,2057.4
"17",NA,"    Fixed investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","70","      Total","A007RC1",14.9,11,7,3.6,3.1,4.3,5.6,7.5,9.5,7.7,9.1,11.2,13.8,8.5,6.9,8.7,12.3,25.1,35.5,42.4,39.6,48.3,50.3,50.5,54.5,55.8,64,68.1,69.7,64.9,74.6,75.7,75.2,82,88.1,97.2,109,117.7,118.7,132.1,147.3,150.4,169.9,198.5,228.6,235.4,236.5,274.8,339,412.2,474.9,485.6,542.6,532.1,570.1,670.2,714.4,739.9,757.8,803.1,847.3,846.4,803.3,848.5,932.5,1033.3,1112.9,1209.5,1317.8,1438.4,1558.8,1679,1646.1,1570.2,1649.8,1830.6,2036.2
"19",NA,"      Nonresidential"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","80","        Total","A008RC1",11,8.6,5.3,2.9,2.5,3.3,4.3,5.8,7.5,5.5,6.1,7.7,9.7,6.3,5.4,7.4,10.6,17.3,23.5,26.8,24.9,27.8,31.8,31.9,35.1,34.7,39,44.5,47.5,42.5,46.5,49.4,48.8,53.1,56,63,74.8,85.4,86.4,93.4,104.7,109,114.1,128.8,153.3,169.5,173.7,192.4,228.7,280.6,333.9,362.4,420,426.5,417.2,489.6,526.2,519.8,524.1,563.8,607.7,622.4,598.2,612.1,666.6,731.4,810,875.4,968.7,1052.6,1133.9,1232.1,1176.8,1066.3,1077.4,1155.3,1265.7
"21","90","        Structures","B009RC1",5.5,4.4,2.6,1.4,1.1,1.2,1.4,1.9,2.7,2.1,2.2,2.6,3.3,2.2,1.8,2.4,3.3,7.4,8.1,9.5,9.2,10,12,12.2,13.6,13.9,15.2,18.2,19,17.6,18.1,19.6,19.7,20.8,21.2,23.7,28.3,31.3,31.5,33.6,37.7,40.3,42.7,47.2,55,61.2,61.4,65.9,74.6,93.6,117.7,136.2,167.3,177.6,154.3,177.4,194.5,176.5,174.2,182.8,193.7,202.9,183.6,172.6,177.2,186.8,207.3,224.6,250.3,275.2,282.2,313.2,322.6,279.2,277.2,300.8,338.6
"22","100","        Equipment and software","B010RC1",5.5,4.2,2.6,1.5,1.4,2.1,2.8,3.9,4.8,3.4,3.9,5.2,6.4,4.1,3.7,5,7.3,9.9,15.3,17.3,15.7,17.8,19.9,19.7,21.5,20.8,23.9,26.3,28.6,24.9,28.4,29.8,29.1,32.3,34.8,39.2,46.5,54,54.9,59.9,67,68.7,71.5,81.7,98.3,108.2,112.4,126.4,154.1,187,216.2,226.2,252.7,248.9,262.9,312.2,331.7,343.3,349.9,381,414,419.5,414.6,439.6,489.4,544.6,602.8,650.8,718.3,777.3,851.7,918.9,854.2,787.1,800.2,854.5,927.1
"23","110","      Residential","A011RC1",4,2.4,1.8,0.8,0.6,0.9,1.3,1.7,2.1,2.1,3,3.5,4.1,2.2,1.4,1.4,1.7,7.8,12.1,15.6,14.6,20.5,18.4,18.6,19.4,21.1,25,23.6,22.2,22.3,28.1,26.3,26.4,29,32.1,34.3,34.2,32.3,32.4,38.7,42.6,41.4,55.8,69.7,75.3,66,62.7,82.5,110.3,131.6,141,123.2,122.6,105.7,152.9,180.6,188.2,220.1,233.7,239.3,239.5,224,205.1,236.3,266,301.9,302.8,334.1,349.1,385.8,424.9,446.9,469.3,503.9,572.4,675.3,770.4
"24","120","    Change in private inventories","A014RC1",1.5,-0.2,-1.1,-2.4,-1.4,-0.6,1.1,1.2,2.6,-0.6,0.2,2.4,4.3,1.9,-0.7,-0.9,-1.5,6,-0.6,5.7,-2.7,5.8,9.9,3.5,1.9,-1.9,5,4,0.8,-0.4,3.9,3.2,3,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2,2,8.3,9.1,15.9,14,-6.3,17.1,22.3,25.8,18,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.4,16.3,20.8,63.8,31.1,30.8,72,70.8,66.9,56.5,-31.7,11.9,14.3,57.3,21.3
"25",NA,"Net exports of goods and services"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","130","  Net","A019RC1",0.4,0.3,0,0,0.1,0.3,-0.2,-0.1,0.1,1,0.8,1.5,1,-0.3,-2.2,-2,-0.8,7.2,10.8,5.5,5.2,0.7,2.5,1.2,-0.7,0.4,0.5,2.4,4.1,0.5,0.4,4.2,4.9,4.1,4.9,6.9,5.6,3.9,3.6,1.4,1.4,4,0.6,-3.4,4.1,-0.8,16,-1.6,-23.1,-25.4,-22.5,-13.1,-12.5,-20,-51.7,-102.7,-115.2,-132.7,-145.2,-110.4,-88.2,-78,-27.5,-33.2,-65,-93.6,-91.4,-96.2,-101.6,-159.9,-260.5,-379.5,-367,-424.4,-499.4,-613.2,-716.7
"27","140","  Exports","B020RC1",5.9,4.4,2.9,2,2,2.6,2.8,3,4,3.8,4,4.9,5.5,4.4,4,4.9,6.8,14.2,18.7,15.5,14.5,12.4,17.1,16.5,15.3,15.8,17.7,21.3,24,20.6,22.7,27,27.6,29.1,31.1,35,37.1,40.9,43.5,47.9,51.9,59.7,63,70.8,95.3,126.7,138.7,149.5,159.4,186.9,230.1,280.8,305.2,283.2,277,302.4,302,320.5,363.9,444.1,503.3,552.4,596.8,635.3,655.8,720.9,812.2,868.6,955.3,955.9,991.2,1096.3,1032.8,1005.9,1040.8,1178.1,1303.1
"28","150","  Imports","B021RC1",5.6,4.1,2.9,1.9,1.9,2.2,3,3.2,4,2.8,3.1,3.4,4.4,4.6,6.3,6.9,7.5,7,7.9,10.1,9.2,11.6,14.6,15.3,16,15.4,17.2,18.9,19.9,20,22.3,22.8,22.7,25,26.1,28.1,31.5,37.1,39.9,46.6,50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,453.3,509.1,554.5,591.5,630.3,624.3,668.6,720.9,814.5,903.6,964.8,1056.9,1115.9,1251.7,1475.8,1399.8,1430.3,1540.2,1791.4,2019.9
"29",NA,"Government consumption expenditures and gross investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","160","  Total","A822RC1",9.4,10,9.9,8.7,8.7,10.5,10.9,13.1,12.8,13.8,14.8,15,26.5,62.7,94.8,105.3,93,39.6,36.4,40.6,46.7,46.8,68.1,83.6,90.6,86.2,86.5,91.4,99.7,106,110,111.6,119.5,130.1,136.4,143.2,151.5,171.8,192.7,209.4,221.5,233.8,246.5,263.5,281.7,317.9,357.7,383,414.1,453.6,500.8,566.2,627.5,680.5,733.5,797,879,949.3,999.5,1039,1099.1,1180.2,1234.4,1271,1291.2,1325.5,1369.2,1416,1468.7,1518.3,1620.8,1721.6,1825.6,1961.1,2092.5,2226.2,2372.8
"31","170","  Federal","A823RC1",1.7,1.8,1.9,1.8,2.3,3.3,3.4,5.6,5.1,5.7,6,6.5,18,54.1,86.5,97,84.1,28.9,22.7,24.2,27.7,26,45.1,59.2,64.4,57.3,54.9,56.7,61.3,63.8,65.4,64.1,67.9,75.3,76.9,78.5,80.4,92.5,104.8,111.4,113.4,113.5,113.7,119.7,122.5,134.6,149.1,159.7,175.4,190.9,210.6,243.8,280.2,310.8,342.9,374.4,412.8,438.6,460.1,462.3,482.2,508.3,527.7,533.9,525.2,519.1,519.2,527.4,530.9,530.4,555.8,578.8,612.9,679.7,756.4,825.9,878.3
"32","180","  State and local","A829RC1",7.6,8.2,8,6.9,6.4,7.2,7.5,7.5,7.7,8.1,8.8,8.6,8.6,8.6,8.4,8.4,9,10.8,13.7,16.3,19,20.7,23,24.4,26.1,28.9,31.6,34.7,38.3,42.2,44.7,47.5,51.6,54.9,59.5,64.8,71,79.2,87.9,98,108.2,120.3,132.8,143.8,159.2,183.4,208.7,223.3,238.7,262.6,290.2,322.4,347.3,369.7,390.5,422.6,466.2,510.7,539.4,576.7,616.9,671.9,706.7,737,766,806.3,850,888.6,937.8,987.9,1065,1142.8,1212.8,1281.5,1336,1400.3,1494.4
"33","190","Final sales of domestic product","A190RC1",102.1,91.4,77.6,61.1,57.8,66.6,72.2,82.6,89.2,86.7,92,99,122.4,160,199.4,220.7,224.6,216.3,244.7,263.5,270,288,329.4,354.8,377.4,382.3,409.8,433.5,460.3,467.6,502.7,523.2,541.7,579.5,612.1,658.8,709.9,774.2,822.7,900.9,975.4,1036.5,1118.9,1229.2,1366.8,1486,1644.6,1808.2,2008.6,2268.9,2545.3,2795.8,3098.6,3269.9,3542.4,3867.8,4198.4,4456.3,4712.3,5085.3,5456.7,5788.5,5996.3,6321.4,6636.6,7008.4,7366.5,7786.1,8232.3,8676.2,9201.5,9760.5,10159.7,10457.7,10946.5,11655.1,12434.6
"34","200","Gross national product","A001RC1",104.4,91.9,77,59.1,56.7,66.3,73.6,84,92.2,86.5,92.5,101.7,127.2,162.3,198.9,220.1,223.4,222.9,245.3,270.6,268.6,295.2,341.2,360.3,381.3,382.5,417.2,440.3,464.1,469.8,509.3,529.5,548.2,589.7,622.2,668.5,724.4,792.9,838,916.1,990.7,1044.9,1134.7,1246.8,1395.3,1515.5,1651.3,1842.1,2051.2,2316.3,2595.3,2823.7,3161.4,3291.5,3573.8,3969.5,4246.8,4480.6,4757.4,5127.4,5510.6,5837.9,6026.3,6367.4,6689.3,7098.4,7433.4,7851.9,8337.3,8768.3,9302.2,9855.9,10171.6,10500.2,11017.6,11758.7,12487.7
"35",NA,"Percent change from preceding period"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","210","  Gross domestic product","A191RP1",NA,-12,-16.1,-23.2,-4,17,11.1,14.3,9.7,-6.2,7,10,25,27.7,22.7,10.7,1.5,-0.4,9.8,10.2,-0.7,9.9,15.5,5.6,5.9,0.3,9,5.5,5.4,1.3,8.4,3.9,3.5,7.5,5.5,7.4,8.4,9.5,5.7,9.3,8.2,5.5,8.5,9.9,11.7,8.5,9.2,11.4,11.3,13,11.7,8.8,12.2,4,8.7,11.2,7.3,5.7,6.2,7.7,7.5,5.8,3.3,5.7,5,6.2,4.6,5.7,6.2,5.3,6,5.9,3.2,3.4,4.7,6.9,6.3
"37","220","  Final sales of domestic product","A190RP1",NA,-10.4,-15.1,-21.3,-5.4,15.1,8.4,14.5,8,-2.8,6.1,7.7,23.6,30.7,24.6,10.7,1.8,-3.7,13.1,7.7,2.5,6.7,14.4,7.7,6.4,1.3,7.2,5.8,6.2,1.6,7.5,4.1,3.6,7,5.6,7.6,7.8,9.1,6.3,9.5,8.3,6.3,7.9,9.9,11.2,8.7,10.7,9.9,11.1,13,12.2,9.8,10.8,5.5,8.3,9.2,8.5,6.1,5.7,7.9,7.3,6.1,3.6,5.4,5,5.6,5.1,5.7,5.7,5.4,6.1,6.1,4.1,2.9,4.7,6.5,6.7
