"","Table C#1# GDP and Other Major NIPA Aggregates                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193"
"11","10","  Gross domestic product","A191RX1",2392.9,2455.8,2453.9,2462.6,2517.4,2504.8,2508.7,2476.2,2491.2,2538,2579.1,2631.8,2679.1,2708.4,2733.3,2740,2775.9,2810.6,2863.5,2885.8,2950.5,2984.8,3025.5,3033.6,3108.2,3150.2,3214.1,3291.8,3372.3,3384,3406.3,3433.7,3464.1,3464.3,3491.8,3518.2,3590.7,3651.6,3676.5,3692,3750.2,3760.9,3784.2,3766.3,3760,3767.1,3800.5,3759.8,3864.1,3885.9,3916.7,3927.9,3997.7,4092.1,4131.1,4198.7,4305.3,4355.1,4331.9,4373.3,4335.4,4347.9,4305.8,4288.9,4237.6,4268.6,4340.9,4397.8,4496.8,4530.3,4552,4584.6,4640,4731.1,4815.8,4815.3,4830.8,5021.2,5070.7,5137.4,5147.4,5152.3,5189.4,5204.7,5221.3,5115.9,5107.4,5202.1,5307.5,5266.1,5329.8,5263.4,5177.1,5204.9,5185.2,5189.8,5253.8,5372.3,5478.4,5590.5,5699.8,5797.9,5854.3,5902.4,5956.9,6007.8,6101.7,6148.6,6207.4,6232,6291.7,6323.4,6365,6435,6493.4,6606.8,6639.1,6723.5,6759.4,6848.6,6918.1,6963.5,7013.1,7030.9,7112.1,7130.3,7130.8,7076.9,7040.8,7086.5,7120.7,7154.1,7228.2,7297.9,7369.5,7450.7,7459.7,7497.5,7536,7637.4,7715.1,7815.7,7859.5,7951.6,7973.7,7988,8053.1,8112,8169.2,8303.1,8372.7,8470.6,8536.1,8665.8,8773.7,8838.4,8936.2,8995.3,9098.9,9237.1,9315.5,9392.6,9502.2,9671.1,9695.6,9847.9,9836.6,9887.7,9875.6,9905.9,9871.1,9910,9977.3,10031.6,10090.7,10095.8,10126,10212.7,10398.7,10467,10566.3,10671.5,10753.3,10822.9,10913.8,11001.8,11115.1,11163.8,11316.4,11388.1
"12","20","  Final sales of domestic product","A190RX1",2396.9,2440.3,2471.1,2462.3,2488.1,2511.5,2507.9,2519.8,2522,2549.1,2568.9,2627.3,2659.5,2704.5,2725.6,2744.5,2762.8,2809.7,2859.4,2889.5,2952.7,2988.1,3025.4,3033.2,3081,3136.6,3195.5,3282.4,3337,3352.4,3380.2,3389.6,3424.2,3460.2,3477.8,3508.2,3581.7,3617.7,3669.4,3692.2,3730.5,3748.6,3767.6,3768.1,3778,3771,3804.6,3797.2,3844.7,3871.3,3905.2,3952.5,4006.9,4073,4109.6,4204.8,4296.4,4317.4,4322.6,4327.3,4322.7,4328.7,4316.3,4254.5,4287.8,4331,4370.1,4421.1,4482.1,4496.3,4523.7,4587.1,4631.5,4705.5,4755.2,4794.1,4799.5,4989.9,5036,5100.6,5117.8,5117.9,5192.3,5216.9,5227.3,5126.2,5193.5,5239.7,5261.7,5272.8,5278.5,5247.4,5232.9,5230.5,5196.6,5273.3,5329.2,5404.6,5505.1,5577,5614.4,5717.5,5770.2,5854.6,5953,5998.5,6095.8,6121.2,6184.1,6230.5,6317.8,6355,6344.4,6431.4,6510.8,6542.5,6637.2,6716.4,6749.5,6835.1,6873.3,6933.6,7015.3,7026.8,7110.6,7103.8,7118.3,7101.3,7071.5,7120.2,7134.6,7133.8,7239.3,7284.3,7360.5,7440.3,7431.2,7483.7,7540.6,7633.7,7677.5,7737.2,7814.3,7882.3,7918.7,7962.3,8055,8104.8,8175.4,8285.8,8319.9,8444.7,8507.3,8574.6,8705.7,8758.6,8821.1,8948.7,9038.4,9182.2,9239.7,9353.7,9453.5,9569.3,9668.8,9748.4,9780.4,9844.3,9883.2,9908.7,9899.9,9992.3,9986.8,10028.4,10063.5,10067.3,10100.9,10213.7,10385.9,10440,10528.7,10596.1,10700.1,10768.2,10856.5,11005.3,11123.5,11115.5,11269,11328
"13","30","  Gross national product","A001RX1",2408.1,2471.1,2470.3,2479.8,2534.1,2521.8,2526.5,2494.9,2510.8,2556.7,2598.3,2651.4,2698.6,2729.7,2754.8,2764.5,2799.4,2833.3,2886.6,2909.6,2976.3,3009.6,3051.1,3057.5,3135.2,3178,3240,3315.7,3396.9,3408.7,3430.4,3458.9,3489,3488.5,3518.5,3544.1,3617.2,3678.7,3704.4,3719.6,3778,3787.7,3810,3792.1,3786.3,3794.3,3827.4,3784.5,3893.1,3916.4,3944.4,3957.1,4028.1,4122.1,4163.5,4231,4342.5,4394.6,4377.8,4419.5,4389.4,4399.1,4352.4,4329.3,4271.5,4302.8,4377.7,4441.7,4539.3,4574.6,4596.7,4630.4,4692.2,4782.3,4866.4,4860.4,4882.9,5064.7,5118.2,5191.9,5203.1,5214.9,5263.8,5278.6,5296.5,5185.5,5173,5255.6,5364.5,5319.8,5386.8,5327.3,5237.7,5272.8,5242.9,5245.3,5308.8,5430.9,5538,5652.4,5757.1,5855.5,5911.3,5953.2,5997.4,6050.8,6137.4,6188.2,6242.5,6257.3,6320.1,6342.8,6386.8,6461.8,6519.5,6635.4,6675,6756.2,6788.9,6880.9,6950.1,6993.9,7046.2,7071.4,7150,7169.9,7163.9,7137.1,7087,7119.1,7149.3,7191.8,7265.5,7334.5,7402.6,7485,7502.4,7532.8,7577.7,7661.5,7747.2,7843.7,7886.8,7979.2,8014.3,8032,8081,8152,8213.3,8337.6,8402.7,8507.6,8566,8707,8808.7,8868.1,8965.5,9022.2,9112.2,9255.2,9346.7,9429.1,9532.7,9710.4,9729,9885.3,9867.8,9941.6,9913.6,9949.8,9887.7,9983.1,10004.1,10048.6,10119.7,10143.8,10163.8,10266.9,10449.9,10540.5,10632.2,10709.4,10796.3,10849.3,10946,11028.2,11162,11175.6,11342.7,11408.5
"14",NA,"Percent change from preceding period"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","40","  Gross domestic product","A191RL1",7.9,10.9,-0.3,1.4,9.2,-2,0.6,-5.1,2.4,7.7,6.6,8.4,7.4,4.4,3.7,1,5.3,5.1,7.7,3.1,9.3,4.7,5.6,1.1,10.2,5.5,8.4,10,10.1,1.4,2.7,3.3,3.6,0,3.2,3.1,8.5,7,2.7,1.7,6.5,1.1,2.5,-1.9,-0.7,0.8,3.6,-4.2,11.6,2.3,3.2,1.1,7.3,9.8,3.9,6.7,10.6,4.7,-2.1,3.9,-3.4,1.2,-3.8,-1.6,-4.7,3,6.9,5.4,9.3,3,1.9,2.9,4.9,8.1,7.4,0,1.3,16.7,4,5.4,0.8,0.4,2.9,1.2,1.3,-7.8,-0.7,7.6,8.4,-3.1,4.9,-4.9,-6.4,2.2,-1.5,0.4,5,9.3,8.1,8.4,8.1,7.1,3.9,3.3,3.8,3.5,6.4,3.1,3.9,1.6,3.9,2,2.7,4.5,3.7,7.2,2,5.2,2.1,5.4,4.1,2.6,2.9,1,4.7,1,0,-3,-2,2.6,1.9,1.9,4.2,3.9,4,4.5,0.5,2,2.1,5.5,4.1,5.3,2.3,4.8,1.1,0.7,3.3,3,2.9,6.7,3.4,4.8,3.1,6.2,5.1,3,4.5,2.7,4.7,6.2,3.4,3.4,4.8,7.3,1,6.4,-0.5,2.1,-0.5,1.2,-1.4,1.6,2.7,2.2,2.4,0.2,1.2,3.5,7.5,2.7,3.9,4,3.1,2.6,3.4,3.3,4.2,1.8,5.6,2.6
"16","50","  Final sales of domestic product","A190RL1",8.1,7.4,5.1,-1.4,4.3,3.8,-0.6,1.9,0.4,4.4,3.1,9.4,5,6.9,3.2,2.8,2.7,7,7.3,4.3,9,4.9,5.1,1,6.5,7.4,7.7,11.3,6.8,1.9,3.4,1.1,4.1,4.3,2,3.5,8.6,4.1,5.8,2.5,4.2,2,2,0.1,1.1,-0.7,3.6,-0.8,5.1,2.8,3.5,4.9,5.6,6.8,3.6,9.6,9,2,0.5,0.4,-0.4,0.6,-1.1,-5.6,3.2,4.1,3.7,4.8,5.6,1.3,2.5,5.7,3.9,6.5,4.3,3.3,0.5,16.8,3.7,5.2,1.4,0,5.9,1.9,0.8,-7.5,5.4,3.6,1.7,0.8,0.4,-2.3,-1.1,-0.2,-2.6,6,4.3,5.8,7.7,5.3,2.7,7.5,3.7,6,6.9,3.1,6.6,1.7,4.2,3,5.7,2.4,-0.7,5.6,5,2,5.9,4.9,2,5.2,2.3,3.6,4.8,0.7,4.9,-0.4,0.8,-1,-1.7,2.8,0.8,0,6,2.5,4.2,4.4,-0.5,2.9,3.1,5,2.3,3.1,4,3.5,1.9,2.2,4.7,2.5,3.5,5.5,1.7,6.1,3,3.2,6.3,2.5,2.9,5.9,4.1,6.5,2.5,5,4.3,5,4.2,3.3,1.3,2.6,1.6,1,-0.4,3.8,-0.2,1.7,1.4,0.1,1.3,4.5,6.9,2.1,3.4,2.6,4,2.6,3.3,5.6,4.4,-0.3,5.6,2.1
"17",NA,"Chain-type price indexes [2000=100]"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","60","  Gross domestic product","B191RG3",20.68,20.711,20.77,20.853,20.903,20.995,21.093,21.186,21.21,21.249,21.305,21.36,21.482,21.538,21.596,21.671,21.732,21.754,21.794,21.923,22.001,22.073,22.18,22.282,22.38,22.479,22.578,22.717,22.857,23.071,23.293,23.498,23.611,23.759,23.977,24.242,24.503,24.777,25.017,25.367,25.622,25.966,26.345,26.678,27.051,27.437,27.655,28.009,28.429,28.809,29.097,29.329,29.814,29.989,30.264,30.62,31.025,31.542,32.147,32.703,33.371,34.11,35.164,36.24,37.077,37.622,38.324,39.005,39.443,39.866,40.405,41.096,41.781,42.452,43.036,43.762,44.493,45.35,46.133,47.074,47.929,49.092,50.102,51.088,52.209,53.362,54.572,56.105,57.566,58.582,59.661,60.704,61.563,62.33,63.193,63.866,64.413,64.881,65.542,66.02,66.838,67.439,67.989,68.392,69.18,69.542,69.876,70.299,70.66,71.001,71.455,71.96,72.514,72.904,73.45,73.948,74.564,75.296,76.178,76.786,77.588,78.342,78.913,79.433,80.389,81.326,82.053,82.689,83.662,84.194,84.772,85.2,85.766,86.212,86.587,87.042,87.729,88.204,88.599,89.03,89.598,89.98,90.525,90.958,91.554,91.891,92.281,92.734,93.302,93.615,94.064,94.455,94.963,95.291,95.541,95.864,96.096,96.284,96.62,96.901,97.274,97.701,98.022,98.475,99.292,99.78,100.241,100.687,101.507,102.29,102.69,103.122,103.553,103.944,104.347,104.926,105.742,106.076,106.616,107.204,108.19,109.172,109.744,110.61,111.558,112.229,113.139,114.048,114.967,115.905
"19","70","  Gross domestic purchases","B712RG3",20.296,20.326,20.379,20.46,20.505,20.598,20.694,20.787,20.807,20.831,20.887,20.933,21.041,21.109,21.163,21.241,21.308,21.335,21.382,21.514,21.596,21.674,21.769,21.86,21.94,22.037,22.14,22.292,22.416,22.629,22.831,23.018,23.109,23.254,23.469,23.723,23.979,24.23,24.483,24.826,25.062,25.402,25.764,26.093,26.474,26.841,27.093,27.449,27.854,28.23,28.539,28.779,29.234,29.437,29.728,30.078,30.478,31.052,31.625,32.218,33.068,34.007,35.045,36.062,36.849,37.412,38.06,38.724,39.163,39.595,40.168,40.828,41.591,42.306,42.95,43.688,44.41,45.266,46.048,46.928,47.828,49.044,50.289,51.515,52.93,54.22,55.446,56.907,58.397,59.434,60.355,61.4,62.213,62.883,63.717,64.372,64.768,65.213,65.849,66.231,67.052,67.647,68.114,68.476,69.137,69.537,69.907,70.459,70.851,70.985,71.493,72.025,72.728,73.229,73.819,74.332,74.975,75.706,76.406,77.086,77.937,78.764,79.227,79.807,80.878,81.629,82.531,83.536,84.197,84.533,85.058,85.556,86.093,86.588,87.098,87.531,88.076,88.595,88.916,89.331,89.8,90.271,90.921,91.34,91.877,92.329,92.662,93.065,93.602,93.897,94.286,94.796,95.189,95.296,95.494,95.781,95.773,95.881,96.141,96.444,96.761,97.317,97.79,98.356,99.275,99.714,100.283,100.727,101.403,101.974,102.223,102.378,102.755,103.385,103.816,104.374,105.435,105.587,106.17,106.671,107.803,108.88,109.588,110.567,111.449,112.362,113.572,114.541,115.313,116.455
"20",NA,"Implicit price deflators [2000=100]"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","80","  Gross domestic product","A191RD3",20.704,20.704,20.753,20.84,20.931,21.004,21.084,21.146,21.192,21.237,21.303,21.375,21.501,21.533,21.585,21.653,21.702,21.745,21.788,21.951,22.016,22.073,22.16,22.27,22.383,22.48,22.563,22.707,22.855,23.048,23.291,23.505,23.612,23.741,23.975,24.241,24.506,24.763,25.008,25.362,25.626,25.958,26.332,26.675,27.056,27.428,27.647,28.004,28.425,28.798,29.089,29.322,29.781,29.959,30.25,30.652,31.02,31.5,32.114,32.75,33.376,34.162,35.166,36.218,37.05,37.614,38.313,38.987,39.418,39.84,40.385,41.122,41.796,42.401,42.917,43.852,44.505,45.321,46.072,47.047,47.876,49.058,50.115,51.117,52.195,53.349,54.56,56.071,57.517,58.598,59.641,60.729,61.555,62.302,63.182,63.863,64.388,64.853,65.517,66.012,66.837,67.414,67.953,68.385,69.155,69.55,69.838,70.289,70.652,71.015,71.426,71.893,72.487,72.882,73.425,73.958,74.587,75.3,76.141,76.712,77.58,78.324,78.879,79.425,80.375,81.311,82.031,82.646,83.626,84.165,84.762,85.206,85.721,86.19,86.58,87.029,87.707,88.19,88.57,89.038,89.578,89.954,90.53,90.952,91.53,91.859,92.289,92.733,93.328,93.659,93.951,94.45,95.054,95.206,95.534,95.846,96.089,96.249,96.6,96.934,97.328,97.674,98.013,98.432,99.317,99.745,100.259,100.666,101.478,102.252,102.675,103.191,103.568,103.938,104.328,104.907,105.724,106.062,106.611,107.19,108.183,109.162,109.728,110.601,111.539,112.219,113.121,114.034,114.951,115.887
"22","90","  Gross national product","A001RD3",20.68,20.681,20.73,20.817,20.909,20.982,21.061,21.122,21.169,21.214,21.28,21.352,21.479,21.511,21.564,21.632,21.681,21.724,21.768,21.93,21.995,22.053,22.14,22.25,22.363,22.46,22.544,22.688,22.837,23.029,23.272,23.486,23.593,23.722,23.955,24.221,24.487,24.743,24.988,25.342,25.605,25.937,26.31,26.652,27.034,27.406,27.624,27.982,28.403,28.777,29.069,29.3,29.759,29.937,30.229,30.631,31,31.481,32.095,32.731,33.354,34.137,35.141,36.188,37.022,37.586,38.288,38.961,39.396,39.818,40.365,41.101,41.773,42.381,42.899,43.831,44.483,45.301,46.052,47.027,47.857,49.034,50.093,51.093,52.172,53.324,54.534,56.043,57.492,58.571,59.616,60.706,61.53,62.276,63.155,63.837,64.363,64.831,65.495,65.991,66.815,67.392,67.93,68.359,69.127,69.529,69.827,70.276,70.635,70.993,71.401,71.866,72.465,72.87,73.412,73.944,74.571,75.285,76.124,76.7,77.566,78.316,78.875,79.422,80.376,81.301,82.028,82.652,83.623,84.164,84.758,85.202,85.71,86.181,86.567,87.019,87.705,88.189,88.574,89.048,89.583,89.963,90.527,90.953,91.534,91.868,92.299,92.743,93.338,93.671,93.962,94.458,95.058,95.212,95.542,95.851,96.091,96.254,96.604,96.932,97.33,97.675,98.014,98.433,99.311,99.741,100.262,100.672,101.48,102.248,102.671,103.183,103.552,103.928,104.321,104.903,105.718,106.053,106.602,107.18,108.177,109.154,109.717,110.592,111.525,112.209,113.113,114.025,114.942,115.879
"23",NA,"Percent change from preceding period"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,"  Chain-type price index"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","100","    Gross domestic product","A191RV1",1.8,0.6,1.1,1.6,1,1.8,1.9,1.8,0.5,0.7,1.1,1,2.3,1,1.1,1.4,1.1,0.4,0.7,2.4,1.4,1.3,2,1.9,1.8,1.8,1.8,2.5,2.5,3.8,3.9,3.6,1.9,2.5,3.7,4.5,4.4,4.5,3.9,5.7,4.1,5.5,6,5.2,5.7,5.8,3.2,5.2,6.1,5.5,4.1,3.2,6.8,2.4,3.7,4.8,5.4,6.8,7.9,7.1,8.4,9.2,12.9,12.8,9.6,6,7.7,7.3,4.6,4.4,5.5,7,6.8,6.6,5.6,6.9,6.9,7.9,7.1,8.4,7.5,10.1,8.5,8.1,9.1,9.1,9.4,11.7,10.8,7.2,7.6,7.2,5.8,5.1,5.7,4.3,3.5,2.9,4.1,2.9,5,3.6,3.3,2.4,4.7,2.1,1.9,2.4,2.1,1.9,2.6,2.9,3.1,2.2,3,2.7,3.4,4,4.8,3.2,4.2,3.9,2.9,2.7,4.9,4.7,3.6,3.1,4.8,2.6,2.8,2,2.7,2.1,1.8,2.1,3.2,2.2,1.8,2,2.6,1.7,2.4,1.9,2.6,1.5,1.7,2,2.5,1.3,1.9,1.7,2.2,1.4,1.1,1.4,1,0.8,1.4,1.2,1.5,1.8,1.3,1.9,3.4,2,1.9,1.8,3.3,3.1,1.6,1.7,1.7,1.5,1.6,2.2,3.1,1.3,2.1,2.2,3.7,3.7,2.1,3.2,3.5,2.4,3.3,3.3,3.3,3.3
"26","110","    Gross domestic purchases","A712RV1",2.1,0.6,1,1.6,0.9,1.8,1.9,1.8,0.4,0.5,1.1,0.9,2.1,1.3,1,1.5,1.3,0.5,0.9,2.5,1.5,1.5,1.8,1.7,1.5,1.8,1.9,2.8,2.2,3.9,3.6,3.3,1.6,2.5,3.7,4.4,4.4,4.3,4.2,5.7,3.9,5.5,5.8,5.2,6,5.7,3.8,5.4,6,5.5,4.5,3.4,6.5,2.8,4,4.8,5.4,7.7,7.6,7.7,11,11.9,12.8,12.1,9,6.3,7.1,7.2,4.6,4.5,5.9,6.7,7.7,7.1,6.2,7.1,6.8,7.9,7.1,7.9,7.9,10.6,10.5,10.1,11.4,10.1,9.4,11,10.9,7.3,6.3,7.1,5.4,4.4,5.4,4.2,2.5,2.8,4,2.3,5.1,3.6,2.8,2.1,3.9,2.3,2.1,3.2,2.2,0.8,2.9,3,4,2.8,3.3,2.8,3.5,4,3.8,3.6,4.5,4.3,2.4,3,5.5,3.8,4.5,5,3.2,1.6,2.5,2.4,2.5,2.3,2.4,2,2.5,2.4,1.5,1.9,2.1,2.1,2.9,1.9,2.4,2,1.5,1.8,2.3,1.3,1.7,2.2,1.7,0.5,0.8,1.2,0,0.5,1.1,1.3,1.3,2.3,2,2.3,3.8,1.8,2.3,1.8,2.7,2.3,1,0.6,1.5,2.5,1.7,2.2,4.1,0.6,2.2,1.9,4.3,4.1,2.6,3.6,3.2,3.3,4.4,3.5,2.7,4
"27",NA,"  Implicit price deflators"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","120","    Gross domestic product","A191RI1",0.9,0,1,1.7,1.8,1.4,1.5,1.2,0.9,0.9,1.2,1.4,2.4,0.6,1,1.3,0.9,0.8,0.8,3,1.2,1,1.6,2,2,1.7,1.5,2.6,2.6,3.4,4.3,3.7,1.8,2.2,4,4.5,4.4,4.3,4,5.8,4.2,5.3,5.9,5.3,5.8,5.6,3.2,5.3,6.2,5.4,4.1,3.2,6.4,2.4,3.9,5.4,4.9,6.3,8,8.2,7.9,9.8,12.3,12.5,9.5,6.2,7.6,7.2,4.5,4.4,5.6,7.5,6.7,5.9,5,9,6.1,7.5,6.8,8.7,7.2,10.2,8.9,8.2,8.7,9.1,9.4,11.5,10.7,7.7,7.3,7.5,5.6,4.9,5.8,4.4,3.3,2.9,4.2,3.1,5.1,3.5,3.2,2.6,4.6,2.3,1.7,2.6,2.1,2.1,2.3,2.6,3.3,2.2,3,2.9,3.4,3.9,4.5,3,4.6,3.9,2.9,2.8,4.9,4.7,3.6,3,4.8,2.6,2.9,2.1,2.4,2.2,1.8,2.1,3.2,2.2,1.7,2.1,2.4,1.7,2.6,1.9,2.6,1.4,1.9,1.9,2.6,1.4,1.3,2.1,2.6,0.6,1.4,1.3,1,0.7,1.5,1.4,1.6,1.4,1.4,1.7,3.6,1.7,2.1,1.6,3.3,3.1,1.7,2,1.5,1.4,1.5,2.2,3.2,1.3,2.1,2.2,3.8,3.7,2.1,3.2,3.4,2.5,3.3,3.3,3.3,3.3
