"","Table 4# National Income and Disposition of Personal Income     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241"
"11","10","  National income","A032RC1",211.7,213,216.6,225.2,233.7,242.3,247.2,248.9,241.9,237.6,238.1,234.5,244.2,255.7,273.4,284.3,295.9,301.7,306.9,312.9,314.8,316.5,322.4,333.6,339.9,342.9,341.5,333.7,335.4,335.5,338.9,347.9,360,370.1,377,383.6,387.2,392.9,397,405.2,412.1,414.4,418.4,412.1,407.2,408.4,418.9,432.5,445,459.8,456.6,461.9,474.8,474.8,475.8,474,476.1,485.8,495.2,509.2,520.2,526.9,532.9,540.3,546.7,556.1,564.6,574.9,587.7,597.4,608.9,616.7,635.1,646.1,657,675.6,695.1,704.6,715.9,728.3,734.7,741.8,757.6,773.4,794.3,815.1,833.6,849.6,866.2,882.1,900.7,909.7,914.5,926.1,941.3,941.8,979.3,999,1016.3,1037.6,1069,1088.7,1120,1167.2,1205.3,1229.4,1257.8,1297,1308.9,1329.6,1357.6,1372.5,1380.6,1412.3,1473.2,1517.4,1567.4,1593.2,1626,1660.7,1706.2,1775.3,1833.1,1881.1,1917.3,2012.2,2058.2,2121.9,2177.9,2216,2269.9,2332.4,2386.8,2371.2,2434,2565.3,2656.9,2702.3,2798.7,2811.5,2815.6,2864.2,2883.8,2893.7,2959.1,3040,3117.8,3219.9,3358.1,3458.5,3526.4,3586.2,3652.6,3700.1,3746.8,3794.1,3856.3,3874.1,3916.8,3962.1,4035.8,4124.5,4218.3,4316.4,4410.8,4503.2,4591.3,4692.2,4775.4,4803.9,4840.7,4886.6,4999.4,5090.7,5121.3,5145.2,5165.9,5199.7,5246.9,5298.9,5432.6,5506.4,5486.7,5625.3,5663.8,5750.9,5779.8,5898.9,5931.9,6091.1,6181.8,6284.2,6356.3,6408,6492.1,6559.3,6677,6796.6,6876.8,7010,7114.6,7220,7361.1,7473,7573.3,7687.5,7823.1,7927.3,8074.2,8161.3,8254.7,8456.4,8680.5,8750.4,8858.3,8891.7,8987.6,9001.5,8890.3,9039.9,9131.1,9211.7,9247.5,9326.7,9406.7,9537.9,9699.3,9885.4,10084.3,10207,10243.5,10488.6,10702.3,10795.4,10643.2,11106.2,11551.3,11719.3
"12",NA,"  Compensation of employees"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","20","    Total","A033RC1",127.2,128.7,130.1,134.3,137.9,139.6,144.5,145.9,144.1,141.9,141,140.5,144.6,150.6,159,166.9,175,180.6,183.7,186.5,191.5,192.8,196.3,204.1,208,211.3,211.5,210,208.1,207.7,208.3,212.6,217.1,223.6,228.6,233.6,238,242.6,245.7,251.6,255.3,257,259.7,258.1,255.2,254.8,260.9,267.2,274.5,281.6,282.3,285.5,294.1,296.9,297.6,297.1,298,302.2,307.2,313.8,320.4,326.4,329.2,332.6,337.5,342.4,347.4,353.6,360,367.4,374.7,380.7,387.3,394.1,402.3,414.3,426.7,437.8,449,457.1,463.3,469,478.7,489.7,504.5,517.6,531.4,543.8,555.9,569.8,586.6,598.2,608.6,614.2,622.2,623.9,641.6,653.7,664.1,676.3,701.1,715.8,729.7,753.9,781.7,800.8,819.9,842.5,860.7,881.4,903.1,915.8,919.5,931.7,957.7,987.6,1022.4,1046.1,1070.8,1098.1,1127,1164.4,1196.9,1233.7,1269.7,1318.4,1355.7,1400.6,1445.3,1477.5,1518.9,1561.4,1602.5,1625.1,1657.9,1721.6,1774.5,1808,1846.4,1874.2,1897.9,1917.3,1937.1,1951.1,1979.2,2017.2,2059.5,2114.5,2184.8,2235.4,2281.5,2320.9,2366.2,2402.2,2441.1,2489.2,2522.7,2545.3,2581.4,2631.1,2678.6,2721.1,2767.6,2833.7,2883.1,2945.5,2994.2,3045.9,3092.8,3122.1,3158.3,3207.7,3272.8,3330.5,3370.2,3379.4,3394.5,3426.5,3461.5,3498.5,3566.8,3617,3659.9,3698,3738.7,3782.5,3823.2,3861.2,3929.6,3978.1,4013.7,4067.5,4134.9,4169.5,4213.8,4255.1,4295.3,4362.7,4422.7,4481.5,4553.5,4615,4690.5,4787.8,4893.4,4976.9,5061.5,5145.7,5248,5302.5,5376.3,5501.7,5694.1,5727.2,5837.4,5871.9,5946.2,5944.6,5939.3,5938.3,6025.3,6091.5,6114.5,6133.4,6202.4,6289,6365.8,6444.3,6521.9,6590.2,6689.6,6799.4,6889.6,6953.7,7093.6,7184.4,7400.3,7533.2
"14","30","    Wage and salary accruals","A034RC1",119.7,121.5,123.4,127.8,131.4,133.2,138.1,139.5,137,134.6,133.9,133.4,137.1,142.9,150.8,158.3,165.5,170.8,173.8,176.2,181.2,182.4,185.7,193.3,196.9,200.1,200.3,198.7,196.4,196,196.3,200.4,204.2,210.3,214.7,219.5,223.3,227.5,230,235.4,238.3,239.6,241.8,240.1,237.4,236.9,242.6,248.4,254,260.6,260.9,263.9,270.8,273.4,274,273.3,273.8,277.6,282.3,288.4,293.3,298.7,301.2,304.2,308,312.4,316.8,322.2,328.2,334.8,341.4,346.7,352.8,358.9,366.2,377.1,385.8,395.9,406.1,413.5,418.8,423.6,432,441.6,454.2,465.9,478.3,489.4,499.1,511.4,526.4,536.5,545.1,549.1,555.7,556.3,570.2,580.3,588.8,599,618,630.5,642.4,664.3,683.4,700.1,716.2,735.4,748.2,765.3,783.1,792.5,791.9,800.4,821.3,845.8,871.2,889.4,908.4,929.9,950,980.9,1007.5,1038.2,1064.2,1106.4,1138,1176.2,1210.2,1236.3,1270.9,1305.8,1338.4,1354.9,1381,1436.3,1474.7,1502.4,1535.1,1557.8,1573.2,1587.1,1602.3,1612.2,1629.5,1661.8,1699,1748.1,1794,1837.9,1877.3,1911.1,1946.2,1976.3,2009.3,2050.1,2076.3,2093.8,2124,2165.2,2207.7,2244.9,2285.4,2344.9,2381.5,2435.5,2476,2518.8,2555.5,2576.9,2605,2648.1,2701.2,2749.8,2781.3,2783.7,2786.7,2809.6,2834.3,2861.4,2911.7,2950.1,2982.3,3014,3042.7,3074.2,3105.5,3134.3,3190.9,3231.5,3262.9,3313.7,3379.2,3412.6,3455.1,3495.7,3532.7,3596.8,3653.9,3709.5,3777.7,3833.7,3900.5,3986.8,4075.7,4146.4,4218.3,4290.4,4380.9,4425.4,4486.1,4593.2,4760,4783.2,4874.9,4898.8,4961.1,4951.4,4935.2,4923.4,4961.2,4989.4,4988.5,4984.5,5032.4,5098.7,5159.3,5220.4,5276.4,5328.1,5408.1,5495.8,5555.7,5601.3,5715.2,5787,5970.1,6081.2
"15","40","    Supplements to wages and salaries","A038RC1",7.5,7.2,6.6,6.5,6.5,6.4,6.4,6.4,7.1,7.2,7.1,7,7.5,7.8,8.2,8.6,9.4,9.7,9.9,10.2,10.3,10.4,10.6,10.8,11.1,11.3,11.2,11.3,11.7,11.7,11.9,12.2,12.9,13.3,13.9,14.1,14.8,15.1,15.8,16.2,17.1,17.4,17.8,18.1,17.9,17.9,18.3,18.8,20.5,21.1,21.4,21.6,23.3,23.5,23.7,23.8,24.2,24.6,24.9,25.4,27.2,27.6,28,28.4,29.5,30,30.6,31.3,31.8,32.5,33.3,34,34.5,35.2,36.1,37.2,40.9,41.9,42.8,43.7,44.4,45.4,46.6,48.1,50.3,51.7,53.1,54.4,56.8,58.4,60.1,61.8,63.5,65.1,66.4,67.6,71.4,73.4,75.3,77.3,83.2,85.3,87.3,89.7,98.3,100.7,103.7,107.1,112.5,116.1,120,123.3,127.6,131.4,136.4,141.9,151.1,156.8,162.4,168.1,177,183.5,189.4,195.6,205.5,212,217.7,224.3,235.1,241.2,248.1,255.5,264.1,270.3,276.9,285.3,299.8,305.7,311.3,316.4,324.6,330.2,334.8,338.9,349.7,355.4,360.6,366.4,390.8,397.5,404.1,409.7,419.9,426,431.8,439.1,446.4,451.5,457.4,466,470.8,476.2,482.2,488.7,501.6,510,518.3,527.1,537.3,545.2,553.3,559.7,571.6,580.7,588.9,595.6,607.9,616.9,627.2,637.2,655,666.9,677.6,684,696,708.3,717.6,727,738.7,746.6,750.8,753.8,755.7,757,758.7,759.4,762.6,765.9,768.8,772,775.8,781.3,790,801,817.6,830.5,843.2,855.3,867,877.1,890.2,908.5,934.1,944,962.5,973.1,985.1,993.2,1004.1,1014.8,1064.2,1102.1,1126,1148.9,1170,1190.3,1206.6,1223.9,1245.5,1262.1,1281.5,1303.5,1333.9,1352.4,1378.4,1397.4,1430.3,1452
"16",NA,"  Proprietors' income with IVA and CCAdj."," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","50","    Farm","B042RC1",16,12.4,14.1,14.9,14.5,18,17.9,16.4,12.7,12.1,11.6,11.5,12.2,12.2,13.1,13.9,15,15.4,15.1,15.6,13.7,14.5,15.9,13,13,12.4,11.7,11.5,12.8,11.6,11.7,10.6,10.9,11.2,10.6,9.9,10.1,10.3,10.8,10.8,9.8,10.4,10.9,10.6,13.2,12.9,12,11.2,10.8,9.8,9.3,10,9.5,10.4,10.8,11.1,11.3,10.7,10.8,11.3,11.7,10.9,10.5,11,11.2,10.6,10.4,10.9,9.6,9.3,9.1,10.2,11.2,11.8,12,12.3,14.6,12.4,12.1,12,11.7,10.9,11.8,11.4,11.5,11.1,11.6,11.8,11.4,12.4,12.9,13.9,13.4,12.2,13,12.3,13.2,13.1,12.7,13.9,12.9,15.1,17,22.2,21.7,27.1,29.4,37.4,28.4,19.8,21.2,23.4,19.4,19.9,23.5,24.1,19.2,16.7,15.9,16.1,15.7,13.9,11.5,21.7,18.3,20.6,20.4,19.1,23.3,21.4,21.9,20.5,12.9,2.7,11.5,18.3,17.3,17.8,23,16.7,14.1,12.6,11.8,13.8,12.8,7.6,-0.1,3.5,19.2,20.9,20.1,22.2,22.6,20.3,19.1,21.2,19.4,19.8,25.6,25.6,26.5,28.6,28.8,30.7,33.3,27.5,28.9,17.6,36.7,32.4,30,32.9,34.7,32.5,31.3,29,26,27.7,24.5,28.8,33,35.5,35.2,34.3,28.8,35.1,25.5,35.5,40.9,35.9,31.4,27.6,20.9,19,22,28.8,36.7,43.9,33.4,35.2,39.1,29.8,34.5,33.4,29.6,27.7,27.4,32.8,34.9,29.3,25.6,24.6,23.2,23.8,23,20.7,21.9,19.2,17.7,20,8.9,4,11,18.4,21.8,30.5,32.1,32.5,38.1,39.5,32.9,34.3,33.9,28.7,29.7,28.7,23.9,17.5
"18","60","    Nonfarm","A045RC1",20.6,20,19.8,20.3,21.6,22.5,23.1,23.2,22.8,22.7,22.6,22.7,23.4,24.1,25.7,25.6,27.1,27.1,27.6,27.9,28.2,28.6,28.9,29.6,30.1,30,30,29.9,29.9,30.4,30.6,31.6,32.6,33.3,34.1,34.7,34.8,35.2,35.4,36.1,37.1,37.4,37.8,37.3,37,37.4,38,38.9,39.6,40.9,41.2,40.9,40.6,40.5,40.1,40,41,41.9,42.5,43.3,43.7,44.3,44.8,44.7,44.8,45.3,45.9,46.8,48.5,49.7,50.5,50.6,51,51.6,52.2,53.6,54.7,55,55.5,56.3,57.3,57.9,59.2,59.1,60.7,62.5,63.7,64.2,64.8,65.1,65.1,64,64.3,64.9,66.2,67.4,68.6,70.8,72.5,74.4,75.7,76.6,79.5,84.5,84.3,84,85,85,87.5,89,91.7,91.4,93.8,95.5,98.9,102.8,108.4,113.2,117.8,121.3,124.6,127.8,131.8,135.8,139.5,146.7,150,152.1,154.8,156.8,159.4,162.2,163.2,158.3,162,167.6,171.2,161.8,163.3,160.7,156.1,162.5,164.3,170.1,175.2,181.8,190.2,198.9,212.4,225,228.6,225,240.7,240.9,242,242.4,245.2,251.5,258.3,257.3,265.1,269.9,275.9,283.3,300.1,312,321.3,325.5,330.3,327.7,329,334.1,341.8,347.3,353.8,352,341.9,346.5,352.7,360.4,376.5,389.8,397.2,408.8,415.9,421.2,423.4,429.9,420,439.3,444.5,453.7,462.2,465.9,471.8,477.9,489.3,504,512.1,518.2,530.5,537,545.3,554.5,576.6,591.5,605.1,620.4,629.4,642.7,655.1,671.5,686.1,702.7,712.6,721.4,747.5,751.5,755.7,754.1,754.1,759.4,758.1,759.7,757.4,771.2,791.5,808.3,839.4,870.6,882.2,907.3,918.9,937.1,937.7,968.1,984.4,994.3
"19","70","  Rental income of persons with CCAdj.","A048RC1",7,7.1,7.3,7.5,7.7,7.9,7.9,8,7.9,8,8.3,8.5,8.8,9,9.2,9.5,9.7,10,10.3,10.5,10.8,11.1,11.4,11.7,12,12.3,12.6,12.9,13.2,13.4,13.6,13.7,13.8,13.8,13.9,14,14.1,14.1,14.2,14.3,14.4,14.5,14.6,14.9,15.2,15.3,15.5,15.6,15.6,16,16.4,16.7,16.9,17,17.2,17.4,17.6,17.8,18,18.2,18.5,18.7,18.9,19.1,19.3,19.5,19.6,19.6,19.6,19.6,19.7,19.6,19.9,20.1,20.3,20.3,20.7,20.6,20.9,20.9,21.1,21.2,21.2,21.1,20.9,20.9,21,20.8,21.1,21.1,21.3,21.2,21.2,20.9,21.5,21.8,21.7,22.3,22.7,23.1,23.7,20.7,24.6,24.6,24.5,24.5,23.5,24.5,24.7,24,24.4,24.2,24.1,23.8,23.7,23.2,22.9,21.9,22.1,22.2,22.2,20.6,20,19.8,21.4,20.9,22.7,23.3,25,22.1,21.8,26.3,29.8,25.4,26.6,38.2,36.7,36.5,37.8,41,40.1,37.6,39.6,38,38,38.3,35.8,39,37.8,36.3,40.8,45.8,44.1,43.3,41,39.3,38.3,36.2,31.7,27.9,31.7,29.3,34.7,38.1,39.1,37.2,38.4,47.6,46.1,46.5,41.5,38.3,44.5,47.7,54,56.4,55.9,58.3,61.6,65.3,71.6,79.8,70.8,89.9,90.9,95.3,94.3,101.7,105.7,120.9,126.2,125.9,122.6,122.3,119.6,124.1,131.1,130.7,132.1,132,130,129.5,128.2,127.4,131,135.7,141.6,141.6,145.2,147.6,144.5,152.1,153.8,148.5,148.2,150.5,155.3,161.7,176.4,176.2,172.1,167.7,142.9,129.2,137.4,130.5,116.3,147.6,140.1,132,112.7,123.4,118.5,102.8,-11.5,81.5,76.8,71.4
"20","80","  Corporate profits with IVA and CCAdj.","A051RC1",20.6,24.1,24.2,25.9,29.9,31.6,30.8,32.3,31,28.7,29.9,26.7,30.2,33.8,38.5,41.6,40.4,40.6,41.2,42.5,39.8,37.8,37.6,41.9,42.6,41.8,40.7,33.8,36.1,37.3,39.2,42.8,48,49.3,49.9,51,48.9,48.8,47.9,48.6,50.4,49.4,48.8,44.8,39.5,40,44.2,50.4,54.5,59.6,54.2,54.4,58,53.9,52.8,50.4,49.5,53.8,56.1,60,62.6,61.9,63.2,65.4,65.4,68.7,70.1,71.7,76.1,76.1,77.3,76.4,84.3,86.4,87.6,91.6,94.7,93.4,91.7,93,90.5,89.5,91,94.3,95.5,99.4,99.6,100.7,100.4,97.2,94.5,89.5,82,85.7,85.8,80.9,94.4,96.6,98.9,102.2,107.2,108,113,120.2,127.2,123.8,124,127,120,118.3,114.5,110.4,112.4,125.3,147.3,154.3,167.1,161.8,162.4,162.1,170.7,191.9,207.1,200.1,191.7,218.7,222.8,233.3,223.8,224.8,223.7,220.7,216.7,185.8,192.3,209.7,223.7,218.8,238.6,223.3,201.1,214.4,214.8,208.4,230.4,260.9,277.3,288.3,314.3,324.2,314.5,321.4,322.7,326.7,343.3,328.5,327.1,320.6,313.7,316.6,327.9,363.6,387.5,396.3,408.2,427.5,436,458.8,437.1,428.1,421,420.3,433.6,457.8,430.4,429.4,456,449.4,447.8,451.6,492.4,494.8,428.5,501.6,505.1,536.2,539.3,587,526.7,597.1,625.2,652.2,657.4,683.9,720.6,724.9,768.1,780.9,787.1,808.5,835.2,861.2,895.5,881.9,811.9,794,807.1,793.5,844.2,849.3,842.3,869.3,832.6,833,811.8,794.3,778.7,783.1,714.5,793,829.4,864.3,895.4,956.1,923.6,956.2,1016.2,1076.5,1158.1,1183.3,1154,1234.9,1320,1342.9,1266.3,1393.5,1569.1,1591.8
"21","90","  Net interest and miscellaneous payments","W255RC1",2.3,2.4,2.6,2.6,2.5,2.6,2.6,2.6,2.7,2.8,2.9,3,3.1,3.2,3.2,3.2,3.4,3.6,3.8,3.8,3.9,4,4.1,4.2,4.5,4.6,4.8,5,5.2,5.5,5.7,6,6.1,6.3,6.2,6.3,6.6,6.8,7.1,7,7.7,8,8.2,8.2,9,9.5,9.8,9.9,8.8,9.8,9.8,10.1,10.2,10.1,10.7,11.2,11.6,12.2,12.6,13.4,13.1,14.1,14.6,15,14.6,14.8,15.3,15.8,16.6,17.1,17.9,18.1,19,19.5,20,20,21.1,21.9,22.7,23.8,24.7,25.5,25.8,26.2,26.6,27,27.1,27.7,30.5,32.1,33.7,34.6,36,38.1,40.5,41.9,43.1,44,44.1,44.3,45.2,46.5,48.9,51.1,51.3,52.8,56.8,60,64.4,69.1,72.4,77.3,80.7,80.8,82.2,82.8,82.5,85.2,86.6,87.9,90.5,98.6,105.1,110.1,111.3,113.9,115.3,119.6,126.6,132.8,140.8,155.4,171.3,176.9,180.1,199,201.9,221.4,251,255.1,266.4,278.3,271.4,268.4,274.8,275.6,290,300.8,303.3,321.7,340,343.2,343.2,341.3,334.5,346.3,365.1,368.6,369.9,363.4,361.9,361.5,368.2,373.8,379.8,373.9,385.6,402.1,425.8,433,437.1,432.5,436.6,441.1,440.7,450.3,429.8,420.6,418.8,403.8,397.5,390.4,382.7,383.3,381,371.6,359.2,351.1,353.9,357.9,370.9,382.9,379.1,369.2,360.1,359.8,359.9,370.2,379.8,394.9,404.3,409,416.9,432.3,464.7,488.5,498.8,496.2,480.6,490.6,498.8,511.5,548.3,560.6,564.3,563,565.2,569.9,565.5,564.8,545.8,519.3,507,511.5,529.1,529.6,526.4,513.7,501.8,493.4,475.7,469.4,483.7,477.1,482.9,490,514.8,513.2
"22","100","  Taxes on production and imports less subsidies \1\","W254RC1",17.4,17.5,17.9,18.9,18.8,19.6,19.6,19.6,20,20.7,21,20.9,21.1,21.9,23.9,22.6,24.2,23.2,23.9,24.6,25.6,26.5,26.9,27.8,28.4,29.1,29.1,29.4,29,28.6,28.9,29.6,30.4,31.3,32.3,32.7,33.1,33.4,34.1,34.9,35.3,35.8,36.4,36.3,36.2,36.5,36.8,37.8,38.6,39.4,40.7,41.4,42.7,43.1,43.8,44.1,44.2,44.5,45.1,46.1,47.1,47.6,48.7,49.2,50,50.8,51.7,52.3,53,53.9,55.3,56.2,57.3,57.4,57.6,58.7,57.9,59,59.8,60.7,61.6,63,65.1,67,69.4,71.3,73.6,75,76.3,78.5,80.6,82.1,83.8,85.8,87.9,89.4,93,94.2,97.3,99.2,98.6,100.7,101.8,104.6,108.8,110.6,113.8,115.3,117.4,121.3,124,124.2,124.7,128.9,133.8,136.4,136.7,140.2,142.8,146.1,149.2,152.4,155.3,154.2,158.5,165,161.7,163.8,168.4,170,173.1,176,180.7,187.6,194.6,200.7,220.6,225.2,226.7,225.7,223.8,225.1,229.2,227.3,231.2,240.1,245.8,252.7,261,267.3,271.8,276.9,280.4,285.2,291,292.4,294.8,295.7,301.1,303.9,308.1,314.3,321.5,326.8,335.2,343.3,349,354.6,363.8,370.7,377.4,376.6,393,393.3,400.7,407.9,417.8,425,434.2,443.8,448.3,452.5,456.2,458.8,454.9,461,467.9,484.4,499,512.5,519,523.4,521.9,520.2,525.2,529.6,536.6,543.6,547.8,559.4,562.5,577.9,584.4,591.5,595.6,601.6,607.7,612.8,616.6,623.5,634,645.3,653.2,662.6,667.9,674.6,672.8,667.9,658.2,694.5,706.1,720.8,733.3,737.2,745.5,744.6,766.4,780.7,801.7,815.4,822.9,837.4,849.4,864.7,872.1,874.2,897.4,914
"23","110","  Business current transfer payments","B029RC1",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.9,1,1.1,1.2,1.2,1.3,1.3,1.3,1.2,1.2,1.3,1.3,1.2,1.1,1,1,1,1,1.2,1.3,1.5,1.6,1.7,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.9,1.9,2,2,2,2.1,2.2,2.2,2.3,2.3,2.6,2.6,2.7,2.8,2.9,2.9,3.3,3.4,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.6,3.7,3.8,3.9,4.1,4.3,4.4,4.6,4.9,5,5,5,4.8,4.6,4.4,4.3,4.3,4.3,4.3,4.4,4.7,4.8,5,5.2,5.7,6.1,5.9,6.1,6.6,6.9,7.3,7.7,8.7,9.5,9.7,9.8,9.8,9.8,9.5,9,8.6,8.2,8.3,8.6,9.6,10.2,10.9,11.5,12.5,12.9,13.3,13.4,13.5,13.8,14.1,16.1,16.9,17.1,17.8,18.4,19.5,20.1,20.4,20.6,21,21.6,22.7,24.6,27.6,29.6,31.1,32.1,33.1,39,33.5,33.8,42.8,35.1,33.8,34.6,34.3,34.8,33.1,33.1,32.3,33,34.5,36.2,38.1,38.3,40.9,39.7,39.4,39.1,39.1,40,40.6,39.7,39.6,39.6,39.3,38.9,48,43.5,42.3,40.2,39.8,40.3,48.5,40.3,42,42.3,45.4,46.7,47.6,47.8,48,48.4,48.8,67,46.8,47.3,53.3,52.1,59.8,60.8,63.3,75.1,64.2,65.4,68.1,71.8,81.3,85,88.9,93.1,98.3,104.8,65.7,102.5,91.1,85.8,81.4,78.8,84.1,83.8,84.1,83.3,85.4,86.1,79.1,91.2,97.6,99.9,0.2,99.1,93.8,93.1
"24","120","  Current surplus of government enterprises \1\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.9,1,1.1,1,1,0.9,0.9,0.8,0.8,0.8,1,0.9,0.9,0.9,0.9,1.3,1.3,1.4,1.5,1.4,1.4,1.1,1.5,1.4,1.5,1.3,1.2,1.1,1.1,0.8,1,0.9,1.1,1,0.7,1.2,1.2,1.2,1.1,0.9,1,1,1.2,0.5,-0.3,-0.1,-0.2,-0.6,0,-0.3,-0.2,0,0.4,0.5,1,0.1,-0.3,-0.5,-0.8,-0.7,-0.2,-1.1,-1.8,-2.8,-3,-3.6,-3.6,-1.5,-1.8,-1.9,-2,-2.3,-2.5,-2.9,-2.9,-2.7,-2.1,-1.2,-1.4,-1.8,-2.3,-3,-3.5,-3.9,-4.4,-5.2,-5.8,-6,-4.3,-5.9,-3.6,-3.5,-3.7,-4.8,-4,-3.5,-3.1,-3.5,-2.4,-2.2,-2,-2.1,-1.3,-0.3,1.2,1.3,1,1.1,1.2,1.2,1.7,1.6,1.3,1,0.7,-0.4,3.3,3.4,3.8,4.7,5.2,5.3,4.5,3,1.5,1.1,0.7,3.4,6,6.2,7.1,7.4,7.7,8.2,7.2,6.2,7.8,7.3,7.6,7.6,9.2,8.9,8.6,11.8,11.3,11.3,11.3,12.1,12.3,12.9,13.3,12.6,13.3,12.5,12,10.7,10.8,10.6,9.2,11.2,10.5,10,8.6,7.9,7.1,4.2,2.2,1.7,-1.1,-2.9,-3.4,-1.6,-1.2,4,2.3,5.4,2.5,0.5,-1.5,-2.3,-3.6,-5.6,-8.6,-9.1,-11.3,-27.7,-13.3,-9.2,-9.4
