"","Table 5#7#9B# Implicit Price Deflators for Private Inventories b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","3","Mining, utilities, and construction","N238RD3",NA,NA,NA,92.722,94.879,90.501,91.007,93.476,88.577,88.724,86.828,86.056,84.859,88.047,91.436,92.648,92.42,96.719,101.254,108.409,114.863,104.654,95.263,91.963,92.26,97.956,97.676,102.761,114.041,112.504,110.756,109.679,116.085,120.858,122.5,128.172,129.681,134.4,144.613,162.533,150.009,143.636,144.564
"12","4","Manufacturing","N376RD3",NA,NA,NA,102.701,101.774,101.121,100.538,100.232,98.793,98.178,97.285,96.025,95.313,95.747,96.914,98.165,99.633,99.898,100.484,100.601,100.682,99.904,98.66,96.696,97.325,97.871,98.627,99.257,101.239,100.656,100.71,102.17,104.51,107.378,110.841,112.431,114.103,114.14,117.161,118.596,119.993,125.162,125.332
"13","5","  Durable goods industries","N377RD3",NA,NA,NA,104.985,104.438,103.538,102.768,102.33,101.071,100.401,99.389,98.073,97.481,97.748,98.401,99.302,100.239,99.79,100.287,99.644,99.633,98.926,98.382,97.503,98.203,98.333,98.281,98.154,99.055,98.864,98.868,99.67,102.471,104.972,108.218,109.277,110.085,109.263,110.501,111.721,113.688,118.579,120.057
"14","6","  Nondurable goods industries","N378RD3",NA,NA,NA,98.994,97.485,97.21,96.918,96.817,95.094,94.565,93.86,92.692,91.782,92.494,94.501,96.325,98.655,100.081,100.817,102.189,102.42,101.523,99.134,95.429,95.961,97.164,99.166,100.968,104.605,103.432,103.564,106.018,107.661,111.088,114.88,117.281,120.277,121.633,127.422,129.193,129.701,135.299,133.453
"15","7","Wholesale trade","N379RD3",NA,NA,NA,104.333,103.841,102.737,102.265,101.585,100.444,99.431,98.011,97.645,97.349,97.608,98.275,99.063,100.183,100.126,99.866,100.215,99.637,99.188,98.594,97.441,97.804,98.37,99.836,99.788,101.076,100.48,101.142,102.905,104.923,106.205,107.185,108.2,109.307,109.667,111.427,112.278,113.052,116.485,115.72
"16","8","  Durable goods industries","N380RD3",NA,NA,NA,108.373,107.656,106.769,105.993,105.14,103.879,102.717,101.484,100.672,100.084,99.901,99.97,100.442,100.437,100.225,99.705,99.166,98.314,98.082,97.628,97.073,97.079,97.437,97.539,97.458,97.665,97.726,98.064,99.012,101.03,102.268,103.919,104.775,104.928,104.487,105.078,105.825,106.87,109.33,109.716
"17","9","  Nondurable goods industries","N381RD3",NA,NA,NA,97.876,97.722,96.287,96.288,95.872,94.92,94.137,92.425,92.766,92.932,93.904,95.532,96.829,99.769,99.967,100.132,101.936,101.797,100.987,100.166,98.11,99.001,99.872,103.304,103.311,106.175,104.622,105.756,108.702,110.722,112.073,112.028,113.293,115.89,117.512,121.113,122.137,122.471,127.453,124.836
"18","10","Retail trade","N382RD3",NA,NA,NA,100.868,100.599,99.89,99.5,99.106,98.918,98.839,98.764,98.807,98.378,98.74,99.368,99.553,99.708,100.04,100.136,100.455,100.499,100.544,100.444,99.83,99.717,99.717,99.846,99.684,100.355,100.095,99.979,99.995,100.623,101.477,102.172,102.943,103.628,103.996,104.745,104.909,105.399,106.496,106.429
"19","11","  Motor vehicle and parts dealers","N864RD3",NA,NA,NA,100.339,99.953,99.017,98.316,97.713,97.771,97.977,98.533,98.857,97.943,98.581,99.528,99.674,99.32,100.009,100.206,101.024,100.63,100.475,100.459,99.683,99.021,98.822,98.491,97.608,98.368,97.599,96.542,95.401,95.746,96.372,97.181,97.979,97.943,98.318,98.748,97.666,98.143,98.522,97.489
"20","12","  Food and beverage stores","N239RD3",NA,NA,NA,96.708,96.965,96.409,96.75,96.586,96.686,96.825,97.374,98.077,97.876,98.33,99.284,98.812,99.293,100.174,100.41,100.973,102.654,103.308,103.838,103.343,104.068,103.099,103.279,103.367,104.516,105.626,107.316,108.889,109.572,111.329,111.09,111.765,113.171,113.506,113.448,114.67,113.712,114.876,116.735
"21","13","  General merchandise stores","N240RD3",NA,NA,NA,98.478,98.463,98.492,98.563,98.699,99.1,99.257,99.431,99.518,99.332,99.375,99.662,99.764,99.909,100.005,100.081,100.176,100.653,100.85,100.907,100.733,100.453,100.452,100.584,100.872,101.16,101.436,101.619,102.021,102.436,102.974,103.172,103.713,104.398,104.804,105.236,105.842,106.366,107.262,107.968
"22","14","  Other retail stores","N865RD3",NA,NA,NA,103.034,102.636,101.753,101.25,100.749,100.095,99.677,98.941,98.648,98.426,98.696,99.165,99.534,100.001,100.056,100.06,100.039,99.955,99.983,99.644,98.968,99.162,99.489,99.955,100.149,100.788,100.501,100.741,101.319,102.255,103.261,104.192,105.033,106.216,106.577,107.836,108.676,109.397,111.133,111.253
"23","15","Other industries","N385RD3",NA,NA,NA,99.287,98.861,98.385,98.527,98.626,98.07,97.691,97.43,96.703,96.215,96.688,97.35,98.204,99.444,99.734,100.092,100.557,100.915,100.97,100.004,98.888,98.142,98.357,98.609,99.22,100.682,100.2,100.412,100.393,100.389,101.096,101.719,102.842,103.638,104.568,106.06,106.444,106.386,108.34,109.023
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","16","  Private inventories","A371RD3",NA,NA,NA,102.625,102.479,101.525,101.016,100.515,99.259,98.378,97.178,96.525,96.266,96.633,97.538,98.498,99.769,99.889,99.988,101.004,101.336,100.661,99.416,97.944,98.278,98.732,99.566,100.424,101.923,101.549,102.519,103.406,105.226,107.054,108.011,109.126,110.381,110.624,112.835,114.369,115.022,117.64,118.047
"26","17","    Durable goods industries","N241RD3",NA,NA,NA,105.495,104.946,104.038,103.24,102.613,101.599,100.914,100.09,99.249,98.621,98.801,99.258,99.79,100.136,100.009,100.038,99.72,99.345,98.976,98.576,97.883,98.073,98.226,98.198,97.919,98.492,98.324,98.24,98.622,100.478,102.152,104.161,105.056,105.541,105.158,105.881,106.541,107.808,110.493,111.06
"27","18","    Nondurable goods industries","N242RD3",NA,NA,NA,100.073,100.267,99.275,99.014,98.62,97.157,96.105,94.579,94.091,94.157,94.69,95.992,97.336,99.439,99.783,99.946,102.186,103.159,102.202,100.2,98.045,98.504,99.216,100.796,102.645,104.962,104.408,106.309,107.642,109.431,111.397,111.407,112.722,114.673,115.486,119.046,121.377,121.467,124.02,124.281
"28","19","  Nonfarm industries","A373RD3",NA,NA,NA,102.035,101.532,100.652,100.239,99.929,98.879,98.356,97.575,96.964,96.438,96.904,97.826,98.622,99.549,99.881,100.211,100.687,100.805,100.118,99.12,97.782,98,98.555,99.222,99.597,101.289,100.783,100.889,101.76,103.441,105.162,106.813,108.11,109.241,109.715,111.833,113.248,113.548,116.264,116.183
"29","20","  Wholesale trade","N379RD3",NA,NA,NA,104.333,103.841,102.737,102.265,101.585,100.444,99.431,98.011,97.645,97.349,97.608,98.275,99.063,100.183,100.126,99.866,100.215,99.637,99.188,98.594,97.441,97.804,98.37,99.836,99.788,101.076,100.48,101.142,102.905,104.923,106.205,107.185,108.2,109.307,109.667,111.427,112.278,113.052,116.485,115.72
"30","21","    Merchant wholesale trade","N802RD3",NA,NA,NA,104.571,104.286,103.329,102.818,102.191,101.225,100.223,98.784,98.49,98.099,98.171,98.663,99.288,100.23,100.144,99.778,100.129,99.69,99.271,98.805,97.941,98.17,98.672,100.125,99.926,100.854,100.653,101.281,102.973,104.97,106.046,106.711,107.563,108.503,108.688,109.814,110.761,111.585,114.482,114.282
"31","22","      Durable goods industries","N803RD3",NA,NA,NA,108.063,107.399,106.555,105.818,104.999,103.769,102.626,101.402,100.596,100.017,99.843,99.937,100.438,100.443,100.232,99.707,99.163,98.327,98.085,97.646,97.102,97.114,97.5,97.613,97.543,97.758,97.826,98.171,99.152,101.214,102.455,104.147,105.013,105.15,104.69,105.297,106.067,107.126,109.629,110.019
"32","23","      Nondurable goods industries","N804RD3",NA,NA,NA,98.832,99.142,98.008,97.86,97.542,96.996,96.221,94.435,94.975,94.897,95.377,96.531,97.362,99.87,99.992,99.896,101.759,101.977,101.256,100.737,99.374,99.933,100.611,104.025,103.645,105.63,105.03,106.08,108.819,110.73,111.563,110.619,111.461,113.688,114.917,116.886,118.131,118.562,122.103,120.917
"33","24","    Nonmerchant wholesale trade","N805RD3",NA,NA,NA,102.752,101.095,99.166,98.91,97.92,95.781,94.7,93.39,92.606,92.872,94.246,95.947,97.714,99.902,100.022,100.4,100.729,99.325,98.7,97.329,94.402,95.591,96.557,98.094,98.991,102.554,99.452,100.329,102.553,104.71,107.305,110.309,112.39,114.616,116.152,122.16,122.378,122.809,129.926,125.228
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Implicit price deflators are as of the end of the quarter and are consistent with inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","stocks.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
