"","Table 2B# Real Gross Domestic Product, Quantity Indexes         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"11","20","  Total","B002RA3",9.814,9.29,9.005,8.206,8.028,8.595,9.123,10.046,10.417,10.249,10.819,11.382,12.195,11.917,12.258,12.615,13.395,15.03,15.307,15.646,16.077,17.105,17.378,17.928,18.78,19.162,20.558,21.151,21.674,21.846,23.067,23.702,24.191,25.389,26.436,28.02,29.791,31.484,32.422,34.284,35.558,36.381,37.77,40.082,42.048,41.729,42.688,45.041,46.95,49.012,50.204,50.065,50.779,51.493,54.436,57.325,60.303,62.749,64.84,67.468,69.369,70.782,70.903,73.224,75.672,78.504,80.623,83.382,86.533,90.896,95.537,100,102.537,105.34,108.249,112.43,116.349
"12","30","  Durable goods","B003RA3",4.153,3.423,2.926,2.193,2.151,2.485,3.034,3.723,3.923,3.204,3.807,4.387,5.09,3.101,2.713,2.48,2.798,5.319,6.355,6.774,7.327,8.942,8.147,7.929,8.91,8.876,10.845,10.407,10.501,9.656,10.822,11.041,10.622,11.865,13.017,14.222,16.025,17.377,17.648,19.594,20.289,19.631,21.593,24.336,26.849,25.001,24.996,28.187,30.809,32.435,32.325,29.788,30.149,30.128,34.535,39.577,43.577,47.785,48.616,51.549,52.686,52.532,49.564,52.47,56.577,61.321,64.011,69.025,74.935,83.432,93.192,100,104.327,111.752,118.214,125.753,132.666
"13","40","  Nondurable goods","B004RA3",15.102,14.394,14.323,13.153,12.956,14.066,14.907,16.655,17.251,17.492,18.397,19.218,20.512,20.867,21.559,22.413,24.02,25.331,24.643,24.726,25.108,25.892,26.572,27.627,28.494,28.853,30.25,31.281,31.857,32.164,33.491,33.994,34.621,35.71,36.463,38.248,40.277,42.487,43.157,45.126,46.326,47.436,48.294,50.422,52.068,51.02,51.771,54.301,55.609,57.687,59.226,59.137,59.839,60.409,62.417,64.898,66.665,69.06,70.715,73.016,75.044,76.209,76.033,77.553,79.619,82.369,84.152,86.3,88.605,92.154,96.374,100,102.027,104.614,108.002,111.913,116.924
"14","50","  Services","B005RA3",8.399,8.19,7.93,7.431,7.213,7.488,7.721,8.104,8.38,8.289,8.541,8.848,9.296,9.716,10.252,10.598,10.947,11.947,12.451,12.927,13.26,13.925,14.639,15.283,15.933,16.578,17.448,18.323,19.03,19.752,20.794,21.72,22.626,23.747,24.83,26.345,27.749,29.129,30.552,32.148,33.691,35.038,36.4,38.469,40.274,41.216,42.743,44.475,46.392,48.558,50.044,50.921,51.773,52.865,55.76,58.026,61.303,63.111,65.843,68.506,70.555,72.583,73.812,76.379,78.54,80.854,82.973,85.42,88.27,92.011,95.652,100,102.403,104.366,106.363,110.055,112.925
"15",NA,"Gross private domestic investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","60","  Total","B006RA3",5.259,3.508,2.204,0.665,0.981,1.771,3.279,4.203,5.249,3.469,4.461,6.215,7.59,4.011,2.368,2.926,3.863,9.914,9.525,12.168,9.29,13.118,13.156,11.896,12.457,11.878,14.764,14.562,13.929,12.776,15.367,15.362,15.261,17.197,18.351,19.863,22.65,24.644,23.517,24.887,26.338,24.608,27.413,30.658,34.249,31.729,26.111,31.387,36.13,40.486,41.776,37.182,40.615,34.918,38.172,49.42,48.963,48.629,50.13,51.309,53.369,51.574,47.378,51.223,55.795,63.358,65.34,71.123,79.961,87.821,94.647,100,92.103,89.724,92.949,102.026,107.537
"17",NA,"  Fixed investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","70","    Total","B007RA3",7.12,5.456,3.784,2.202,1.946,2.516,3.26,4.34,5.088,4.031,4.838,5.812,6.632,3.743,2.889,3.547,4.856,8.971,10.792,11.885,10.865,12.976,12.429,12.195,13.048,13.251,14.977,15.034,14.872,13.806,15.736,15.87,15.82,17.248,18.584,20.378,22.459,23.745,23.306,24.935,26.486,25.931,27.894,31.246,34.101,31.971,28.541,31.356,35.863,40.205,42.473,39.708,40.591,37.737,40.491,47.331,49.823,50.403,50.682,52.352,53.928,52.803,49.379,52.312,56.788,62.079,66.09,72.018,78.657,86.657,93.884,100,97.047,91.997,95.11,102.08,109.708
"19",NA,"    Nonresidential"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","80","      Total","B008RA3",5.742,4.732,3.1,1.857,1.676,2.134,2.703,3.654,4.377,3.209,3.581,4.433,5.219,3.072,2.568,3.41,4.791,7.065,8.222,8.652,7.858,8.581,8.977,8.803,9.595,9.389,10.43,11.025,11.193,9.964,10.76,11.371,11.299,12.284,12.966,14.504,17.031,19.16,18.9,19.746,21.246,21.134,21.135,23.072,26.429,26.653,24.022,25.2,28.045,32.243,35.489,35.388,37.398,35.981,35.518,41.788,44.561,43.287,43.259,45.52,48.063,48.302,45.712,47.179,51.287,55.999,61.885,67.661,75.82,84.232,91.98,100,95.817,86.969,87.804,92.995,99.326
"21","90","      Structures","B009RA3",27.415,23.456,15.098,9.257,7.193,8.101,8.978,11.773,14.932,11.942,12.599,14.312,16.994,10.506,7.635,9.998,13.48,26.624,24.223,25.483,24.638,26.406,28.421,28.313,30.831,31.886,34.176,37.76,37.743,35.68,36.53,39.433,39.966,41.775,42.239,46.626,54.058,57.751,56.284,57.102,60.189,60.364,59.37,61.201,66.2,64.785,57.984,59.39,61.841,70.769,79.731,84.35,91.074,89.528,79.865,91.016,97.502,86.817,84.34,84.885,86.583,87.867,78.091,73.423,72.891,74.18,78.903,83.354,89.432,94.019,93.619,100,97.737,81.029,77.735,79.418,80.302
"22","100","      Equipment and software","B010RA3",2.597,2.059,1.374,0.805,0.824,1.139,1.552,2.129,2.475,1.723,1.989,2.577,3.022,1.733,1.557,2.082,2.982,3.718,5.055,5.32,4.663,5.147,5.297,5.144,5.611,5.296,6.022,6.182,6.343,5.418,6.065,6.322,6.2,6.917,7.5,8.457,10.007,11.609,11.532,12.25,13.334,13.201,13.332,15.052,17.812,18.268,16.529,17.562,20.208,23.284,25.318,24.407,25.445,24.122,25.42,30.462,32.397,33.011,33.463,35.987,38.624,38.636,37.643,40.387,45.428,50.846,56.93,62.981,71.641,81.137,91.437,100,95.136,89.265,91.747,98.4,107.18
"23","110","    Residential","B011RA3",13.092,7.958,6.656,3.515,2.871,3.931,5.499,6.964,7.573,7.614,10.786,12.164,12.925,6.538,3.884,3.345,3.933,16.564,21.348,25.543,23.613,32.308,27.046,26.562,27.502,29.782,34.607,31.79,29.846,30.159,37.82,35.129,35.227,38.604,43.154,45.662,44.329,40.362,39.092,44.421,45.733,42.998,54.789,64.526,64.112,50.877,44.271,54.698,66.44,70.623,68.032,53.636,49.336,40.378,57.093,65.566,66.604,74.776,76.269,75.496,73.204,66.887,60.46,68.825,74.446,81.621,79.005,85.331,86.947,93.597,99.254,100,100.357,105.149,113.977,125.281,136.05
"24",NA,"Exports and imports of goods and services"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","120","  Exports","B020RA3",3.185,2.632,2.188,1.714,1.725,1.917,2.021,2.123,2.675,2.646,2.793,3.177,3.258,2.152,1.814,1.948,2.729,5.895,6.721,5.294,5.244,4.592,5.627,5.384,5.023,5.266,5.829,6.791,7.383,6.385,7.043,8.266,8.309,8.729,9.353,10.454,10.747,11.492,11.757,12.681,13.294,14.723,14.973,16.096,19.131,20.643,20.512,21.408,21.923,24.234,26.637,29.506,29.868,27.586,26.875,29.068,29.951,32.259,35.742,41.469,46.233,50.394,53.736,57.439,59.291,64.447,70.982,76.93,86.082,88.164,91.969,100,94.565,92.43,93.599,102.201,109.105
"26","130","  Imports","B021RA3",3.002,2.611,2.278,1.89,1.969,2.012,2.636,2.605,2.932,2.279,2.393,2.451,3.014,2.736,3.45,3.611,3.839,3.182,3.021,3.525,3.401,4.02,4.178,4.545,4.972,4.727,5.297,5.727,5.967,6.251,6.908,7,6.953,7.742,7.951,8.374,9.265,10.642,11.417,13.118,13.866,14.457,15.229,16.943,17.729,17.327,15.402,18.413,20.426,22.196,22.565,21.066,21.62,21.348,24.041,29.893,31.833,34.561,36.602,38.039,39.706,41.139,40.905,43.748,47.576,53.256,57.539,62.544,71.037,79.299,88.391,100,97.291,100.601,104.693,115.962,123.007
"27",NA,"Government consumption expenditures and gross investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","140","  Total","B822RA3",7.005,7.719,8.042,7.774,7.503,8.463,8.694,10.147,9.718,10.465,11.387,11.707,19.465,45.806,68.151,76.701,66.969,23.046,19.584,21.01,23.518,23.542,32.15,38.7,41.466,38.631,37.213,37.235,38.89,40.133,41.489,41.553,43.639,46.329,47.522,48.563,50.028,54.43,58.604,60.436,60.29,58.833,57.553,57.128,56.926,58.36,59.675,59.94,60.598,62.383,63.549,64.79,65.381,66.53,68.964,71.273,76.24,80.885,82.873,83.94,86.11,88.869,89.872,90.342,89.513,89.525,90.015,90.896,92.588,94.354,97.987,100,103.412,107.969,110.644,112.72,113.731
"29","150","  Federal","B823RA3",3.562,3.945,4.084,4.174,5.162,6.925,7.046,10.638,9.579,10.58,11.345,12.701,33.52,102.955,162.866,185.91,159.7,42.998,31.776,34.286,37.627,35.565,59.001,76.755,82.937,72.04,65.507,64.343,66.624,66.579,68.666,66.779,69.564,75.492,75.54,74.53,74.508,82.737,90.96,91.681,88.525,81.997,75.686,72.574,69.519,70.134,70.36,70.388,71.88,73.681,75.465,79.043,82.818,86.018,91.726,94.55,101.957,107.754,111.674,109.898,111.594,113.873,113.679,111.713,107.056,103.05,100.254,99.091,98.066,96.97,99.122,100,103.908,111.169,118.712,123.813,125.701
"30","160","  State and local","B829RA3",11.386,12.534,13.077,12.466,11.142,11.714,12.088,12.158,12.157,12.868,14.145,13.679,12.81,11.618,10.557,10.183,10.534,11.584,13.197,14.036,16.173,17.499,17.635,17.927,18.816,20.461,21.936,22.645,23.986,26.022,26.999,28.182,29.918,30.839,32.696,34.913,37.252,39.59,41.589,44.048,45.534,46.797,48.232,49.291,50.694,52.603,54.536,54.937,55.137,56.938,57.775,57.736,56.577,56.607,57.268,59.322,63.003,67.064,68.041,70.582,72.994,75.991,77.6,79.318,80.459,82.543,84.728,86.668,89.77,93.014,97.409,100,103.162,106.354,106.557,107.094,107.66
"31","170","Final sales of domestic product","B190RA3",8.96,8.348,7.862,6.971,6.76,7.399,7.86,8.896,9.268,9.135,9.809,10.476,12.162,14.705,17.352,18.764,18.611,16.048,16.377,16.681,17.076,18.071,19.358,20.388,21.389,21.439,22.634,23.144,23.738,23.554,25.026,25.683,26.298,27.75,28.998,30.735,32.517,34.474,35.527,37.296,38.458,38.806,39.889,41.992,44.218,44.112,44.593,46.333,48.375,51.038,52.879,53.242,53.943,53.618,55.878,58.8,61.904,64.257,66.157,68.998,71.331,72.829,72.896,75.11,77.069,79.687,82.068,85.103,88.485,92.184,96.348,100,101.644,102.828,105.375,109.096,112.958
"32","180","Gross national product","B001RA3",8.854,8.095,7.566,6.579,6.488,7.181,7.824,8.83,9.293,8.976,9.699,10.537,12.348,14.624,17.012,18.391,18.178,16.194,16.067,16.782,16.685,18.143,19.566,20.314,21.234,21.098,22.611,23.063,23.531,23.283,24.933,25.562,26.17,27.769,28.99,30.678,32.643,34.738,35.614,37.338,38.474,38.537,39.852,41.967,44.477,44.314,44.12,46.523,48.705,51.384,53.167,53.04,54.279,53.265,55.627,59.551,61.825,63.826,65.959,68.743,71.18,72.598,72.411,74.796,76.793,79.792,81.878,84.876,88.652,92.216,96.437,100,100.788,102.264,105.067,109.039,112.399
