"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of chained (2000) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1990 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 28, 2006 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/27/2006 11:42:15 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","      Government consumption expenditures \1\","A955RX1",1277.2,1293.6,1299.4,1295.5,1299.2,1301.9,1306.7,1329.9,1351.2,1393.1,1417.1,1461,1523.4,1568.8,1602.1,1626.6
"9","2","        Gross output of general government","W101RX1",1456.8,1479.4,1491.1,1493.8,1505.7,1512.2,1520.9,1549.1,1580.2,1625.8,1662.4,1721.7,1791.5,1842.5,1885.9,1923.9
"10","3","          Value added","W102RX1",1003.9,1014.3,1017.7,1019.8,1019.9,1020.6,1022.1,1030,1041,1051.4,1069.6,1089.3,1110.4,1126.3,1135.7,1146.9
"11","4","            Compensation of general government employees","A194RX1",874.8,879.1,877.6,876.2,873.9,872.4,871.5,876.3,883.8,889.7,903.2,918.4,935.1,947.4,953,959.9
"12","5","            Consumption of general government fixed capital \2\","A265RX1",132,137.3,141.5,144.7,146.8,148.7,151,153.9,157.3,161.7,166.4,170.9,175.4,179,183.2,187.9
"13","6","          Intermediate goods and services purchased \3\","W104RX1",454.7,466.3,474.4,474.9,486.4,492.1,499.1,519.1,539.1,574.4,592.8,632.6,682.1,718.1,753.1,780.6
"14","7","            Durable goods","W105RX1",47.7,46.7,44,41.8,38.7,37.6,38.1,39.4,40.8,43.1,44.1,45.7,47.1,49,52.6,54.8
"15","8","            Nondurable goods","W106RX1",95.7,100.2,103.7,107,110.7,113.5,116.6,122.1,130.5,138,145.3,155.5,165.3,167.4,172.3,177.4
"16","9","            Services","W107RX1",308.6,317,324.9,324.8,336.4,340.7,344.2,357.4,367.7,393.1,403.4,431.4,469.4,501.1,527.6,547.8
"17","10","        Less: Own-account investment \4\","W108RX1",16.7,17.3,17.2,17,16.7,16.8,16.7,17.6,17.9,18,18.1,20.2,20.3,19.7,19.6,20.5
"18","11","              Sales to other sectors","W109RX1",162.4,168.2,174.6,181.5,190,193.7,197.6,201.6,211.2,214.7,227.2,240.5,247.9,254,264.1,276.5
"19","12","Federal consumption expenditures \1\","A957RX1",562.5,564.1,552.2,533.5,517.9,502.9,493.4,494.6,484.7,492.8,499.3,519.8,554,593.4,622.1,634.9
"20","13","      Gross output of general government","W110RX1",577.1,579.5,566.9,546.9,533.5,515.4,506,504.6,495.2,501.5,509.2,528.7,562.7,602.4,631.2,646.1
"21","14","        Value added","W111RX1",371.6,373.8,366,358.9,347.2,334.1,325,318.8,315.2,312.7,315.4,317,323.3,331.8,334.9,336.8
"22","15","          Compensation of general government employees","B568RX1",299.4,298.4,288,279.6,267.4,254.2,244.9,238.8,235.1,231.8,233.8,234.7,240.3,247.8,249.6,250
"23","16","          Consumption of general government fixed capital \2\","B995RX1",76,78.6,80.3,81.1,81,80.5,80.3,80.2,80.2,80.8,81.6,82.3,83,83.8,85.2,86.9
"24","17","        Intermediate goods and services purchased \3\","W113RX1",205.6,205.8,201.1,188.8,186.8,181.7,181.3,185.8,180.1,188.9,193.8,211.8,240,272.1,299.1,312.9
"25","18","          Durable goods","W114RX1",35.4,33.9,30.8,28.1,24.4,22.3,22.4,22.5,22.8,24.1,24,24.4,25.6,27.5,30.9,32.6
"26","19","          Nondurable goods","W115RX1",19.1,19.9,19.8,19.3,17.8,16.3,16.7,17.7,18,17,18.9,20.9,24.4,26.4,29.3,31.4
"27","20","          Services","W116RX1",150,151.1,150,141,144.6,143,142.3,145.7,139.4,147.7,150.9,166.4,189.9,217.9,238.7,248.8
"28","21","      Less: Own-account investment \4\","W117RX1",5.4,5.6,5.6,5.4,5,4.9,4.6,4.4,4.4,4,3.2,4,4.1,3.9,3.8,4
"29","22","            Sales to other sectors","W118RX1",9.2,9.9,9.2,8.2,10.6,7.5,8,5.5,6.1,4.8,6.6,4.9,4.6,5,5.4,7.3
"30","23","    Defense consumption expenditures \1\","A997RX1",404.9,404.4,383.5,367.2,350.6,338.1,332.2,328.1,319.8,324.6,321.5,334.1,356.7,388.5,413.3,424.1
"31","24","      Gross output of general government","W085RX1",409.5,408.9,388.5,372.3,357.6,342.4,336.8,331.9,323.1,327.7,324.6,337.5,360.6,392.5,417.1,428.4
"32","25","        Value added","W086RX1",259.4,260.8,250.9,243.5,234.1,224.3,216.7,210.3,204.6,200.6,199.2,200.1,203.8,209.6,213.4,215.1
"33","26","          Compensation of general government employees","B237RX1",199.2,198.5,186.9,178.8,169.6,160.3,153.5,148,143.3,139.9,138.9,139.9,143.7,148.8,151.5,152
"34","27","          Consumption of general government fixed capital \2\","B432RX1",62.6,64.4,65.5,65.8,65.2,64.3,63.3,62.4,61.3,60.7,60.2,60.1,60.1,60.5,61.6,63
"35","28","        Intermediate goods and services purchased \3\","W087RX1",149.8,148,137.7,129.1,123.9,118.5,120.3,121.7,118.6,127.2,125.4,137.4,157.2,184.4,206.2,216.4
"36","29","          Durable goods","A998RX1",34.4,32.9,29.6,26.9,23.1,21,20.8,20.9,21.1,22.4,22.3,22.5,23.3,25.2,28.2,29.6
"37","30","          Nondurable goods","A725RX1",12,12.2,11.3,10.4,9.4,7.7,8.6,8.6,8.9,9.9,10.4,10.9,13.1,14.2,16.3,17.5
"38","31","          Services","A489RX1",102.2,102,96.1,91.3,91.1,89.5,90.7,92,88.4,94.8,92.7,104,120.7,144.5,161.3,168.9
"39","32","      Less: Own-account investment \4\","W088RX1",2,2.2,2.1,2.1,1.9,1.8,1.7,1.6,1.5,1.4,1.1,1.4,1.9,1.9,1.7,1.8
"40","33","            Sales to other sectors","W089RX1",2.7,2.4,2.9,3.1,5.2,2.5,2.9,2.2,1.8,1.8,1.9,1.9,2,2.1,2.1,2.6
"41","34","    Nondefense consumption expenditures \1\","A542RX1",156.5,158.4,168.2,166,167.3,164.7,161.1,166.6,164.8,168.1,177.8,185.8,197.3,204.8,208.6,210.6
"42","35","      Gross output of general government","W128RX1",166.3,169.4,177.9,174.4,175.8,172.9,169.1,172.7,172.1,173.8,184.6,191.3,202.1,209.7,213.9,217.5
"43","36","        Value added","W129RX1",111.1,112,114.5,115.1,112.9,109.7,108.1,108.5,110.6,112.1,116.2,117,119.5,122.2,121.5,121.6
"44","37","          Compensation of general government employees","W130RX1",99.1,98.8,100.6,100.5,97.7,93.8,91.3,90.7,91.8,92,94.8,94.8,96.6,99,98,97.8
"45","38","          Consumption of general government fixed capital \2\","B546RX1",13.5,14.3,14.9,15.4,15.8,16.3,17,17.9,18.8,20.2,21.4,22.2,22.9,23.3,23.6,24
"46","39","        Intermediate goods and services purchased \3\","W131RX1",56,58,63.4,59.7,63,63.2,61,64.1,61.5,61.7,68.4,74.3,82.8,87.7,92.9,96.5
"47","40","          Durable goods","A543RX1",1.2,1.3,1.4,1.3,1.3,1.4,1.5,1.6,1.6,1.6,1.8,2,2.3,2.3,2.6,3
"48","41","          Nondurable goods","A729RX1",7.7,7.6,8.7,9,8.6,8.6,8.2,9,9,7.2,8.5,9.9,11.2,12,12.9,13.6
"49","42","            Commodity Credit Corporation inventory change","B826RX1",-1.1,0.2,-0.4,-0.1,-0.3,-0.1,-0.1,0,0.2,0.1,0.8,0.8,0.1,-0.2,-1,-0.8
"50","43","            Other nondurable goods","B828RX1",8.7,7.4,9.1,9.1,8.8,8.7,8.3,9,8.8,7.1,7.7,9.1,11.1,12.2,13.9,14.4
"51","44","          Services","A544RX1",47.9,49.3,53.9,49.8,53.5,53.5,51.5,53.7,51,52.9,58.1,62.4,69.2,73.3,77.2,79.6
"52","45","      Less: Own-account investment \4\","W136RX1",3.4,3.4,3.4,3.3,3.1,3.1,3,2.8,2.9,2.6,2.1,2.5,2.2,2,2,2.2
"53","46","            Sales to other sectors","W137RX1",6.4,7.5,6.2,5,5.3,5,5,3.3,4.4,3.1,4.7,3,2.6,2.9,3.2,4.7
"54","47","State and local consumption expenditures \1\","A991RX1",714.2,729,746.5,761.4,780.6,798.4,812.8,834.9,866.4,900.3,917.8,941.2,969.4,975.2,979.5,991.1
"55","48","      Gross output of general government","W138RX1",879.2,899.4,923.8,946.4,971.8,996.4,1014.5,1044.2,1084.9,1124.3,1153.2,1193,1228.8,1239.9,1254.3,1277.3
"56","49","        Value added","W139RX1",633.6,641.7,652.6,661.6,673.1,686.5,697.2,711.2,725.8,738.7,754.2,772.3,787.1,794.4,800.7,810.1
"57","50","          Compensation of general government employees","B251RX1",579.1,584.2,592.4,598.8,608,618.8,626.9,637.7,648.8,657.9,669.4,683.7,694.8,699.4,703.1,709.8
"58","51","          Consumption of general government fixed capital \2\","B986RX1",55.7,58.4,61,63.3,65.6,68.1,70.6,73.6,77.1,80.9,84.8,88.6,92.4,95.2,98,100.9
"59","52","        Intermediate goods and services purchased \3\","W140RX1",246.7,258.3,271.5,285,298.8,309.9,317.4,332.9,358.9,385.5,399,420.8,442.1,446,454.1,467.9
"60","53","          Durable goods","B989RX1",12.5,12.9,13.3,13.7,14.3,15.3,15.7,16.8,18.1,19.1,20.1,21.2,21.5,21.5,21.8,22.3
"61","54","          Nondurable goods","B337RX1",76.7,80.4,84.1,87.9,93,97.2,99.9,104.5,112.5,121,126.4,134.6,141,141.2,143.3,146.5
