"","Table 2#8#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1995","1995","1995","1995","1995","1995","1995","1995","1995","1995","1995","1995","1996","1996","1996","1996","1996","1996","1996","1996","1996","1996","1996","1996","1997","1997","1997","1997","1997","1997","1997","1997","1997","1997","1997","1997","1998","1998","1998","1998","1998","1998","1998","1998","1998","1998","1998","1998","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2001","2001","2001","2001","2001","2001","2001","2001","2001","2001","2001","2001","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002","2003","2003","2003","2003","2003","2003","2003","2003","2003","2003","2003","2003","2004","2004","2004","2004","2004","2004","2004","2004","2004","2004","2004","2004","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2007","2007","2007","2007","2007","2007","2007","2007","2007","2007","2007","2007","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2009","2009","2009","2009","2009","2009","2009","2009","2009","2009","2009","2009","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2011","2011","2011","2011","2011","2011","2011","2011","2011"
"19",NA,NA,NA,"1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9"
"20","1","    Personal consumption expenditures (PCE)","DPCERX1","6,000,388.0","5,987,140.0","6,017,150.0","6,006,336.0","6,048,991.0","6,096,990.0","6,080,262.0","6,109,929.0","6,124,374.0","6,101,076.0","6,151,760.0","6,190,500.0","6,162,186.0","6,209,410.0","6,240,495.0","6,265,526.0","6,274,587.0","6,282,509.0","6,294,778.0","6,316,102.0","6,324,429.0","6,344,195.0","6,360,806.0","6,384,512.0","6,413,974.0","6,426,159.0","6,441,634.0","6,440,396.0","6,444,048.0","6,475,483.0","6,536,362.0","6,576,173.0","6,576,530.0","6,608,652.0","6,634,549.0","6,671,154.0","6,665,630.0","6,708,666.0","6,738,130.0","6,772,428.0","6,820,681.0","6,865,240.0","6,870,264.0","6,903,006.0","6,956,531.0","6,983,817.0","7,004,137.0","7,059,641.0","7,049,998.0","7,085,130.0","7,120,178.0","7,163,003.0","7,197,044.0","7,229,718.0","7,245,589.0","7,284,845.0","7,318,802.0","7,331,534.0","7,366,394.0","7,459,535.0","7,435,560.0","7,507,424.0","7,550,537.0","7,539,727.0","7,574,771.0","7,590,494.0","7,596,824.0","7,635,242.0","7,695,125.0","7,692,393.0","7,698,563.0","7,739,131.0","7,737,105.0","7,746,510.0","7,738,705.0","7,746,093.0","7,780,601.0","7,783,317.0","7,800,212.0","7,844,825.0","7,767,467.0","7,954,727.0","7,917,948.0","7,906,469.0","7,933,648.0","7,965,502.0","7,961,946.0","8,000,473.0","7,970,914.0","8,010,964.0","8,055,768.0","8,065,198.0","8,023,988.0","8,046,830.0","8,066,323.0","8,117,497.0","8,129,817.0","8,096,066.0","8,127,240.0","8,170,534.0","8,194,252.0","8,229,641.0","8,272,160.0","8,343,158.0","8,310,171.0","8,324,520.0","8,364,581.0","8,371,852.0","8,413,775.0","8,424,432.0","8,444,718.0","8,446,842.0","8,493,134.0","8,455,200.0","8,508,413.0","8,523,312.0","8,585,578.0","8,602,997.0","8,617,509.0","8,673,394.0","8,676,301.0","8,699,962.0","8,724,017.0","8,781,791.0","8,743,502.0","8,833,287.0","8,886,755.0","8,854,904.0","8,817,033.0","8,833,754.0","8,878,384.0","8,912,611.0","8,945,109.0","8,966,059.0","8,986,177.0","9,012,430.0","9,017,108.0","9,029,952.0","9,077,251.0","9,052,624.0","9,091,795.0","9,134,881.0","9,143,595.0","9,196,464.0","9,204,556.0","9,208,980.0","9,214,097.0","9,236,741.0","9,249,888.0","9,247,007.0","9,261,816.0","9,292,992.0","9,300,899.0","9,296,088.0","9,313,919.0","9,327,769.0","9,310,617.0","9,273,148.0","9,283,457.0","9,289,262.0","9,287,605.0","9,280,472.0","9,226,368.0","9,209,754.0","9,151,769.0","9,107,468.0","9,084,540.0","9,036,110.0","9,071,523.0","9,042,597.0","9,008,533.0","8,993,074.0","9,002,402.0","9,000,147.0","9,023,470.0","9,104,668.0","9,022,742.0","9,044,642.0","9,044,684.0","9,091,206.0","9,086,767.0","9,119,104.0","9,157,709.0","9,164,698.0","9,192,375.0","9,203,674.0","9,216,755.0","9,254,409.0","9,270,098.0","9,305,502.0","9,334,406.0","9,345,257.0","9,348,608.0","9,382,121.0","9,399,489.0","9,394,208.0","9,395,664.0","9,388,359.0","9,437,262.0","9,433,483.0","9,477,805.0"
"21","2","Goods","DGDSRX1","1,879,625.0","1,855,952.0","1,876,266.0","1,858,959.0","1,882,334.0","1,908,403.0","1,894,026.0","1,902,799.0","1,921,307.0","1,897,042.0","1,925,052.0","1,950,040.0","1,917,652.0","1,943,180.0","1,957,529.0","1,975,206.0","1,978,267.0","1,978,342.0","1,982,166.0","1,995,634.0","1,996,177.0","2,011,103.0","2,015,770.0","2,019,560.0","2,031,260.0","2,039,249.0","2,057,477.0","2,036,970.0","2,029,912.0","2,056,422.0","2,082,668.0","2,105,411.0","2,095,380.0","2,101,157.0","2,132,570.0","2,135,542.0","2,129,209.0","2,140,730.0","2,148,832.0","2,176,360.0","2,202,052.0","2,209,071.0","2,209,759.0","2,225,888.0","2,252,369.0","2,277,995.0","2,289,964.0","2,324,283.0","2,302,104.0","2,331,699.0","2,343,955.0","2,359,405.0","2,384,949.0","2,398,514.0","2,391,163.0","2,411,485.0","2,426,238.0","2,421,085.0","2,434,412.0","2,499,131.0","2,459,503.0","2,496,550.0","2,510,814.0","2,496,158.0","2,509,352.0","2,502,313.0","2,502,102.0","2,524,757.0","2,561,110.0","2,552,950.0","2,542,828.0","2,559,907.0","2,554,530.0","2,570,851.0","2,550,326.0","2,551,629.0","2,572,427.0","2,573,735.0","2,582,691.0","2,609,740.0","2,563,246.0","2,713,595.0","2,680,624.0","2,644,118.0","2,662,805.0","2,682,666.0","2,676,836.0","2,700,039.0","2,662,410.0","2,698,083.0","2,725,796.0","2,742,201.0","2,696,173.0","2,701,672.0","2,722,969.0","2,762,595.0","2,754,023.0","2,730,441.0","2,758,065.0","2,779,480.0","2,793,267.0","2,821,844.0","2,843,351.0","2,901,640.0","2,873,069.0","2,874,395.0","2,903,549.0","2,893,376.0","2,913,026.0","2,910,705.0","2,938,079.0","2,918,528.0","2,957,181.0","2,905,706.0","2,945,949.0","2,951,949.0","2,991,034.0","2,989,292.0","2,990,269.0","3,027,590.0","3,030,863.0","3,037,985.0","3,037,261.0","3,089,821.0","3,036,757.0","3,105,130.0","3,144,928.0","3,100,245.0","3,057,600.0","3,074,310.0","3,093,093.0","3,112,725.0","3,153,294.0","3,143,813.0","3,143,247.0","3,163,777.0","3,147,649.0","3,161,776.0","3,191,938.0","3,168,056.0","3,193,383.0","3,213,428.0","3,212,341.0","3,254,349.0","3,251,505.0","3,242,449.0","3,248,974.0","3,253,023.0","3,274,867.0","3,261,178.0","3,277,412.0","3,278,522.0","3,306,074.0","3,298,482.0","3,292,124.0","3,296,840.0","3,269,831.0","3,226,731.0","3,250,406.0","3,251,773.0","3,254,899.0","3,251,358.0","3,208,108.0","3,212,199.0","3,143,524.0","3,103,244.0","3,090,100.0","3,052,595.0","3,096,838.0","3,090,475.0","3,060,439.0","3,049,201.0","3,071,147.0","3,072,653.0","3,096,233.0","3,174,822.0","3,091,089.0","3,105,938.0","3,125,634.0","3,142,121.0","3,145,163.0","3,168,173.0","3,206,586.0","3,197,993.0","3,200,950.0","3,209,650.0","3,214,349.0","3,244,548.0","3,263,543.0","3,296,900.0","3,310,059.0","3,311,056.0","3,327,004.0","3,355,275.0","3,350,952.0","3,348,042.0","3,328,354.0","3,317,313.0","3,338,631.0","3,326,250.0","3,364,398.0"
"22","3","  Durable goods","DDURRX1","499,492.0","491,077.0","501,408.0","489,974.0","500,897.0","516,279.0","507,214.0","518,344.0","524,136.0","513,630.0","524,983.0","538,000.0","519,741.0","534,343.0","539,648.0","548,922.0","551,830.0","543,684.0","546,537.0","553,829.0","555,711.0","560,090.0","564,520.0","563,810.0","576,706.0","574,886.0","582,573.0","575,428.0","571,090.0","582,052.0","594,746.0","610,377.0","600,520.0","604,507.0","620,673.0","626,537.0","616,873.0","624,305.0","626,054.0","640,530.0","662,575.0","659,337.0","657,350.0","672,996.0","688,753.0","705,796.0","706,262.0","726,890.0","701,867.0","718,370.0","724,000.0","735,361.0","749,580.0","762,419.0","760,817.0","768,078.0","773,189.0","767,328.0","772,045.0","791,338.0","808,559.0","830,621.0","822,637.0","803,842.0","809,458.0","804,214.0","804,980.0","816,611.0","837,725.0","829,879.0","823,328.0","824,195.0","827,599.0","850,762.0","841,040.0","827,006.0","837,377.0","853,765.0","845,167.0","865,438.0","838,023.0","955,008.0","922,117.0","885,600.0","900,928.0","917,412.0","912,732.0","938,246.0","901,909.0","919,641.0","948,045.0","967,279.0","925,299.0","917,155.0","926,527.0","959,532.0","945,749.0","922,914.0","942,854.0","965,391.0","975,759.0","986,606.0","1,000,957.0","1,036,187.0","1,013,537.0","1,016,077.0","1,034,207.0","1,029,330.0","1,030,498.0","1,042,036.0","1,050,225.0","1,040,342.0","1,071,264.0","1,030,761.0","1,062,754.0","1,056,864.0","1,084,915.0","1,076,913.0","1,078,596.0","1,106,087.0","1,093,313.0","1,094,792.0","1,107,981.0","1,143,975.0","1,095,331.0","1,152,440.0","1,194,586.0","1,137,025.0","1,108,314.0","1,097,661.0","1,118,121.0","1,136,681.0","1,169,662.0","1,152,321.0","1,160,672.0","1,164,471.0","1,151,027.0","1,169,845.0","1,185,647.0","1,165,237.0","1,186,053.0","1,186,754.0","1,190,977.0","1,207,911.0","1,210,124.0","1,208,331.0","1,211,754.0","1,216,935.0","1,239,040.0","1,225,168.0","1,225,768.0","1,241,383.0","1,261,089.0","1,256,343.0","1,249,271.0","1,244,103.0","1,232,967.0","1,214,318.0","1,208,836.0","1,212,626.0","1,213,395.0","1,203,303.0","1,174,369.0","1,189,224.0","1,148,735.0","1,097,556.0","1,091,160.0","1,075,216.0","1,108,741.0","1,096,757.0","1,078,206.0","1,070,137.0","1,087,710.0","1,092,226.0","1,116,957.0","1,193,262.0","1,093,318.0","1,103,179.0","1,124,876.0","1,134,250.0","1,127,892.0","1,139,486.0","1,175,019.0","1,169,287.0","1,170,269.0","1,168,222.0","1,186,105.0","1,187,945.0","1,208,120.0","1,237,566.0","1,239,887.0","1,249,822.0","1,262,776.0","1,285,227.0","1,284,072.0","1,277,292.0","1,261,121.0","1,242,099.0","1,270,352.0","1,258,068.0","1,290,537.0"
"23","4","  Nondurable goods","DNDGRX1","1,435,232.0","1,420,394.0","1,428,344.0","1,425,555.0","1,436,209.0","1,443,267.0","1,440,249.0","1,433,626.0","1,446,443.0","1,434,049.0","1,449,543.0","1,459,010.0","1,448,795.0","1,456,586.0","1,465,337.0","1,472,093.0","1,471,373.0","1,483,415.0","1,483,623.0","1,488,444.0","1,486,308.0","1,497,102.0","1,496,018.0","1,501,360.0","1,496,192.0","1,507,911.0","1,517,703.0","1,504,479.0","1,502,599.0","1,517,215.0","1,529,070.0","1,532,773.0","1,535,280.0","1,536,192.0","1,549,079.0","1,544,176.0","1,550,551.0","1,553,172.0","1,559,930.0","1,570,811.0","1,568,993.0","1,581,459.0","1,584,982.0","1,581,495.0","1,589,596.0","1,595,003.0","1,607,881.0","1,618,244.0","1,627,501.0","1,638,286.0","1,644,399.0","1,646,390.0","1,655,909.0","1,653,986.0","1,648,035.0","1,661,072.0","1,670,757.0","1,672,731.0","1,681,371.0","1,727,757.0","1,662,379.0","1,674,963.0","1,700,652.0","1,708,346.0","1,715,702.0","1,714,599.0","1,713,371.0","1,723,479.0","1,736,746.0","1,737,567.0","1,734,641.0","1,751,934.0","1,741,860.0","1,731,092.0","1,720,724.0","1,739,040.0","1,748,808.0","1,730,635.0","1,750,658.0","1,755,145.0","1,737,952.0","1,758,656.0","1,762,717.0","1,767,761.0","1,769,377.0","1,770,906.0","1,770,347.0","1,764,889.0","1,767,756.0","1,784,810.0","1,780,881.0","1,775,727.0","1,775,903.0","1,791,078.0","1,802,644.0","1,806,324.0","1,813,128.0","1,814,191.0","1,820,617.0","1,817,528.0","1,820,150.0","1,837,779.0","1,844,161.0","1,865,667.0","1,860,975.0","1,859,597.0","1,869,946.0","1,864,791.0","1,883,778.0","1,869,058.0","1,888,434.0","1,879,053.0","1,885,736.0","1,876,048.0","1,883,410.0","1,895,726.0","1,906,160.0","1,912,731.0","1,912,017.0","1,921,509.0","1,938,011.0","1,943,680.0","1,929,381.0","1,945,559.0","1,941,833.0","1,952,664.0","1,950,454.0","1,963,435.0","1,949,230.0","1,975,819.0","1,974,542.0","1,975,888.0","1,984,027.0","1,991,521.0","1,982,867.0","1,999,418.0","1,996,377.0","1,992,361.0","2,007,003.0","2,002,777.0","2,007,981.0","2,026,942.0","2,021,783.0","2,046,883.0","2,041,964.0","2,034,759.0","2,037,908.0","2,037,058.0","2,038,023.0","2,037,417.0","2,052,568.0","2,039,614.0","2,048,560.0","2,045,713.0","2,046,074.0","2,055,254.0","2,039,414.0","2,014,755.0","2,042,001.0","2,040,198.0","2,042,591.0","2,047,716.0","2,031,071.0","2,022,987.0","1,992,240.0","1,996,934.0","1,990,260.0","1,968,680.0","1,981,468.0","1,985,964.0","1,973,564.0","1,969,880.0","1,975,500.0","1,973,082.0","1,974,439.0","1,984,415.0","1,989,115.0","1,994,847.0","1,995,264.0","2,002,907.0","2,010,926.0","2,022,855.0","2,029,595.0","2,026,219.0","2,028,138.0","2,037,927.0","2,027,659.0","2,054,259.0","2,055,587.0","2,062,864.0","2,073,184.0","2,066,247.0","2,070,774.0","2,079,295.0","2,076,230.0","2,078,810.0","2,073,200.0","2,077,658.0","2,075,552.0","2,073,559.0","2,083,846.0"
