"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"19","1","    National income","A032RC1","888,484.0","929,529.0","1,005,624.0","1,110,346.0","1,246,087.0","1,341,472.0","1,444,019.0","1,609,790.0","1,797,433.0","2,027,874.0","2,248,285.0","2,432,951.0","2,729,849.0","2,851,412.0","3,070,891.0","3,461,299.0","3,696,272.0","3,871,460.0","4,150,042.0","4,522,303.0","4,800,513.0","5,059,548.0","5,217,907.0","5,517,103.0","5,784,722.0","6,181,260.0","6,522,329.0","6,931,689.0","7,405,981.0","7,875,586.0","8,357,963.0","8,938,889.0","9,185,209.0","9,408,519.0","9,840,170.0","10,534,046.0","11,273,814.0","12,031,228.0","12,396,424.0","12,609,065.0","12,147,603.0","12,840,143.0"
"20","2","Compensation of employees","A033RC1","577,611.0","617,218.0","658,909.0","725,137.0","811,223.0","890,249.0","949,145.0","1,059,342.0","1,180,525.0","1,335,456.0","1,498,290.0","1,647,572.0","1,819,664.0","1,919,642.0","2,035,534.0","2,245,446.0","2,411,748.0","2,557,655.0","2,735,638.0","2,954,155.0","3,131,318.0","3,326,257.0","3,438,331.0","3,631,429.0","3,797,095.0","3,998,534.0","4,195,178.0","4,391,364.0","4,665,622.0","5,023,242.0","5,353,937.0","5,788,849.0","5,979,319.0","6,110,815.0","6,382,589.0","6,693,407.0","7,065,043.0","7,476,996.0","7,855,898.0","8,068,311.0","7,806,382.0","7,971,371.0"
"21","3","  Wage and salary accruals","A034RC1","518,333.0","551,560.0","584,549.0","638,785.0","708,762.0","772,282.0","814,838.0","899,745.0","994,158.0","1,120,570.0","1,253,314.0","1,373,422.0","1,511,373.0","1,587,517.0","1,677,513.0","1,844,915.0","1,982,550.0","2,102,335.0","2,256,266.0","2,439,782.0","2,583,051.0","2,741,199.0","2,814,478.0","2,957,785.0","3,083,037.0","3,248,458.0","3,434,391.0","3,619,989.0","3,873,638.0","4,180,916.0","4,465,176.0","4,827,698.0","4,952,202.0","4,997,306.0","5,154,598.0","5,410,691.0","5,705,982.0","6,070,143.0","6,415,473.0","6,545,859.0","6,275,319.0","6,408,241.0"
"22","4","    Government","A553RC1","105,600.0","117,232.0","126,780.0","137,887.0","148,799.0","160,512.0","176,240.0","188,906.0","202,588.0","220,018.0","237,136.0","261,461.0","285,849.0","307,537.0","324,795.0","348,138.0","373,863.0","397,220.0","423,117.0","452,037.0","481,106.0","519,049.0","548,765.0","572,001.0","589,010.0","609,496.0","629,026.0","648,061.0","671,811.0","701,238.0","733,689.0","779,711.0","821,884.0","873,113.0","913,325.0","952,808.0","991,489.0","1,035,151.0","1,089,027.0","1,144,105.0","1,175,286.0","1,190,846.0"
"23","5","    Other","B203RC1","412,733.0","434,328.0","457,769.0","500,898.0","559,963.0","611,770.0","638,598.0","710,839.0","791,570.0","900,552.0","1,016,178.0","1,111,961.0","1,225,524.0","1,279,980.0","1,352,718.0","1,496,777.0","1,608,687.0","1,705,115.0","1,833,149.0","1,987,745.0","2,101,945.0","2,222,150.0","2,265,713.0","2,385,784.0","2,494,027.0","2,638,962.0","2,805,365.0","2,971,928.0","3,201,827.0","3,479,678.0","3,731,487.0","4,047,987.0","4,130,318.0","4,124,193.0","4,241,273.0","4,457,883.0","4,714,493.0","5,034,992.0","5,326,446.0","5,401,754.0","5,100,033.0","5,217,395.0"
"24","6","  Supplements to wages and salaries","A038RC1","59,278.0","65,658.0","74,360.0","86,352.0","102,461.0","117,967.0","134,307.0","159,597.0","186,367.0","214,886.0","244,976.0","274,150.0","308,291.0","332,125.0","358,021.0","400,531.0","429,198.0","455,320.0","479,372.0","514,373.0","548,267.0","585,058.0","623,853.0","673,644.0","714,058.0","750,076.0","760,787.0","771,375.0","791,984.0","842,326.0","888,761.0","961,151.0","1,027,117.0","1,113,509.0","1,227,991.0","1,282,716.0","1,359,061.0","1,406,853.0","1,440,425.0","1,522,452.0","1,531,063.0","1,563,130.0"
"25","7","    Employer contributions for employee pension and insurance funds","B040RC1","36,524.0","41,819.0","47,914.0","55,195.0","62,678.0","73,273.0","87,583.0","105,199.0","125,263.0","143,358.0","162,389.0","185,210.0","204,681.0","222,356.0","238,139.0","261,493.0","281,464.0","297,451.0","313,112.0","329,740.0","354,594.0","378,606.0","408,721.0","445,246.0","474,379.0","495,937.0","496,667.0","496,570.0","502,391.0","535,089.0","565,422.0","615,931.0","669,131.0","747,398.0","845,564.0","874,621.0","931,569.0","960,146.0","980,494.0","1,052,365.0","1,073,095.0","1,089,948.0"
"26","8","    Employer contributions for government social insurance","B039RC1","22,754.0","23,839.0","26,446.0","31,157.0","39,783.0","44,694.0","46,724.0","54,398.0","61,104.0","71,528.0","82,587.0","88,940.0","103,610.0","109,769.0","119,882.0","139,038.0","147,734.0","157,869.0","166,260.0","184,633.0","193,673.0","206,452.0","215,132.0","228,398.0","239,679.0","254,139.0","264,120.0","274,805.0","289,593.0","307,237.0","323,339.0","345,220.0","357,986.0","366,111.0","382,427.0","408,095.0","427,492.0","446,707.0","459,931.0","470,087.0","457,968.0","473,182.0"
"27","9","Proprietors' income with IVA and CCAdj","A041RC1","77,508.0","78,477.0","84,683.0","96,036.0","113,627.0","113,483.0","119,608.0","132,240.0","146,029.0","167,504.0","181,110.0","173,467.0","181,616.0","174,833.0","190,650.0","233,069.0","246,103.0","262,563.0","294,247.0","334,839.0","351,576.0","365,144.0","367,281.0","414,921.0","449,616.0","485,105.0","516,025.0","583,683.0","628,233.0","687,531.0","746,802.0","817,458.0","870,725.0","890,292.0","930,646.0","1,033,756.0","1,069,782.0","1,132,961.0","1,090,362.0","1,097,887.0","941,224.0","1,036,429.0"
"28","10","  Farm","B042RC1","12,833.0","12,894.0","13,386.0","17,023.0","29,075.0","23,468.0","21,999.0","17,210.0","15,964.0","19,922.0","22,150.0","11,707.0","19,028.0","13,314.0","6,173.0","20,938.0","20,976.0","22,837.0","28,907.0","26,802.0","33,022.0","32,168.0","27,504.0","35,809.0","32,027.0","35,596.0","23,437.0","38,436.0","32,588.0","28,880.0","28,495.0","29,632.0","30,523.0","18,452.0","36,535.0","49,663.0","43,876.0","29,335.0","37,779.0","51,752.0","39,178.0","52,217.0"
"29","11","  Nonfarm","A045RC1","64,675.0","65,583.0","71,297.0","79,013.0","84,552.0","90,015.0","97,609.0","115,030.0","130,065.0","147,582.0","158,960.0","161,760.0","162,588.0","161,519.0","184,477.0","212,131.0","225,127.0","239,726.0","265,340.0","308,037.0","318,554.0","332,976.0","339,777.0","379,112.0","417,589.0","449,509.0","492,588.0","545,247.0","595,645.0","658,651.0","718,307.0","787,826.0","840,202.0","871,840.0","894,111.0","984,093.0","1,025,906.0","1,103,626.0","1,052,583.0","1,046,135.0","902,046.0","984,212.0"
"30","12","Rental income of persons with CCAdj","A048RC1","20,896.0","21,074.0","22,183.0","23,143.0","23,904.0","24,048.0","23,367.0","22,085.0","19,625.0","20,884.0","22,643.0","28,494.0","36,459.0","38,050.0","38,165.0","40,030.0","41,851.0","33,827.0","34,184.0","40,232.0","42,414.0","49,804.0","61,581.0","84,619.0","114,089.0","142,914.0","154,567.0","170,440.0","176,548.0","191,468.0","208,156.0","215,275.0","232,371.0","218,738.0","204,163.0","198,383.0","178,210.0","146,520.0","143,746.0","231,617.0","305,935.0","350,194.0"
"31","13","Corporate profits with IVA and CCAdj","A051RC1","94,471.0","82,506.0","96,074.0","111,426.0","124,505.0","115,126.0","133,310.0","161,605.0","191,843.0","218,427.0","225,354.0","201,423.0","223,268.0","205,716.0","259,831.0","318,607.0","332,545.0","314,126.0","367,842.0","426,618.0","425,562.0","434,449.0","457,275.0","496,227.0","543,704.0","628,226.0","716,185.0","801,501.0","884,833.0","812,421.0","856,273.0","819,222.0","784,166.0","872,192.0","977,784.0","1,246,931.0","1,456,085.0","1,608,312.0","1,510,640.0","1,248,385.0","1,361,988.0","1,800,123.0"
"32","14","  Taxes on corporate income","A054RC1","39,977.0","34,757.0","38,165.0","42,341.0","49,973.0","52,785.0","51,646.0","65,288.0","74,441.0","84,858.0","90,016.0","87,190.0","84,339.0","66,499.0","80,648.0","97,531.0","99,406.0","109,675.0","130,441.0","141,630.0","146,068.0","145,424.0","138,591.0","148,688.0","171,034.0","193,141.0","217,838.0","231,469.0","245,421.0","248,366.0","258,784.0","265,092.0","203,296.0","192,336.0","243,767.0","306,093.0","412,384.0","473,267.0","445,465.0","309,029.0","272,388.0","411,072.0"
"33","15","  Profits after tax with IVA and CCAdj","A551RC1","54,494.0","47,749.0","57,909.0","69,085.0","74,532.0","62,341.0","81,664.0","96,317.0","117,402.0","133,569.0","135,338.0","114,233.0","138,929.0","139,217.0","179,183.0","221,076.0","233,139.0","204,451.0","237,401.0","284,988.0","279,494.0","289,025.0","318,684.0","347,539.0","372,670.0","435,085.0","498,347.0","570,032.0","639,412.0","564,055.0","597,489.0","554,130.0","580,870.0","679,856.0","734,017.0","940,838.0","1,043,701.0","1,135,045.0","1,065,175.0","939,356.0","1,089,600.0","1,389,051.0"
"34","16","    Net dividends","B056RC1","24,239.0","24,307.0","25,027.0","26,836.0","29,907.0","33,219.0","32,960.0","39,014.0","44,769.0","50,793.0","57,520.0","64,070.0","73,756.0","77,714.0","83,464.0","90,807.0","97,552.0","106,180.0","112,312.0","129,919.0","157,974.0","169,062.0","180,683.0","188,027.0","202,930.0","235,723.0","254,404.0","297,722.0","331,205.0","351,454.0","337,397.0","377,873.0","370,918.0","399,256.0","424,861.0","550,335.0","557,320.0","704,778.0","794,497.0","786,856.0","620,015.0","737,340.0"
"35","17","    Undistributed profits with IVA and CCAdj","A127RC1","30,255.0","23,442.0","32,882.0","42,249.0","44,625.0","29,122.0","48,704.0","57,303.0","72,633.0","82,776.0","77,818.0","50,163.0","65,173.0","61,503.0","95,719.0","130,269.0","135,587.0","98,271.0","125,089.0","155,069.0","121,520.0","119,963.0","138,001.0","159,512.0","169,740.0","199,362.0","243,943.0","272,310.0","308,207.0","212,601.0","260,092.0","176,257.0","209,952.0","280,600.0","309,156.0","390,503.0","486,381.0","430,267.0","270,678.0","152,500.0","469,585.0","651,711.0"
"36","18","Net interest and miscellaneous payments","W255RC1","32,715.0","39,131.0","43,873.0","47,905.0","55,235.0","70,767.0","81,624.0","85,537.0","101,069.0","115,027.0","138,872.0","181,826.0","232,335.0","271,123.0","285,313.0","327,060.0","341,484.0","367,082.0","366,650.0","385,303.0","434,096.0","444,218.0","418,227.0","387,714.0","364,601.0","362,230.0","358,315.0","371,068.0","407,550.0","479,326.0","481,372.0","539,262.0","544,355.0","506,370.0","504,128.0","461,624.0","543,046.0","652,238.0","731,615.0","870,141.0","656,738.0","564,277.0"
"37","19","Taxes on production and imports","W056RC1","83,856.0","91,413.0","100,493.0","107,928.0","117,220.0","124,902.0","135,292.0","146,388.0","159,664.0","170,898.0","180,101.0","200,330.0","235,644.0","240,933.0","263,281.0","289,773.0","308,133.0","323,373.0","347,545.0","374,464.0","398,867.0","424,990.0","457,091.0","483,376.0","503,125.0","545,248.0","557,903.0","580,754.0","611,615.0","639,473.0","673,585.0","708,556.0","727,690.0","762,791.0","806,802.0","863,402.0","930,176.0","986,809.0","1,027,188.0","1,038,628.0","1,017,886.0","1,054,007.0"
"38","20","Less: Subsidies \1\","A107RC1","4,534.0","4,777.0","4,675.0","6,636.0","5,230.0","3,307.0","4,494.0","5,125.0","7,100.0","8,936.0","8,531.0","9,800.0","11,473.0","15,017.0","21,304.0","21,065.0","21,360.0","24,895.0","30,282.0","29,502.0","27,428.0","26,993.0","27,488.0","30,088.0","36,681.0","32,523.0","34,812.0","35,234.0","33,810.0","36,368.0","45,209.0","45,840.0","58,722.0","41,390.0","49,057.0","46,386.0","60,913.0","51,352.0","54,575.0","52,917.0","59,689.0","57,329.0"
"39","21","Business current transfer payments (net)","B029RC1","4,941.0","4,519.0","4,324.0","4,930.0","5,970.0","7,133.0","9,408.0","9,520.0","8,465.0","10,815.0","13,328.0","14,732.0","17,912.0","20,612.0","22,601.0","30,290.0","35,205.0","36,850.0","34,061.0","33,621.0","39,179.0","40,112.0","39,936.0","40,673.0","40,492.0","41,926.0","45,838.0","53,759.0","51,286.0","65,199.0","68,951.0","86,963.0","101,258.0","82,366.0","76,145.0","81,686.0","95,876.0","82,959.0","103,326.0","122,993.0","132,031.0","136,736.0"
"40","22","  To persons (net)","B931RC1","3,331.0","2,926.0","2,696.0","3,112.0","3,940.0","4,738.0","6,844.0","6,694.0","5,090.0","6,463.0","8,225.0","8,630.0","11,175.0","12,386.0","13,796.0","19,727.0","22,260.0","22,948.0","20,228.0","20,596.0","23,171.0","22,193.0","17,636.0","16,287.0","14,054.0","13,255.0","18,728.0","22,878.0","19,446.0","25,995.0","33,972.0","42,434.0","46,768.0","34,194.0","25,701.0","16,942.0","25,836.0","21,373.0","30,538.0","36,801.0","38,194.0","38,289.0"
"41","23","  To government (net)","W061RC1","1,610.0","1,593.0","1,628.0","1,818.0","2,030.0","2,395.0","2,564.0","2,826.0","3,375.0","4,352.0","5,103.0","6,102.0","6,737.0","8,226.0","8,805.0","10,563.0","12,945.0","13,902.0","13,833.0","13,025.0","16,008.0","17,919.0","22,300.0","24,507.0","26,742.0","29,115.0","25,730.0","31,836.0","31,056.0","35,420.0","37,589.0","43,567.0","45,995.0","47,932.0","48,751.0","52,534.0","55,241.0","59,592.0","66,816.0","79,014.0","96,098.0","99,004.0"
"42","24","  To the rest of the world (net)","W237RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-121.0","-304.0","-444.0","1,380.0","-955.0","784.0","3,784.0","-2,610.0","962.0","8,495.0","240.0","1,693.0","12,210.0","14,799.0","1,994.0","5,972.0","7,178.0","-2,261.0","-557.0"
"43","25","Current surplus of government enterprises \1\","A108RC1","1,020.0","-32.0","-240.0","477.0","-367.0","-929.0","-3,241.0","-1,802.0","-2,687.0","-2,201.0","-2,882.0","-5,093.0","-5,576.0","-4,480.0","-3,180.0","-1,911.0","563.0","879.0","157.0","2,573.0","4,929.0","1,567.0","5,673.0","8,232.0","8,681.0","9,600.0","13,130.0","14,354.0","14,104.0","13,294.0","14,096.0","9,144.0","4,047.0","6,345.0","6,970.0","1,243.0","-3,491.0","-4,215.0","-11,776.0","-15,980.0","-14,892.0","-15,665.0"
"44",NA,"Addenda for corporate cash flow:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","26","  Net cash flow with IVA","A904RC1","75,452.0","73,571.0","87,853.0","102,143.0","111,706.0","108,165.0","143,361.0","162,033.0","190,782.0","217,168.0","233,181.0","230,275.0","273,515.0","293,090.0","336,193.0","383,181.0","407,319.0","388,083.0","431,561.0","483,885.0","470,350.0","493,003.0","528,781.0","551,116.0","588,346.0","635,304.0","719,261.0","778,294.0","849,063.0","790,913.0","885,054.0","861,321.0","944,999.0","1,036,501.0","1,084,773.0","1,190,138.0","1,337,044.0","1,356,144.0","1,244,077.0","1,245,158.0","1,583,572.0","1,699,018.0"
"46","27","    Undistributed profits with IVA and CCAdj","A127RC1","30,255.0","23,442.0","32,882.0","42,249.0","44,625.0","29,122.0","48,704.0","57,303.0","72,633.0","82,776.0","77,818.0","50,163.0","65,173.0","61,503.0","95,719.0","130,269.0","135,587.0","98,271.0","125,089.0","155,069.0","121,520.0","119,963.0","138,001.0","159,512.0","169,740.0","199,362.0","243,943.0","272,310.0","308,207.0","212,601.0","260,092.0","176,257.0","209,952.0","280,600.0","309,156.0","390,503.0","486,381.0","430,267.0","270,678.0","152,500.0","469,585.0","651,711.0"
"47","28","    Consumption of fixed capital","A438RC1","45,120.0","50,004.0","54,832.0","59,700.0","66,924.0","78,820.0","94,416.0","104,532.0","117,988.0","134,228.0","155,120.0","179,836.0","208,140.0","231,388.0","240,436.0","252,904.0","271,728.0","289,812.0","306,472.0","328,816.0","350,840.0","373,040.0","392,064.0","402,008.0","420,052.0","444,852.0","476,804.0","505,984.0","540,856.0","578,312.0","625,812.0","685,064.0","730,252.0","755,892.0","775,528.0","809,160.0","862,868.0","925,856.0","973,364.0","1,028,488.0","1,030,364.0","1,027,076.0"
"48","29","    Less: Capital transfers paid (net)","W976RC1","-77.0","-125.0","-139.0","-194.0","-157.0","-223.0","-241.0","-198.0","-161.0","-164.0","-243.0","-276.0","-202.0","-199.0","-38.0","-8.0","-4.0","0.0","0.0","0.0","2,010.0","0.0","1,284.0","10,404.0","1,446.0","8,910.0","1,486.0","0.0","0.0","0.0","850.0","0.0","-4,795.0","-9.0","-89.0","9,525.0","12,205.0","-21.0","-35.0","-64,170.0","-83,623.0","-20,231.0"
"49",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","30","  Proprietors' income with IVA and CCAdj","A041RC1","77,508.0","78,477.0","84,683.0","96,036.0","113,627.0","113,483.0","119,608.0","132,240.0","146,029.0","167,504.0","181,110.0","173,467.0","181,616.0","174,833.0","190,650.0","233,069.0","246,103.0","262,563.0","294,247.0","334,839.0","351,576.0","365,144.0","367,281.0","414,921.0","449,616.0","485,105.0","516,025.0","583,683.0","628,233.0","687,531.0","746,802.0","817,458.0","870,725.0","890,292.0","930,646.0","1,033,756.0","1,069,782.0","1,132,961.0","1,090,362.0","1,097,887.0","941,224.0","1,036,429.0"
"51","31","    Farm","B042RC1","12,833.0","12,894.0","13,386.0","17,023.0","29,075.0","23,468.0","21,999.0","17,210.0","15,964.0","19,922.0","22,150.0","11,707.0","19,028.0","13,314.0","6,173.0","20,938.0","20,976.0","22,837.0","28,907.0","26,802.0","33,022.0","32,168.0","27,504.0","35,809.0","32,027.0","35,596.0","23,437.0","38,436.0","32,588.0","28,880.0","28,495.0","29,632.0","30,523.0","18,452.0","36,535.0","49,663.0","43,876.0","29,335.0","37,779.0","51,752.0","39,178.0","52,217.0"
"52","32","      Proprietors' income with IVA","A043RC1","13,623.0","13,798.0","14,450.0","18,202.0","30,328.0","25,290.0","24,614.0","20,127.0","19,251.0","23,646.0","26,578.0","17,285.0","25,573.0","20,424.0","13,148.0","27,615.0","27,170.0","28,904.0","34,773.0","32,535.0","38,786.0","37,860.0","33,182.0","41,369.0","37,428.0","40,938.0","28,688.0","43,552.0","37,391.0","33,482.0","33,034.0","34,099.0","34,965.0","22,814.0","40,976.0","54,546.0","49,415.0","35,352.0","43,911.0","58,257.0","45,518.0","58,032.0"
"53","33","      Capital consumption adjustment","B044RC1","-790.0","-904.0","-1,064.0","-1,179.0","-1,253.0","-1,822.0","-2,615.0","-2,917.0","-3,287.0","-3,724.0","-4,428.0","-5,578.0","-6,545.0","-7,110.0","-6,975.0","-6,677.0","-6,194.0","-6,067.0","-5,866.0","-5,733.0","-5,764.0","-5,692.0","-5,678.0","-5,560.0","-5,401.0","-5,342.0","-5,251.0","-5,116.0","-4,803.0","-4,602.0","-4,539.0","-4,467.0","-4,442.0","-4,362.0","-4,441.0","-4,883.0","-5,539.0","-6,017.0","-6,132.0","-6,505.0","-6,340.0","-5,815.0"
"54","34","    Nonfarm","A045RC1","64,675.0","65,583.0","71,297.0","79,013.0","84,552.0","90,015.0","97,609.0","115,030.0","130,065.0","147,582.0","158,960.0","161,760.0","162,588.0","161,519.0","184,477.0","212,131.0","225,127.0","239,726.0","265,340.0","308,037.0","318,554.0","332,976.0","339,777.0","379,112.0","417,589.0","449,509.0","492,588.0","545,247.0","595,645.0","658,651.0","718,307.0","787,826.0","840,202.0","871,840.0","894,111.0","984,093.0","1,025,906.0","1,103,626.0","1,052,583.0","1,046,135.0","902,046.0","984,212.0"
"55","35","      Proprietors' income (without IVA and CCAdj)","B046RC1","65,533.0","66,615.0","72,603.0","79,925.0","86,550.0","93,786.0","99,454.0","116,616.0","131,334.0","149,148.0","160,163.0","162,689.0","157,839.0","154,985.0","168,927.0","186,282.0","190,463.0","199,805.0","229,615.0","271,726.0","281,427.0","305,250.0","314,225.0","350,896.0","387,322.0","422,805.0","465,437.0","511,421.0","551,192.0","608,840.0","657,712.0","717,321.0","744,910.0","763,632.0","774,924.0","861,742.0","936,327.0","1,004,254.0","959,947.0","885,717.0","746,636.0","792,965.0"
"56","36","      Inventory valuation adjustment","B179RC1","-464.0","-533.0","-557.0","-721.0","-1,887.0","-3,393.0","-1,105.0","-1,060.0","-1,111.0","-1,887.0","-2,637.0","-2,890.0","-1,255.0","-503.0","-516.0","-402.0","-186.0","-38.0","-811.0","-1,200.0","-1,320.0","-1,118.0","-120.0","-537.0","-431.0","-738.0","-1,469.0","-404.0","987.0","1,281.0","-885.0","-1,730.0","984.0","-392.0","-1,521.0","-4,228.0","-4,065.0","-3,633.0","-6,969.0","-6,303.0","183.0","-5,993.0"
"57","37","      Capital consumption adjustment","B047RC1","-394.0","-499.0","-749.0","-191.0","-111.0","-378.0","-740.0","-526.0","-158.0","321.0","1,434.0","1,961.0","6,004.0","7,037.0","16,066.0","26,251.0","34,850.0","39,959.0","36,536.0","37,511.0","38,447.0","28,844.0","25,672.0","28,753.0","30,698.0","27,442.0","28,620.0","34,230.0","43,466.0","48,530.0","61,480.0","72,235.0","94,308.0","108,600.0","120,708.0","126,579.0","93,644.0","103,005.0","99,605.0","166,721.0","155,227.0","197,240.0"
