"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","Gross domestic product","A191RX1","976,146.0","892,011.0","834,195.0","725,211.0","715,801.0","793,674.0","864,217.0","977,035.0","1,027,088.0","991,799.0","1,071,919.0","1,165,879.0","1,364,969.0","1,616,840.0","1,881,539.0","2,033,453.0","2,010,693.0","1,790,684.0","1,774,625.0","1,852,664.0","1,843,134.0","2,004,239.0","2,159,298.0","2,241,953.0","2,345,237.0","2,330,370.0","2,498,168.0","2,547,570.0","2,598,839.0","2,575,428.0","2,760,103.0","2,828,515.0","2,894,407.0","3,069,768.0","3,203,972.0","3,389,419.0","3,607,046.0","3,842,060.0","3,939,159.0","4,129,865.0","4,258,163.0"
"20","2","Plus: Income receipts from the rest of the world","A645RX1","13,838.0","13,093.0","10,621.0","8,250.0","6,988.0","6,419.0","7,421.0","8,144.0","9,945.0","9,015.0","9,724.0","8,516.0","9,682.0","8,914.0","8,722.0","9,365.0","8,861.0","10,123.0","13,217.0","15,733.0","15,236.0","16,828.0","20,261.0","20,798.0","20,282.0","21,458.0","23,966.0","26,083.0","27,436.0","24,369.0","26,076.0","29,352.0","31,537.0","34,458.0","37,318.0","40,668.0","43,076.0","42,648.0","44,518.0","49,411.0","54,920.0"
"21","3","Less: Income payments to the rest of the world","A655RX1","4,604.0","4,295.0","3,563.0","2,621.0","2,339.0","2,474.0","2,698.0","4,416.0","4,639.0","3,471.0","3,911.0","3,972.0","3,622.0","3,253.0","3,897.0","4,342.0","4,814.0","3,753.0","3,848.0","4,213.0","4,792.0","5,261.0","5,760.0","5,865.0","6,214.0","6,254.0","6,864.0","7,142.0","7,360.0","7,511.0","8,830.0","10,236.0","10,277.0","10,394.0","11,474.0","12,735.0","13,913.0","15,470.0","16,472.0","19,168.0","25,555.0"
"22","4","Equals: Gross national product","A001RX1","984,587.0","900,006.0","840,747.0","730,499.0","720,296.0","797,677.0","868,929.0","981,055.0","1,032,456.0","997,375.0","1,077,788.0","1,170,831.0","1,371,508.0","1,623,500.0","1,887,908.0","2,040,171.0","2,016,553.0","1,798,222.0","1,784,764.0","1,864,780.0","1,854,248.0","2,016,506.0","2,174,302.0","2,257,434.0","2,360,083.0","2,346,180.0","2,515,812.0","2,566,879.0","2,619,197.0","2,592,931.0","2,778,104.0","2,848,208.0","2,916,086.0","3,094,138.0","3,230,052.0","3,417,536.0","3,636,446.0","3,869,784.0","3,967,736.0","4,160,560.0","4,287,966.0"
"23","5","Less: Consumption of fixed capital","A262RX1","84,685.0","86,598.0","86,469.0","84,313.0","82,063.0","80,448.0","80,642.0","81,942.0","84,487.0","85,835.0","86,844.0","88,969.0","94,213.0","105,428.0","123,205.0","143,819.0","156,641.0","158,186.0","154,907.0","153,689.0","154,472.0","156,870.0","162,488.0","170,291.0","179,341.0","187,550.0","194,729.0","201,728.0","208,442.0","216,230.0","220,840.0","225,149.0","231,455.0","239,290.0","248,715.0","259,025.0","271,953.0","287,482.0","303,125.0","318,176.0","333,626.0"
"24","6","        Private","A024RX1","82,246.0","83,835.0","83,197.0","80,454.0","77,730.0","75,575.0","75,206.0","75,878.0","77,991.0","78,704.0","79,015.0","80,427.0","82,918.0","83,125.0","80,634.0","79,276.0","79,788.0","84,442.0","91,805.0","98,798.0","104,662.0","110,243.0","115,645.0","119,700.0","124,523.0","129,415.0","134,857.0","140,566.0","145,977.0","152,463.0","155,174.0","157,302.0","161,542.0","166,635.0","173,287.0","181,015.0","191,627.0","204,321.0","216,479.0","228,312.0","241,433.0"
"25","7","        Government","A264RX1","8,126.0","8,551.0","9,010.0","9,425.0","9,712.0","10,055.0","10,541.0","11,161.0","11,713.0","12,365.0","13,056.0","13,847.0","16,694.0","27,392.0","47,784.0","70,912.0","84,536.0","81,003.0","69,135.0","59,615.0","53,512.0","49,486.0","49,445.0","53,694.0","58,491.0","62,196.0","63,958.0","65,179.0","66,433.0","67,622.0","69,748.0","72,254.0","74,487.0","77,480.0","80,423.0","83,089.0","85,303.0","88,034.0","91,557.0","94,782.0","96,915.0"
"26","8","          General government","A265RX1","6,577.0","6,892.0","7,234.0","7,540.0","7,759.0","8,047.0","8,481.0","9,011.0","9,454.0","9,983.0","10,552.0","11,208.0","13,858.0","24,063.0","43,587.0","65,786.0","78,924.0","75,510.0","64,051.0","54,779.0","48,779.0","44,731.0","44,542.0","48,453.0","52,941.0","56,355.0","57,896.0","58,891.0","59,902.0","60,850.0","62,654.0","64,791.0","66,649.0","69,240.0","71,798.0","74,052.0","75,852.0","78,128.0","81,151.0","83,839.0","85,451.0"
"27","9","          Government enterprises","A266RX1","1,916.0","2,071.0","2,231.0","2,380.0","2,469.0","2,533.0","2,583.0","2,683.0","2,820.0","2,972.0","3,122.0","3,286.0","3,430.0","3,507.0","3,526.0","3,523.0","3,489.0","3,503.0","3,547.0","3,674.0","3,816.0","4,023.0","4,216.0","4,472.0","4,670.0","4,890.0","5,098.0","5,335.0","5,590.0","5,847.0","6,170.0","6,539.0","6,927.0","7,318.0","7,690.0","8,111.0","8,554.0","9,025.0","9,521.0","10,076.0","10,654.0"
"28","10","Equals: Net national product","A027RX1","904,402.0","816,702.0","756,761.0","647,086.0","639,284.0","720,237.0","792,831.0","905,854.0","955,426.0","917,685.0","999,220.0","1,092,407.0","1,292,705.0","1,538,238.0","1,787,964.0","1,918,172.0","1,877,449.0","1,651,746.0","1,641,982.0","1,726,266.0","1,714,311.0","1,879,379.0","2,035,569.0","2,111,190.0","2,205,374.0","2,179,572.0","2,345,956.0","2,389,307.0","2,434,286.0","2,395,786.0","2,582,304.0","2,649,258.0","2,711,081.0","2,885,338.0","3,013,574.0","3,194,129.0","3,403,699.0","3,624,696.0","3,705,197.0","3,884,834.0","3,996,176.0"
"29",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","11","  Gross domestic income \1\","A261RX1","968,937.0","896,020.0","825,815.0","721,502.0","708,858.0","788,897.0","866,718.0","963,093.0","1,027,471.0","983,867.0","1,056,751.0","1,153,345.0","1,361,357.0","1,625,564.0","1,898,484.0","2,009,623.0","1,975,841.0","1,781,297.0","1,758,103.0","1,856,058.0","1,830,554.0","1,994,883.0","2,136,482.0","2,224,697.0","2,320,768.0","2,311,236.0","2,483,826.0","2,557,921.0","2,599,228.0","2,570,224.0","2,757,548.0","2,833,602.0","2,897,545.0","3,068,131.0","3,208,257.0","3,385,419.0","3,599,599.0","3,811,916.0","3,917,754.0","4,110,245.0","4,245,685.0"
"31","12","  Gross national income \2\","A023RX1","977,351.0","904,103.0","832,340.0","726,805.0","713,389.0","792,921.0","871,457.0","967,052.0","1,032,751.0","989,485.0","1,062,695.0","1,158,294.0","1,367,900.0","1,632,276.0","1,905,049.0","2,016,353.0","1,981,624.0","1,788,858.0","1,768,229.0","1,868,139.0","1,841,668.0","2,007,173.0","2,151,536.0","2,240,201.0","2,335,541.0","2,327,066.0","2,501,441.0","2,577,207.0","2,619,549.0","2,587,708.0","2,775,464.0","2,853,394.0","2,919,189.0","3,092,503.0","3,234,328.0","3,413,510.0","3,628,991.0","3,839,642.0","3,946,448.0","4,140,872.0","4,275,464.0"
"32","13","  Net domestic product","A362RX1","895,851.0","808,616.0","750,144.0","641,761.0","634,765.0","716,217.0","788,085.0","901,815.0","950,009.0","912,057.0","993,290.0","1,087,421.0","1,286,084.0","1,531,503.0","1,781,556.0","1,911,441.0","1,871,635.0","1,644,226.0","1,631,782.0","1,714,023.0","1,703,107.0","1,866,989.0","2,020,353.0","2,095,496.0","2,190,361.0","2,163,570.0","2,328,069.0","2,369,701.0","2,413,602.0","2,378,089.0","2,564,112.0","2,629,316.0","2,689,085.0","2,860,569.0","2,987,052.0","3,165,521.0","3,373,792.0","3,596,562.0","3,676,201.0","3,853,674.0","3,965,965.0"
"33","14","  Net domestic income \3\","W256RX1","888,575.0","812,739.0","741,622.0","638,003.0","627,711.0","711,296.0","790,650.0","887,512.0","950,384.0","903,879.0","977,717.0","1,074,564.0","1,282,259.0","1,540,479.0","1,799,110.0","1,886,740.0","1,835,861.0","1,634,572.0","1,614,723.0","1,717,564.0","1,690,027.0","1,857,240.0","1,996,640.0","2,077,608.0","2,164,871.0","2,143,683.0","2,313,182.0","2,380,493.0","2,414,009.0","2,372,640.0","2,561,431.0","2,634,617.0","2,692,412.0","2,858,902.0","2,991,498.0","3,161,432.0","3,365,924.0","3,565,436.0","3,654,130.0","3,833,467.0","3,953,089.0"
"34","15","  Net domestic purchases","W367RX1","912,919.0","826,635.0","768,755.0","659,230.0","652,903.0","734,314.0","815,456.0","930,446.0","975,334.0","926,614.0","1,009,301.0","1,099,979.0","1,312,469.0","1,583,135.0","1,861,627.0","1,995,612.0","1,939,845.0","1,624,500.0","1,591,333.0","1,716,723.0","1,704,026.0","1,896,847.0","2,035,645.0","2,125,464.0","2,238,661.0","2,201,374.0","2,370,002.0","2,402,628.0","2,440,771.0","2,429,170.0","2,619,368.0","2,664,843.0","2,724,297.0","2,906,396.0","3,028,100.0","3,198,180.0","3,421,992.0","3,661,118.0","3,751,601.0","3,946,102.0","4,062,860.0"
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Note. Except as noted in footnotes 1, 2 and 3, chained (2005) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","as the product of the chain-type quantity index and the 2005 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
