"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","Gross domestic product","A191RX1","976,146.0","892,011.0","834,195.0","725,211.0","715,801.0","793,674.0","864,217.0","977,035.0","1,027,088.0","991,799.0","1,071,919.0","1,165,879.0","1,364,969.0","1,616,840.0","1,881,539.0","2,033,453.0","2,010,693.0","1,790,684.0","1,774,625.0","1,852,664.0","1,843,134.0","2,004,239.0","2,159,298.0","2,241,953.0","2,345,237.0","2,330,370.0","2,498,168.0","2,547,570.0","2,598,839.0","2,575,428.0","2,760,103.0","2,828,515.0","2,894,407.0","3,069,768.0","3,203,972.0","3,389,419.0","3,607,046.0","3,842,060.0","3,939,159.0","4,129,865.0","4,258,163.0"
"20","2","Less: Exports of goods and services","A020RX1","37,928.0","31,347.0","26,052.0","20,414.0","20,539.0","22,830.0","24,072.0","25,289.0","31,851.0","31,509.0","33,263.0","37,838.0","38,797.0","25,625.0","21,600.0","23,200.0","32,504.0","70,205.0","80,042.0","63,043.0","62,457.0","54,688.0","67,015.0","64,116.0","59,821.0","62,716.0","69,413.0","80,873.0","87,923.0","76,038.0","83,876.0","98,436.0","98,958.0","103,950.0","111,384.0","124,498.0","127,987.0","136,857.0","140,011.0","151,015.0","158,318.0"
"21","3","Plus: Imports of goods and services","A021RX1","49,089.0","42,700.0","37,246.0","30,904.0","32,195.0","32,893.0","43,095.0","42,600.0","47,937.0","37,259.0","39,129.0","40,077.0","49,277.0","44,742.0","56,415.0","59,042.0","62,780.0","52,033.0","49,403.0","57,646.0","55,608.0","65,726.0","68,308.0","74,320.0","81,306.0","77,297.0","86,611.0","93,642.0","97,574.0","102,209.0","112,960.0","114,463.0","113,695.0","126,599.0","130,011.0","136,919.0","151,493.0","174,006.0","186,685.0","214,505.0","226,728.0"
"22","4","Equals: Gross domestic purchases","A712RX1","994,123.0","911,075.0","853,910.0","743,887.0","735,073.0","812,705.0","892,175.0","1,006,062.0","1,052,893.0","1,007,250.0","1,088,686.0","1,179,226.0","1,391,528.0","1,667,742.0","1,960,095.0","2,116,509.0","2,078,864.0","1,773,730.0","1,737,478.0","1,857,018.0","1,845,812.0","2,034,636.0","2,175,667.0","2,272,522.0","2,393,524.0","2,368,799.0","2,540,557.0","2,581,444.0","2,627,325.0","2,627,074.0","2,815,607.0","2,865,148.0","2,930,829.0","3,116,346.0","3,246,037.0","3,423,446.0","3,656,087.0","3,906,954.0","4,014,829.0","4,222,098.0","4,354,984.0"
"23","5","Plus: Exports of goods and services, command basis \1\","C020RX1","57,314.0","44,732.0","32,433.0","24,942.0","25,804.0","31,742.0","33,662.0","36,107.0","46,691.0","44,951.0","47,311.0","57,951.0","60,991.0","45,061.0","39,346.0","46,540.0","62,999.0","117,172.0","139,706.0","109,544.0","101,931.0","85,927.0","111,021.0","104,772.0","96,426.0","98,611.0","108,578.0","126,458.0","138,025.0","115,641.0","126,342.0","148,312.0","149,785.0","155,685.0","164,527.0","182,472.0","190,263.0","203,880.0","210,449.0","222,545.0","229,925.0"
"24","6","Less: Imports of goods and services, command basis \1\","C021RX1","53,618.0","41,481.0","32,422.0","24,399.0","25,051.0","27,751.0","36,252.0","37,872.0","45,789.0","33,557.0","37,382.0","40,543.0","49,498.0","47,656.0","61,252.0","65,842.0","70,116.0","57,725.0","59,140.0","70,883.0","65,090.0","80,792.0","94,704.0","97,362.0","100,841.0","96,096.0","105,642.0","112,431.0","114,606.0","112,613.0","124,135.0","125,259.0","123,121.0","133,719.0","138,377.0","146,443.0","161,490.0","184,635.0","193,236.0","216,275.0","223,590.0"
"25","7","Equals: Command-basis gross domestic product \1,2\","C191RX1","999,851.0","918,126.0","853,688.0","741,625.0","732,486.0","817,802.0","891,171.0","1,005,835.0","1,061,993.0","1,015,878.0","1,098,691.0","1,200,290.0","1,410,087.0","1,667,586.0","1,937,133.0","2,095,810.0","2,072,228.0","1,839,408.0","1,819,699.0","1,896,203.0","1,880,635.0","2,043,742.0","2,202,756.0","2,280,812.0","2,388,634.0","2,368,489.0","2,547,348.0","2,598,970.0","2,649,682.0","2,627,620.0","2,816,641.0","2,886,970.0","2,956,215.0","3,136,947.0","3,270,792.0","3,457,985.0","3,683,322.0","3,924,594.0","4,030,343.0","4,226,634.0","4,359,341.0"
"26","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1","11,002.0","10,478.0","8,560.0","6,668.0","5,688.0","5,429.0","6,346.0","6,844.0","8,416.0","7,549.0","8,141.0","7,219.0","8,133.0","7,292.0","6,818.0","7,229.0","7,024.0","9,039.0","11,906.0","14,310.0","13,681.0","15,209.0","17,894.0","18,187.0","17,902.0","18,922.0","21,541.0","23,368.0","24,528.0","21,761.0","23,734.0","26,806.0","28,798.0","31,818.0","34,574.0","37,719.0","40,367.0","40,214.0","42,036.0","46,928.0","52,161.0"
"27","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1","3,609.0","3,342.0","2,813.0","2,071.0","1,792.0","1,971.0","2,200.0","3,698.0","4,150.0","3,079.0","3,695.0","3,905.0","3,505.0","3,059.0","3,589.0","4,139.0","4,562.0","3,642.0","3,631.0","4,051.0","4,671.0","5,190.0","5,610.0","5,549.0","5,943.0","5,878.0","6,500.0","6,757.0","6,973.0","6,977.0","8,385.0","9,735.0","9,703.0","9,892.0","10,871.0","12,084.0","13,328.0","14,953.0","15,923.0","18,661.0","25,082.0"
"28","10","Equals: Command-basis gross national product \1,3\","CB22RX1","1,007,244.0","925,263.0","859,436.0","746,222.0","736,382.0","821,260.0","895,316.0","1,008,981.0","1,066,259.0","1,020,348.0","1,103,138.0","1,203,604.0","1,414,715.0","1,671,819.0","1,940,362.0","2,098,900.0","2,074,690.0","1,844,805.0","1,827,974.0","1,906,462.0","1,889,645.0","2,053,761.0","2,215,041.0","2,293,450.0","2,400,594.0","2,381,533.0","2,562,389.0","2,615,581.0","2,667,238.0","2,642,404.0","2,831,989.0","2,904,040.0","2,975,310.0","3,158,873.0","3,294,495.0","3,483,620.0","3,710,362.0","3,949,855.0","4,056,456.0","4,254,901.0","4,386,420.0"
"29",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","11","  Command-basis net domestic product \4\","C362RX1","918,864.0","833,905.0","768,664.0","657,059.0","650,397.0","739,673.0","814,575.0","930,388.0","984,839.0","935,655.0","1,019,769.0","1,121,913.0","1,331,851.0","1,583,177.0","1,838,093.0","1,974,446.0","1,933,233.0","1,692,100.0","1,676,526.0","1,757,487.0","1,740,353.0","1,906,465.0","2,064,003.0","2,134,271.0","2,233,754.0","2,201,240.0","2,377,264.0","2,421,128.0","2,464,346.0","2,429,947.0","2,620,670.0","2,687,832.0","2,750,975.0","2,928,082.0","3,054,103.0","3,234,332.0","3,450,561.0","3,679,723.0","3,768,010.0","3,951,124.0","4,067,708.0"
"31","12","  Net domestic product","A362RX1","895,851.0","808,616.0","750,144.0","641,761.0","634,765.0","716,217.0","788,085.0","901,815.0","950,009.0","912,057.0","993,290.0","1,087,421.0","1,286,084.0","1,531,503.0","1,781,556.0","1,911,441.0","1,871,635.0","1,644,226.0","1,631,782.0","1,714,023.0","1,703,107.0","1,866,989.0","2,020,353.0","2,095,496.0","2,190,361.0","2,163,570.0","2,328,069.0","2,369,701.0","2,413,602.0","2,378,089.0","2,564,112.0","2,629,316.0","2,689,085.0","2,860,569.0","2,987,052.0","3,165,521.0","3,373,792.0","3,596,562.0","3,676,201.0","3,853,674.0","3,965,965.0"
"32","13","  Command-basis net national product \4\","C027RX1","926,356.0","841,136.0","774,511.0","661,745.0","654,380.0","743,219.0","818,816.0","933,609.0","989,223.0","940,266.0","1,024,357.0","1,125,337.0","1,336,640.0","1,587,567.0","1,841,434.0","1,977,641.0","1,935,770.0","1,697,641.0","1,685,085.0","1,768,120.0","1,749,713.0","1,916,871.0","2,076,787.0","2,147,429.0","2,246,206.0","2,214,812.0","2,392,915.0","2,438,469.0","2,482,698.0","2,445,378.0","2,636,705.0","2,705,638.0","2,770,869.0","2,950,908.0","3,078,764.0","3,260,974.0","3,478,654.0","3,705,954.0","3,795,125.0","3,980,465.0","4,095,806.0"
"33","14","  Net national product","A027RX1","904,402.0","816,702.0","756,761.0","647,086.0","639,284.0","720,237.0","792,831.0","905,854.0","955,426.0","917,685.0","999,220.0","1,092,407.0","1,292,705.0","1,538,238.0","1,787,964.0","1,918,172.0","1,877,449.0","1,651,746.0","1,641,982.0","1,726,266.0","1,714,311.0","1,879,379.0","2,035,569.0","2,111,190.0","2,205,374.0","2,179,572.0","2,345,956.0","2,389,307.0","2,434,286.0","2,395,786.0","2,582,304.0","2,649,258.0","2,711,081.0","2,885,338.0","3,013,574.0","3,194,129.0","3,403,699.0","3,624,696.0","3,705,197.0","3,884,834.0","3,996,176.0"
"34",NA,"  Trade indexes (seasonally adjusted):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","15","    Trading gains index \5\","W368RG3","102.227","102.508","102.371","102.657","102.804","102.907","102.942","102.797","102.607","102.713","102.497","102.644","102.794","102.994","103.018","103.142","103.043","102.379","102.451","102.325","102.148","101.776","101.517","101.697","101.873","101.760","101.817","101.883","102.000","102.126","102.094","102.113","102.183","102.236","102.132","102.070","102.160","102.193","102.361","102.388","102.425"
"36","16","    Terms of trade index \6\","W369RG3","138.349","146.893","143.020","154.756","161.463","164.794","166.239","160.603","153.467","158.403","148.885","151.393","156.504","165.092","167.772","179.886","173.541","150.440","145.805","141.311","139.426","127.821","119.491","124.736","129.965","126.476","128.244","130.236","133.653","138.033","137.071","137.682","139.774","141.794","138.781","137.034","139.455","140.398","145.212","146.159","147.268"
"37","17","      Terms of trade, goods \7\","W370RG3",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","164.497","164.831","165.292"
"38","18","      Terms of trade, nonpetroleum goods \8\","W371RG3",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","117.827","117.851","117.892"
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Uses gross domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Uses net domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","5. Ratio (multiplied by 100) of price index for gross domestic product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","to the price index for gross domestic purchases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","6. Ratio (multiplied by 100) of the price index for exports of goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","and services to the price index for imports of goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","7. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","to the price index for goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","8. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","to the price index for nonpetroleum goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
