"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","Gross domestic product","A191RX1","1,770,691.0","1,767,976.0","1,766,523.0","1,793,310.0","1,821,809.0","1,855,345.0","1,865,320.0","1,868,184.0","1,842,240.0","1,835,512.0","1,856,103.0","1,838,679.0","1,912,998.0","1,971,217.0","2,048,351.0","2,084,390.0","2,110,731.0","2,145,746.0","2,188,503.0","2,192,210.0","2,214,268.0","2,216,709.0","2,231,561.0","2,305,276.0","2,348,408.0","2,366,180.0","2,351,793.0","2,314,567.0","2,303,523.0","2,306,413.0","2,332,418.0","2,379,125.0","2,447,657.0","2,488,149.0","2,521,394.0","2,535,472.0","2,523,902.0","2,543,752.0","2,540,555.0","2,582,070.0","2,597,939.0","2,591,671.0","2,616,638.0","2,589,110.0","2,519,019.0","2,534,480.0","2,593,867.0","2,654,348.0","2,708,036.0","2,776,430.0","2,773,119.0","2,782,827.0","2,845,268.0","2,831,971.0","2,836,599.0","2,800,224.0","2,816,858.0","2,869,554.0","2,915,929.0","2,975,288.0","3,028,654.0","3,062,094.0","3,090,408.0","3,097,917.0","3,138,407.0","3,177,733.0","3,237,567.0","3,262,180.0","3,335,397.0","3,373,705.0","3,419,548.0","3,429,028.0","3,513,250.0","3,560,919.0","3,633,182.0","3,720,836.0","3,812,167.0","3,824,857.0","3,850,012.0","3,881,205.0","3,915,396.0","3,916,211.0","3,947,455.0","3,977,573.0","4,059,545.0","4,128,472.0","4,156,717.0","4,174,727.0","4,240,478.0","4,252,828.0"
"21","2","Less: Exports of goods and services","A020RX1","85,247.0","84,172.0","79,900.0","70,848.0","67,616.0","61,296.0","62,737.0","60,525.0","67,767.0","67,186.0","61,574.0","53,302.0","52,424.0","53,056.0","54,431.0","58,842.0","61,784.0","67,865.0","69,532.0","68,879.0","72,544.0","64,570.0","59,472.0","59,880.0","58,867.0","59,233.0","61,607.0","59,577.0","56,905.0","65,080.0","62,990.0","65,890.0","68,339.0","66,745.0","71,124.0","71,444.0","74,835.0","79,878.0","82,538.0","86,240.0","91,863.0","89,140.0","86,642.0","84,050.0","75,707.0","76,066.0","76,308.0","76,070.0","81,099.0","83,798.0","86,459.0","84,147.0","94,686.0","100,703.0","98,161.0","100,195.0","99,508.0","98,124.0","97,592.0","100,609.0","100,363.0","109,994.0","103,844.0","101,600.0","103,980.0","116,149.0","109,944.0","115,462.0","122,537.0","124,563.0","123,603.0","127,288.0","113,556.0","134,876.0","127,152.0","136,366.0","133,971.0","139,843.0","134,586.0","139,027.0","141,711.0","140,422.0","137,005.0","140,908.0","145,002.0","147,889.0","156,583.0","154,587.0","136,035.0","166,531.0"
"22","3","Plus: Imports of goods and services","A021RX1","50,985.0","51,967.0","46,088.0","48,573.0","54,774.0","56,945.0","59,918.0","58,945.0","57,178.0","56,345.0","54,048.0","54,860.0","56,393.0","59,507.0","73,433.0","73,571.0","73,573.0","71,135.0","65,113.0","63,411.0","70,768.0","70,401.0","74,707.0","81,405.0","79,399.0","83,517.0","83,199.0","79,107.0","74,538.0","81,243.0","76,342.0","77,066.0","81,620.0","86,248.0","87,699.0","90,877.0","94,692.0","94,200.0","95,018.0","90,657.0","97,868.0","98,632.0","96,731.0","97,063.0","98,508.0","102,718.0","101,158.0","106,451.0","109,195.0","114,477.0","115,553.0","112,617.0","116,885.0","117,763.0","114,298.0","108,907.0","108,377.0","109,698.0","116,963.0","119,744.0","123,389.0","126,082.0","127,681.0","129,242.0","126,250.0","129,223.0","132,503.0","132,069.0","131,945.0","134,915.0","138,535.0","142,282.0","137,159.0","153,346.0","153,976.0","161,492.0","165,659.0","169,777.0","179,293.0","181,297.0","184,158.0","182,680.0","185,071.0","194,829.0","206,314.0","209,465.0","222,056.0","220,185.0","199,416.0","238,757.0"
"23","4","Equals: Gross domestic purchases","A712RX1","1,726,446.0","1,726,501.0","1,725,225.0","1,771,740.0","1,814,043.0","1,862,059.0","1,873,237.0","1,878,735.0","1,838,153.0","1,831,309.0","1,858,721.0","1,855,065.0","1,933,895.0","1,995,910.0","2,089,312.0","2,119,425.0","2,141,834.0","2,164,516.0","2,196,882.0","2,199,436.0","2,225,919.0","2,241,025.0","2,270,106.0","2,353,036.0","2,395,980.0","2,418,576.0","2,399,639.0","2,359,901.0","2,347,236.0","2,345,580.0","2,369,250.0","2,413,132.0","2,484,701.0","2,534,102.0","2,562,876.0","2,580,551.0","2,568,047.0","2,579,783.0","2,573,342.0","2,604,606.0","2,620,558.0","2,619,366.0","2,646,515.0","2,622,863.0","2,565,879.0","2,585,793.0","2,644,355.0","2,712,270.0","2,762,481.0","2,834,041.0","2,827,861.0","2,838,046.0","2,890,555.0","2,868,854.0","2,873,630.0","2,827,555.0","2,844,996.0","2,902,360.0","2,958,434.0","3,017,527.0","3,076,365.0","3,098,908.0","3,138,727.0","3,151,386.0","3,186,061.0","3,211,332.0","3,285,108.0","3,301,648.0","3,365,862.0","3,405,175.0","3,457,238.0","3,465,510.0","3,566,542.0","3,600,614.0","3,686,638.0","3,770,555.0","3,871,819.0","3,880,462.0","3,924,089.0","3,951,446.0","3,985,362.0","3,986,594.0","4,026,174.0","4,061,187.0","4,150,719.0","4,220,206.0","4,248,984.0","4,268,483.0","4,342,205.0","4,349,468.0"
"24","5","Less: Change in private inventories","A014RX1","4,852.0","-3,472.0","-13,430.0","-2,201.0","11,442.0","21,430.0","25,026.0","19,413.0","-2,040.0","-17,426.0","-3,861.0","-17,464.0","7,383.0","10,775.0","14,054.0","44,897.0","27,928.0","40,633.0","26,851.0","11,572.0","14,476.0","-3,555.0","15,977.0","16,136.0","12,969.0","12,812.0","7,733.0","-6,692.0","-5,937.0","-9,480.0","-7,558.0","-2,728.0","11,231.0","16,593.0","15,140.0","20,845.0","17,583.0","12,224.0","9,476.0","8,385.0","4,569.0","6,536.0","9,496.0","-8,887.0","-11,141.0","-9,698.0","4,901.0","12,964.0","10,441.0","26,521.0","3,175.0","15,570.0","38,847.0","11,082.0","15,645.0","-18,246.0","-8,320.0","7,186.0","23,828.0","19,766.0","31,223.0","19,651.0","23,035.0","13,646.0","26,681.0","17,743.0","21,147.0","15,436.0","16,387.0","15,744.0","18,883.0","18,025.0","41,442.0","29,753.0","33,500.0","26,904.0","47,146.0","45,446.0","40,359.0","55,614.0","51,441.0","23,162.0","30,811.0","30,123.0","27,265.0","48,865.0","26,064.0","20,965.0","37,013.0","31,210.0"
"25","6","Equals: Final sales to domestic purchasers","A713RX1","1,740,843.0","1,755,689.0","1,770,900.0","1,790,877.0","1,812,196.0","1,839,517.0","1,843,695.0","1,862,466.0","1,856,051.0","1,880,644.0","1,886,232.0","1,907,550.0","1,941,509.0","1,996,838.0","2,084,184.0","2,054,890.0","2,111,178.0","2,108,215.0","2,167,296.0","2,198,615.0","2,221,033.0","2,270,138.0","2,261,988.0","2,345,005.0","2,394,555.0","2,417,991.0","2,407,782.0","2,392,320.0","2,376,943.0","2,381,941.0","2,402,758.0","2,439,181.0","2,487,766.0","2,528,765.0","2,560,492.0","2,569,331.0","2,562,897.0","2,582,828.0","2,580,643.0","2,614,349.0","2,637,256.0","2,632,713.0","2,654,338.0","2,658,243.0","2,604,395.0","2,622,129.0","2,658,248.0","2,715,876.0","2,767,224.0","2,816,701.0","2,848,121.0","2,837,683.0","2,857,418.0","2,876,592.0","2,872,589.0","2,877,757.0","2,880,503.0","2,915,327.0","2,946,787.0","3,012,731.0","3,054,074.0","3,094,686.0","3,129,945.0","3,156,730.0","3,171,076.0","3,210,168.0","3,280,520.0","3,306,157.0","3,368,495.0","3,409,202.0","3,457,213.0","3,464,886.0","3,535,393.0","3,584,969.0","3,665,351.0","3,759,844.0","3,831,095.0","3,844,221.0","3,894,506.0","3,900,957.0","3,939,555.0","3,982,264.0","4,010,344.0","4,050,205.0","4,140,909.0","4,181,472.0","4,241,307.0","4,269,360.0","4,319,989.0","4,335,827.0"
"26",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","7","  Final sales of domestic product","A190RX1","1,785,511.0","1,797,168.0","1,811,719.0","1,812,339.0","1,820,203.0","1,833,439.0","1,836,573.0","1,852,397.0","1,859,967.0","1,884,004.0","1,883,164.0","1,890,049.0","1,920,376.0","1,972,028.0","2,043,048.0","2,020,732.0","2,080,437.0","2,090,299.0","2,159,465.0","2,191,488.0","2,209,488.0","2,245,259.0","2,223,373.0","2,297,105.0","2,346,736.0","2,365,299.0","2,359,514.0","2,346,132.0","2,332,444.0","2,341,917.0","2,365,150.0","2,404,562.0","2,450,487.0","2,482,645.0","2,518,831.0","2,524,199.0","2,518,600.0","2,546,567.0","2,547,576.0","2,591,581.0","2,614,280.0","2,604,677.0","2,624,202.0","2,623,632.0","2,556,496.0","2,569,791.0","2,607,219.0","2,657,576.0","2,712,404.0","2,759,137.0","2,792,681.0","2,782,190.0","2,812,636.0","2,839,424.0","2,835,444.0","2,849,314.0","2,851,551.0","2,882,151.0","2,904,366.0","2,970,435.0","3,006,651.0","3,057,856.0","3,081,615.0","3,102,899.0","3,123,549.0","3,176,516.0","3,232,891.0","3,266,480.0","3,337,936.0","3,377,605.0","3,419,429.0","3,428,331.0","3,482,551.0","3,545,493.0","3,612,141.0","3,710,180.0","3,772,057.0","3,789,169.0","3,820,709.0","3,831,492.0","3,870,272.0","3,911,606.0","3,931,562.0","3,966,383.0","4,049,448.0","4,090,130.0","4,148,694.0","4,175,050.0","4,218,203.0","4,238,958.0"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
