"","Table 1#1#5# Gross Domestic Product                             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Gross domestic product","A191RC1","237,153.0","240,401.0","244,490.0","254,322.0","260,304.0","267,268.0","273,789.0","275,111.0","269,939.0","266,196.0","267,629.0","265,162.0","275,195.0","284,515.0","301,928.0","313,326.0","328,966.0","336,629.0","343,513.0","347,929.0","351,208.0","352,137.0","358,496.0","371,360.0","378,365.0","381,958.0","381,099.0","375,883.0","375,249.0","375,957.0","380,791.0","389,426.0","402,577.0","410,871.0","419,446.0","425,984.0","428,278.0","434,157.0","439,191.0","448,082.0","457,167.0","459,163.0","466,391.0","461,507.0","453,931.0","458,039.0","471,719.0","484,983.0","495,480.0","508,481.0","509,312.0","513,238.0","526,972.0","526,165.0","528,961.0","523,652.0","527,967.0","539,035.0","549,450.0","562,580.0","576,050.0","583,229.0","590,022.0","593,322.0","602,455.0","611,175.0","623,932.0","633,460.0","649,619.0","658,855.0","670,468.0","675,614.0","695,674.0","708,148.0","725,191.0","747,455.0","770,755.0","779,925.0","793,148.0","806,926.0","817,766.0","822,304.0","836,998.0","852,701.0","879,784.0","904,093.0","919,264.0","936,219.0","960,878.0","976,099.0"
"21","2","Personal consumption expenditures","DPCERC1","156,297.0","160,168.0","163,677.0","167,809.0","170,514.0","174,288.0","177,222.0","178,080.0","176,987.0","178,606.0","177,971.0","180,420.0","183,095.0","186,987.0","200,693.0","198,130.0","209,400.0","205,136.0","207,806.0","211,782.0","213,145.0","217,280.0","219,771.0","227,914.0","231,521.0","233,287.0","234,021.0","233,480.0","235,518.0","238,268.0","240,707.0","245,517.0","251,844.0","256,928.0","261,135.0","265,147.0","266,681.0","269,374.0","272,625.0","278,003.0","282,441.0","284,736.0","289,321.0","290,958.0","290,523.0","293,436.0","298,469.0","302,318.0","310,058.0","316,078.0","321,282.0","323,395.0","326,935.0","332,806.0","332,755.0","334,679.0","335,206.0","340,158.0","343,055.0","350,322.0","355,603.0","361,241.0","365,111.0","371,385.0","374,950.0","379,079.0","386,069.0","390,739.0","400,372.0","408,350.0","417,252.0","419,833.0","430,533.0","437,468.0","446,644.0","460,600.0","471,036.0","476,137.0","485,290.0","491,099.0","495,416.0","504,550.0","511,812.0","519,352.0","537,343.0","551,128.0","567,306.0","576,241.0","588,443.0","599,810.0"
"22","3","  Goods","DGDSRC1","95,593.0","98,250.0","100,418.0","103,453.0","105,094.0","107,188.0","108,743.0","108,656.0","107,167.0","108,283.0","107,569.0","109,305.0","110,800.0","112,588.0","123,988.0","119,943.0","127,605.0","122,182.0","123,363.0","125,844.0","125,538.0","127,606.0","127,941.0","134,054.0","135,702.0","135,575.0","134,420.0","133,641.0","134,173.0","134,969.0","135,430.0","138,495.0","142,939.0","146,831.0","149,363.0","150,460.0","150,215.0","151,111.0","152,116.0","155,173.0","158,013.0","158,648.0","161,228.0","160,519.0","159,258.0","159,819.0","162,423.0","164,772.0","169,723.0","172,618.0","174,526.0","173,564.0","175,059.0","178,398.0","177,504.0","177,103.0","175,643.0","177,565.0","179,178.0","182,848.0","185,535.0","187,793.0","189,528.0","193,023.0","195,046.0","196,687.0","199,869.0","201,017.0","206,648.0","210,932.0","216,253.0","215,176.0","222,675.0","225,584.0","230,768.0","239,672.0","246,405.0","246,956.0","252,094.0","253,022.0","253,480.0","258,504.0","260,475.0","263,505.0","274,392.0","280,854.0","290,386.0","292,834.0","298,845.0","302,664.0"
"23","4","    Durable goods","DDURRC1","20,721.0","21,352.0","21,770.0","23,487.0","23,548.0","24,019.0","25,277.0","24,970.0","24,435.0","26,389.0","27,314.0","28,356.0","29,335.0","29,800.0","37,355.0","33,292.0","35,638.0","30,736.0","30,192.0","30,390.0","30,776.0","31,006.0","29,467.0","33,723.0","35,185.0","35,019.0","34,577.0","33,682.0","32,911.0","33,645.0","33,233.0","35,064.0","38,437.0","40,708.0","42,421.0","41,413.0","39,673.0","39,819.0","39,685.0","41,497.0","42,598.0","42,169.0","41,874.0","41,466.0","39,396.0","38,635.0","39,396.0","40,693.0","43,649.0","45,464.0","46,336.0","44,103.0","45,456.0","46,434.0","45,925.0","44,689.0","42,241.0","43,320.0","44,581.0","46,683.0","47,702.0","49,047.0","49,567.0","51,546.0","52,589.0","53,882.0","54,701.0","55,739.0","57,995.0","59,477.0","61,376.0","59,377.0","64,915.0","64,817.0","66,700.0","69,128.0","72,311.0","69,720.0","72,323.0","72,626.0","71,104.0","74,482.0","74,698.0","75,641.0","80,858.0","83,084.0","87,544.0","87,826.0","90,010.0","90,448.0"
"24","5","    Nondurable goods","DNDGRC1","74,872.0","76,898.0","78,648.0","79,966.0","81,546.0","83,169.0","83,466.0","83,686.0","82,732.0","81,894.0","80,255.0","80,949.0","81,465.0","82,788.0","86,633.0","86,651.0","91,967.0","91,446.0","93,171.0","95,454.0","94,762.0","96,600.0","98,474.0","100,331.0","100,517.0","100,556.0","99,843.0","99,959.0","101,262.0","101,324.0","102,197.0","103,431.0","104,502.0","106,123.0","106,942.0","109,047.0","110,542.0","111,292.0","112,431.0","113,676.0","115,415.0","116,479.0","119,354.0","119,053.0","119,862.0","121,184.0","123,027.0","124,079.0","126,074.0","127,154.0","128,190.0","129,461.0","129,603.0","131,964.0","131,579.0","132,414.0","133,402.0","134,245.0","134,597.0","136,165.0","137,833.0","138,746.0","139,961.0","141,477.0","142,457.0","142,805.0","145,168.0","145,278.0","148,653.0","151,455.0","154,877.0","155,799.0","157,760.0","160,767.0","164,068.0","170,544.0","174,094.0","177,236.0","179,771.0","180,396.0","182,376.0","184,022.0","185,777.0","187,864.0","193,534.0","197,770.0","202,842.0","205,008.0","208,835.0","212,216.0"
"25","6","  Services","DSERRC1","60,704.0","61,918.0","63,259.0","64,356.0","65,420.0","67,100.0","68,479.0","69,424.0","69,820.0","70,323.0","70,402.0","71,115.0","72,295.0","74,399.0","76,705.0","78,187.0","81,795.0","82,954.0","84,443.0","85,938.0","87,607.0","89,674.0","91,830.0","93,860.0","95,819.0","97,712.0","99,601.0","99,839.0","101,345.0","103,299.0","105,277.0","107,022.0","108,905.0","110,097.0","111,772.0","114,687.0","116,466.0","118,263.0","120,509.0","122,830.0","124,428.0","126,088.0","128,093.0","130,439.0","131,265.0","133,617.0","136,046.0","137,546.0","140,335.0","143,460.0","146,756.0","149,831.0","151,876.0","154,408.0","155,251.0","157,576.0","159,563.0","162,593.0","163,877.0","167,474.0","170,068.0","173,448.0","175,583.0","178,362.0","179,904.0","182,392.0","186,200.0","189,722.0","193,724.0","197,418.0","200,999.0","204,657.0","207,858.0","211,884.0","215,876.0","220,928.0","224,631.0","229,181.0","233,196.0","238,077.0","241,936.0","246,046.0","251,337.0","255,847.0","262,951.0","270,274.0","276,920.0","283,407.0","289,598.0","297,146.0"
"26","7","Gross private domestic investment","A006RC1","33,716.0","32,372.0","32,719.0","41,027.0","44,972.0","48,100.0","50,248.0","49,090.0","40,936.0","34,045.0","37,332.0","35,153.0","44,370.0","49,850.0","56,131.0","65,899.0","62,053.0","64,848.0","59,384.0","54,359.0","55,197.0","49,875.0","53,882.0","57,144.0","57,877.0","58,143.0","57,382.0","52,344.0","51,546.0","51,237.0","54,698.0","57,792.0","64,236.0","68,084.0","69,970.0","73,855.0","72,978.0","71,428.0","72,490.0","71,204.0","71,778.0","71,912.0","73,239.0","64,904.0","60,518.0","58,717.0","65,469.0","73,243.0","76,185.0","82,226.0","76,442.0","79,278.0","89,079.0","79,685.0","78,693.0","68,110.0","70,294.0","75,757.0","82,351.0","84,238.0","89,376.0","87,905.0","89,288.0","85,959.0","90,476.0","92,167.0","94,985.0","97,398.0","100,652.0","100,565.0","102,451.0","104,568.0","115,685.0","115,846.0","119,652.0","121,784.0","131,730.0","130,681.0","130,158.0","132,651.0","129,315.0","123,681.0","128,498.0","132,895.0","137,202.0","143,426.0","139,721.0","144,350.0","155,715.0","155,659.0"
"27","8","  Fixed investment","A007RC1","33,221.0","33,612.0","35,636.0","39,571.0","41,346.0","42,241.0","43,096.0","43,093.0","40,548.0","39,193.0","38,639.0","39,852.0","42,346.0","47,017.0","51,954.0","51,855.0","51,667.0","50,056.0","49,644.0","49,640.0","50,465.0","51,398.0","48,308.0","51,870.0","53,987.0","54,566.0","55,051.0","54,350.0","53,512.0","54,615.0","56,789.0","58,108.0","60,432.0","63,464.0","65,675.0","66,622.0","66,580.0","67,843.0","68,921.0","68,960.0","69,616.0","69,255.0","70,431.0","69,422.0","64,527.0","62,952.0","63,922.0","68,008.0","72,309.0","74,938.0","76,058.0","75,158.0","77,879.0","76,461.0","74,373.0","73,922.0","72,842.0","73,965.0","75,695.0","78,242.0","79,968.0","82,461.0","83,100.0","82,595.0","83,608.0","87,331.0","89,269.0","92,334.0","95,528.0","96,109.0","97,759.0","99,552.0","104,141.0","107,278.0","110,360.0","114,200.0","117,858.0","118,365.0","118,306.0","116,147.0","113,892.0","117,340.0","119,235.0","124,462.0","128,764.0","129,344.0","132,040.0","138,343.0","144,226.0","146,437.0"
"28","9","    Nonresidential","A008RC1","22,816.0","23,173.0","23,324.0","24,499.0","26,167.0","25,985.0","26,984.0","28,088.0","26,562.0","25,467.0","24,091.0","23,520.0","24,205.0","26,616.0","29,612.0","30,591.0","30,850.0","31,823.0","32,478.0","32,160.0","32,447.0","32,896.0","29,821.0","32,509.0","34,306.0","34,805.0","35,874.0","35,417.0","34,490.0","34,301.0","34,983.0","34,934.0","35,418.0","37,863.0","40,448.0","42,452.0","42,857.0","43,902.0","45,412.0","45,921.0","46,973.0","47,104.0","48,430.0","47,537.0","43,607.0","41,957.0","41,396.0","43,061.0","44,480.0","46,101.0","47,773.0","47,677.0","49,524.0","50,339.0","49,039.0","48,593.0","47,497.0","48,430.0","48,774.0","50,443.0","51,618.0","53,227.0","53,901.0","53,474.0","53,426.0","55,102.0","56,809.0","58,661.0","60,119.0","61,938.0","64,053.0","65,742.0","70,259.0","73,092.0","76,066.0","79,694.0","83,040.0","85,162.0","86,379.0","86,951.0","85,553.0","85,691.0","85,823.0","88,434.0","91,880.0","91,167.0","93,156.0","97,411.0","101,000.0","103,041.0"
"29","10","      Structures","B009RC1","7,889.0","7,947.0","8,280.0","8,432.0","8,833.0","9,327.0","9,854.0","10,090.0","9,736.0","9,377.0","8,915.0","8,684.0","9,075.0","9,502.0","10,269.0","10,982.0","11,467.0","12,151.0","12,280.0","11,918.0","12,029.0","12,075.0","12,150.0","12,642.0","13,061.0","13,499.0","13,749.0","13,971.0","13,920.0","13,877.0","13,852.0","13,811.0","14,274.0","14,744.0","15,438.0","16,172.0","17,415.0","17,982.0","18,590.0","18,733.0","18,770.0","18,992.0","19,096.0","18,942.0","18,083.0","17,594.0","17,259.0","17,580.0","17,397.0","18,037.0","18,644.0","18,518.0","19,360.0","19,471.0","19,419.0","20,022.0","19,930.0","19,634.0","19,664.0","19,632.0","20,029.0","20,828.0","21,355.0","20,900.0","20,234.0","21,234.0","21,436.0","21,892.0","22,426.0","23,449.0","24,250.0","24,823.0","26,142.0","28,166.0","28,534.0","30,442.0","31,097.0","31,173.0","31,908.0","31,218.0","31,669.0","30,935.0","31,475.0","31,965.0","33,051.0","33,183.0","33,231.0","34,763.0","35,794.0","36,671.0"
"30","11","      Equipment and software","B010RC1","14,927.0","15,226.0","15,044.0","16,067.0","17,334.0","16,658.0","17,130.0","17,998.0","16,826.0","16,090.0","15,176.0","14,836.0","15,130.0","17,114.0","19,343.0","19,609.0","19,383.0","19,672.0","20,198.0","20,242.0","20,418.0","20,821.0","17,671.0","19,867.0","21,245.0","21,306.0","22,125.0","21,446.0","20,570.0","20,424.0","21,131.0","21,123.0","21,144.0","23,119.0","25,010.0","26,280.0","25,442.0","25,920.0","26,822.0","27,188.0","28,203.0","28,112.0","29,334.0","28,595.0","25,524.0","24,363.0","24,137.0","25,481.0","27,083.0","28,064.0","29,129.0","29,159.0","30,164.0","30,868.0","29,620.0","28,571.0","27,567.0","28,796.0","29,110.0","30,811.0","31,589.0","32,399.0","32,546.0","32,574.0","33,192.0","33,868.0","35,373.0","36,769.0","37,693.0","38,489.0","39,803.0","40,919.0","44,117.0","44,926.0","47,532.0","49,252.0","51,943.0","53,989.0","54,471.0","55,733.0","53,884.0","54,756.0","54,348.0","56,469.0","58,829.0","57,984.0","59,925.0","62,648.0","65,206.0","66,370.0"
"31","12","    Residential","A011RC1","10,405.0","10,439.0","12,312.0","15,072.0","15,179.0","16,256.0","16,112.0","15,005.0","13,986.0","13,726.0","14,548.0","16,332.0","18,141.0","20,401.0","22,342.0","21,264.0","20,817.0","18,233.0","17,166.0","17,480.0","18,018.0","18,502.0","18,487.0","19,361.0","19,681.0","19,761.0","19,177.0","18,933.0","19,022.0","20,314.0","21,806.0","23,174.0","25,014.0","25,601.0","25,227.0","24,170.0","23,723.0","23,941.0","23,509.0","23,039.0","22,643.0","22,151.0","22,001.0","21,885.0","20,920.0","20,995.0","22,526.0","24,947.0","27,829.0","28,837.0","28,285.0","27,481.0","28,355.0","26,122.0","25,334.0","25,329.0","25,345.0","25,535.0","26,921.0","27,799.0","28,350.0","29,234.0","29,199.0","29,121.0","30,182.0","32,229.0","32,460.0","33,673.0","35,409.0","34,171.0","33,706.0","33,810.0","33,882.0","34,186.0","34,294.0","34,506.0","34,818.0","33,203.0","31,927.0","29,196.0","28,339.0","31,649.0","33,412.0","36,028.0","36,884.0","38,177.0","38,884.0","40,932.0","43,226.0","43,396.0"
"32","13","  Change in private inventories","A014RC1","495.0","-1,240.0","-2,917.0","1,456.0","3,626.0","5,859.0","7,152.0","5,997.0","388.0","-5,148.0","-1,307.0","-4,699.0","2,024.0","2,833.0","4,177.0","14,044.0","10,386.0","14,792.0","9,740.0","4,719.0","4,732.0","-1,523.0","5,574.0","5,274.0","3,890.0","3,577.0","2,331.0","-2,006.0","-1,966.0","-3,378.0","-2,091.0","-316.0","3,804.0","4,620.0","4,295.0","7,233.0","6,398.0","3,585.0","3,569.0","2,244.0","2,162.0","2,657.0","2,808.0","-4,518.0","-4,009.0","-4,235.0","1,547.0","5,235.0","3,876.0","7,288.0","384.0","4,120.0","11,200.0","3,224.0","4,320.0","-5,812.0","-2,548.0","1,792.0","6,656.0","5,996.0","9,408.0","5,444.0","6,188.0","3,364.0","6,868.0","4,836.0","5,716.0","5,064.0","5,124.0","4,456.0","4,692.0","5,016.0","11,544.0","8,568.0","9,292.0","7,584.0","13,872.0","12,316.0","11,852.0","16,504.0","15,423.0","6,341.0","9,263.0","8,433.0","8,438.0","14,082.0","7,681.0","6,007.0","11,489.0","9,222.0"
"33","14","Net exports of goods and services","A019RC1","10,875.0","11,294.0","11,770.0","9,289.0","7,293.0","5,205.0","4,949.0","4,501.0","6,478.0","6,283.0","5,179.0","2,999.0","2,203.0","1,643.0","-740.0","-154.0","177.0","1,943.0","3,742.0","4,190.0","3,721.0","1,951.0","-4.0","-1,013.0","-667.0","-1,251.0","-552.0","-335.0","-356.0","254.0","574.0","1,145.0","1,104.0","-155.0","724.0","240.0","440.0","1,909.0","2,569.0","4,527.0","4,819.0","4,099.0","3,997.0","3,388.0","1,079.0","471.0","856.0","-260.0","405.0","12.0","598.0","574.0","2,717.0","4,159.0","4,165.0","5,774.0","5,797.0","5,533.0","3,909.0","4,416.0","3,950.0","5,800.0","3,839.0","2,813.0","3,884.0","6,533.0","3,915.0","5,423.0","7,264.0","7,071.0","6,376.0","6,948.0","4,600.0","7,456.0","4,901.0","5,513.0","4,416.0","5,232.0","2,206.0","3,596.0","4,563.0","4,520.0","2,896.0","2,239.0","1,099.0","1,942.0","1,288.0","1,067.0","171.0","1,244.0"
