"","Table 5#7#5B# Private Inventories and Domestic Final Sales by In","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3"
"20","1","    Private inventories \1\","A371RC1",".....",".....",".....","1,284,668.0","1,292,573.0","1,304,054.0","1,314,384.0","1,327,330.0","1,337,534.0","1,335,792.0","1,333,618.0","1,341,603.0","1,359,527.0","1,373,502.0","1,396,587.0","1,432,668.0","1,456,062.0","1,479,771.0","1,496,161.0","1,523,962.0","1,522,312.0","1,509,879.0","1,485,628.0","1,447,281.0","1,446,539.0","1,452,951.0","1,469,414.0","1,489,140.0","1,512,010.0","1,505,494.0","1,520,900.0","1,545,706.0","1,581,989.0","1,623,193.0","1,650,062.0","1,681,526.0","1,723,825.0","1,724,364.0","1,759,794.0","1,804,599.0","1,820,181.0","1,861,748.0","1,896,887.0","1,917,107.0","1,952,536.0","1,976,845.0","2,008,392.0","2,077,497.0","2,146,782.0","2,232,197.0","2,203,214.0","2,024,345.0","1,949,408.0","1,901,582.0","1,863,351.0","1,883,552.0","1,926,396.0","1,938,915.0","2,001,316.0","2,084,502.0","2,189,614.0","2,211,585.0","2,231,242.0"
"21","2","Farm","B372RC1",".....",".....",".....","136,553.0","137,939.0","137,747.0","138,245.0","136,896.0","134,143.0","127,985.0","121,792.0","120,512.0","123,021.0","122,528.0","121,431.0","124,306.0","126,273.0","125,107.0","121,826.0","132,119.0","136,244.0","134,780.0","130,649.0","126,172.0","129,033.0","126,051.0","128,833.0","135,918.0","136,444.0","137,209.0","150,346.0","151,049.0","156,301.0","164,496.0","157,310.0","157,188.0","159,279.0","155,623.0","160,211.0","165,163.0","158,425.0","157,573.0","165,280.0","165,061.0","177,222.0","174,661.0","182,707.0","188,322.0","197,802.0","213,476.0","206,745.0","185,437.0","181,181.0","176,082.0","171,058.0","172,999.0","183,479.0","183,372.0","195,137.0","214,762.0","237,713.0","229,967.0","232,467.0"
"22","3","Mining, utilities, and construction","N238RC1",".....",".....",".....","31,122.0","31,898.0","31,326.0","32,317.0","33,002.0","32,872.0","34,459.0","35,011.0","36,615.0","36,378.0","37,761.0","38,680.0","38,451.0","38,977.0","39,865.0","41,442.0","42,250.0","47,106.0","46,222.0","44,431.0","45,343.0","45,711.0","46,757.0","45,488.0","46,484.0","51,854.0","52,005.0","52,820.0","54,725.0","56,690.0","58,889.0","60,998.0","64,120.0","65,378.0","69,082.0","72,790.0","81,660.0","79,200.0","81,518.0","86,342.0","90,709.0","93,776.0","98,093.0","94,251.0","95,624.0","101,299.0","111,074.0","111,266.0","93,975.0","88,948.0","85,566.0","84,657.0","83,540.0","84,229.0","82,958.0","82,237.0","82,279.0","85,298.0","88,015.0","88,428.0"
"23","4","Manufacturing","N376RC1",".....",".....",".....","421,010.0","421,026.0","424,090.0","426,783.0","431,988.0","434,188.0","435,765.0","434,386.0","432,256.0","434,040.0","437,072.0","446,037.0","457,608.0","464,381.0","468,733.0","473,646.0","476,493.0","474,370.0","466,154.0","454,622.0","440,914.0","435,454.0","435,586.0","439,825.0","443,718.0","449,027.0","445,071.0","440,349.0","447,576.0","455,462.0","466,966.0","479,853.0","487,214.0","504,133.0","503,405.0","518,241.0","531,481.0","543,427.0","561,527.0","571,389.0","575,681.0","583,206.0","594,702.0","603,718.0","635,639.0","670,428.0","703,033.0","681,793.0","604,540.0","585,295.0","577,014.0","572,126.0","582,139.0","595,375.0","595,221.0","608,562.0","640,867.0","680,511.0","690,687.0","690,290.0"
"24","5","  Durable goods industries","N377RC1",".....",".....",".....","260,713.0","261,387.0","262,873.0","264,496.0","267,569.0","271,401.0","273,963.0","274,026.0","273,331.0","274,575.0","274,370.0","279,092.0","284,893.0","288,274.0","289,589.0","292,515.0","293,472.0","291,363.0","285,937.0","279,033.0","270,691.0","266,747.0","265,272.0","263,516.0","265,273.0","265,744.0","263,337.0","258,612.0","261,864.0","266,889.0","273,832.0","281,376.0","285,280.0","294,459.0","293,578.0","300,810.0","308,201.0","316,773.0","327,688.0","335,244.0","338,911.0","344,019.0","349,616.0","348,475.0","356,097.0","370,121.0","381,519.0","380,012.0","357,673.0","347,059.0","338,189.0","334,750.0","336,056.0","342,831.0","351,697.0","358,197.0","368,614.0","388,144.0","395,906.0","399,470.0"
"25","6","  Nondurable goods industries","N378RC1",".....",".....",".....","160,297.0","159,639.0","161,217.0","162,287.0","164,419.0","162,787.0","161,802.0","160,360.0","158,925.0","159,465.0","162,702.0","166,945.0","172,715.0","176,107.0","179,144.0","181,131.0","183,021.0","183,007.0","180,217.0","175,589.0","170,223.0","168,707.0","170,314.0","176,309.0","178,445.0","183,283.0","181,734.0","181,737.0","185,712.0","188,573.0","193,134.0","198,477.0","201,934.0","209,674.0","209,827.0","217,431.0","223,280.0","226,654.0","233,839.0","236,145.0","236,770.0","239,187.0","245,086.0","255,243.0","279,542.0","300,307.0","321,514.0","301,781.0","246,867.0","238,236.0","238,825.0","237,376.0","246,083.0","252,544.0","243,524.0","250,365.0","272,253.0","292,367.0","294,781.0","290,820.0"
"26","7","Wholesale trade","N379RC1",".....",".....",".....","285,111.0","288,840.0","294,171.0","296,955.0","302,516.0","306,553.0","306,521.0","308,977.0","311,964.0","316,004.0","318,670.0","326,127.0","334,773.0","342,126.0","348,246.0","351,221.0","357,684.0","353,966.0","351,108.0","343,560.0","335,819.0","334,854.0","337,450.0","343,789.0","343,217.0","345,495.0","341,348.0","343,316.0","352,551.0","361,994.0","369,263.0","379,626.0","388,907.0","402,728.0","405,327.0","413,614.0","422,818.0","430,321.0","444,257.0","449,953.0","456,355.0","464,304.0","468,701.0","479,119.0","497,201.0","515,819.0","539,571.0","537,112.0","496,940.0","472,703.0","457,491.0","441,190.0","449,041.0","457,608.0","462,737.0","489,423.0","515,764.0","541,627.0","557,777.0","572,847.0"
"27","8","  Durable goods industries","N380RC1",".....",".....",".....","178,085.0","180,788.0","185,849.0","186,561.0","189,692.0","193,757.0","193,697.0","196,823.0","198,364.0","201,112.0","203,364.0","205,891.0","211,360.0","214,139.0","219,243.0","220,611.0","222,576.0","219,052.0","213,415.0","207,113.0","201,348.0","199,514.0","200,678.0","203,240.0","201,962.0","203,066.0","202,185.0","200,921.0","205,178.0","212,108.0","218,441.0","228,030.0","233,289.0","240,156.0","241,893.0","243,272.0","250,062.0","254,178.0","262,389.0","268,151.0","268,961.0","274,432.0","274,107.0","273,440.0","276,249.0","284,908.0","295,525.0","302,134.0","288,933.0","269,275.0","254,600.0","245,245.0","242,365.0","248,401.0","253,458.0","261,222.0","268,634.0","277,533.0","289,228.0","298,969.0"
"28","9","  Nondurable goods industries","N381RC1",".....",".....",".....","107,026.0","108,052.0","108,322.0","110,394.0","112,824.0","112,796.0","112,824.0","112,154.0","113,600.0","114,892.0","115,306.0","120,236.0","123,413.0","127,987.0","129,003.0","130,610.0","135,108.0","134,914.0","137,693.0","136,447.0","134,471.0","135,340.0","136,772.0","140,549.0","141,255.0","142,429.0","139,163.0","142,395.0","147,373.0","149,886.0","150,822.0","151,596.0","155,618.0","162,572.0","163,434.0","170,342.0","172,756.0","176,143.0","181,868.0","181,802.0","187,394.0","189,872.0","194,594.0","205,679.0","220,952.0","230,911.0","244,046.0","234,978.0","208,007.0","203,428.0","202,891.0","195,945.0","206,676.0","209,207.0","209,279.0","228,201.0","247,130.0","264,094.0","268,549.0","273,878.0"
"29","10","Retail trade","N382RC1",".....",".....",".....","328,746.0","329,014.0","332,025.0","334,476.0","335,864.0","342,497.0","342,827.0","343,996.0","349,151.0","357,619.0","362,356.0","366,692.0","377,742.0","380,801.0","390,615.0","395,710.0","400,836.0","395,155.0","396,201.0","397,999.0","386,024.0","390,025.0","395,375.0","400,004.0","407,981.0","416,161.0","416,444.0","420,256.0","425,512.0","435,592.0","445,494.0","451,779.0","460,862.0","467,232.0","464,513.0","466,903.0","473,662.0","477,972.0","482,991.0","487,767.0","491,624.0","493,353.0","497,451.0","504,123.0","511,826.0","508,869.0","509,911.0","508,314.0","488,896.0","471,502.0","457,951.0","447,413.0","448,056.0","455,863.0","464,936.0","475,643.0","477,271.0","485,833.0","484,730.0","486,911.0"
"30","11","  Motor vehicle and parts dealers","N864RC1",".....",".....",".....","101,866.0","101,561.0","102,364.0","103,023.0","104,269.0","106,964.0","105,520.0","104,623.0","106,979.0","112,503.0","113,013.0","114,383.0","120,180.0","120,370.0","127,000.0","131,030.0","133,516.0","126,818.0","128,710.0","130,842.0","122,881.0","127,040.0","131,191.0","131,595.0","137,880.0","142,847.0","144,658.0","144,505.0","146,707.0","150,766.0","154,469.0","156,568.0","158,144.0","159,166.0","154,799.0","153,487.0","155,899.0","156,698.0","156,939.0","156,885.0","155,732.0","152,859.0","154,221.0","159,609.0","160,223.0","157,763.0","155,641.0","151,960.0","147,484.0","134,985.0","124,963.0","117,897.0","117,153.0","121,601.0","128,560.0","134,472.0","128,953.0","127,898.0","124,842.0","122,378.0"
"31","12","  Food and beverage stores","N239RC1",".....",".....",".....","27,523.0","27,676.0","27,627.0","28,067.0","27,832.0","28,120.0","28,600.0","28,712.0","29,227.0","29,611.0","30,106.0","30,865.0","30,924.0","31,015.0","30,762.0","30,880.0","30,999.0","31,717.0","31,908.0","32,103.0","32,103.0","32,328.0","31,660.0","32,143.0","32,103.0","32,270.0","31,814.0","32,907.0","33,007.0","33,167.0","33,836.0","34,102.0","34,376.0","34,729.0","34,613.0","34,250.0","35,200.0","34,981.0","35,426.0","36,532.0","36,851.0","38,010.0","38,037.0","39,185.0","40,860.0","41,523.0","42,450.0","42,717.0","41,770.0","41,750.0","41,578.0","41,526.0","42,102.0","43,162.0","42,029.0","42,424.0","43,704.0","45,107.0","45,369.0","46,803.0"
"32","13","  General merchandise stores","N240RC1",".....",".....",".....","57,980.0","57,874.0","58,684.0","58,429.0","58,252.0","58,528.0","58,686.0","59,451.0","59,404.0","60,106.0","60,726.0","61,443.0","62,433.0","62,659.0","63,352.0","63,146.0","63,730.0","65,353.0","65,635.0","65,615.0","64,166.0","63,454.0","63,259.0","64,257.0","65,488.0","65,724.0","66,118.0","66,869.0","67,323.0","69,095.0","70,288.0","70,525.0","72,692.0","74,491.0","74,521.0","75,290.0","75,752.0","75,343.0","75,242.0","77,233.0","78,728.0","79,810.0","80,301.0","80,026.0","81,009.0","80,485.0","81,064.0","82,206.0","80,456.0","79,846.0","79,285.0","78,158.0","78,115.0","79,178.0","80,629.0","82,433.0","83,768.0","86,255.0","87,046.0","88,171.0"
"33","14","  Other retail stores","N865RC1",".....",".....",".....","141,377.0","141,903.0","143,350.0","144,957.0","145,511.0","148,885.0","150,021.0","151,210.0","153,541.0","155,399.0","158,511.0","160,001.0","164,205.0","166,757.0","169,501.0","170,654.0","172,591.0","171,267.0","169,948.0","169,439.0","166,874.0","167,203.0","169,265.0","172,009.0","172,510.0","175,320.0","173,854.0","175,975.0","178,475.0","182,564.0","186,901.0","190,584.0","195,650.0","198,846.0","200,580.0","203,876.0","206,811.0","210,950.0","215,384.0","217,117.0","220,313.0","222,674.0","224,892.0","225,303.0","229,734.0","229,098.0","230,756.0","231,431.0","219,186.0","214,921.0","212,125.0","209,832.0","210,686.0","211,922.0","213,718.0","216,314.0","220,846.0","226,573.0","227,473.0","229,559.0"
"34","15","Other industries","N385RC1",".....",".....",".....","82,126.0","83,856.0","84,695.0","85,608.0","87,064.0","87,281.0","88,235.0","89,456.0","91,105.0","92,465.0","95,115.0","97,620.0","99,788.0","103,504.0","107,205.0","112,316.0","114,580.0","115,471.0","115,414.0","114,367.0","113,009.0","111,462.0","111,732.0","111,475.0","111,822.0","113,029.0","113,417.0","113,813.0","114,293.0","115,950.0","118,085.0","120,496.0","123,235.0","125,075.0","126,414.0","128,035.0","129,815.0","130,836.0","133,882.0","136,156.0","137,677.0","140,675.0","143,237.0","144,474.0","148,885.0","152,565.0","155,132.0","157,984.0","154,557.0","149,779.0","147,478.0","146,907.0","147,777.0","149,842.0","149,691.0","150,314.0","153,559.0","158,632.0","160,409.0","160,299.0"
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","16","  Private inventories","A371RC1",".....",".....",".....","1,284,668.0","1,292,573.0","1,304,054.0","1,314,384.0","1,327,330.0","1,337,534.0","1,335,792.0","1,333,618.0","1,341,603.0","1,359,527.0","1,373,502.0","1,396,587.0","1,432,668.0","1,456,062.0","1,479,771.0","1,496,161.0","1,523,962.0","1,522,312.0","1,509,879.0","1,485,628.0","1,447,281.0","1,446,539.0","1,452,951.0","1,469,414.0","1,489,140.0","1,512,010.0","1,505,494.0","1,520,900.0","1,545,706.0","1,581,989.0","1,623,193.0","1,650,062.0","1,681,526.0","1,723,825.0","1,724,364.0","1,759,794.0","1,804,599.0","1,820,181.0","1,861,748.0","1,896,887.0","1,917,107.0","1,952,536.0","1,976,845.0","2,008,392.0","2,077,497.0","2,146,782.0","2,232,197.0","2,203,214.0","2,024,345.0","1,949,408.0","1,901,582.0","1,863,351.0","1,883,552.0","1,926,396.0","1,938,915.0","2,001,316.0","2,084,502.0","2,189,614.0","2,211,585.0","2,231,242.0"
"37","17","    Durable goods industries","N241RC1",".....",".....",".....","603,417.0","606,858.0","614,282.0","617,327.0","624,670.0","635,638.0","636,952.0","639,403.0","643,038.0","653,588.0","657,035.0","666,332.0","684,937.0","692,882.0","706,513.0","715,272.0","721,245.0","708,930.0","699,449.0","688,228.0","666,042.0","666,062.0","670,527.0","672,831.0","681,004.0","688,601.0","687,952.0","683,343.0","694,532.0","713,472.0","734,675.0","756,132.0","770,015.0","789,925.0","788,218.0","796,556.0","817,564.0","833,760.0","854,636.0","870,719.0","874,440.0","882,032.0","889,634.0","889,462.0","900,656.0","918,739.0","938,429.0","939,939.0","892,203.0","845,928.0","809,578.0","788,626.0","784,126.0","799,802.0","820,598.0","839,059.0","851,527.0","880,521.0","897,008.0","907,282.0"
"38","18","    Nondurable goods industries","N242RC1",".....",".....",".....","681,251.0","685,715.0","689,772.0","697,057.0","702,660.0","701,896.0","698,840.0","694,215.0","698,565.0","705,939.0","716,467.0","730,255.0","747,731.0","763,180.0","773,258.0","780,889.0","802,717.0","813,382.0","810,430.0","797,400.0","781,239.0","780,477.0","782,424.0","796,583.0","808,136.0","823,409.0","817,542.0","837,557.0","851,174.0","868,517.0","888,518.0","893,930.0","911,511.0","933,900.0","936,146.0","963,238.0","987,035.0","986,421.0","1,007,112.0","1,026,168.0","1,042,667.0","1,070,504.0","1,087,211.0","1,118,930.0","1,176,841.0","1,228,043.0","1,293,768.0","1,263,275.0","1,132,142.0","1,103,480.0","1,092,004.0","1,074,725.0","1,099,426.0","1,126,594.0","1,118,317.0","1,162,257.0","1,232,975.0","1,309,093.0","1,314,577.0","1,323,960.0"
"39","19","  Nonfarm industries","A373RC1",".....",".....",".....","1,148,115.0","1,154,634.0","1,166,307.0","1,176,139.0","1,190,434.0","1,203,391.0","1,207,807.0","1,211,826.0","1,221,091.0","1,236,506.0","1,250,974.0","1,275,156.0","1,308,362.0","1,329,789.0","1,354,664.0","1,374,335.0","1,391,843.0","1,386,068.0","1,375,099.0","1,354,979.0","1,321,109.0","1,317,506.0","1,326,900.0","1,340,581.0","1,353,222.0","1,375,566.0","1,368,285.0","1,370,554.0","1,394,657.0","1,425,688.0","1,458,697.0","1,492,752.0","1,524,338.0","1,564,546.0","1,568,741.0","1,599,583.0","1,639,436.0","1,661,756.0","1,704,175.0","1,731,607.0","1,752,046.0","1,775,314.0","1,802,184.0","1,825,685.0","1,889,175.0","1,948,980.0","2,018,721.0","1,996,469.0","1,838,908.0","1,768,227.0","1,725,500.0","1,692,293.0","1,710,553.0","1,742,917.0","1,755,543.0","1,806,179.0","1,869,740.0","1,951,901.0","1,981,618.0","1,998,775.0"
"40","20","  Wholesale trade","N379RC1",".....",".....",".....","285,111.0","288,840.0","294,171.0","296,955.0","302,516.0","306,553.0","306,521.0","308,977.0","311,964.0","316,004.0","318,670.0","326,127.0","334,773.0","342,126.0","348,246.0","351,221.0","357,684.0","353,966.0","351,108.0","343,560.0","335,819.0","334,854.0","337,450.0","343,789.0","343,217.0","345,495.0","341,348.0","343,316.0","352,551.0","361,994.0","369,263.0","379,626.0","388,907.0","402,728.0","405,327.0","413,614.0","422,818.0","430,321.0","444,257.0","449,953.0","456,355.0","464,304.0","468,701.0","479,119.0","497,201.0","515,819.0","539,571.0","537,112.0","496,940.0","472,703.0","457,491.0","441,190.0","449,041.0","457,608.0","462,737.0","489,423.0","515,764.0","541,627.0","557,777.0","572,847.0"
"41","21","    Merchant wholesale trade","N802RC1",".....",".....",".....","242,395.0","246,541.0","251,990.0","254,611.0","259,338.0","263,579.0","264,077.0","266,746.0","269,436.0","273,107.0","274,335.0","280,262.0","287,571.0","293,244.0","297,924.0","299,548.0","305,173.0","302,978.0","301,353.0","296,541.0","291,053.0","290,521.0","292,241.0","297,820.0","297,150.0","298,674.0","296,015.0","297,664.0","305,393.0","313,716.0","319,418.0","327,432.0","335,900.0","346,403.0","349,024.0","354,667.0","361,950.0","368,565.0","381,677.0","387,745.0","395,516.0","402,437.0","406,274.0","415,622.0","431,242.0","442,643.0","459,955.0","459,931.0","427,995.0","410,086.0","398,116.0","384,423.0","392,245.0","397,925.0","403,524.0","426,831.0","449,161.0","467,429.0","482,444.0","495,258.0"
"42","22","      Durable goods industries","N803RC1",".....",".....",".....","152,925.0","155,642.0","160,508.0","161,341.0","163,670.0","167,317.0","167,651.0","170,577.0","171,856.0","174,479.0","176,184.0","178,520.0","183,575.0","185,742.0","190,154.0","190,721.0","192,178.0","189,754.0","184,742.0","180,017.0","175,210.0","173,782.0","174,544.0","176,627.0","175,315.0","176,739.0","176,132.0","175,162.0","178,396.0","184,812.0","190,681.0","198,985.0","204,349.0","209,699.0","211,717.0","212,905.0","218,424.0","222,937.0","231,449.0","235,889.0","237,497.0","241,827.0","241,990.0","241,704.0","244,478.0","251,346.0","260,757.0","266,751.0","254,717.0","237,706.0","225,380.0","216,815.0","213,525.0","217,790.0","221,867.0","228,274.0","235,523.0","242,188.0","252,879.0","260,929.0"
