"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 22, 2011 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2011 10:14:17 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","    Gross domestic product","A191RC1",237.2,240.4,244.5,254.3,260.3,267.3,273.8,275.1,269.9,266.2,267.6,265.2,275.2,284.5,301.9,313.3,329,336.6,343.5,347.9,351.2,352.1,358.5,371.4,378.4,382,381.1,375.9,375.2,376,380.8,389.4,402.6,410.9,419.4,426,428.3,434.2,439.2,448.1,457.2,459.2,466.4,461.5,453.9,458,471.7,485,495.5,508.5,509.3,513.2,527,526.2,529,523.7,528,539,549.5,562.6,576.1,583.2,590,593.3,602.5,611.2,623.9,633.5,649.6,658.9,670.5,675.6,695.7,708.1,725.2,747.5,770.8,779.9,793.1,806.9,817.8,822.3,837,852.7,879.8,904.1,919.3,936.2,960.9,976.1,996.3
"10","2","       Final sales of domestic product","A190RC1",236.7,241.6,247.4,252.9,256.7,261.4,266.6,269.1,269.6,271.3,268.9,269.9,273.2,281.7,297.8,299.3,318.6,321.8,333.8,343.2,346.5,353.7,352.9,366.1,374.5,378.4,378.8,377.9,377.2,379.3,382.9,389.7,398.8,406.3,415.2,418.8,421.9,430.6,435.6,445.8,455,456.5,463.6,466,457.9,462.3,470.2,479.7,491.6,501.2,508.9,509.1,515.8,522.9,524.6,529.5,530.5,537.2,542.8,556.6,566.6,577.8,583.8,590,595.6,606.3,618.2,628.4,644.5,654.4,665.8,670.6,684.1,699.6,715.9,739.9,756.9,767.6,781.3,790.4,802.3,816,827.7,844.3,871.3,890,911.6,930.2,949.4,966.9,986.1
"11","3","       Change in private inventories","A014RC1",0.5,-1.2,-2.9,1.5,3.6,5.9,7.2,6,0.4,-5.1,-1.3,-4.7,2,2.8,4.2,14,10.4,14.8,9.7,4.7,4.7,-1.5,5.6,5.3,3.9,3.6,2.3,-2,-2,-3.4,-2.1,-0.3,3.8,4.6,4.3,7.2,6.4,3.6,3.6,2.2,2.2,2.7,2.8,-4.5,-4,-4.2,1.5,5.2,3.9,7.3,0.4,4.1,11.2,3.2,4.3,-5.8,-2.5,1.8,6.7,6,9.4,5.4,6.2,3.4,6.9,4.8,5.7,5.1,5.1,4.5,4.7,5,11.5,8.6,9.3,7.6,13.9,12.3,11.9,16.5,15.4,6.3,9.3,8.4,8.4,14.1,7.7,6,11.5,9.2,10.2
"12","4","Goods","A353RC1",123.3,124.5,125.3,131.7,135.9,137.6,140.9,140.7,134.2,129.2,130.6,126.4,133.2,137.4,150.8,157.4,163.2,166,166.9,168.1,166.9,161.1,164.4,172.4,174.5,174.8,173.7,166.9,166.3,166.1,167.1,172.5,180.4,187.4,191.3,195.1,194.6,194.6,198.5,201,205.9,205.7,209.9,199.2,194.4,193.4,202.9,209.3,215.1,221,218.9,221.1,232.8,228.8,229.8,218.6,221.2,227.2,234.4,239.5,246.5,245.6,249.2,248.3,253.6,255.1,261.2,264,271.6,274.9,282.1,282.7,296.8,298.6,306.3,315.7,332.5,331.8,337.9,346.1,344.9,341.6,346.6,348.4,359.4,370.9,375.2,377.6,393.4,393.7,401.3
"13","5","    Final sales","A325RC1",122.8,125.8,128.2,130.2,132.3,131.7,133.8,134.7,133.8,134.3,131.9,131.1,131.2,134.6,146.6,143.3,152.8,151.2,157.2,163.4,162.1,162.6,158.8,167.1,170.6,171.2,171.4,168.9,168.3,169.5,169.2,172.9,176.6,182.8,187,187.9,188.2,191,195,198.8,203.7,203.1,207,203.8,198.4,197.6,201.3,204.1,211.3,213.7,218.6,217,221.6,225.6,225.5,224.4,223.8,225.4,227.8,233.5,237,240.2,243,245,246.8,250.3,255.5,259,266.5,270.4,277.4,277.7,285.2,290,297,308.1,318.6,319.5,326.1,329.6,329.4,335.3,337.3,340,351,356.8,367.5,371.6,382,384.5,391.2
"14","6","    Change in private inventories","A014RC1",0.5,-1.2,-2.9,1.5,3.6,5.9,7.2,6,0.4,-5.1,-1.3,-4.7,2,2.8,4.2,14,10.4,14.8,9.7,4.7,4.7,-1.5,5.6,5.3,3.9,3.6,2.3,-2,-2,-3.4,-2.1,-0.3,3.8,4.6,4.3,7.2,6.4,3.6,3.6,2.2,2.2,2.7,2.8,-4.5,-4,-4.2,1.5,5.2,3.9,7.3,0.4,4.1,11.2,3.2,4.3,-5.8,-2.5,1.8,6.7,6,9.4,5.4,6.2,3.4,6.9,4.8,5.7,5.1,5.1,4.5,4.7,5,11.5,8.6,9.3,7.6,13.9,12.3,11.9,16.5,15.4,6.3,9.3,8.4,8.4,14.1,7.7,6,11.5,9.2,10.2
"15","7","  Durable goods","A354RC1",46.8,46.9,48.3,46.6,49.7,48,49.9,51.2,49.5,46.7,50.8,45.8,49,55.5,63.9,68,66.8,69.8,70.6,68.7,68.8,64,61.7,71.5,75.1,75.2,75.9,66.5,64.7,65.6,65.1,69.7,75.2,81.8,83.3,84.4,82.8,81.6,82.5,85.9,87.9,87.8,89.2,81.9,72.7,71.4,77.6,82.8,90.1,94.5,90.5,90.7,100.6,94.3,95.2,86.7,83.8,89.5,96.8,100.1,104.8,103.6,107.7,105.4,107.4,110,113.3,114.3,120.1,121.5,126.3,124.5,136.6,134.5,140.1,140.1,153.7,151.6,156.6,159.9,153.3,152.7,155,158.3,160.5,165.8,168.9,174.2,181.5,177.3,184
"16","8","    Final sales","A326RC1",44.3,45.6,45.8,47.1,48.5,47.3,49,50,49.2,50.6,50.3,49.9,49.8,52.2,61.8,58.1,62.1,60,62.7,66.6,66.4,66.1,61.1,67.8,71.3,72.3,72.9,70.1,68.4,69.4,67.6,69.9,72.8,77.7,80.6,80,78.5,79.7,82.2,84,87.2,85.7,87,84.9,78.9,76.8,78.6,81.3,86.8,88.3,91.1,88.1,91.5,93.8,93.6,91.2,89.3,91,93,97.1,99.3,101.2,103,104.3,104.6,106.9,109.9,112.9,116.3,118.1,121.5,121.1,127.6,128.6,132.9,137.2,144.2,142.3,146.4,148.8,146.6,150.4,150.7,152.2,157.4,159.9,166,167.9,175.5,173.3,176.9
