"","Table 2#9# Personal Income and Its Disposition by Households and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 19, 2011  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/29/2012 9:03:25 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","Personal income","A065RC1",5347.3,5568.1,5874.8,6200.9,6591.6,7000.7,7525.4,7910.8,8559.4,8883.3,9060.1,9378.1,9937.2,10485.9,11268.1,11912.3,12460.2,11930.2,12373.5
"9","2","  Compensation of employees, received","W209RC1",3647.2,3790.6,3980.9,4178.8,4387.7,4668.6,5023.9,5348.8,5788.8,5979.3,6110.8,6367.6,6708.4,7060,7475.7,7862.2,8073.3,7801.4,7971.4
"10","3","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",414.9,449.6,485.1,516,583.7,628.2,687.5,746.8,817.5,870.7,890.3,930.6,1033.8,1069.8,1133,1090.4,1097.9,941.2,1036.4
"11","4","  Rental income of persons with capital consumption adjustment","A048RC1",84.6,114.1,142.9,154.6,170.4,176.5,191.5,208.2,215.3,232.4,218.7,204.2,198.4,178.2,146.5,143.7,231.6,305.9,350.2
"12","5","  Personal income receipts on assets","W210RC1",909.7,900.5,947.7,1005.4,1080.7,1165.5,1269.2,1246.8,1360.7,1346,1309.6,1312.9,1408.5,1542,1829.7,2057,2165.4,1707.7,1721.2
