"","Table 6#12B# Nonfarm Proprietors' Income by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2011 10:25:39 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","     Nonfarm proprietors' income","B046RC0",23226,22242,25735,27828,28609,29970,30484,33708,35580,37436,37880,40344,40014,42033,44087,45473,49479,52160,55716,58701,63430,65533
"9","2","Agricultural services, forestry, and fishing","J1800C0",328,347,377,419,454,477,524,538,557,565,579,587,620,647,787,745,882,925,983,1043,1193,1350
"10","3","Mining","J1801C0",402,289,296,309,279,301,294,342,407,416,375,283,281,281,203,256,278,276,191,389,680,451
"11","4","Construction","J1802C0",2695,2681,3203,3344,3533,3565,3364,3674,3878,4171,3991,4337,4329,4746,4966,5298,5741,6220,6532,6707,7034,7579
"12","5","Manufacturing","J1803C0",1835,1592,2074,2217,2142,2186,2000,2138,2202,2116,1974,2026,1958,1885,1899,1827,1949,2026,2243,1973,1944,1898
"13","6","  Durable goods","J1804C0",838,714,1075,1194,1118,1142,1009,1154,1233,1161,1034,1164,1093,1066,1124,1128,1195,1309,1478,1368,1317,1298
"14","7","  Nondurable goods","J1805C0",997,878,999,1023,1024,1044,991,984,969,955,940,862,865,819,775,699,754,717,765,605,627,600
"15","8","Transportation and public utilities","A1806C0",627,624,737,845,908,989,1056,1071,1125,1218,1265,1305,1399,1566,1745,1910,2058,2227,2366,2364,2733,2760
"16","9","  Transportation","B1807C0",601,599,694,781,834,895,940,949,990,1048,1069,1103,1143,1262,1405,1501,1579,1749,1830,1768,2070,2070
"17","10","  Communication","B1808C0",8,8,11,14,18,19,22,19,19,18,46,73,71,74,60,93,117,99,107,15,36,26
"18","11","  Electric, gas, and sanitary services","B1809C0",18,17,32,50,56,75,94,103,116,152,150,129,185,230,280,316,362,379,429,581,627,664
"19","12","Wholesale trade","J1810C0",1886,1680,2359,2580,2427,2607,2341,2895,3261,3380,3312,3118,3102,3266,3311,3406,3346,3263,3450,3423,3742,3801
"20","13","Retail trade","J1811C0",8128,7452,7922,8656,8677,8689,9060,9123,9295,9540,9467,10163,9469,9428,9775,9523,10581,11103,11540,12082,12645,12874
"21","14","Finance, insurance, and real estate","J1812C0",1161,1346,1855,1945,2126,2331,2645,3210,3341,3603,3790,4039,4073,4271,4437,4746,5112,5487,5633,6028,7168,6922
