"","Table 3#13# Subsidies                                           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/24/2011 11:05:21 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","    Subsidies","A107RC1",4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15,21.3,21.1,21.4,24.9,30.3,29.5,27.4,27,27.5,30.1,36.7,32.5,34.8,35.2,33.8,36.4,45.2,45.8,58.7,41.4,49.1,46.4,60.9,51.4,54.6,52.8,60.3
"9","2","Federal","B096RC1",4.5,4.8,4.6,6.6,5.1,3.2,4.3,4.9,6.9,8.7,8.2,9.4,11.1,14.6,20.9,20.7,21,24.6,30,29.2,27.1,26.6,27.1,29.7,36.3,32.2,34.5,34.9,33.4,35.9,44.8,45.3,51.1,40.5,49,46,60.5,51,47.4,49.8,58.9
"10","3","  Agricultural","L312041",3.8,3.7,3.1,4,2.6,0.5,0.8,0.7,1.8,3,1.4,1.3,1.9,3.5,9.3,8.4,7.7,11.8,16.7,14.5,10.9,9.3,8.2,9.2,13.4,7.9,7.3,7.3,7.5,12.4,21.5,23.2,22.4,12.4,16.5,13,24.4,15.8,11.9,12.2,12.9
